"Species","Range Coverage","Mean Grid Coverage","Long-term Decline","Current Annual Decline","Current Status","Conservation Priority","Years1GEN","1GEN Decline","Years2GEN","2GEN Decline","Years3GEN","3GEN Decline","3GEN Decline Mean","3GEN Decline LCI","1GEN valid","2GEN valid","3GEN valid","Criteria A Redlist Category Proposed","Current Redlist","IUCN Different","Red List using Exp projections","Red List projections different","Projected Decline","Criterion C Redlist Category Proposed"
"Black-tailed Godwit",32.5,"45.47% (43.68, 47.26)","-168.22% (-165.17, -170.83)","-3.12% (-2, -4.24)","Decline","High",6,11,13,23,19,32,45,56,TRUE,TRUE,TRUE,"Vulnerable","Near Threatened","Yes","Vulnerable","No",36,"Endangered"
"Indian Bushlark",29.95,"39.45% (38.04, 40.87)","-149.45% (-144.3, -153.79)","-3.01% (-1.98, -4.03)","Decline","Moderate",3,6,6,11,10,18,26,34,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",67,"Vulnerable"
"White-tailed Lapwing",27.74,"42.8% (39.73, 45.86)","-143.88% (-134.17, -151.49)","-3.86% (-1.98, -5.74)","Decline","Moderate",5,10,9,16,14,24,42,56,TRUE,TRUE,TRUE,"Near Threatened","Least Concern","Yes","Endangered","Yes",62,"Vulnerable"
"Green Shrike-Babbler",33.9,"51.03% (44.49, 57.57)",NA,"-3.95% (-1.96, -5.93)","Decline","Moderate",3,6,6,11,10,18,33,46,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",74,"Vulnerable"
"Bar-headed Goose",30.82,"46.05% (44.29, 47.8)","-100.98% (-87.45, -112.59)","-3.67% (-1.93, -5.41)","Decline","Moderate",10,18,21,NA,31,NA,NA,NA,TRUE,FALSE,FALSE,NA,"Least Concern",NA,"Endangered",NA,77,"No"
"Jerdon's Leafbird",37.82,"52.64% (50.82, 54.45)","-155.31% (-150.05, -160.08)","-2.82% (-1.92, -3.73)","Decline","Moderate",3,6,6,11,10,18,25,32,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",74,"Vulnerable"
"Black Stork",23.7,"52.4% (50.01, 54.79)","-169.85% (-164.67, -173.97)","-3.39% (-1.9, -4.89)","Decline","High",13,22,26,NA,38,NA,NA,NA,TRUE,FALSE,FALSE,NA,"Least Concern",NA,"Vulnerable",NA,44,"No"
"Eurasian Spoonbill",34.74,"43.71% (42.24, 45.18)","-152.56% (-148.87, -156.05)","-3.62% (-1.87, -5.37)","Decline","High",10,17,19,30,29,NA,NA,NA,TRUE,TRUE,FALSE,NA,"Least Concern",NA,"Vulnerable",NA,50,"Endangered"
"Tickell's Leaf Warbler",28.05,"56.55% (54.21, 58.89)","-151.76% (-145.96, -156.56)","-2.54% (-1.83, -3.25)","Decline","Moderate",3,5,5,9,10,17,23,28,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",68,"Vulnerable"
"Rufous-necked Laughingthrush",29.46,"40.31% (36.14, 44.48)",NA,"-4.34% (-1.81, -6.86)","Decline","Moderate",4,7,8,14,12,20,41,57,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",54,"Vulnerable"
"Rufous-tailed Lark",31.65,"41.06% (39.74, 42.39)","-182.38% (-181.29, -183.42)","-2.09% (-1.76, -2.43)","Decline","Moderate",3,5,6,10,10,16,19,22,TRUE,TRUE,TRUE,"Least Concern","Near Threatened","Yes","Endangered","Yes",53,"Vulnerable"
"Bengal Bushlark",31.98,"41.09% (38.79, 43.38)","-49.99% (-24.94, -69.72)","-3.27% (-1.73, -4.81)","Decline","Low",3,5,6,10,10,16,28,39,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Critically Endangered","Yes",86,"Vulnerable"
"Marsh Sandpiper",32.52,"48.32% (46.73, 49.92)","-161.13% (-157.39, -164.07)","-2.7% (-1.7, -3.7)","Decline","High",6,10,12,19,18,27,39,49,TRUE,TRUE,TRUE,"Near Threatened","Least Concern","Yes","Vulnerable","Yes",44,"Vulnerable"
"White Wagtail",35.3,"37.85% (36.89, 38.81)","-155.93% (-153.48, -158.43)","-2.58% (-1.69, -3.47)","Decline","Moderate",3,5,7,11,10,16,23,30,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",62,"Vulnerable"
"Chestnut-bellied Rock-Thrush",38.1,"45.18% (41.9, 48.46)","-150.98% (-139.38, -159.58)","-3.12% (-1.69, -4.55)","Decline","High",3,5,7,11,10,16,27,37,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",71,"Vulnerable"
"Rufous Treepie",45.47,"38.26% (37.31, 39.2)","-90.03% (-84.51, -94.97)","-2.05% (-1.66, -2.45)","Decline","Moderate",4,6,8,13,12,18,22,26,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Critically Endangered","Yes",84,"Vulnerable"
"White-browed Fantail",31.16,"42.75% (41.08, 44.41)","-156.78% (-153.19, -160.17)","-2.24% (-1.66, -2.83)","Decline","High",3,5,5,8,10,15,20,25,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",75,"Vulnerable"
"Tawny Lark",30.97,"47.42% (44.82, 50.01)","-150.39% (-142.41, -157.58)","-2.57% (-1.62, -3.52)","Decline","Moderate",3,5,6,9,10,15,23,30,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",69,"Vulnerable"
"White-rumped Spinetail",38.92,"79.84% (76.09, 83.59)","-184.85% (-181.62, -187.69)","-2.13% (-1.61, -2.66)","Decline","High",3,5,5,8,10,15,19,24,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",52,"Vulnerable"
"Thick-billed Flowerpecker",33.56,"51.22% (49.61, 52.84)","-164.92% (-161.61, -167.84)","-3.13% (-1.6, -4.66)","Decline","Moderate",3,5,5,8,10,15,27,38,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",63,"Vulnerable"
"Black-crested Bulbul",37.74,"37.52% (34.73, 40.31)","-130.17% (-117.59, -141.78)","-3.05% (-1.59, -4.52)","Decline","Moderate",4,6,8,12,12,18,31,43,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",67,"Vulnerable"
"Blue Rock-Thrush",26.75,"50.03% (48.43, 51.63)","-169.7% (-166.91, -172.04)","-2.38% (-1.59, -3.17)","Decline","Moderate",3,5,7,11,10,15,21,28,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",54,"Vulnerable"
"Malabar Lark",41.81,"66.14% (62.98, 69.3)","-168.06% (-162.16, -172.8)","-2.26% (-1.58, -2.93)","Decline","High",4,6,7,11,11,16,22,28,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",59,"Vulnerable"
"Pallas's Gull",32.71,"45.81% (43.33, 48.29)","-162.94% (-158.22, -167.03)","-2.62% (-1.58, -3.66)","Decline","Moderate",11,16,22,NA,33,NA,NA,NA,TRUE,FALSE,FALSE,NA,"Least Concern",NA,"Endangered",NA,52,"No"
"Common Redshank",34.42,"42.43% (40.88, 43.98)","-160.16% (-156.98, -163.05)","-2.37% (-1.58, -3.16)","Decline","High",6,9,11,16,17,24,33,42,TRUE,TRUE,TRUE,"Near Threatened","Least Concern","Yes","Vulnerable","Yes",50,"Vulnerable"
"Egyptian Vulture",30.59,"41.97% (40.18, 43.76)","-180.45% (-178.85, -181.94)","-1.83% (-1.56, -2.1)","Decline","High",17,23,33,NA,50,NA,NA,NA,TRUE,FALSE,FALSE,NA,"Endangered",NA,"Vulnerable",NA,38,"No"
"Crested Lark",31.67,"36.36% (34.35, 38.36)","-145.95% (-139.6, -151.07)","-2.76% (-1.53, -3.98)","Decline","Moderate",3,5,6,9,10,14,24,33,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",74,"Vulnerable"
"Black Redstart",32.29,"37.91% (36.81, 39.01)","-153.69% (-150.78, -156.66)","-2.37% (-1.45, -3.28)","Decline","Moderate",3,4,5,7,10,14,21,28,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",74,"Vulnerable"
"Asian Brown Flycatcher",41.5,"61.29% (59.4, 63.18)","-143.59% (-134.73, -150.51)","-2.12% (-1.43, -2.8)","Decline","Moderate",3,4,5,7,10,13,19,25,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",76,"Vulnerable"
"Golden-fronted Leafbird",45.09,"52.91% (50.89, 54.92)","-144.75% (-138.97, -149.89)","-2.31% (-1.4, -3.22)","Decline","Moderate",3,4,6,8,10,13,21,28,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Critically Endangered","Yes",81,"Vulnerable"
"Gadwall",31.62,"41.43% (40.03, 42.83)","-106.99% (-97.56, -115.02)","-2.62% (-1.4, -3.84)","Decline","Moderate",4,5,9,12,13,17,29,40,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Critically Endangered","Yes",83,"Vulnerable"
"Chestnut-bellied Sandgrouse",28.3,"42.39% (40.38, 44.4)","-170.19% (-167.24, -173.15)","-1.94% (-1.4, -2.48)","Decline","High",4,5,8,11,12,16,21,26,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",62,"Vulnerable"
"Orange-bellied Leafbird",33.33,"39.1% (35.71, 42.49)","-127.47% (-111.49, -140.58)","-3.34% (-1.4, -5.29)","Decline","Moderate",3,4,6,8,10,13,29,42,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",73,"Vulnerable"
"Common Sandpiper",40.25,"40.54% (39.57, 41.51)","-146.39% (-143.75, -148.88)","-1.9% (-1.37, -2.43)","Decline","Moderate",5,7,9,12,14,18,24,29,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",66,"Vulnerable"
"Ultramarine Flycatcher",33.67,"53.08% (50.65, 55.51)","-153.17% (-143.48, -160.25)","-3.03% (-1.36, -4.69)","Decline","High",3,4,6,8,10,13,26,38,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",72,"Vulnerable"
"Pallid Harrier",27.09,"55.95% (53.81, 58.1)","-178.43% (-176.16, -180.54)","-1.87% (-1.34, -2.4)","Decline","High",5,7,10,13,15,18,25,31,TRUE,TRUE,TRUE,"Least Concern","Near Threatened","Yes","Vulnerable","Yes",41,"Vulnerable"
"Intermediate Egret",41.43,"39.41% (38.46, 40.36)","-122.03% (-117.73, -125.84)","-1.95% (-1.28, -2.62)","Decline","Moderate",5,6,11,13,16,19,27,35,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",78,"Vulnerable"
"Crested Bunting",25.17,"45.9% (43.92, 47.87)","-167.58% (-162.8, -171.76)","-2.43% (-1.25, -3.61)","Decline","High",3,4,5,6,10,12,22,31,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",57,"Vulnerable"
"Red-necked Falcon",25.1,"56.59% (54.45, 58.73)","-170.89% (-166.67, -174.46)","-2.48% (-1.24, -3.72)","Decline","High",4,5,9,11,14,16,30,41,TRUE,TRUE,TRUE,"Least Concern","Near Threatened","Yes","Endangered","Yes",52,"Vulnerable"
"Little Stint",33.2,"46.1% (44.6, 47.6)","-175.97% (-174.22, -177.65)","-2.07% (-1.19, -2.95)","Decline","Moderate",4,5,9,10,13,14,24,32,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Vulnerable","Yes",47,"Vulnerable"
"Black Kite",44.18,"39.23% (38.3, 40.17)","-110.03% (-105.61, -114.15)","-1.53% (-1.19, -1.87)","Decline","Low",9,10,19,20,28,NA,NA,NA,TRUE,TRUE,FALSE,NA,"Least Concern",NA,"Critically Endangered",NA,81,"Endangered"
