"","Species","Scientific","Old_LongTerm","Old_Current","Old_Range","Old_Priority","New_LongTerm","New_Current","New_Range","New_Priority","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","rangelci","rangemean","rangerci","Change_LongTerm","Change_Current","Change_Range","Change_Priority","Cat_LongTerm","Cat_Current","Cat_Range","Cat_Priority","First_Category"
"21","Pygmy Flycatcher","Ficedula hodgsoni","Insufficient Data","Insufficient Data","Moderate","Low","Insufficient Data","Insufficient Data","Restricted","Moderate",NA,NA,NA,NA,NA,NA,39355,39355,39355,"Insufficient Data","Insufficient Data","<span style='color:red' title='(39,355, 39,355, 39,355) [Threshold: 7,500<x<42,500]'>Moderate → Restricted</span>","<span style='color:red'>Low → Moderate</span>",NA,NA,"Moderate","Low → Moderate","Low → Moderate"
"22","Green-winged Teal","Anas crecca","Rapid Decline","Rapid Decline","Large","High","Trend Inconclusive","Decline","Very Large","Low",-72.6491769123887,-59.8895939114753,-40.8968591768431,-6.17038752435292,-4.24234392427445,-2.31430032419598,1127173,1127725,1128277,"<span style='color:black' title='(-72.6, -59.9, -40.9) [Threshold: NA]'>Rapid Decline → Trend Inconclusive</span>","<span style='color:blue' title='(-6.2, -4.2, -2.3) [Threshold: -2.7<x<-1.1]'>Rapid Decline → Decline</span>","<span style='color:blue' title='(1,127,173, 1,127,725, 1,128,277) [Threshold: x>1,000,000]'>Large → Very Large</span>","<span style='color:blue'>High → Low</span>",NA,NA,NA,"High → Low","High → Low"
"23","Common Merganser","Mergus merganser","Rapid Decline","Rapid Decline","Moderate","High","Trend Inconclusive","Rapid Decline","Moderate","Low",-86.8725727937388,-73.8275765871878,-50.4962224675296,-9.26306881436301,-6.83635805405373,-4.40964729374444,74731,75217,75703,"<span style='color:black' title='(-86.9, -73.8, -50.5) [Threshold: NA]'>Rapid Decline → Trend Inconclusive</span>","Rapid Decline","Moderate","<span style='color:blue'>High → Low</span>",NA,NA,"Moderate","High → Low","High → Low"
"24","Common Crane","Grus grus","Rapid Decline","Decline","Moderate","High","Decline","Stable","Moderate","Low",-68.8913479785402,-53.8299958294618,-31.7289539007279,-4.47054052528077,-2.22409109053869,0.0223583442033775,211912,212245,212578,"<span style='color:blue' title='(-68.9, -53.8, -31.7) [Threshold: -50<x<-25]'>Rapid Decline → Decline</span>","<span style='color:blue' title='(-4.5, -2.2, 0.0) [Threshold: None]'>Decline → Stable</span>","Moderate","<span style='color:blue'>High → Low</span>",NA,NA,"Moderate","High → Low","High → Low"
"25","Pin-tailed Snipe","Gallinago stenura","Decline","Rapid Decline","Moderate","High","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-89.3233609865995,-49.8799410531912,131.892924634683,-66.8525777337831,1.05365598911986,68.9598897120228,150208,150208,150208,"<span style='color:black' title='(-89.3, -49.9, 131.9) [Threshold: NA]'>Decline → Trend Inconclusive</span>","<span style='color:black' title='(-66.9, 1.1, 69.0) [Threshold: NA]'>Rapid Decline → Trend Inconclusive</span>","Moderate","<span style='color:blue'>High → Low</span>",NA,NA,"Moderate","High → Low","High → Low"
"26","Sanderling","Calidris alba","Insufficient Data","Decline","Restricted","High","Insufficient Data","Trend Inconclusive","Moderate","Low",NA,NA,NA,-7.00308850025705,-4.29938161256189,-1.59567472486673,58401,58724,59047,"Insufficient Data","<span style='color:black' title='(-7.0, -4.3, -1.6) [Threshold: NA]'>Decline → Trend Inconclusive</span>","<span style='color:blue' title='(58,401, 58,724, 59,047) [Threshold: 42,500<x<250,000]'>Restricted → Moderate</span>","<span style='color:blue'>High → Low</span>",NA,NA,NA,"High → Low","High → Low"
"27","Slender-billed Gull","Chroicocephalus genei","Rapid Decline","Rapid Decline","Moderate","High","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-63.6974213638158,-35.7449097629451,20.605955553765,-7.2310358916107,-4.22589319814976,-1.22075050468882,73824,74220,74616,"<span style='color:black' title='(-63.7, -35.7, 20.6) [Threshold: NA]'>Rapid Decline → Trend Inconclusive</span>","<span style='color:black' title='(-7.2, -4.2, -1.2) [Threshold: NA]'>Rapid Decline → Trend Inconclusive</span>","Moderate","<span style='color:blue'>High → Low</span>",NA,NA,"Moderate","High → Low","High → Low"
"28","Black-headed Gull","Chroicocephalus ridibundus","Rapid Decline","Decline","Large","High","Decline","Decline","Large","Low",-76.6649019617921,-66.1658150131261,-50.5270943231604,-6.48004564924616,-4.46915566640256,-2.45826568355895,374778,375233,375688,"<span style='color:blue' title='(-76.7, -66.2, -50.5) [Threshold: -50<x<-25]'>Rapid Decline → Decline</span>","Decline","Large","<span style='color:blue'>High → Low</span>",NA,NA,NA,"High → Low","High → Low"
"29","Caspian Tern","Hydroprogne caspia","Rapid Decline","Decline","Moderate","High","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-73.4321076342456,-58.6977193007522,-35.9844436940994,-5.00384523458283,-2.53762163280154,-0.0713980310202444,152457,152846,153235,"<span style='color:black' title='(-73.4, -58.7, -36.0) [Threshold: NA]'>Rapid Decline → Trend Inconclusive</span>","<span style='color:black' title='(-5.0, -2.5, -0.1) [Threshold: NA]'>Decline → Trend Inconclusive</span>","Moderate","<span style='color:blue'>High → Low</span>",NA,NA,"Moderate","High → Low","High → Low"
"30","Common Tern","Sterna hirundo","Rapid Decline","Rapid Decline","Restricted","High","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-83.4934450119784,-74.0175922516352,-59.2932632983656,-4.97684319642006,-1.93099503552227,1.11485312537551,112868,113032,113196,"<span style='color:black' title='(-83.5, -74.0, -59.3) [Threshold: NA]'>Rapid Decline → Trend Inconclusive</span>","<span style='color:black' title='(-5.0, -1.9, 1.1) [Threshold: NA]'>Rapid Decline → Trend Inconclusive</span>","<span style='color:blue' title='(112,868, 113,032, 113,196) [Threshold: 42,500<x<250,000]'>Restricted → Moderate</span>","<span style='color:blue'>High → Low</span>",NA,NA,NA,"High → Low","High → Low"
