EnglishName,CriteriaD_Category,CriteriaD_String,MinMaturePop,MaxMaturePop,MinPop,MaxPop,Min Breeding Pop Percent,Max Breeding Pop Percent,Male Ratio,Largest_Sub_Pop,MaxAOO,Locations,GenerationLength,OneGen,ThreeGen,TimeToVU,TimeToEN,TimeToCR,PlausibleThreat_VU,PlausibleThreat_NT,CR_D,EN_D,VU_D1,NT_D1,VU_D2,NT_D2,CR_D_triggers,EN_D_triggers,VU_D_triggers,NT_D_triggers
Blood Pheasant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9408,NA,6,6,18,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Blyth's Leaf Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.51,2.51,7.529999999999999,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Chestnut-tailed Minla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154988,NA,3.06,3.06,9.18,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Crested Kingfisher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66,4.66,13.98,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Fire-tailed Myzornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33004,NA,2.66,2.66,7.98,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Fire-tailed Sunbird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140030,NA,2.57,2.57,7.709999999999999,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Gold-naped Finch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44680,NA,3.02,3.02,9.06,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Great Parrotbill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1307,NA,4.47,4.47,13.41,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Grey-crested Tit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48592,NA,3.03,3.03,9.09,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Himalayan Bluetail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,2.78,8.34,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Himalayan Monal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74667,NA,6.41,6.41,19.23,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Himalayan Rubythroat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86027,NA,3.19,3.19,9.57,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Himalayan Swiftlet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97,2.97,8.91,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Plumbeous Redstart,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.89,2.89,8.67,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Red-headed Bullfinch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40099,NA,3.6,3.6,10.8,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Rosy Pipit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,2.42,7.26,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Rufous-gorgeted Flycatcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.22,3.22,9.66,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Rufous-vented Tit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32439,NA,2.74,2.74,8.22,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Rufous-vented Yuhina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29259,NA,3.31,3.31,9.93,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Scaly Laughingthrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43595,NA,3.87,3.87,11.61,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
