EnglishName,ScientificName,RegionalRedlist,GlobalRedlist,AdjustedRegionalRedlist,SoIBPriority,LTC,CAT,CriteriaA_Category,CriteriaB_Category,CriteriaC_Category,CriteriaD_Category,CriteriaA_String,CriteriaB_String,CriteriaC_String,CriteriaD_String,GlobalCriteriaString,Decline3GEN_A,Decline3GEN,Decline3GEN_A_Mean,Decline3GENMean,Decline3GEN_A_Lci,Decline3GENLci,Decline3GEN_A_Method,Years3GEN,Decline1GEN,Years1GEN,Decline2GEN,Years2GEN,Decline3GEN_C,Decline3GEN_C1_Method,Decline3GEN_ContinuingDeclineMethod,GenerationLength,ActualDeclinePercentage,YearsActualDecline,ContinuingDecline,ActualDeclinePercentage_C1,YearsActualDecline_C1,BiogPop1Percent,CMS,CITES,Schedule,Endemic,EOO,MaxEOO,DeclineEOO,EOOYearBandChange,MinAOO,MaxAOO,MinLocations,Locations,MaxLocations,Subspecies,TotalLikelyPop,TotalMaxPop,GlobalPopulation,GlobalEOO,GlobalAOO,GlobalRangePercent,GlobalPopulationTrend,MigratoryStatusIndia,GlobalRedlistURL
Bridled Tern,Onychoprion anaethetus,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,10.01,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"479,537",,NA,NA,258,"(Max 122,544)",NA,NA,NA,1,,,"400,000-1,000,000","207,000,000",,3%,Unknown,Resident & Winter Migrant,https://www.iucnredlist.org/species/22694730/154676367
Little Tern,Sternula albifrons,Least Concern,Least Concern,To be done,Moderate,Rapid Decline,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,10.02,"0.12% (0.9, -0.65) pa, ","10y, 2015-2025",Uncertain,NA,,710,Appendix II,NA,Schedule-II,No,"4,366,448",,NA,NA,,,NA,NA,NA,2,,,"66,800-101,000,81,600","3,490,000",,2%,Decreasing,Winter Migrant & Localized Summer Migrant,https://www.iucnredlist.org/species/22694656/166285129
Saunders's Tern,Sternula saundersi,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.93,NA,,Unknown,NA,,,Appendix II,NA,Schedule-II,No,"10,618","(Max 14,690)",NA,NA,157,"(Max 2,684)",NA,NA,NA,1,,,Unknown,"11,700,000",,< 1%,Decreasing,Winter Migrant & Localized Summer Migrant,https://www.iucnredlist.org/species/22694666/155479775
Gull-billed Tern,Gelochelidon nilotica,Least Concern,Least Concern,To be done,Moderate,Rapid Decline,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,8.51,NA,,Yes,NA,,,Appendix II,NA,Schedule-I,No,"2,927,918",,NA,NA,,,NA,NA,NA,2,,,"26,700-37,400,30,900","907,000",,2%,Stable,Resident & Winter Migrant,https://www.iucnredlist.org/species/62026481/166457160
Caspian Tern,Hydroprogne caspia,Least Concern,Least Concern,To be done,Moderate,Decline,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,11.23,NA,,Yes,NA,,710,Appendix II,NA,Schedule-II,No,"2,384,539",,NA,NA,,,NA,NA,NA,1,,,"12,700-19,900,15,700","211,000",,6%,Stable,Resident & Winter Migrant,https://www.iucnredlist.org/species/22694524/166281584
Whiskered Tern,Chlidonias hybrida,Least Concern,Least Concern,To be done,Moderate,Rapid Decline,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.45,NA,,Yes,NA,,,NA,NA,Schedule-II,No,"6,021,121",,NA,NA,,,NA,NA,NA,1,,,"200,000-900,000","130,000,000",,9%,Unknown,Winter Migrant & Localized Summer Migrant,https://www.iucnredlist.org/species/22694764/154303423
White-winged Tern,Chlidonias leucopterus,Near Threatened,Least Concern,To be done,NA,NA,NA,NA,NT,NA,NA,NA,B2b(i),NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.49,NA,,Unknown,NA,,,Appendix II,NA,Schedule-II,No,"3,099,930",,-16%,2012-2020 to 2021-2025,392,"(Max 629,416)",NA,NA,NA,1,,,"1,700,000-3,000,000","27,200,000",,< 1%,Decreasing,Winter Migrant,https://www.iucnredlist.org/species/22694782/280933820
River Tern,Sterna aurantia,Least Concern,Vulnerable,To be done,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,A2bcd+3bcd+4bcd,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.68,"0.75% (2.08, -0.58) pa, ","10y, 2015-2025",Uncertain,NA,,550,NA,NA,Schedule-I,No,"4,305,693",,NA,NA,,,NA,NA,NA,1,,,"20,000-70,000","9,330,000",,52%,Decreasing,Resident & Local Migrant,https://www.iucnredlist.org/species/22694537/180171504
Common Tern,Sterna hirundo,Least Concern,Least Concern,To be done,Moderate,Rapid Decline,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,11.03,"0.08% (1.18, -1.02) pa, ","10y, 2015-2025",Uncertain,NA,,"1,000",Appendix II,NA,Schedule-II,No,"3,550,360",,NA,NA,,,NA,NA,NA,3,,,"881,000-1,430,000,1,120,000","6,130,000",,< 1%,Unknown,Winter Migrant & Localized Summer Migrant,https://www.iucnredlist.org/species/22694623/166283664
Black-naped Tern,Sterna sumatrana,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,8.95,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"807,132",,NA,NA,507,"(Max 16,623)",NA,NA,NA,2,,,Unknown,"61,800,000",,2%,Unknown,Resident,https://www.iucnredlist.org/species/22694612/132561758
Roseate Tern,Sterna dougallii,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,8.86,NA,,Unknown,NA,,100,NA,NA,Schedule-II,No,"19,809","(Max 64,365)",NA,NA,6,"(Max 1,097)",NA,NA,NA,2,,,"4,900-6,200,5,500","7,000",,2%,Increasing,Resident & Summer Migrant,https://www.iucnredlist.org/species/22694601/166283090
Black-bellied Tern,Sterna acuticauda,Least Concern,Endangered,To be done,High,Insufficient Data,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,C2a(ii),NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.56,NA,,Uncertain,NA,,250,NA,NA,Schedule-I,No,"3,384,903",,NA,NA,"3,116","(Max 808,630)",NA,NA,NA,1,,,"800-1,600, 900-1,100","4,810,000",,71%,Decreasing,Resident & Local Migrant,https://www.iucnredlist.org/species/22694711/207933556
Sandwich Tern,Thalasseus sandvicensis,Least Concern,Least Concern,To be done,Moderate,Insufficient Data,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,10.29,NA,,Uncertain,NA,,,Appendix II,NA,Schedule-II,No,"1,011,173",,NA,NA,682,"(Max 236,010)",NA,NA,NA,1,,,"160,000-320,000,258,000","138,000",,< 1%,Increasing,Winter Migrant,https://www.iucnredlist.org/species/22694591/166282359
Lesser Crested Tern,Thalasseus bengalensis,Least Concern,Least Concern,To be done,Low,Stable,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,10.19,NA,,Uncertain,NA,,,Appendix II,NA,Schedule-II,No,"3,936,619",,NA,NA,,,NA,NA,NA,1,,,Unknown,"41,500,000",,9%,Stable,Resident & Local Migrant,https://www.iucnredlist.org/species/22694561/132560333
Great Crested Tern,Thalasseus bergii,Least Concern,Least Concern,To be done,Low,Insufficient Data,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,12.13,NA,,No,NA,,"10,000",Appendix II,NA,Schedule-II,No,"3,715,922",,NA,NA,,,NA,NA,NA,3,,,Unknown,"142,000,000",,< 1%,Stable,Resident,https://www.iucnredlist.org/species/22694571/132561035
Greater Flamingo,Phoenicopterus roseus,Least Concern,Least Concern,To be done,Moderate,Rapid Decline,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,14.46,NA,,Yes,NA,,,Appendix II,Appendix II,Schedule-II,No,"2,425,896",,NA,NA,,,NA,NA,NA,1,,,"71,800-265,000,144,000","79,900",,24%,Increasing,Within-India Migrant,https://www.iucnredlist.org/species/22697360/166321997
Lesser Flamingo,Phoeniconaias minor,Least Concern,Near Threatened,To be done,Moderate,Insufficient Data,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,A2c+3c+4c,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,13.4,NA,,Uncertain,NA,,"3,900",Appendix II,Appendix II,Schedule-II,No,"1,519,508",,NA,NA,,,NA,NA,NA,1,,,Unknown,"27,700,000",,3%,Decreasing,Within-India Migrant,https://www.iucnredlist.org/species/22697369/129912906
Little Grebe,Tachybaptus ruficollis,Least Concern,Least Concern,To be done,Moderate,Decline,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.34,NA,,Yes,NA,,"10,000",NA,NA,Schedule-II,No,"6,122,501",,NA,NA,,,NA,NA,NA,2,,,"384,000-2,350,000","170,000,000",,8%,Unknown,Resident,https://www.iucnredlist.org/species/22696545/281865439
Great Crested Grebe,Podiceps cristatus,Least Concern,Least Concern,To be done,Moderate,Rapid Decline,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.06,NA,,Yes,NA,,250,NA,NA,Schedule-II,No,"3,305,115",,NA,NA,,,NA,NA,NA,1,,,"772,000-1,060,000,903,000","6,920,000",,4%,Stable,Resident & Winter Migrant,https://www.iucnredlist.org/species/22696602/166312625
Black-necked Grebe,Podiceps nigricollis,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A2bce+4bce,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.24,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"2,057,075",,NA,NA,281,"(Max 356,708)",NA,NA,NA,1,,,"71,100-116,000,88,500","4,480,000",,< 1%,Decreasing,Winter Migrant & Localized Summer Migrant,https://www.iucnredlist.org/species/22696610/166313934
White-tailed Tropicbird,Phaethon lepturus,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,9.31,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,,,NA,NA,,,NA,NA,NA,2,,,"400,000","161,000,000",,1%,Decreasing,Resident,https://www.iucnredlist.org/species/22696645/163887639
Red-billed Tropicbird,Phaethon aethereus,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,10.94,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,,,NA,NA,,,NA,NA,NA,1,,,"16,000 - 30,000","86,300,000",,< 1%,Decreasing,Winter Migrant,https://www.iucnredlist.org/species/22696637/155736224
Wilson's Storm-Petrel,Oceanites oceanicus,Near Threatened,Least Concern,To be done,NA,NA,NA,NA,NT,NA,NA,NA,B1b(i)+B2b(i),NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,10.58,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"2,331","(Max 6,899)",-49.5%,2015-2023 to 2024-2025,105,(Max 874),NA,NA,NA,1,,,"8,000,000-20,000,000","22,000,000",,2%,Stable,Summer Migrant,https://www.iucnredlist.org/species/22698436/132646007
Swinhoe's Storm-Petrel,Hydrobates monorhis,Least Concern,Near Threatened,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A3ce,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,11.05,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,,,NA,NA,,,NA,NA,NA,1,,,"65,000 - 260,000","36,000,000",,16%,Stable,Winter Migrant,https://www.iucnredlist.org/species/22698520/132651372
Jouanin's Petrel,Bulweria fallax,Least Concern,Near Threatened,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D2,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,11.92,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,,,NA,NA,,,NA,NA,NA,1,,,"2,500-9,999","9,270,000",,10%,Unknown,Uncertain,https://www.iucnredlist.org/species/22698136/132628433
Flesh-footed Shearwater,Ardenna carneipes,Near Threatened,Near Threatened,To be done,NA,NA,NA,NA,NT,NA,NA,NA,B1b(i)+B2b(i),NA,NA,A2bcde+3bcde+4bcde,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,15.09,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,944,"(Max 4,540)",-19.5%,2013-2023 to 2024-2025,22,(Max 474),NA,NA,NA,1,,,"148,000","188,000,000",,2%,Decreasing,Summer Migrant,https://www.iucnredlist.org/species/22698188/132632581
Persian Shearwater,Puffinus persicus,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,11.63,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,,,NA,NA,,,NA,NA,NA,1,,,Unknown,"7,910,000",,< 1%,Decreasing,Winter Migrant,https://www.iucnredlist.org/species/22698267/155532631
Asian Openbill,Anastomus oscitans,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.84,"-0.57% (0.72, -1.87) pa, ","10y, 2015-2025",Uncertain,NA,,"3,000",NA,NA,Schedule-II,No,"6,162,529",,NA,NA,,,NA,NA,NA,1,,,Unknown,"11,760,000",,48%,Increasing,Resident,https://www.iucnredlist.org/species/22697661/264994329
Black Stork,Ciconia nigra,Least Concern,Least Concern,To be done,High,Rapid Decline,Decline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,12.75,"-3.39% (-1.9, -4.89) pa, ","10y, 2015-2025",Yes,NA,,100,Appendix II,Appendix II,Schedule-II,No,"4,220,245",,NA,NA,,,NA,NA,NA,1,,,"21,400-42,100","25,100,000",,3%,Unknown,Winter Migrant,https://www.iucnredlist.org/species/22697669/281840802
Asian Woolly-necked Stork,Ciconia episcopus,Least Concern,Near Threatened,To be done,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,A2cde+3cde+4cde,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,9.78,"-0.5% (0.86, -1.87) pa, ","10y, 2015-2025",Uncertain,NA,,250,NA,NA,Schedule-II,No,"4,449,320",,NA,NA,,,NA,NA,NA,1,,,"50,000-249,999","13,000,000",,59%,Decreasing,Resident,https://www.iucnredlist.org/species/22727255/175530482
White Stork,Ciconia ciconia,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,13.09,NA,,Unknown,NA,,,Appendix II,NA,Schedule-I,No,"1,442,796",,NA,NA,869,"(Max 390,353)",NA,NA,NA,2,,,"526,000-588,000","52,700,000",,2%,Increasing,Winter Migrant,https://www.iucnredlist.org/species/22697691/281839847
Black-necked Stork,Ephippiorhynchus asiaticus,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,10.33,"0.64% (2.6, -1.31) pa, ","10y, 2015-2025",Uncertain,NA,,10,NA,NA,Schedule-II,No,"2,165,208",,NA,NA,,,NA,NA,NA,1,,,Unknown,"29,370,000",,24%,Decreasing,Resident,https://www.iucnredlist.org/species/22697702/269382422
Lesser Adjutant,Leptoptilos javanicus,Least Concern,Near Threatened,To be done,Moderate,Decline,Stable,NA,NA,NA,NA,NA,NA,NA,NA,A2cd+4cd,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,11.91,"-1.05% (0.01, -2.11) pa, ","10y, 2015-2025",Uncertain,NA,,50,NA,NA,Schedule-I,No,"2,656,091",,NA,NA,,,NA,NA,NA,1,,,"5,000-15,000","13,000,000",,34%,Unknown,Resident & Local Migrant,https://www.iucnredlist.org/species/22697713/232128569
Greater Adjutant,Leptoptilos dubius,Least Concern,Near Threatened,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,D1,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,12.84,NA,,Unknown,NA,,7,NA,NA,Schedule-I,No,"75,736",,NA,NA,"1,529","(Max 21,680)",NA,NA,NA,1,,,"1,360-1,510","1,200,000",,43%,Increasing,Resident,https://www.iucnredlist.org/species/22697721/229597779
Painted Stork,Mycteria leucocephala,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,9.71,"-1.5% (0.2, -3.19) pa, ","10y, 2015-2025",Uncertain,NA,,250,NA,NA,Schedule-II,No,"3,569,963",,NA,NA,,,NA,NA,NA,1,,,"20,000-60,000","8,700,000",,64%,Increasing,Resident,https://www.iucnredlist.org/species/22697658/228020407
Lesser Frigatebird,Fregata ariel,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,13.1,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,,,NA,NA,,,NA,NA,NA,2,,,Unknown,"167,000,000",,2%,Decreasing,Uncertain,https://www.iucnredlist.org/species/22697738/132598822
Masked Booby,Sula dactylatra,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,11.74,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"17,928","(Max 27,073)",NA,NA,37,"(Max 1,508)",NA,NA,NA,2,,,Unknown,"211,000,000",,< 1%,Decreasing,Winter Migrant,https://www.iucnredlist.org/species/22736173/132666363
Oriental Darter,Anhinga melanogaster,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.15,NA,,Uncertain,NA,,40,NA,NA,Schedule-II,No,"5,598,620",,NA,NA,,,NA,NA,NA,1,,,Unknown,"17,700,000",,43%,Increasing,Resident,https://www.iucnredlist.org/species/22696712/218634665
Little Cormorant,Microcarbo niger,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.82,"-0.23% (0.41, -0.88) pa, ","10y, 2015-2025",Uncertain,NA,,"2,500",NA,NA,Schedule-II,No,"5,961,252",,NA,NA,,,NA,NA,NA,1,,,"183,000-233,000","13,000,000",,56%,Unknown,Resident,https://www.iucnredlist.org/species/22696740/264972830
Great Cormorant,Phalacrocorax carbo,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,11.1,"0.31% (1.32, -0.7) pa, ","10y, 2015-2025",Uncertain,NA,,"1,000",NA,NA,Schedule-II,No,"4,757,805",,NA,NA,,,NA,NA,NA,1,,,"828,000-1,030,000,926,000","1,160,000",,9%,Increasing,Resident & Winter Migrant,https://www.iucnredlist.org/species/22696792/166315940
Indian Cormorant,Phalacrocorax fuscicollis,Least Concern,Least Concern,To be done,Low,Rapid Increase,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.76,"-0.77% (1.21, -2.76) pa, ","10y, 2015-2025",Uncertain,NA,,300,NA,NA,Schedule-II,No,"4,193,611",,NA,NA,,,NA,NA,NA,1,,,Unknown,"8,320,000",,52%,Unknown,Resident,https://www.iucnredlist.org/species/22696779/132592646
Glossy Ibis,Plegadis falcinellus,Least Concern,Least Concern,To be done,Low,Rapid Increase,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,8.56,NA,,No,NA,,,Appendix II,NA,Schedule-II,No,"6,763,687",,NA,NA,,,NA,NA,NA,1,,,"119,000-860,000","199,000,000",,8%,Stable,Resident,https://www.iucnredlist.org/species/22697422/281858334
Black-headed Ibis,Threskiornis melanocephalus,Least Concern,Least Concern,To be done,Low,Increase,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,10.94,NA,,No,NA,,250,NA,NA,Schedule-II,No,"4,241,129",,NA,NA,,,NA,NA,NA,1,,,"250,000-500,000","11,210,000",,67%,Increasing,Resident,https://www.iucnredlist.org/species/22697516/252063963
Red-naped Ibis,Pseudibis papillosa,Least Concern,Least Concern,To be done,Low,Rapid Increase,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,9.02,NA,,No,NA,,100,NA,NA,Schedule-II,No,"3,598,831",,NA,NA,,,NA,NA,NA,1,,,Unknown,"3,320,000",,90%,Unknown,Resident,https://www.iucnredlist.org/species/22697528/280944786
Eurasian Spoonbill,Platalea leucorodia,Least Concern,Least Concern,To be done,High,Decline,Decline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,9.72,"-3.62% (-1.87, -5.37) pa, ","10y, 2015-2025",Yes,NA,,,Appendix II,Appendix II,Schedule-I,No,"3,916,982",,NA,NA,,,NA,NA,NA,1,,,"52,800-63,900","60,400,000",,21%,Increasing,Resident & Local Migrant,https://www.iucnredlist.org/species/22697555/281857155
Great Bittern,Botaurus stellaris,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.91,NA,,Unknown,NA,,,Appendix II,NA,Schedule-II,No,"1,563,849",,NA,NA,118,"(Max 512,040)",NA,NA,NA,1,,,"184,000-310,000","86,200,000",,8%,Stable,Winter Migrant,https://www.iucnredlist.org/species/22697346/281837651
Black Bittern,Botaurus flavicollis,Least Concern,Least Concern,To be done,Low,Rapid Increase,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.36,NA,,Uncertain,NA,,"1,000",NA,NA,Schedule-II,No,"6,355,552",,NA,NA,,,NA,NA,NA,1,,,"30,000-214,000","41,100,000",,5%,Unknown,Resident & Local Migrant,https://www.iucnredlist.org/species/22697334/265013707
Cinnamon Bittern,Botaurus cinnamomeus,Least Concern,Least Concern,To be done,Moderate,Rapid Decline,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.57,"-0.6% (0.42, -1.62) pa, ","10y, 2015-2025",Uncertain,NA,,"10,000",NA,NA,Schedule-I,No,"6,474,140",,NA,NA,,,NA,NA,NA,1,,,"83,300-1,330,000","25,400,000",,11%,Unknown,Resident & Local Migrant,https://www.iucnredlist.org/species/22697323/265014467
Little Bittern,Botaurus minutus,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,,Unknown,NA,,250,Appendix II,NA,Schedule-II,No,"270,735",,NA,NA,220,"(Max 97,665)",NA,NA,NA,1,,,"171,000-301,000,230,000","5,130,000",,< 1%,Stable,Summer Migrant & Localized Winter Migrant,https://www.iucnredlist.org/species/22735766/166447041
Yellow Bittern,Botaurus sinensis,Least Concern,Least Concern,To be done,Moderate,Stable,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.12,NA,,Yes,NA,,,NA,NA,Schedule-II,No,"6,445,593",,NA,NA,,,NA,NA,NA,1,,,"66,700-667,000","36,000,000",,5%,Unknown,Resident & Local Migrant,https://www.iucnredlist.org/species/22697303/264977012
Black-crowned Night Heron,Nycticorax nycticorax,Least Concern,Least Concern,To be done,Low,Stable,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.97,"0.82% (1.82, -0.19) pa, ","10y, 2015-2025",Uncertain,NA,,"1,200",NA,NA,Schedule-II,No,"7,176,419",,NA,NA,,,NA,NA,NA,1,,,"440,000-1,990,000","290,000,000",,6%,Unknown,Resident,https://www.iucnredlist.org/species/22697211/280905252
