"eBird.English.Name.2025","eBird.Scientific.Name.2025","eBird.Code","Order","Family","SoIB.Past.Priority.Status","SoIB.Past.Long.Term.Status","SoIB.Past.Current.Status","SoIB.Past.Range.Status","Breeding.Activity.Period","Non.Breeding.Activity.Period","Diet.Guild","India.Endemic","Subcontinent.Endemic","Himalayas.Endemic","Endemic.Region","Habitat.Specialization","Migratory.Status.Within.India","Essential","Discard","Restricted.Islands","India.Checklist.Common.Name","India.Checklist.Scientific.Name","BLI.Common.Name","BLI.Scientific.Name","IUCN.Category","WPA.Schedule","CITES.Appendix","CMS.Appendix","Onepercent.Estimates","Avilist.English.Name","Avilist.Scientific.Name","Avibase.ID","Selected.NRL","Generation.Length","No.of.Subspecies","Percent.of.Global.Range","India.Checklist.Sortorder","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","proj2026.lci","proj2026.mean","proj2026.rci","proj2027.lci","proj2027.mean","proj2027.rci","proj2028.lci","proj2028.mean","proj2028.rci","proj2029.lci","proj2029.mean","proj2029.rci","proj2030.lci","proj2030.mean","proj2030.rci","proj2031.lci","proj2031.mean","proj2031.rci","proj2032.lci","proj2032.mean","proj2032.rci","proj2033.lci","proj2033.mean","proj2033.rci","proj2034.lci","proj2034.mean","proj2034.rci","rangemean","rangelci","rangerci"
"Long-tailed Minivet","Pericrocotus ethologus","lotmin1","Passeriformes","Campephagidae (Cuckooshrikes)","Moderate","Uncertain","Moderate Decline","Large","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest & Plantation","Resident & Within-India Migrant",NA,NA,NA,"Long-tailed Minivet","Pericrocotus ethologus","Long-tailed Minivet","Pericrocotus ethologus","Least Concern","Schedule-II","","",NA,"Long-tailed Minivet","Pericrocotus ethologus","avibase-8F319AD8",1,2.96,4,0.275262062,634,"X","X","X",377,0.161803713527851,0.385278514588859,0.503978779840849,11.1220159151194,0.594798301789723,47.4203544640899,53.4672235469432,60.8480974356351,-2.71457302634385,-1.81246312097685,-0.910353215609839,59.9030032834219,65.1795201604607,71.0176267240613,57.5979647124949,63.421978430692,69.873972583982,55.3547963109645,61.665009067837,68.7662380650665,53.1853421327272,59.9682545784997,67.7085112257243,51.087006514802,58.3116706362404,66.6570402068562,49.0866037054053,56.7042191035195,65.6238779997405,47.1449434359731,55.1517804520244,64.653566471262,45.3164959020656,53.6576727685328,63.6138467159339,NA,NA,NA,248924,248382,249466
"Orange Minivet","Pericrocotus flammeus","scamin3","Passeriformes","Campephagidae (Cuckooshrikes)","Low","Uncertain","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","Yes","No","Indian Subcontinent","Forest","Resident",NA,NA,NA,"Orange Minivet","Pericrocotus flammeus","Not at species rank","Pericrocotus flammeus flammeus","Not recognized","Schedule-II","","",NA,"Not at species rank","Pericrocotus flammeus flammeus","avibase-1B2C7B12",1,3.4,1,NA,635,"X","X","X",318,0.226415094339623,0.635220125786163,0.751572327044025,17.5440251572327,0.674576353693722,44.3149448973965,50.8268265519472,57.2541278812356,-1.88594083726307,-1.26306054430375,-0.640180251344439,72.6737588093505,78.0694701490488,83.8501879580231,70.4807591539575,76.4430580764782,82.8558372089766,68.3300302445416,74.8353685114861,81.9063515758158,66.2500922428654,73.2625330258895,81.0124421614118,64.1881348591715,71.7255437926278,80.1192707527386,62.2115896820991,70.2195561979823,79.2413630730475,60.2920485105213,68.7551920461242,78.3771175706279,58.4300222873331,67.3026266411312,77.5475520295879,NA,NA,NA,186250,186050,186450
"Scarlet Minivet","Pericrocotus speciosus","scamin1","Passeriformes","Campephagidae (Cuckooshrikes)","Low","Uncertain","Uncertain","Large","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident",NA,NA,NA,"Scarlet Minivet","Pericrocotus speciosus","Scarlet Minivet","Pericrocotus flammeus","Least Concern","Schedule-II","","",NA,"Not at species rank","Pericrocotus flammeus speciosus","avibase-BE3E7AFD",1,3.4,4,0.212469738,636,"X","X","X",524,0.0896946564885496,0.363072519083969,0.540076335877863,9.42748091603053,0.516299800450322,80.7429116203925,92.8379775144707,110.67025080799,-1.94378585729063,-0.927366312668483,0.0890532319536655,81.2738871109839,87.0655242492444,93.2939397322592,79.7681741654445,86.2164678417794,93.2144501913899,78.2871473326029,85.4125308899714,93.1892465430186,76.781294200648,84.6161540539507,93.1867294252607,75.3494283319431,83.7566626168755,93.194680305538,73.8845965277905,82.9492427692776,93.1785928964907,72.4679138183813,82.1505220373755,93.2129181615921,71.0769815351846,81.3456497806832,93.256137282318,NA,NA,NA,424064,423673,424455
"Ashy Minivet","Pericrocotus divaricatus","ashmin1","Passeriformes","Campephagidae (Cuckooshrikes)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest & Plantation","Winter Migrant",NA,NA,NA,"Ashy Minivet","Pericrocotus divaricatus","Ashy Minivet","Pericrocotus divaricatus","Least Concern","Schedule-II","","",NA,"Ashy Minivet","Pericrocotus divaricatus","avibase-622DB161",1,3.29,1,0.048914987,637,"","","",14,0.142857142857143,0.258928571428571,0.357142857142857,14.5,4.0144393228598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown-rumped Minivet","Pericrocotus cantonensis","brrmin1","Passeriformes","Campephagidae (Cuckooshrikes)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Winter Migrant",NA,NA,NA,"Brown-rumped Minivet","Pericrocotus cantonensis","Brown-rumped Minivet","Pericrocotus cantonensis","Least Concern","Schedule-II","","",NA,"Swinhoe's Minivet","Pericrocotus cantonensis","avibase-150830DD",1,2.93,1,NA,638,"","","",7,NA,0.214285714285714,0.142857142857143,11.4285714285714,4.42128186540208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rosy Minivet","Pericrocotus roseus","rosmin1","Passeriformes","Campephagidae (Cuckooshrikes)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident & Local Migrant",NA,NA,NA,"Rosy Minivet","Pericrocotus roseus","Rosy Minivet","Pericrocotus roseus","Least Concern","Schedule-II","","",NA,"Rosy Minivet","Pericrocotus roseus","avibase-C6FB6CF9",1,2.95,1,0.280886546,639,"","","X",123,0.0650406504065041,0.265243902439024,0.51219512195122,12.0650406504065,1.11926389526616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67097,66614,67580
"Indian Cuckooshrike","Coracina macei","larcuc1","Passeriformes","Campephagidae (Cuckooshrikes)","High","Strong Decline","Moderate Decline","Large","Diurnal","Diurnal","Invertebrate","No","Yes","No","Indian Subcontinent","Forest & Plantation","Resident",NA,NA,NA,"Indian Cuckooshrike","Coracina macei","Indian Cuckooshrike","Coracina macei","Least Concern","Schedule-II","","",NA,"Indian Cuckooshrike","Coracina macei","avibase-F6D6E5DB",1,4.36,1,0.970706116,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1273966,1273407,1274525
"Oriental Cuckooshrike","Coracina javensis","larcuc11","Passeriformes","Campephagidae (Cuckooshrikes)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest & Plantation","Resident",NA,NA,NA,"Oriental Cuckooshrike","Coracina javensis","Large Cuckooshrike","Coracina javensis","Least Concern","Schedule-II","","",NA,"Oriental Cuckooshrike","Coracina javensis","avibase-7B64BB7F",1,4.62,2,0.098986943,641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andaman Cuckooshrike","Coracina dobsoni","andcus1","Passeriformes","Campephagidae (Cuckooshrikes)","Moderate","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Invertebrate","Yes","Yes","No","Andaman Islands","Forest","Resident",NA,NA,1,"Andaman Cuckooshrike","Coracina dobsoni","Andaman Cuckooshrike","Coracina dobsoni","Near Threatened","Schedule-II","","",NA,"Andaman Cuckooshrike","Coracina dobsoni","avibase-DF546828",1,5.25,1,1,642,"","","X",16,NA,0.4296875,0.8125,7.8125,2.12623679694117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5221,5209,5233
"Pied Triller","Lalage nigra","pietri1","Passeriformes","Campephagidae (Cuckooshrikes)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest & Plantation","Resident",NA,NA,1,"Pied Triller","Lalage nigra","Pied Triller","Lalage nigra","Least Concern","Schedule-II","","",NA,"Pied Triller","Lalage nigra","avibase-84B32303",1,3.6,1,0.001265152,643,"","","",4,NA,0.5,0.75,5.75,4.26234286122863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black-winged Cuckooshrike","Lalage melaschistos","bkwcus1","Passeriformes","Campephagidae (Cuckooshrikes)","Low","Uncertain","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest & Plantation","Resident & Within-India Migrant",NA,NA,NA,"Black-winged Cuckooshrike","Lalage melaschistos","Black-winged Cuckooshrike","Lalage melaschistos","Least Concern","Schedule-II","","",NA,"Black-winged Cuckooshrike","Lalage melaschistos","avibase-FAE71B8F",1,3.62,1,0.230367017,644,"X","X","X",262,0.0916030534351145,0.317270992366412,0.484732824427481,11.8435114503817,0.753283428945335,53.4877859086171,65.634005412382,81.2280736560193,-2.33151983104902,-0.910766877198786,0.50998607665145,76.1070141524974,86.0551276418285,97.025387194831,73.8522808153885,84.9490449802733,97.4485393082428,71.6309610998412,83.8574815522828,97.9968615900704,69.5641629062474,82.8021107694643,98.4144957115713,67.4785535893837,81.74411924883,98.8908173124907,65.4806533335563,80.7325963827662,99.3168774568736,63.5056739598884,79.7183099335507,99.9000172785016,61.6028310413687,78.6771244054511,100.467197319603,NA,NA,NA,219270,218631,219909
"Black-headed Cuckooshrike","Lalage melanoptera","bkhcus1","Passeriformes","Campephagidae (Cuckooshrikes)","Moderate","Moderate Decline","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","Yes","No","Indian Subcontinent","Forest & Plantation","Within-India Migrant",NA,NA,NA,"Black-headed Cuckooshrike","Lalage melanoptera","Black-headed Cuckooshrike","Lalage melanoptera","Least Concern","Schedule-II","","",NA,"Black-headed Cuckooshrike","Lalage melanoptera","avibase-58BC7F5D",1,3.39,2,0.874953248,645,"X","X","X",938,0.107675906183369,0.369269722814499,0.498933901918977,14.544776119403,0.421385424344355,41.1508034084347,45.521881119617,50.3682838267012,-2.00719952483429,-1.24211581354717,-0.477032102260052,70.2214859334361,77.8196507555256,86.2230653772639,67.6392178186537,75.9650217208133,85.319874196147,65.12739384881,74.1582667101135,84.4490081081077,62.6872766655469,72.3918512812343,83.639415005943,60.3121203432799,70.6526808515016,82.8309822540355,58.0546981200647,68.9861362651503,82.0346973050007,55.8238033080406,67.3430231475892,81.2224048561491,53.6955129292836,65.7375755973771,80.4410473197991,NA,NA,NA,674110,673446,674774
"Black-headed Shrike-Babbler","Pteruthius rufiventer","bhsbab1","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Moderate","Data Deficient","Data Deficient","Moderate","Diurnal","Diurnal","Invertebrate","No","No","Yes","Eastern Himalayas","Forest","Resident & Altitudinal Migrant",NA,NA,NA,"Black-headed Shrike-Babbler","Pteruthius rufiventer","Black-headed Shrike-babbler","Pteruthius rufiventer","Least Concern","Schedule-II","","",NA,"Black-headed Shrike-babbler","Pteruthius rufiventer","avibase-484E9B46",1,3.71,1,0.342689609,646,"","","X",35,0.171428571428571,0.321428571428571,0.571428571428571,11.5714285714286,2.29008707771766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37959,37386,38532
"White-browed Shrike-Babbler","Pteruthius aeralatus","whbshb1","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Moderate","Data Deficient","Data Deficient","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident & Altitudinal Migrant",NA,NA,NA,"White-browed Shrike-Babbler","Pteruthius aeralatus","White-browed Shrike-babbler","Pteruthius aeralatus","Least Concern","Schedule-II","","",NA,"White-browed Shrike-babbler","Pteruthius aeralatus","avibase-4C6B41B3",1,3.53,2,0.092393022,647,"X","X","X",151,0.105960264900662,0.350993377483444,0.52317880794702,11.6291390728477,0.972593393418916,72.1281900925239,93.2294723623446,125.414089744108,2.11657759961488,4.37519681882303,6.63381603803118,133.491424305907,166.691429163064,207.241970672304,137.352263454296,176.599256613082,226.039749321862,141.263457185867,187.195011892534,246.747814790381,144.972855413982,198.306008069293,269.765330055422,148.965355140988,210.276958109502,294.866058472253,152.930923550569,222.664547273505,322.279325459663,157.056382655286,235.847204930969,352.310106761127,161.350845462322,249.854827851816,385.283954289508,NA,NA,NA,132891,132515,133267
"Green Shrike-Babbler","Pteruthius xanthochlorus","grsbab1","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Low","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident",NA,NA,NA,"Green Shrike-Babbler","Pteruthius xanthochlorus","Green Shrike-babbler","Pteruthius xanthochlorus","Least Concern","Schedule-II","","",NA,"Green Shrike-babbler","Pteruthius xanthochlorus","avibase-00C6FC90",1,2.84,3,0.211921644,648,"","X","X",66,0.121212121212121,0.339015151515151,0.454545454545455,12.7575757575758,1.63414304998226,NA,NA,NA,-7.19913281284652,-2.81221218049184,1.57470845186284,91.6270803212361,112.652853570138,139.15327027283,87.2915178199492,110.578146973983,140.281505474335,83.1118589699614,108.344316472797,141.645603301631,79.1603341118191,106.242316037847,142.776480051057,75.4852757135574,104.092240677245,144.198380283133,71.927558298038,102.146222619584,145.531300757098,68.5766449511302,100.037667584592,146.916484350436,65.2132950839811,98.0485448763727,148.438524627563,NA,NA,NA,56209,55731,56687
"Black-eared Shrike-Babbler","Pteruthius melanotis","besbab1","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident & Altitudinal Migrant",NA,NA,NA,"Black-eared Shrike-Babbler","Pteruthius melanotis","Black-eared Shrike-babbler","Pteruthius melanotis","Least Concern","Schedule-II","","",NA,"Black-eared Shrike-babbler","Pteruthius melanotis","avibase-17DB8BA0",1,2.56,1,0.169182201,649,"","X","X",62,0.17741935483871,0.334677419354839,0.5,9.75806451612903,1.57539699861536,NA,NA,NA,-3.30220139518982,-0.626967255562219,2.04826688406539,78.1395748529358,92.3780217594309,108.922897214186,75.8701934302875,91.6916687184152,110.914325745429,73.7715602760648,91.1864065901888,112.973455761152,71.7273570203725,90.53726694707,114.955159991723,69.6901262250684,90.0525184759693,117.144696142279,67.6986282299083,89.6251359458255,119.176867931153,65.7264009615121,89.1642902968159,121.462271901375,63.8190041764287,88.6159833544044,123.925285057211,NA,NA,NA,54449,53970,54928
"Clicking Shrike-Babbler","Pteruthius intermedius","clishb1","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Uncertain",NA,1,NA,"Clicking Shrike-Babbler","Pteruthius intermedius","Chestnut-fronted Shrike-babbler","Pteruthius aenobarbus","Not recognized","Schedule-II","","",NA,"Clicking Shrike-babbler","Pteruthius intermedius","avibase-0037A14F",1,3.72,1,0.016389669,650,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White-bellied Erpornis","Erpornis zantholeuca","whbyuh1","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Low","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident",NA,NA,NA,"White-bellied Erpornis","Erpornis zantholeuca","White-bellied Erpornis","Erpornis zantholeuca","Least Concern","Schedule-II","","",NA,"White-bellied Erpornis","Erpornis zantholeuca","avibase-EECEDB6F",1,2.89,1,0.048315977,651,"","X","X",128,0.1484375,0.2900390625,0.453125,10.4140625,1.18250236406214,NA,NA,NA,1.75929036253593,3.68715671736791,5.61502307219989,119.674561782271,133.957506958823,150.139214422345,121.863421375044,138.412561507512,157.481325506104,124.013367612024,143.074208145018,165.620288638137,126.203805986886,147.895700481864,173.772775206281,128.442200615638,152.82324600231,182.65437120517,130.637203961125,157.991804464248,191.815603525456,132.908535598122,163.447521436162,201.687575207433,135.169678698336,169.095165275005,211.706580307207,NA,NA,NA,129421,128949,129893
"Mangrove Whistler","Pachycephala cinerea","manwhi1","Passeriformes","Pachycephalidae (Whistlers and Allies)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Wetland","Resident",NA,NA,NA,"Mangrove Whistler","Pachycephala cinerea","Mangrove Whistler","Pachycephala cinerea","Least Concern","Schedule-II","","",NA,"Mangrove Whistler","Pachycephala cinerea","avibase-FDD9B522",1,4.66,1,0.028942012,652,"","","",30,0.1,0.3625,0.566666666666667,6.83333333333333,1.52425669341911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eurasian Golden Oriole","Oriolus oriolus","eugori2","Passeriformes","Oriolidae (Old World Orioles)",NA,NA,NA,NA,"Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Non-specialized","Uncertain",NA,1,NA,"Eurasian Golden Oriole","Oriolus oriolus","Eurasian Golden Oriole","Oriolus oriolus","Least Concern","Schedule-II","","Appendix II",NA,"Eurasian Golden Oriole","Oriolus oriolus","avibase-92A772BB",NA,3.45,1,NA,653,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indian Golden Oriole","Oriolus kundoo","ingori1","Passeriformes","Oriolidae (Old World Orioles)","Low","Stable","Uncertain","Large","Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Non-specialized","Within-India Migrant",1,NA,NA,"Indian Golden Oriole","Oriolus kundoo","Indian Golden Oriole","Oriolus kundoo","Least Concern","Schedule-II","","Appendix II",NA,"Indian Golden Oriole","Oriolus kundoo","avibase-4C263A0E",1,3.73,1,0.643514853,654,"X","X","X",2304,0.0998263888888889,0.408582899305556,0.571180555555556,10.8090277777778,0.268683822433513,80.8022662160014,85.7973821985431,91.1220259117318,-2.65150721820096,-1.60797246029784,-0.564437702394724,80.0583396552913,86.1259184855121,92.5969821556737,77.9461682372125,84.6739435734822,91.9284637876083,75.8922361368981,83.2322674224585,91.2828527633757,73.8797238167994,81.8282603632854,90.6386965696576,71.8996720553044,80.4613428915936,90.0184508905273,69.9673998609336,79.0909872784269,89.3847085234817,68.0805488348464,77.7512869249493,88.7966645062943,66.2420220146936,76.4481079680722,88.2279806880664,NA,NA,NA,1432920,1432487,1433353
"Black-naped Oriole","Oriolus chinensis","blnori1","Passeriformes","Oriolidae (Old World Orioles)","Low","Uncertain","Uncertain","Moderate","Diurnal","Diurnal","Fruit & Nect","No","No","No","Non-endemic","Forest & Plantation","Winter Migrant",NA,NA,NA,"Black-naped Oriole","Oriolus chinensis","Black-naped Oriole","Oriolus chinensis","Least Concern","Schedule-II","","Appendix II",NA,"Black-naped Oriole","Oriolus chinensis","avibase-CC216A71",1,4.02,3,0.096207672,655,"X","X","X",456,0.0635964912280702,0.379934210526316,0.504385964912281,15.4473684210526,0.6720172358516,74.4123933472609,87.9278010253349,104.533098012941,-6.28541320391913,-4.64279951291914,-3.00018582191915,54.647761832924,60.3722348304279,66.6987429715442,51.7059210939013,57.870815351152,64.8217891363081,48.9101444088606,55.4742033791102,62.9909026803038,46.2698555083975,53.2016649516819,61.238657706001,43.7340382768551,51.0105905532253,59.5455881177668,41.3318541785746,48.9097539731448,57.9397879075645,39.0970684984761,46.8970383650026,56.3466052805686,36.9670836510591,44.9704300983303,54.8232851522127,NA,NA,NA,438807,438239,439375
"Slender-billed Oriole","Oriolus tenuirostris","slbori1","Passeriformes","Oriolidae (Old World Orioles)",NA,NA,NA,NA,"Diurnal","Diurnal","Fruit & Nect","No","No","No","Non-endemic","Forest & Plantation","Summer Migrant & Localized Winter Migrant",1,NA,NA,"Slender-billed Oriole","Oriolus tenuirostris","Slender-billed Oriole","Oriolus tenuirostris","Least Concern","Schedule-II","","Appendix II",NA,"Slender-billed Oriole","Oriolus tenuirostris","avibase-4ABC6B29",1,3.75,1,0.133816193,656,"","","X",12,NA,0.261904761904762,0.583333333333333,12,2.5532486733334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2676,2676,2676
"Black-hooded Oriole","Oriolus xanthornus","blhori1","Passeriformes","Oriolidae (Old World Orioles)","Low","Stable","Uncertain","Large","Diurnal","Diurnal","Fruit & Nect","No","No","No","Non-endemic","Forest & Plantation","Resident & Local Migrant",NA,NA,NA,"Black-hooded Oriole","Oriolus xanthornus","Black-hooded Oriole","Oriolus xanthornus","Least Concern","Schedule-II","","Appendix II",NA,"Black-hooded Oriole","Oriolus xanthornus","avibase-E931F073",1,3.65,3,0.580869396,657,"X","X","X",1596,0.0996240601503759,0.421522556390977,0.603383458646617,10.2725563909774,0.343810405922394,88.5556165531857,94.5937307852625,100.945020755072,-0.977555902889706,-0.529190531893585,-0.0808251608974642,90.303553721787,93.1328205978187,96.0750447800829,89.4394615348502,92.6205167217731,95.9286369954111,88.5839387299686,92.1130405935906,95.7899067810329,87.7300068324146,91.6056915873293,95.6431097438935,86.8768265898947,91.0989195048605,95.5450035573769,86.0111455468393,90.594948322059,95.4398796948346,85.1622132215413,90.0992454805142,95.352633073861,84.328872814277,89.610154541962,95.2558520763649,NA,NA,NA,1026885,1026569,1027201
"Maroon Oriole","Oriolus traillii","marori2","Passeriformes","Oriolidae (Old World Orioles)","Low","Uncertain","Uncertain","Moderate","Diurnal","Diurnal","Fruit & Nect","No","No","No","Non-endemic","Forest","Resident & Local Migrant",NA,NA,NA,"Maroon Oriole","Oriolus traillii","Maroon Oriole","Oriolus traillii","Least Concern","Schedule-II","","",NA,"Maroon Oriole","Oriolus traillii","avibase-11093B09",1,3.77,1,0.146573532,658,"X","X","X",263,0.0950570342205323,0.347433460076046,0.517110266159696,10.638783269962,0.755452579971386,92.0970442616763,113.434188517313,142.888105411971,-2.4932393869571,-0.331472897440977,1.83029359207514,84.4054134703025,94.7014010275736,105.952977588114,82.8700927729839,94.4816329134357,107.226122308102,81.3987725465706,94.2575422852586,108.610245289659,79.9551106274694,94.0440140900789,110.11857234297,78.4262175999703,93.7493404818209,111.618951474185,76.9435026997205,93.4945308049547,113.190983823404,75.5137096403609,93.1928696860861,114.77645981496,74.0801278569286,92.963653770807,116.320305391792,NA,NA,NA,159792,159364,160220
"Ashy Woodswallow","Artamus fuscus","ashwoo2","Passeriformes","Artamidae (Woodswallows, Bellmagpies, and Allies)","Moderate","Stable","Strong Decline","Large","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Non-specialized","Resident",NA,NA,NA,"Ashy Woodswallow","Artamus fuscus","Ashy Woodswallow","Artamus fuscus","Least Concern","Schedule-II","","",NA,"Ashy Woodswallow","Artamus fuscus","avibase-D10DF10F",1,4.02,1,0.445007919,659,"X","X","X",1033,0.117134559535334,0.428848015488867,0.563407550822846,13.1597289448209,0.422229551323606,59.6237362752451,65.0932413169637,71.8948962011316,-2.00133704621941,-1.05197620202945,-0.102615357839502,68.5568601884684,74.9791917586391,81.9785310323106,66.7430535729467,73.8872887094688,81.773780904827,64.9726963614999,72.805267022409,81.5712698957782,63.2268666919159,71.7388717264966,81.379278130031,61.5175719933632,70.6686345519546,81.1746622848061,59.8521646832165,69.6277101395282,80.9810878316716,58.2411981361051,68.620057977446,80.7828098246002,56.6643189731138,67.5995875516833,80.6174466881621,NA,NA,NA,700766,700766,700766
"White-breasted Woodswallow","Artamus leucorynchus","whbwoo4","Passeriformes","Artamidae (Woodswallows, Bellmagpies, and Allies)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Non-specialized","Resident",NA,NA,1,"White-breasted Woodswallow","Artamus leucorynchus","White-breasted Woodswallow","Artamus leucoryn","Least Concern","Schedule-II","","",NA,"White-breasted Woodswallow","Artamus leucorynchus","avibase-05793C3E",1,3.81,1,0.000538,660,"","","",22,NA,0.380681818181818,0.545454545454545,6.54545454545455,1.91592312802651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malabar Woodshrike","Tephrodornis sylvicola","malwoo1","Passeriformes","Vangidae (Vangas, Helmetshrikes, and Allies)","Moderate","Strong Decline","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","Yes","Yes","No","Western Ghats","Forest","Resident",NA,NA,NA,"Malabar Woodshrike","Tephrodornis sylvicola","Malabar Woodshrike","Tephrodornis sylvicola","Least Concern","Schedule-II","","",NA,"Malabar Woodshrike","Tephrodornis sylvicola","avibase-AC47E292",1,3.48,1,1,661,"X","X","X",144,0.263888888888889,0.602430555555556,0.6875,20.7291666666667,0.763471320143859,30.395525898757,35.9917301956625,43.1485024889421,-1.50024378541246,-0.840625279552337,-0.181006773692217,69.4239943987363,76.8008073920037,85.2183688513289,67.1020133936492,75.2921129937478,84.7333220468036,64.8717010726779,73.8034008286153,84.257248006663,62.68661719084,72.3454785969702,83.7983004817228,60.5496295580741,70.9449014946345,83.3945181097202,58.5033065811939,69.6121199287921,82.95261037976,56.5198039569575,68.2815994562279,82.5329585833366,54.612447716033,66.9165473660045,82.1461265997102,NA,NA,NA,87965,87846,88084
