"eBird.English.Name.2024","SoIB.Major.Update.Long.Term.Status","SoIB.Major.Update.Current.Status","SoIB.Major.Update.Range.Status","SoIB.Major.Update.Priority.Status"
"Bengal Bushlark","Trend Inconclusive","Trend Inconclusive","Large","Low"
"Bengal Florican","Insufficient Data","Insufficient Data","Very Restricted","High"
"Besra","Insufficient Data","Insufficient Data","Moderate","Low"
"Bhutan Laughingthrush","Insufficient Data","Insufficient Data","Very Restricted","High"
"Bimaculated Lark",NA,NA,NA,NA
"Black Baza","Trend Inconclusive","Trend Inconclusive","Restricted","Moderate"
"Black Bittern","Trend Inconclusive","Trend Inconclusive","Large","Low"
"Black Bulbul","Increase","Stable","Large","Low"
"Black Drongo","Trend Inconclusive","Stable","Very Large","Low"
"Black Eagle","Decline","Stable","Large","Low"
"Black Francolin","Trend Inconclusive","Trend Inconclusive","Large","Low"
"Black Kite","Stable","Trend Inconclusive","Very Large","Low"
"Black Noddy",NA,NA,NA,NA
"Black Redstart","Decline","Trend Inconclusive","Very Large","Moderate"
"Black Stork","Rapid Decline","Trend Inconclusive","Large","Moderate"
"Black Tern",NA,NA,NA,NA
"Black-and-orange Flycatcher","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Black-and-yellow Grosbeak","Insufficient Data","Trend Inconclusive","Moderate","Low"
"Black-backed Dwarf-Kingfisher","Insufficient Data","Trend Inconclusive","Restricted","Moderate"
"Black-backed Forktail","Trend Inconclusive","Trend Inconclusive","Moderate","Low"
"Black-bellied Plover","Rapid Decline","Decline","Moderate","High"
"Black-bellied Sandgrouse",NA,NA,NA,NA
"Black-bellied Storm-Petrel",NA,NA,NA,NA
"Black-bellied Tern","Insufficient Data","Trend Inconclusive","Moderate","High"
"Black-breasted Parrotbill","Insufficient Data","Trend Inconclusive","Restricted","High"
"Black-breasted Thrush","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Black-breasted Weaver","Stable","Stable","Large","Low"
"Black-browed Reed Warbler",NA,NA,NA,NA
"Black-browed Tit",NA,NA,NA,NA
"Black-capped Kingfisher","Rapid Decline","Rapid Decline","Moderate","High"
"Black-chinned Babbler","Trend Inconclusive","Trend Inconclusive","Moderate","Low"
"Black-chinned Yuhina","Insufficient Data","Trend Inconclusive","Moderate","Low"
"Black-crested Bulbul","Stable","Stable","Moderate","Low"
"Black-crowned Night Heron","Stable","Stable","Very Large","Low"
"Black-crowned Scimitar-Babbler","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Black-crowned Sparrow-Lark",NA,NA,NA,NA
"Black-eared Shrike-Babbler","Insufficient Data","Trend Inconclusive","Moderate","Low"
"Black-faced Bunting","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Black-faced Laughingthrush","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Black-faced Warbler","Insufficient Data","Trend Inconclusive","Moderate","Low"
"Black-headed Bulbul",NA,NA,NA,NA
"Black-headed Bunting","Insufficient Data","Trend Inconclusive","Large","Low"
"Black-headed Cuckooshrike","Decline","Stable","Large","Low"
"Black-headed Greenfinch",NA,NA,NA,NA
"Black-headed Gull","Rapid Decline","Decline","Large","High"
"Black-headed Ibis","Rapid Increase","Stable","Very Large","Low"
"Black-headed Jay","Decline","Stable","Moderate","Moderate"
"Black-headed Mountain Finch","Insufficient Data","Insufficient Data","Moderate","Low"
"Black-headed Shrike-Babbler","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Black-hooded Oriole","Stable","Stable","Large","Low"
"Black-legged Kittiwake",NA,NA,NA,NA
"Black-naped Monarch","Trend Inconclusive","Stable","Large","Low"
"Black-naped Oriole","Stable","Stable","Large","Low"
"Black-naped Tern",NA,NA,NA,NA
"Black-necked Crane","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Black-necked Stork","Decline","Trend Inconclusive","Moderate","Moderate"
"Black-rumped Flameback","Stable","Trend Inconclusive","Very Large","Low"
"Black-rumped Magpie",NA,NA,NA,NA
"Black-tailed Crake","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Black-tailed Godwit","Rapid Decline","Rapid Decline","Large","High"
"Black-throated Accentor",NA,NA,NA,NA
"Black-throated Munia","Trend Inconclusive","Trend Inconclusive","Moderate","Low"
"Black-throated Parrotbill","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Black-throated Prinia","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Black-throated Sunbird","Trend Inconclusive","Trend Inconclusive","Moderate","Low"
"Black-throated Thrush","Trend Inconclusive","Trend Inconclusive","Moderate","Low"
"Black-throated Tit","Stable","Trend Inconclusive","Moderate","Low"
"Black-winged Cuckooshrike","Stable","Stable","Moderate","Low"
"Black-winged Kite","Decline","Decline","Very Large","Moderate"
"Black-winged Snowfinch","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Black-winged Stilt","Trend Inconclusive","Trend Inconclusive","Very Large","Low"
"Blanford's Rosefinch",NA,NA,NA,NA
"Blanford's Snowfinch",NA,NA,NA,NA
"Blood Pheasant","Insufficient Data","Insufficient Data","Very Restricted","High"
"Blossom-headed Parakeet","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Blue Pitta",NA,NA,NA,NA
"Blue Rock-Thrush","Rapid Decline","Rapid Decline","Large","High"
"Blue Whistling-Thrush","Stable","Stable","Large","Low"
"Blue-and-white Flycatcher",NA,NA,NA,NA
"Blue-bearded Bee-eater","Trend Inconclusive","Stable","Moderate","Low"
"Blue-breasted Quail",NA,NA,NA,NA
"Blue-capped Redstart","Decline","Stable","Moderate","Moderate"
"Blue-capped Rock-Thrush","Decline","Rapid Decline","Moderate","High"
"Blue-cheeked Bee-eater","Insufficient Data","Trend Inconclusive","Moderate","Low"
"Blue-eared Barbet","Insufficient Data","Trend Inconclusive","Moderate","Low"
"Blue-eared Kingfisher","Insufficient Data","Trend Inconclusive","Moderate","Low"
"Blue-faced Malkoha","Stable","Stable","Large","Low"
"Blue-fronted Redstart","Decline","Stable","Moderate","Moderate"
"Blue-fronted Robin","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Blue-naped Pitta","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Blue-tailed Bee-eater","Increase","Rapid Increase","Large","Low"
"Blue-throated Barbet","Trend Inconclusive","Stable","Large","Low"
"Blue-throated Bee-eater",NA,NA,NA,NA
"Blue-throated Flycatcher","Trend Inconclusive","Stable","Moderate","Low"
"Blue-winged Laughingthrush","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Blue-winged Leafbird","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Blue-winged Minla","Insufficient Data","Trend Inconclusive","Moderate","Low"
"Blue-winged Pitta",NA,NA,NA,NA
"Bluethroat","Trend Inconclusive","Decline","Large","Moderate"
"Blunt-winged Warbler",NA,NA,NA,NA
"Blyth's Kingfisher","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Blyth's Leaf Warbler","Trend Inconclusive","Trend Inconclusive","Moderate","Low"
"Blyth's Paradise-Flycatcher",NA,NA,NA,NA
"Blyth's Pipit","Insufficient Data","Trend Inconclusive","Moderate","Low"
"Blyth's Reed Warbler","Stable","Stable","Very Large","Low"
"Blyth's Rosefinch","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Blyth's Swift","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Blyth's Tragopan","Insufficient Data","Insufficient Data","Very Restricted","High"
"Bohemian Waxwing",NA,NA,NA,NA
"Bonelli's Eagle","Stable","Stable","Large","Low"
"Booted Eagle","Stable","Trend Inconclusive","Very Large","Low"
"Booted Warbler","Stable","Stable","Large","Low"
"Boreal Owl",NA,NA,NA,NA
"Brahminy Kite","Stable","Stable","Large","Low"
"Brahminy Starling","Trend Inconclusive","Trend Inconclusive","Very Large","Low"
"Brambling",NA,NA,NA,NA
"Bridled Tern",NA,NA,NA,NA
"Bristled Grassbird","Insufficient Data","Insufficient Data","Restricted","High"
"Broad-billed Sandpiper","Insufficient Data","Trend Inconclusive","Restricted","Moderate"
"Broad-billed Warbler","Trend Inconclusive","Trend Inconclusive","Restricted","Moderate"
"Broad-tailed Grassbird","Insufficient Data","Insufficient Data","Restricted","High"
"Bronze-winged Jacana","Trend Inconclusive","Stable","Very Large","Low"
"Bronzed Drongo","Trend Inconclusive","Trend Inconclusive","Large","Low"
"Brooks's Leaf Warbler","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Brown Accentor",NA,NA,NA,NA
"Brown Boobook",NA,NA,NA,NA
"Brown Booby",NA,NA,NA,NA
"Brown Bullfinch","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Brown Bush Warbler",NA,NA,NA,NA
"Brown Crake","Insufficient Data","Insufficient Data","Large","Low"
"Brown Dipper","Decline","Decline","Moderate","High"
"Brown Fish-Owl","Decline","Decline","Large","Moderate"
"Brown Hornbill","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Brown Noddy",NA,NA,NA,NA
"Brown Parrotbill","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Brown Rock Chat","Stable","Rapid Increase","Large","Low"
"Brown Shrike","Trend Inconclusive","Stable","Very Large","Low"
"Brown Skua",NA,NA,NA,NA
"Brown Wood-Owl",NA,NA,NA,NA
"Brown-backed Needletail","Rapid Decline","Trend Inconclusive","Moderate","Moderate"
"Brown-breasted Flycatcher","Stable","Trend Inconclusive","Moderate","Low"
"Brown-capped Laughingthrush","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Brown-capped Pygmy Woodpecker","Decline","Trend Inconclusive","Large","Moderate"
"Brown-cheeked Fulvetta","Rapid Decline","Stable","Large","Moderate"
"Brown-cheeked Rail",NA,NA,NA,NA
"Brown-crowned Scimitar-Babbler",NA,NA,NA,NA
"Brown-fronted Woodpecker","Trend Inconclusive","Trend Inconclusive","Moderate","Low"
"Brown-headed Barbet","Rapid Increase","Stable","Large","Low"
"Brown-headed Gull","Rapid Decline","Decline","Large","High"
"Brown-rumped Minivet",NA,NA,NA,NA
"Brown-throated Fulvetta","Insufficient Data","Insufficient Data","Very Restricted","High"
"Brown-winged Kingfisher","Insufficient Data","Insufficient Data","Very Restricted","High"
"Brownish-flanked Bush Warbler","Trend Inconclusive","Trend Inconclusive","Moderate","Low"
"Buff-barred Warbler","Trend Inconclusive","Trend Inconclusive","Moderate","Low"
"Buff-breasted Babbler",NA,NA,NA,NA
"Buff-breasted Sandpiper",NA,NA,NA,NA
"Buff-throated Warbler",NA,NA,NA,NA
"Buffy Fish-Owl",NA,NA,NA,NA
"Bugun Liocichla","Insufficient Data","Trend Inconclusive","Very Restricted","High"
"Burmese Shrike",NA,NA,NA,NA
"Cachar Bulbul","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Cachar Wedge-billed Babbler","Insufficient Data","Insufficient Data","Very Restricted","High"
"Carrion Crow",NA,NA,NA,NA
"Caspian Gull",NA,NA,NA,NA
"Caspian Plover",NA,NA,NA,NA
"Caspian Tern","Rapid Decline","Decline","Moderate","High"
"Cetti's Warbler",NA,NA,NA,NA
"Changeable Hawk-Eagle","Decline","Stable","Large","Low"
"Cheer Pheasant","Insufficient Data","Insufficient Data","Restricted","High"
"Chestnut Bunting",NA,NA,NA,NA
"Chestnut Munia",NA,NA,NA,NA
"Chestnut Thrush","Insufficient Data","Trend Inconclusive","Moderate","Low"
"Chestnut-backed Laughingthrush","Insufficient Data","Insufficient Data","Very Restricted","High"
"Chestnut-bellied Nuthatch","Stable","Stable","Moderate","Low"
"Chestnut-bellied Rock-Thrush","Trend Inconclusive","Rapid Decline","Moderate","Moderate"
"Chestnut-bellied Sandgrouse","Decline","Stable","Large","Low"
"Chestnut-breasted Partridge","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Chestnut-capped Babbler","Insufficient Data","Trend Inconclusive","Moderate","Low"
"Chestnut-cheeked Starling",NA,NA,NA,NA
"Chestnut-crowned Bush Warbler",NA,NA,NA,NA
"Chestnut-crowned Laughingthrush","Increase","Increase","Moderate","Low"
"Chestnut-crowned Warbler","Insufficient Data","Trend Inconclusive","Moderate","Low"
"Chestnut-eared Bunting","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Chestnut-flanked White-eye",NA,NA,NA,NA
"Chestnut-headed Bee-eater","Stable","Stable","Moderate","Low"
"Chestnut-headed Tesia","Stable","Trend Inconclusive","Moderate","Low"
"Chestnut-tailed Minla","Trend Inconclusive","Stable","Moderate","Low"
"Chestnut-tailed Starling","Stable","Stable","Large","Low"
"Chestnut-vented Nuthatch",NA,NA,NA,NA
"Chestnut-winged Cuckoo","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Chin Hills Wren-Babbler","Insufficient Data","Insufficient Data","Very Restricted","High"
"Chinese Blackbird",NA,NA,NA,NA
"Chinese Bush Warbler",NA,NA,NA,NA
"Chinese Egret",NA,NA,NA,NA
"Chinese Francolin",NA,NA,NA,NA
"Chinese Leaf Warbler",NA,NA,NA,NA
"Chinese Pond-Heron",NA,NA,NA,NA
"Chinese Rubythroat","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Chinese Sparrowhawk",NA,NA,NA,NA
"Chinese Thrush",NA,NA,NA,NA
"Chinese Vivid Niltava",NA,NA,NA,NA
"Chinese White-browed Rosefinch",NA,NA,NA,NA
"Christmas Island Frigatebird",NA,NA,NA,NA
"Chukar","Rapid Increase","Trend Inconclusive","Moderate","Low"
"Cinereous Vulture","Rapid Decline","Trend Inconclusive","Moderate","Moderate"
"Cinnamon Bittern","Decline","Stable","Large","Low"
"Citrine Wagtail","Trend Inconclusive","Decline","Large","Moderate"
"Clamorous Reed Warbler","Trend Inconclusive","Trend Inconclusive","Large","Low"
"Claudia's Leaf Warbler",NA,NA,NA,NA
"Clicking Shrike-Babbler",NA,NA,NA,NA
"Coal Tit","Trend Inconclusive","Trend Inconclusive","Moderate","Low"
"Collared Falconet","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Collared Grosbeak","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Collared Kingfisher","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Collared Myna",NA,NA,NA,NA
"Collared Owlet","Insufficient Data","Insufficient Data","Moderate","Low"
"Collared Pratincole",NA,NA,NA,NA
"Collared Scops-Owl",NA,NA,NA,NA
"Collared Treepie","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Common Babbler","Decline","Trend Inconclusive","Very Large","Moderate"
"Common Buzzard","Decline","Stable","Large","Low"
"Common Chaffinch",NA,NA,NA,NA
"Common Chiffchaff","Trend Inconclusive","Trend Inconclusive","Large","Low"
"Common Crane","Rapid Decline","Decline","Moderate","High"
"Common Cuckoo","Insufficient Data","Insufficient Data","Large","Low"
"Common Flameback","Insufficient Data","Insufficient Data","Moderate","Low"
"Common Goldeneye",NA,NA,NA,NA
"Common Grasshopper Warbler",NA,NA,NA,NA
"Common Green-Magpie","Trend Inconclusive","Stable","Moderate","Low"
"Common Greenshank","Rapid Decline","Rapid Decline","Very Large","High"
"Common Gull",NA,NA,NA,NA
"Common Hawk-Cuckoo","Trend Inconclusive","Rapid Increase","Very Large","Low"
"Common Hill Myna","Trend Inconclusive","Stable","Moderate","Low"
"Common Iora","Trend Inconclusive","Increase","Very Large","Low"
"Common Kingfisher","Trend Inconclusive","Trend Inconclusive","Very Large","Low"
"Common Merganser","Rapid Decline","Rapid Decline","Moderate","High"
"Common Myna","Trend Inconclusive","Stable","Very Large","Low"
"Common Pochard","Rapid Decline","Decline","Large","High"
"Common Quail",NA,NA,NA,NA
"Common Raven","Insufficient Data","Insufficient Data","Moderate","Low"
"Common Redshank","Rapid Decline","Decline","Large","High"
"Common Redstart",NA,NA,NA,NA
"Common Ringed Plover",NA,NA,NA,NA
"Common Rosefinch","Trend Inconclusive","Decline","Large","Moderate"
"Common Sandpiper","Decline","Decline","Very Large","Moderate"
"Common Shelduck",NA,NA,NA,NA
"Common Snipe","Trend Inconclusive","Trend Inconclusive","Large","Low"
"Common Swift",NA,NA,NA,NA
"Common Tailorbird","Increase","Rapid Increase","Very Large","Low"
"Common Tern","Rapid Decline","Rapid Decline","Restricted","High"
"Common Wood-Pigeon","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Common Woodshrike","Rapid Decline","Stable","Very Large","Moderate"
"Coppersmith Barbet","Stable","Stable","Very Large","Low"
"Corn Crake",NA,NA,NA,NA
"Cory's Shearwater",NA,NA,NA,NA
"Cotton Pygmy-Goose","Rapid Decline","Decline","Very Large","Moderate"
"Crab-Plover","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Cream-colored Courser",NA,NA,NA,NA
"Crested Bunting","Decline","Trend Inconclusive","Large","Moderate"
"Crested Finchbill","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Crested Goshawk","Decline","Stable","Moderate","Moderate"
"Crested Kingfisher","Stable","Decline","Moderate","Moderate"
"Crested Lark","Decline","Trend Inconclusive","Large","Moderate"
"Crested Serpent-Eagle","Trend Inconclusive","Trend Inconclusive","Very Large","Low"
"Crested Tit-Warbler",NA,NA,NA,NA
"Crested Treeswift","Rapid Decline","Stable","Large","Moderate"
"Crimson Sunbird","Stable","Trend Inconclusive","Large","Low"
"Crimson-backed Sunbird","Decline","Trend Inconclusive","Moderate","Moderate"
"Crimson-browed Finch","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Crimson-naped Woodpecker","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Crimson-winged Finch",NA,NA,NA,NA
"Crow-billed Drongo",NA,NA,NA,NA
"Curlew Sandpiper","Rapid Decline","Decline","Moderate","High"
"Dalmatian Pelican","Insufficient Data","Rapid Decline","Moderate","Moderate"
"Darjeeling Woodpecker","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Dark-breasted Rosefinch","Insufficient Data","Trend Inconclusive","Moderate","Low"
"Dark-fronted Babbler","Rapid Decline","Stable","Moderate","Moderate"
"Dark-necked Tailorbird","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Dark-rumped Rosefinch","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Dark-rumped Swift","Insufficient Data","Trend Inconclusive","Restricted","High"
"Dark-sided Flycatcher","Stable","Trend Inconclusive","Moderate","Low"
"Dark-sided Thrush","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Daurian Redstart",NA,NA,NA,NA
"Daurian Starling",NA,NA,NA,NA
"Delicate Prinia","Trend Inconclusive","Stable","Moderate","Low"
"Demoiselle Crane","Decline","Decline","Moderate","High"
"Derbyan Parakeet",NA,NA,NA,NA
"Desert Finch",NA,NA,NA,NA
"Desert Lark",NA,NA,NA,NA
"Desert Wheatear","Rapid Decline","Decline","Large","High"
"Dollarbird","Stable","Stable","Moderate","Low"
"Dunlin","Rapid Decline","Rapid Decline","Moderate","High"
"Dusky Crag-Martin","Decline","Trend Inconclusive","Very Large","Moderate"
"Dusky Eagle-Owl","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Dusky Thrush",NA,NA,NA,NA
"Dusky Warbler","Insufficient Data","Insufficient Data","Moderate","Low"
"Eared Grebe",NA,NA,NA,NA
"Eastern Barn Owl",NA,NA,NA,NA
"Eastern Cattle-Egret","Trend Inconclusive","Stable","Very Large","Low"
"Eastern Marsh Harrier",NA,NA,NA,NA
"Eastern Orphean Warbler","Insufficient Data","Insufficient Data","Moderate","Low"
"Eastern Red-rumped Swallow","Decline","Stable","Very Large","Low"
"Eastern Spot-billed Duck",NA,NA,NA,NA
"Eastern Yellow Wagtail",NA,NA,NA,NA
"Egyptian Vulture","Rapid Decline","Decline","Large","High"
"Elliot's Laughingthrush",NA,NA,NA,NA
"Eurasian Bittern",NA,NA,NA,NA
"Eurasian Blackcap",NA,NA,NA,NA
"Eurasian Collared-Dove","Trend Inconclusive","Increase","Very Large","Low"
"Eurasian Coot","Stable","Decline","Very Large","Low"
"Eurasian Crag-Martin","Rapid Decline","Decline","Moderate","High"
"Eurasian Curlew","Rapid Decline","Rapid Decline","Moderate","High"
"Eurasian Eagle-Owl",NA,NA,NA,NA
"Eurasian Golden Oriole",NA,NA,NA,NA
"Eurasian Goshawk",NA,NA,NA,NA
"Eurasian Griffon","Rapid Decline","Decline","Moderate","High"
"Eurasian Hobby","Insufficient Data","Insufficient Data","Moderate","Low"
"Eurasian Hoopoe","Decline","Trend Inconclusive","Very Large","Moderate"
"Eurasian Jackdaw",NA,NA,NA,NA
"Eurasian Jay","Insufficient Data","Trend Inconclusive","Moderate","Low"
"Eurasian Kestrel","Rapid Decline","Rapid Decline","Very Large","High"
"Eurasian Linnet",NA,NA,NA,NA
"Eurasian Magpie",NA,NA,NA,NA
"Eurasian Moorhen","Increase","Stable","Large","Low"
"Eurasian Nightjar",NA,NA,NA,NA
"Eurasian Oystercatcher","Insufficient Data","Rapid Decline","Restricted","High"
"Eurasian Scops-Owl",NA,NA,NA,NA
"Eurasian Siskin",NA,NA,NA,NA
"Eurasian Skylark",NA,NA,NA,NA
"Eurasian Sparrowhawk","Decline","Stable","Large","Low"
"Eurasian Spoonbill","Rapid Decline","Rapid Decline","Large","High"
"Eurasian Tree Sparrow","Trend Inconclusive","Trend Inconclusive","Moderate","Low"
"Eurasian Wigeon","Decline","Decline","Large","Moderate"
"Eurasian Woodcock",NA,NA,NA,NA
"Eurasian Wren","Insufficient Data","Trend Inconclusive","Moderate","Low"
"Eurasian Wryneck","Trend Inconclusive","Trend Inconclusive","Large","Low"
"European Bee-eater",NA,NA,NA,NA
"European Golden-Plover",NA,NA,NA,NA
"European Honey-buzzard",NA,NA,NA,NA
"European Roller","Insufficient Data","Decline","Large","Moderate"
"European Starling","Decline","Trend Inconclusive","Moderate","Moderate"
"European Turtle-Dove",NA,NA,NA,NA
"Eyebrowed Thrush",NA,NA,NA,NA
"Eyebrowed Wren-Babbler","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Falcated Duck","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Ferruginous Duck","Trend Inconclusive","Trend Inconclusive","Large","Moderate"
