eBird.English.Name.2022,longtermlci,longtermmean,longtermrci,currentslopelci,currentslopemean,currentsloperci,rangelci,rangemean,rangerci,SOIBv2.Long.Term.Status,SOIBv2.Current.Status,SOIBv2.Range.Status,SOIBv2.Priority.Status
Rufous-chinned Laughingthrush,NA,NA,NA,-1.346241981,4.382512525,10.11126703,3.868,3.913,3.958,Insufficient Data,Trend Inconclusive,Restricted,Moderate
Moustached Laughingthrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spotted Laughingthrush,NA,NA,NA,NA,NA,NA,1.821,1.846,1.871,Insufficient Data,Insufficient Data,Restricted,Moderate
Wayanad Laughingthrush,NA,NA,NA,NA,NA,NA,3.1,3.139,3.178,Insufficient Data,Insufficient Data,Restricted,Moderate
Rufous-vented Laughingthrush,NA,NA,NA,NA,NA,NA,0.416,0.416,0.416,Insufficient Data,Insufficient Data,Very Restricted,High
Yellow-throated Laughingthrush,NA,NA,NA,NA,NA,NA,1.268,1.338,1.408,Insufficient Data,Insufficient Data,Restricted,Moderate
Rufous-necked Laughingthrush,NA,NA,NA,-8.383147011,-6.787046828,-5.190946644,9.432,9.493,9.554,Insufficient Data,Rapid Decline,Moderate,Moderate
Chestnut-backed Laughingthrush,NA,NA,NA,NA,NA,NA,0.236,0.282,0.328,Insufficient Data,Insufficient Data,Very Restricted,High
White-browed Laughingthrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greater Necklaced Laughingthrush,NA,NA,NA,NA,NA,NA,10.455,10.513,10.571,Insufficient Data,Insufficient Data,Moderate,Low
Mount Victoria Babax,NA,NA,NA,NA,NA,NA,0.046,0.046,0.046,Insufficient Data,Insufficient Data,Very Restricted,High
White-throated Laughingthrush,-25.00692755,-0.617354195,34.43276214,2.282218865,5.703661714,9.125104562,7.11,7.135,7.16,Stable,Trend Inconclusive,Moderate,Low
Gray-sided Laughingthrush,NA,NA,NA,NA,NA,NA,2.002,2.039,2.076,Insufficient Data,Insufficient Data,Restricted,Moderate
Goldcrest,NA,NA,NA,NA,NA,NA,9.217,9.282,9.347,Insufficient Data,Insufficient Data,Moderate,Low
Wallcreeper,-71.52011035,-62.96988406,-51.82731425,-6.949343676,-5.263751534,-3.578159392,11.195,11.251,11.307,Rapid Decline,Decline,Moderate,High
Indian Nuthatch,NA,NA,NA,NA,NA,NA,23.001,23.064,23.127,Insufficient Data,Insufficient Data,Moderate,Moderate
Chestnut-bellied Nuthatch,-14.61095466,7.544886519,35.42837051,-3.332735074,-1.276058705,0.780617664,14.111,14.157,14.203,Stable,Stable,Moderate,Low
Chestnut-vented Nuthatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kashmir Nuthatch,NA,NA,NA,NA,NA,NA,1.406,1.461,1.516,Insufficient Data,Insufficient Data,Restricted,Moderate
White-tailed Nuthatch,-43.8319058,-29.13073102,-11.17304722,-3.699056507,-1.274476511,1.150103485,7.466,7.498,7.53,Trend Inconclusive,Stable,Moderate,Low
White-cheeked Nuthatch,NA,NA,NA,NA,NA,NA,4.674,4.728,4.782,Insufficient Data,Insufficient Data,Moderate,Moderate
Yunnan Nuthatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Velvet-fronted Nuthatch,-54.45945061,-47.26306048,-38.3237199,0.224153016,2.316100537,4.408048059,24.95,24.988,25.026,Decline,Trend Inconclusive,Moderate,Moderate
Beautiful Nuthatch,NA,NA,NA,NA,NA,NA,1.592,1.642,1.692,Insufficient Data,Insufficient Data,Restricted,High
Hodgson's Treecreeper,NA,NA,NA,NA,NA,NA,4.961,5.025,5.089,Insufficient Data,Insufficient Data,Moderate,Low
Bar-tailed Treecreeper,-35.59186798,-18.25163061,5.212228856,-4.422410751,-2.05166347,0.319083812,12.756,12.793,12.83,Stable,Stable,Moderate,Low
Rusty-flanked Treecreeper,NA,NA,NA,NA,NA,NA,2.363,2.411,2.459,Insufficient Data,Insufficient Data,Restricted,Moderate
Sikkim Treecreeper,NA,NA,NA,NA,NA,NA,1.368,1.392,1.416,Insufficient Data,Insufficient Data,Restricted,Moderate
Hume's Treecreeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indian Spotted Creeper,NA,NA,NA,NA,NA,NA,5.092,5.161,5.23,Insufficient Data,Insufficient Data,Moderate,Moderate
Eurasian Wren,NA,NA,NA,-5.734819723,-3.202510153,-0.670200584,10.92,10.964,11.008,Insufficient Data,Trend Inconclusive,Moderate,Low
Spotted Elachura,NA,NA,NA,NA,NA,NA,5.233,5.293,5.353,Insufficient Data,Insufficient Data,Moderate,Low
White-throated Dipper,NA,NA,NA,NA,NA,NA,5.469,5.526,5.583,Insufficient Data,Insufficient Data,Moderate,Low
Brown Dipper,-57.22425251,-47.48127837,-34.1891812,-5.232956452,-3.33785393,-1.442751408,18.095,18.142,18.189,Decline,Decline,Moderate,High
Asian Glossy Starling,NA,NA,NA,NA,NA,NA,0.697,0.709,0.721,Insufficient Data,Insufficient Data,Restricted,Moderate
Golden-crested Myna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Common Hill Myna,-37.97768535,-26.98626191,-14.34228311,-2.182711048,-0.458552517,1.265606013,15.905,15.944,15.983,Trend Inconclusive,Stable,Moderate,Low
Southern Hill Myna,-48.4358944,-37.30647261,-24.13699126,-1.133147414,1.22443695,3.582021313,8.591,8.6,8.609,Trend Inconclusive,Stable,Moderate,Low
European Starling,-66.94871173,-56.92479654,-44.47344602,-5.288725914,-3.156940796,-1.025155678,17.033,17.097,17.161,Decline,Trend Inconclusive,Moderate,Moderate
Rosy Starling,37.56537567,57.78211249,82.75813354,-7.105177785,-6.086469966,-5.067762148,130.569,130.624,130.679,Increase,Rapid Decline,Very Large,Moderate
Daurian Starling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chestnut-cheeked Starling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indian Pied Starling,NA,NA,NA,NA,NA,NA,148.878,148.917,148.956,Insufficient Data,Insufficient Data,Very Large,Low
White-shouldered Starling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brahminy Starling,-31.93904987,-23.3476148,-13.56642237,-2.435188536,-1.227401874,-0.019615212,191.756,191.799,191.842,Trend Inconclusive,Trend Inconclusive,Very Large,Low
Chestnut-tailed Starling,-15.08569121,0.829788029,22.25030399,-0.119948861,2.382228994,4.884406849,74.694,74.745,74.796,Stable,Stable,Large,Low
Malabar Starling,NA,NA,NA,4.196923391,7.524324858,10.85172632,12.341,12.371,12.401,Insufficient Data,Trend Inconclusive,Moderate,Low
White-headed Starling,NA,NA,NA,-9.052741863,-7.502076336,-5.951410808,0.515,0.515,0.515,Insufficient Data,Rapid Decline,Restricted,High
Red-billed Starling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White-cheeked Starling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Common Myna,1.95494306,12.5530214,23.71611575,-1.573985921,-0.569891505,0.434202911,242.48,242.504,242.528,Trend Inconclusive,Stable,Very Large,Low
Bank Myna,-44.01040886,-36.19376168,-27.58039661,-6.031145885,-5.018082607,-4.005019328,97.307,97.358,97.409,Decline,Rapid Decline,Large,High
Jungle Myna,-14.30458273,-3.796875542,8.163711326,-2.756616921,-1.504223773,-0.251830624,85.69,85.733,85.776,Stable,Trend Inconclusive,Large,Low
Collared Myna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Great Myna,NA,NA,NA,1.421397396,4.547998229,7.674599061,10.723,10.779,10.835,Insufficient Data,Trend Inconclusive,Moderate,Low
Spot-winged Starling,NA,NA,NA,-10.38738632,-7.983494465,-5.579602611,2.967,3.06,3.153,Insufficient Data,Rapid Decline,Restricted,High
Grandala,NA,NA,NA,NA,NA,NA,1.295,1.322,1.349,Insufficient Data,Insufficient Data,Restricted,Moderate
Long-tailed Thrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alpine Thrush,NA,NA,NA,-1.339952894,4.02833962,9.396632135,4.902,4.952,5.002,Insufficient Data,Trend Inconclusive,Moderate,Low
Himalayan Thrush,NA,NA,NA,NA,NA,NA,0.761,0.822,0.883,Insufficient Data,Insufficient Data,Restricted,Moderate
Dark-sided Thrush,NA,NA,NA,NA,NA,NA,1.166,1.228,1.29,Insufficient Data,Insufficient Data,Restricted,Moderate
Long-billed Thrush,NA,NA,NA,NA,NA,NA,3.914,3.964,4.014,Insufficient Data,Insufficient Data,Restricted,Moderate
Scaly Thrush,NA,NA,NA,-4.417705018,-1.181558769,2.05458748,12.246,12.329,12.412,Insufficient Data,Trend Inconclusive,Moderate,Low
Nilgiri Thrush,-79.0777825,-53.97315086,-3.458356313,-8.402608428,-4.236582759,-0.070557089,1.256,1.256,1.256,Trend Inconclusive,Trend Inconclusive,Restricted,Moderate
Purple Cochoa,NA,NA,NA,NA,NA,NA,0.811,0.851,0.891,Insufficient Data,Insufficient Data,Restricted,Moderate
Green Cochoa,NA,NA,NA,NA,NA,NA,1.893,1.959,2.025,Insufficient Data,Insufficient Data,Restricted,Moderate
Siberian Thrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pied Thrush,NA,NA,NA,NA,NA,NA,0.536,0.567,0.598,Insufficient Data,Insufficient Data,Very Restricted,High
Orange-headed Thrush,-52.77682406,-43.99669393,-33.54444399,-3.310540944,-1.722726562,-0.134912181,46.531,46.582,46.633,Decline,Trend Inconclusive,Large,Moderate
Chinese Thrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mistle Thrush,NA,NA,NA,-7.739088617,-4.534255874,-1.329423132,7.182,7.234,7.286,Insufficient Data,Trend Inconclusive,Moderate,Low
Song Thrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chinese Blackbird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gray-winged Blackbird,-26.55186044,-5.321866271,19.97950895,-1.228817754,1.378021757,3.984861267,14.473,14.513,14.553,Stable,Stable,Moderate,Low
Indian Blackbird,-40.37928745,-28.66522066,-13.91236834,-0.561366417,1.443407769,3.448181954,14.432,14.432,14.432,Trend Inconclusive,Stable,Moderate,Low
Japanese Thrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tickell's Thrush,-54.45427953,-41.58215181,-24.82035732,-3.074349765,-0.163822209,2.746705346,7.466,7.516,7.566,Trend Inconclusive,Trend Inconclusive,Moderate,Low
Black-breasted Thrush,NA,NA,NA,NA,NA,NA,3.198,3.256,3.314,Insufficient Data,Insufficient Data,Restricted,Moderate
Gray-sided Thrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eyebrowed Thrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White-backed Thrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tibetan Blackbird,NA,NA,NA,NA,NA,NA,0.254,0.302,0.35,Insufficient Data,Insufficient Data,Very Restricted,High
Fieldfare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White-collared Blackbird,-77.84925837,-70.10688877,-59.62649779,-5.495633206,-2.809386183,-0.12313916,6.655,6.687,6.719,Rapid Decline,Trend Inconclusive,Moderate,Moderate
Chestnut Thrush,NA,NA,NA,-1.982366794,4.348414017,10.67919483,6.681,6.741,6.801,Insufficient Data,Trend Inconclusive,Moderate,Low
Black-throated Thrush,-46.0426761,-33.3946876,-15.68117072,1.056399251,6.5858532,12.11530715,15.329,15.377,15.425,Trend Inconclusive,Trend Inconclusive,Moderate,Low
Red-throated Thrush,NA,NA,NA,NA,NA,NA,2.142,2.199,2.256,Insufficient Data,Insufficient Data,Restricted,Moderate
Dusky Thrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Naumann's Thrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dark-sided Flycatcher,-48.0777143,-24.6337483,11.39168821,-3.902335654,0.95345918,5.809254014,13.458,13.507,13.556,Stable,Trend Inconclusive,Moderate,Low
Ferruginous Flycatcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asian Brown Flycatcher,-52.75788036,-41.25014085,-26.15317424,-3.485264617,-1.460883522,0.563497572,36.54,36.591,36.642,Decline,Stable,Large,Low
Brown-breasted Flycatcher,-35.34393579,-6.136114085,33.56483602,-5.366321431,-2.313523161,0.739275108,21.426,21.477,21.528,Stable,Trend Inconclusive,Moderate,Low
Spotted Flycatcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rufous-tailed Scrub-Robin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indian Robin,-1.550475128,10.08382219,22.4807938,0.225723437,1.486874542,2.748025647,198.661,198.695,198.729,Stable,Trend Inconclusive,Very Large,Low
Oriental Magpie-Robin,16.84782012,30.80076961,45.77543196,-0.20913203,1.087912337,2.384956704,208.623,208.66,208.697,Trend Inconclusive,Stable,Very Large,Low
White-rumped Shama,-19.0835386,-4.392374892,14.31580941,-2.559924428,-1.116871889,0.32618065,49.634,49.685,49.736,Stable,Stable,Large,Low
Andaman Shama,NA,NA,NA,-1.929401422,2.610859152,7.151119727,0.503,0.503,0.503,Insufficient Data,Trend Inconclusive,Restricted,Moderate
White-gorgeted Flycatcher,NA,NA,NA,NA,NA,NA,1.854,1.896,1.938,Insufficient Data,Insufficient Data,Restricted,Moderate
Nilgiri Sholakili,-6.206684573,72.49957602,206.4216511,3.022399304,9.643039496,16.26367969,0.858,0.863,0.868,Trend Inconclusive,Trend Inconclusive,Restricted,High
White-bellied Sholakili,-41.47400265,31.77280087,182.9016508,-1.511848937,4.710037703,10.93192434,0.812,0.823,0.834,Trend Inconclusive,Trend Inconclusive,Restricted,High
White-tailed Flycatcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White-bellied Blue Flycatcher,-83.35622706,-79.52992846,-74.27148166,-6.453047362,-4.75598621,-3.058925058,9.668,9.701,9.734,Rapid Decline,Decline,Moderate,High
Pale-chinned Blue Flycatcher,NA,NA,NA,-4.340385353,-1.222721185,1.894942984,9.611,9.676,9.741,Insufficient Data,Trend Inconclusive,Moderate,Low
Pale Blue Flycatcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue-throated Flycatcher,-44.27360576,-29.44235103,-10.63125372,-2.308659309,-0.016641975,2.275375358,16.372,16.424,16.476,Trend Inconclusive,Stable,Moderate,Low
Large Blue Flycatcher,NA,NA,NA,NA,NA,NA,0.547,0.616,0.685,Insufficient Data,Insufficient Data,Very Restricted,High
Hill Blue Flycatcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tickell's Blue Flycatcher,13.67537719,32.37767688,51.80337435,0.921777233,2.790281163,4.658785093,87.47,87.521,87.572,Trend Inconclusive,Trend Inconclusive,Large,Low
Nicobar Jungle Flycatcher,NA,NA,NA,NA,NA,NA,0.092,0.092,0.092,Insufficient Data,Insufficient Data,Restricted,Moderate
Large Niltava,NA,NA,NA,-5.687999974,-2.327998832,1.032002311,7.244,7.293,7.342,Insufficient Data,Trend Inconclusive,Moderate,Low
Small Niltava,-20.0144145,0.0719614,26.28355512,-3.290722226,-0.966716655,1.357288917,12.208,12.252,12.296,Stable,Stable,Moderate,Low
Rufous-bellied Niltava,-35.31036305,-14.92032191,11.2658839,-4.521244407,-1.758027562,1.005189283,11.01,11.01,11.01,Stable,Stable,Moderate,Low
Chinese Vivid Niltava,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue-and-white Flycatcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zappey's Flycatcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nilgiri Flycatcher,NA,NA,NA,NA,NA,NA,3.269,3.298,3.327,Insufficient Data,Insufficient Data,Restricted,Moderate
Verditer Flycatcher,-22.61494207,-11.06428125,3.635116428,-2.718730558,-1.293440249,0.13185006,80.105,80.17,80.235,Stable,Stable,Large,Low
Rusty-bellied Shortwing,-89.62617077,-76.87842605,-38.22213804,-9.120817287,-5.350319265,-1.579821242,0.861,0.921,0.981,Trend Inconclusive,Trend Inconclusive,Restricted,Moderate
Gould's Shortwing,NA,NA,NA,NA,NA,NA,0.765,0.832,0.899,Insufficient Data,Insufficient Data,Restricted,Moderate
Lesser Shortwing,NA,NA,NA,NA,NA,NA,6.367,6.421,6.475,Insufficient Data,Insufficient Data,Moderate,Low
Himalayan Shortwing,NA,NA,NA,NA,NA,NA,1.585,1.585,1.585,Insufficient Data,Insufficient Data,Restricted,Moderate
Indian Blue Robin,-61.90499066,-51.32342864,-36.9171193,-1.670474055,0.760236933,3.190947921,10.036,10.07,10.104,Decline,Stable,Moderate,Moderate
Siberian Blue Robin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White-bellied Redstart,NA,NA,NA,NA,NA,NA,2.138,2.202,2.266,Insufficient Data,Insufficient Data,Restricted,Moderate
Bluethroat,-45.81038793,-31.62940264,-14.10708203,-5.453549552,-3.542049105,-1.630548658,50.249,50.249,50.249,Trend Inconclusive,Decline,Large,Moderate
Malabar Whistling-Thrush,-60.04744901,-52.52413473,-43.71391601,-2.72599603,-1.064856501,0.596283028,14.606,14.606,14.606,Decline,Stable,Moderate,Moderate
Blue Whistling-Thrush,-7.220384189,8.389526624,25.07116525,-0.298168388,1.467732386,3.23363316,30.81,30.837,30.864,Stable,Stable,Large,Low
Little Forktail,-45.20000481,-29.89728854,-10.37011244,-6.068313232,-4.155598091,-2.242882951,12.824,12.878,12.932,Trend Inconclusive,Decline,Moderate,Moderate
White-crowned Forktail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spotted Forktail,-35.17954773,-21.58463168,-3.941695981,-4.762854112,-2.938751621,-1.11464913,15.761,15.803,15.845,Trend Inconclusive,Trend Inconclusive,Moderate,Low
Black-backed Forktail,-49.29480413,-33.54290614,-12.1360721,-4.274157743,-1.96614932,0.341859103,8.1,8.156,8.212,Trend Inconclusive,Trend Inconclusive,Moderate,Low
Slaty-backed Forktail,NA,NA,NA,-6.252846423,-3.892271428,-1.531696433,7.295,7.347,7.399,Insufficient Data,Decline,Moderate,Moderate
Firethroat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Siberian Rubythroat,NA,NA,NA,NA,NA,NA,11.588,11.658,11.728,Insufficient Data,Insufficient Data,Moderate,Low
Himalayan Rubythroat,NA,NA,NA,-5.762044256,-2.154835706,1.452372844,5.518,5.591,5.664,Insufficient Data,Trend Inconclusive,Moderate,Low
Chinese Rubythroat,NA,NA,NA,NA,NA,NA,1.332,1.386,1.44,Insufficient Data,Insufficient Data,Restricted,Moderate
White-tailed Robin,NA,NA,NA,NA,NA,NA,5.344,5.407,5.47,Insufficient Data,Insufficient Data,Moderate,Low
Blue-fronted Robin,NA,NA,NA,NA,NA,NA,1.047,1.081,1.115,Insufficient Data,Insufficient Data,Restricted,Moderate
Red-flanked Bluetail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Himalayan Bluetail,-46.91241744,-33.76804669,-17.10348885,2.181461727,5.561632448,8.941803168,10.945,10.977,11.009,Trend Inconclusive,Trend Inconclusive,Moderate,Low
Rufous-breasted Bush-Robin,NA,NA,NA,NA,NA,NA,2.194,2.24,2.286,Insufficient Data,Insufficient Data,Restricted,Moderate
White-browed Bush-Robin,NA,NA,NA,NA,NA,NA,1.953,1.995,2.037,Insufficient Data,Insufficient Data,Restricted,Moderate
Golden Bush-Robin,NA,NA,NA,0.108853751,3.881705795,7.654557839,8.366,8.417,8.468,Insufficient Data,Trend Inconclusive,Moderate,Low
Yellow-rumped Flycatcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mugimaki Flycatcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slaty-backed Flycatcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black-and-orange Flycatcher,NA,NA,NA,NA,NA,NA,2.449,2.449,2.449,Insufficient Data,Insufficient Data,Restricted,Moderate
Slaty-blue Flycatcher,-44.70978761,-24.11990765,1.600984469,-2.819044909,0.20546029,3.22996549,16.127,16.187,16.247,Trend Inconclusive,Trend Inconclusive,Moderate,Low
Snowy-browed Flycatcher,NA,NA,NA,-2.827316207,6.119400922,15.06611805,8.302,8.362,8.422,Insufficient Data,Trend Inconclusive,Moderate,Low
Pygmy Flycatcher,NA,NA,NA,NA,NA,NA,4.483,4.542,4.601,Insufficient Data,Insufficient Data,Moderate,Low
Rufous-gorgeted Flycatcher,-62.06172791,-52.46199355,-38.55131734,-6.575956642,-4.713526426,-2.851096211,14.314,14.367,14.42,Decline,Decline,Moderate,High
Sapphire Flycatcher,NA,NA,NA,NA,NA,NA,2.867,2.922,2.977,Insufficient Data,Insufficient Data,Restricted,Moderate
Little Pied Flycatcher,-60.97453113,-49.9995283,-35.73167358,-0.903890828,2.088034197,5.079959222,14.162,14.223,14.284,Decline,Trend Inconclusive,Moderate,Moderate
Ultramarine Flycatcher,-29.79898085,-16.76009473,0.104079274,-3.114318022,-1.307743505,0.498831012,21.89,21.965,22.04,Trend Inconclusive,Stable,Moderate,Low
Rusty-tailed Flycatcher,-74.99130765,-67.97214648,-59.63309857,-3.528160367,-1.352087755,0.823984858,5.543,5.569,5.595,Rapid Decline,Stable,Moderate,Moderate
Taiga Flycatcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kashmir Flycatcher,NA,NA,NA,NA,NA,NA,0.797,0.851,0.905,Insufficient Data,Insufficient Data,Restricted,High
Red-breasted Flycatcher,-45.40468925,-25.00830135,2.493223774,-5.015614239,-1.91365105,1.188312138,130.096,130.15,130.204,Stable,Trend Inconclusive,Very Large,Low
Blue-fronted Redstart,-64.26085577,-56.75558052,-47.98198507,-2.175617127,-0.19044626,1.794724607,15.291,15.331,15.371,Decline,Stable,Moderate,Moderate
Plumbeous Redstart,-48.83322303,-39.81405365,-29.39031093,-4.662821254,-3.302442554,-1.942063854,18.601,18.637,18.673,Decline,Decline,Moderate,High
Rufous-backed Redstart,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White-capped Redstart,-42.45894406,-31.58774033,-20.3176173,-4.666759324,-3.387654353,-2.108549382,19.33,19.366,19.402,Trend Inconclusive,Decline,Moderate,Moderate
Blue-capped Redstart,-56.74648777,-44.93599656,-29.05480337,-3.199739967,-0.853594805,1.492550356,11.637,11.685,11.733,Decline,Stable,Moderate,Moderate
Common Redstart,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hodgson's Redstart,NA,NA,NA,NA,NA,NA,3.233,3.233,3.233,Insufficient Data,Insufficient Data,Restricted,Moderate
White-throated Redstart,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White-winged Redstart,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black Redstart,-51.19054741,-44.30158776,-35.98837034,-3.529909378,-2.192588088,-0.855266797,108.092,108.146,108.2,Decline,Trend Inconclusive,Very Large,Moderate
Daurian Redstart,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chestnut-bellied Rock-Thrush,-47.02200589,-32.38438141,-13.37349728,-6.869718492,-5.360636098,-3.851553704,15.734,15.789,15.844,Trend Inconclusive,Rapid Decline,Moderate,Moderate
Blue-capped Rock-Thrush,-63.32313352,-55.53966784,-45.41512045,-6.219127498,-4.648796127,-3.078464755,19.903,19.952,20.001,Decline,Rapid Decline,Moderate,High
Rufous-tailed Rock-Thrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue Rock-Thrush,-77.79681057,-74.11988898,-69.92569324,-6.561158278,-5.431727067,-4.302295855,42.483,42.483,42.483,Rapid Decline,Rapid Decline,Large,High
Whinchat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White-browed Bushchat,NA,NA,NA,NA,NA,NA,2.133,2.133,2.133,Insufficient Data,Insufficient Data,Restricted,High
White-throated Bushchat,NA,NA,NA,NA,NA,NA,0,0,0,Insufficient Data,Insufficient Data,Very Restricted,High
Siberian Stonechat,-22.37009091,-11.72997269,-0.242393743,-2.196850712,-0.875912752,0.445025209,136.687,136.739,136.791,Trend Inconclusive,Trend Inconclusive,Very Large,Low
Amur Stonechat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White-tailed Stonechat,NA,NA,NA,-9.610931221,-6.316421307,-3.021911392,5.004,5.069,5.134,Insufficient Data,Trend Inconclusive,Moderate,Low
Pied Bushchat,-8.108471622,8.802659045,28.4463261,-2.121847254,-0.22485977,1.672127714,149.503,149.55,149.597,Stable,Stable,Very Large,Low
Jerdon's Bushchat,NA,NA,NA,NA,NA,NA,0.434,0.434,0.434,Insufficient Data,Insufficient Data,Very Restricted,High
Gray Bushchat,-9.214773272,7.849617595,27.62550654,-3.03296888,-1.47675516,0.07945856,19.623,19.658,19.693,Stable,Trend Inconclusive,Moderate,Low
Northern Wheatear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isabelline Wheatear,-77.25862062,-68.78045455,-58.07360172,-7.340800537,-4.96274145,-2.584682363,19.355,19.414,19.473,Rapid Decline,Decline,Moderate,High
Desert Wheatear,-70.97478432,-65.13888098,-57.97529229,-5.927388954,-4.311806142,-2.69622333,26.747,26.805,26.863,Rapid Decline,Decline,Large,High
Pied Wheatear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Rock Chat,-15.70164739,-1.067053039,16.29434249,2.530163777,4.904389806,7.278615834,97.123,97.177,97.231,Stable,Rapid Increase,Large,Low
Variable Wheatear,-77.8784667,-72.92276338,-66.39837583,-7.596719398,-6.138831879,-4.68094436,30.486,30.502,30.518,Rapid Decline,Decline,Large,High
Hume's Wheatear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finsch's Wheatear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Persian Wheatear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bohemian Waxwing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypocolius,NA,NA,NA,NA,NA,NA,0.883,0.944,1.005,Insufficient Data,Insufficient Data,Restricted,Moderate
Thick-billed Flowerpecker,-58.83851843,-52.12471956,-44.27793362,-6.095254182,-4.925621927,-3.755989672,89.895,89.965,90.035,Decline,Rapid Decline,Large,High
Yellow-vented Flowerpecker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yellow-bellied Flowerpecker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pale-billed Flowerpecker,6.402057763,20.23405562,36.34067795,-1.500593558,-0.157246663,1.186100233,97.206,97.258,97.31,Trend Inconclusive,Stable,Large,Low
Nilgiri Flowerpecker,-45.58340686,-34.17828753,-19.74207953,-1.038052148,1.333013512,3.704079173,12.459,12.476,12.493,Trend Inconclusive,Stable,Moderate,Low
