"","Species","MinAOO","MaxAOO","MinEstimate_2km","EOOStartYear","LikelyEOO","MaxEOO","EOOYearBandChange","EOOChange","EOOChangePercent"
"329","Black Stork",NA,NA,NA,2013,4220245,NA,NA,NA,NA
"330","European Bee-eater",1503,144320,864,2023,398360,NA,NA,NA,NA
"331","Mountain Chiffchaff",2519,78539,1652,2014,217448,NA,NA,NA,NA
"332","Slaty-blue Flycatcher",NA,NA,NA,2018,1332210,NA,NA,NA,NA
"333","Western Crowned Warbler",NA,NA,NA,2014,2802382,NA,NA,NA,NA
"334","Baillon's Crake",NA,NA,NA,2014,5730640,NA,NA,NA,NA
"335","Bar-tailed Treecreeper",NA,NA,NA,2013,1020141,NA,NA,NA,NA
"336","Black-and-yellow Grosbeak",1538,41988,984,2016,109179,NA,NA,NA,NA
"337","Brownish-flanked Bush Warbler",NA,NA,NA,2020,1502550,NA,NA,NA,NA
"338","Blyth's Reed Warbler",NA,NA,NA,2015,4540138,NA,NA,NA,NA
"339","Chestnut-eared Bunting",1017,200490,708,2021,1376055,NA,"2014-2020 to 2021-2025",-1785505,-56.475437028328
"340","Chukar",NA,NA,NA,2013,247851,NA,NA,NA,NA
"341","Common Grasshopper Warbler",832,695522,484,2017,2399914,NA,NA,NA,NA
"342","Eurasian Jackdaw",2217,47634,1272,2014,100721,NA,NA,NA,NA
"343","European Roller",NA,NA,NA,2015,2207028,NA,NA,NA,NA
"344","Hodgson's Treecreeper",961,95966,716,2015,669299,NA,NA,NA,NA
"345","Fire-capped Tit",720,342610,432,2012,1428303,NA,NA,NA,NA
"346","Himalayan Cuckoo",NA,NA,NA,2018,2609134,NA,NA,NA,NA
"347","Indian Blue Robin",NA,NA,NA,2010,3692060,NA,NA,NA,NA
"348","Little Ringed Plover",NA,NA,NA,2015,6136463,NA,NA,NA,NA
"349","Orange Bullfinch",605,16321,328,2016,38070,NA,NA,NA,NA
"350","Oriental Skylark",NA,NA,NA,2019,6526030,NA,NA,NA,NA
"351","Red-wattled Lapwing",NA,NA,NA,2015,4857584,NA,NA,NA,NA
"352","Ruddy-breasted Crake",NA,NA,NA,2014,5927345,NA,NA,NA,NA
"353","Spectacled Finch",374,34592,232,2015,100374,NA,"2005-2014 to 2015-2025",-106728,-51.5338823328666
"354","Spotted Crake",358,244140,192,2015,772454,NA,NA,NA,NA
"355","Tytler's Leaf Warbler",1250,478371,884,2015,1451541,NA,NA,NA,NA
"356","Bluethroat",NA,NA,NA,2011,6275447,NA,NA,NA,NA
"357","Carrion Crow",635,34352,408,2020,89675,NA,NA,NA,NA
"358","Eurasian Magpie",3953,41577,2076,2019,99411,NA,NA,NA,NA
"359","Himalayan Griffon",NA,NA,NA,2012,4134247,NA,NA,NA,NA
"360","House Sparrow",NA,NA,NA,2016,6995680,NA,NA,NA,NA
"361","Bar-headed Goose",NA,NA,NA,2011,4368650,NA,NA,NA,NA
"362","Black-winged Snowfinch",1526,32862,1012,2017,294340,NA,NA,NA,NA
"363","Long-billed Bush Warbler",34,928,20,2022,807,6471,NA,NA,NA
"364","Rock Pigeon",NA,NA,NA,2019,7440887,NA,NA,NA,NA
"365","Blyth's Rosefinch",494,53030,276,2020,153857,NA,NA,NA,NA
"366","Brown Accentor",1572,69330,1028,2018,381844,NA,NA,NA,NA
"367","Buff-barred Warbler",NA,NA,NA,2015,1346526,NA,NA,NA,NA
"368","Variable Wheatear",NA,NA,NA,2013,1331605,NA,NA,NA,NA
"369","White-bellied Redstart",197,37812,156,2019,396589,NA,NA,NA,NA
"370","White-throated Tit",365,35176,280,2018,97555,NA,NA,NA,NA
"371","Common Quail",1206,738364,708,2012,2758294,NA,NA,NA,NA
"372","Common Tern",NA,NA,NA,2015,3550360,NA,NA,NA,NA
"373","Little Owl",274,15265,200,2021,315067,NA,NA,NA,NA
"374","Common Buzzard",NA,NA,NA,2012,4606039,NA,NA,NA,NA
"375","Hume's Warbler",NA,NA,NA,2016,4014587,NA,NA,NA,NA
"376","Dark-sided Flycatcher",NA,NA,NA,2021,1939485,NA,"2013-2020 to 2021-2025",-965975,-33.2468805623321
"377","Little Bittern",220,97665,172,2019,270735,NA,NA,NA,NA
"378","Little Grebe",NA,NA,NA,2012,6122501,NA,NA,NA,NA
"379","Ultramarine Flycatcher",NA,NA,NA,2014,3410712,NA,NA,NA,NA
"380","Jack Snipe",373,602414,236,2014,2096369,NA,NA,NA,NA
"381","Barred Buttonquail",NA,NA,NA,2015,4186158,NA,NA,NA,NA
"382","Asian Palm Swift",NA,NA,NA,2016,3995046,NA,NA,NA,NA
"383","Baya Weaver",NA,NA,NA,2014,4425263,NA,NA,NA,NA
"384","Black-rumped Flameback",NA,NA,NA,2015,4176535,NA,NA,NA,NA
"385","Blue-faced Malkoha",NA,NA,NA,2016,1380344,NA,NA,NA,NA
"386","Black-naped Monarch",NA,NA,NA,2019,5846629,NA,NA,NA,NA
"387","Brown-capped Pygmy Woodpecker",NA,NA,NA,2015,2866932,NA,NA,NA,NA
"388","Common Hawk-Cuckoo",NA,NA,NA,2015,4093058,NA,NA,NA,NA
"389","Common Iora",NA,NA,NA,2014,4503076,NA,NA,NA,NA
"390","Common Woodshrike",NA,NA,NA,2016,3988658,NA,NA,NA,NA
"391","Greater Coucal",NA,NA,NA,2015,4655537,NA,NA,NA,NA
"392","Green Imperial-Pigeon",NA,NA,NA,2017,3701470,NA,NA,NA,NA
"393","Green Warbler",NA,NA,NA,2019,2732818,NA,NA,NA,NA
"394","Indian Pitta",NA,NA,NA,2014,3053724,NA,NA,NA,NA
"395","Indian Thick-knee",NA,NA,NA,2017,4052319,NA,NA,NA,NA
"396","Indian Scimitar-Babbler",NA,NA,NA,2017,1601996,NA,NA,NA,NA
"397","Jerdon's Bushlark",NA,NA,NA,2017,1447127,NA,NA,NA,NA
"398","Jerdon's Leafbird",NA,NA,NA,2012,1995624,NA,NA,NA,NA
"399","Jungle Babbler",NA,NA,NA,2021,3943645,NA,NA,NA,NA
"400","Jungle Prinia",NA,NA,NA,2017,2796155,NA,NA,NA,NA
"401","Loten's Sunbird",NA,NA,NA,2013,1508498,NA,NA,NA,NA
"402","Plum-headed Parakeet",NA,NA,NA,2012,3381110,NA,NA,NA,NA
"403","Red Spurfowl",NA,NA,NA,2016,1980521,NA,NA,NA,NA
"404","Rufous Treepie",NA,NA,NA,2015,4634324,NA,NA,NA,NA
"405","Small Minivet",NA,NA,NA,2017,5311023,NA,NA,NA,NA
"406","Spot-breasted Fantail",NA,NA,NA,2022,1279158,NA,NA,NA,NA
"407","Tickell's Blue Flycatcher",NA,NA,NA,2017,2923668,NA,NA,NA,NA
"408","White-browed Bulbul",NA,NA,NA,2017,1953769,NA,NA,NA,NA
"409","White-rumped Shama",NA,NA,NA,2015,3735600,NA,NA,NA,NA
"410","Yellow-billed Babbler",NA,NA,NA,2016,923843,NA,NA,NA,NA
"411","Yellow-footed Green-Pigeon",NA,NA,NA,2018,4406852,NA,NA,NA,NA
"412","Yellow-legged Buttonquail",130,515695,100,2013,1974635,NA,NA,NA,NA
"413","Blue-bearded Bee-eater",NA,NA,NA,2014,3510023,NA,NA,NA,NA
"414","Asian Green Bee-eater",NA,NA,NA,2014,4588590,NA,NA,NA,NA
"415","Indian Gray Hornbill",NA,NA,NA,2016,3055298,NA,NA,NA,NA
"416","Ashy Woodswallow",NA,NA,NA,2013,3594662,NA,NA,NA,NA
"417","Black-headed Cuckooshrike",NA,NA,NA,2014,3252685,NA,NA,NA,NA
"418","Brown-cheeked Fulvetta",NA,NA,NA,2013,2385220,NA,NA,NA,NA
"419","Crested Treeswift",NA,NA,NA,2016,3314113,NA,NA,NA,NA
"420","Golden-fronted Leafbird",NA,NA,NA,2016,3499832,NA,NA,NA,NA
"421","Greater Racket-tailed Drongo",NA,NA,NA,2014,5388532,NA,NA,NA,NA
"422","House Crow",NA,NA,NA,2011,7321828,NA,NA,NA,NA
"423","Indian Roller",NA,NA,NA,2016,3627468,NA,NA,NA,NA
"424","Orange-headed Thrush",NA,NA,NA,2017,6000272,NA,NA,NA,NA
"425","Paddyfield Pipit",NA,NA,NA,2018,6235541,NA,NA,NA,NA
"426","Red-headed Vulture",NA,NA,NA,2015,3259501,NA,NA,NA,NA
"427","Rufous Woodpecker",NA,NA,NA,2017,3541908,NA,NA,NA,NA
"428","Orange Minivet",NA,NA,NA,2019,421809,NA,NA,NA,NA
"429","Spotted Dove",NA,NA,NA,2018,4843406,NA,NA,NA,NA
"430","Square-tailed Bulbul",NA,NA,NA,2015,261033,NA,NA,NA,NA
"431","Velvet-fronted Nuthatch",NA,NA,NA,2013,3367513,NA,NA,NA,NA
"432","White-cheeked Barbet",NA,NA,NA,2018,552435,NA,NA,NA,NA
"433","Yellow-crowned Woodpecker",NA,NA,NA,2014,2873503,NA,NA,NA,NA
"434","Asian Fairy-bluebird",NA,NA,NA,2012,3757014,NA,NA,NA,NA
"435","Black-hooded Oriole",NA,NA,NA,2014,5196174,NA,NA,NA,NA
"436","Brown Fish-Owl",NA,NA,NA,2016,4159316,NA,NA,NA,NA
"437","Common Babbler",NA,NA,NA,2015,3096561,NA,NA,NA,NA
"438","Indian Silverbill",NA,NA,NA,2017,3524121,NA,NA,NA,NA
"439","Jerdon's Nightjar",NA,NA,NA,2016,1371594,NA,NA,NA,NA
"440","Painted Spurfowl",NA,NA,NA,2013,1550028,NA,NA,NA,NA
"441","White-rumped Munia",NA,NA,NA,2016,5439477,NA,NA,NA,NA
"442","Changeable Hawk-Eagle",NA,NA,NA,2018,5221499,NA,NA,NA,NA
"443","Yellow-wattled Lapwing",NA,NA,NA,2016,3701936,NA,NA,NA,NA
"444","Ashy-crowned Sparrow-Lark",NA,NA,NA,2013,3402941,NA,NA,NA,NA
"445","Rose-ringed Parakeet",NA,NA,NA,2017,5114070,NA,NA,NA,NA
"446","Yellow-throated Sparrow",NA,NA,NA,2010,3393031,NA,NA,NA,NA
"447","Little Swift",NA,NA,NA,2012,4207260,NA,NA,NA,NA
"448","Pale-billed Flowerpecker",NA,NA,NA,2019,3546401,NA,NA,NA,NA
"449","Blanford's Snowfinch",289,11134,180,2018,100428,NA,NA,NA,NA
"450","Common Greenshank",NA,NA,NA,2018,6971783,NA,NA,NA,NA
"451","Rufous-tailed Rock-Thrush",22,4207,24,2021,8179,27836,NA,NA,NA
"452","Temminck's Stint",NA,NA,NA,2015,4491912,NA,NA,NA,NA
"453","Dusky Crag-Martin",NA,NA,NA,2015,2835768,NA,NA,NA,NA
"454","Indian Blackbird",NA,NA,NA,2008,1813607,NA,NA,NA,NA
"455","Rufous-tailed Lark",NA,NA,NA,2015,2565333,NA,NA,NA,NA
"456","Blue-throated Flycatcher",NA,NA,NA,2015,4219361,NA,NA,NA,NA
"457","Red-breasted Flycatcher",NA,NA,NA,2012,3147525,NA,NA,NA,NA
"458","Verditer Flycatcher",NA,NA,NA,2014,4512183,NA,NA,NA,NA
"459","Chestnut-tailed Starling",NA,NA,NA,2014,4383817,NA,NA,NA,NA
"460","Paddyfield Warbler",NA,NA,NA,2015,3748614,NA,NA,NA,NA
"461","Black-crested Bulbul",NA,NA,NA,2017,2038297,NA,NA,NA,NA
"462","Bar-winged Flycatcher-shrike",NA,NA,NA,2013,3755963,NA,NA,NA,NA
"463","Indian Nuthatch",NA,NA,NA,2020,1913927,NA,NA,NA,NA
"464","Pale-chinned Flycatcher",3198,232026,1900,2022,1023147,NA,NA,NA,NA
"465","Scarlet Minivet",NA,NA,NA,2013,3463725,NA,NA,NA,NA
"466","Black-throated Munia",NA,NA,NA,2017,950107,NA,NA,NA,NA
"467","Fulvous-breasted Woodpecker",NA,NA,NA,2017,2293669,NA,NA,NA,NA
"468","Green-crowned Warbler",910,289870,676,2015,1309472,NA,NA,NA,NA
"469","Gray-headed Canary-Flycatcher",NA,NA,NA,2023,4653924,NA,NA,NA,NA
"470","Large Woodshrike",3454,412597,1996,2015,1843559,NA,NA,NA,NA
"471","Rosy Minivet",1847,667608,1264,2011,2748222,NA,NA,NA,NA
"472","Pin-striped Tit-Babbler",NA,NA,NA,2019,1628343,NA,"2003-2018 to 2019-2025",-473759,-22.5373805656325
"473","Pale-footed Bush Warbler",78,163397,64,2012,1502219,NA,NA,NA,NA
"474","Pied Thrush",417,365752,268,2016,1344986,NA,NA,NA,NA
"475","Indian Pied Starling",NA,NA,NA,2019,3664666,NA,NA,NA,NA
"476","Black-winged Stilt",NA,NA,NA,2021,6966711,NA,NA,NA,NA
"477","Common Snipe",NA,NA,NA,2015,6766467,NA,NA,NA,NA
"478","Pacific Golden-Plover",NA,NA,NA,2018,6855072,NA,NA,NA,NA
"479","River Lapwing",NA,NA,NA,2017,2671329,NA,NA,NA,NA
"480","Jungle Owlet",NA,NA,NA,2014,2676060,NA,NA,NA,NA
"481","Gray-bellied Cuckoo",NA,NA,NA,2014,5960438,NA,NA,NA,NA
"482","Tawny Pipit",NA,NA,NA,2012,2646699,NA,NA,NA,NA
"483","Thick-billed Flowerpecker",NA,NA,NA,2017,3576687,NA,NA,NA,NA
"484","White-eyed Buzzard",NA,NA,NA,2014,3389752,NA,NA,NA,NA
"485","Laggar Falcon",1167,490356,716,2011,1700857,NA,NA,NA,NA
"486","Small Pratincole",NA,NA,NA,2016,5757655,NA,NA,NA,NA
"487","Jungle Bush-Quail",NA,NA,NA,2016,2623807,NA,NA,NA,NA
"488","White Stork",869,390353,580,2013,1442796,NA,NA,NA,NA
"489","Great Thick-knee",NA,NA,NA,2015,4166748,NA,NA,NA,NA
"490","Painted Sandgrouse",NA,NA,NA,2013,1622978,NA,NA,NA,NA
"491","Asian Woolly-necked Stork",NA,NA,NA,2015,4449320,NA,NA,NA,NA
"492","Cotton Pygmy-Goose",NA,NA,NA,2017,6167799,NA,NA,NA,NA
"493","Greater Painted-Snipe",NA,NA,NA,2022,4484184,NA,"2013-2021 to 2022-2025",-1235788,-21.6047904100313
"494","Mottled Wood-Owl",NA,NA,NA,2016,2578923,NA,NA,NA,NA
"495","Red Avadavat",NA,NA,NA,2013,3550384,NA,NA,NA,NA
"496","Siberian Pipit",45,2154,36,2019,4985,7221,NA,NA,NA
"497","Eurasian Nightjar",146,3891,112,2018,11825,13698,NA,NA,NA
"498","Gadwall",NA,NA,NA,2017,4515791,NA,NA,NA,NA
"499","Marbled Duck",10,3008,12,2012,5810,17991,NA,NA,NA
"500","Tufted Duck",NA,NA,NA,2015,4327263,NA,NA,NA,NA
"501","Black-winged Kite",NA,NA,NA,2014,4908035,NA,NA,NA,NA
"502","Black-headed Bunting",NA,NA,NA,2009,3026096,NA,NA,NA,NA
"503","Bristled Grassbird",763,598893,356,2015,2754147,NA,NA,NA,NA
"504","Gray-headed Fish-Eagle",NA,NA,NA,2016,2393315,NA,NA,NA,NA
"505","Gray-headed Swamphen",NA,NA,NA,2013,6027453,NA,NA,NA,NA
"506","White-naped Woodpecker",NA,NA,NA,2014,2042752,NA,NA,NA,NA
"507","Chinese Vivid Niltava",36,35048,28,2008,105054,NA,NA,NA,NA
"508","Slaty-legged Crake",616,486922,472,2012,1858872,NA,NA,NA,NA
"509","White-bellied Woodpecker",NA,NA,NA,2017,702640,NA,NA,NA,NA
"510","Short-toed Snake-Eagle",NA,NA,NA,2014,4390450,NA,NA,NA,NA
"511","Alpine Swift",NA,NA,NA,2016,3384480,NA,NA,NA,NA
"512","Black-crowned Night Heron",NA,NA,NA,2014,7176419,NA,NA,NA,NA
"513","Oriental Darter",NA,NA,NA,2016,5598620,NA,NA,NA,NA
"514","River Tern",NA,NA,NA,2015,4305693,NA,NA,NA,NA
"515","Wire-tailed Swallow",NA,NA,NA,2015,3360819,NA,NA,NA,NA
"516","Southern Hill Myna",NA,NA,NA,2014,134734,NA,NA,NA,NA
"517","Crested Serpent-Eagle",NA,NA,NA,2016,6503937,NA,NA,NA,NA
"518","Hair-crested Drongo",NA,NA,NA,2010,4026060,NA,NA,NA,NA
"519","Indian Scops-Owl",NA,NA,NA,2015,3537885,NA,NA,NA,NA
"520","Thick-billed Warbler",NA,NA,NA,2019,3781420,NA,NA,NA,NA
"521","Knob-billed Duck",NA,NA,NA,2015,5222680,NA,NA,NA,NA
"522","Red-crested Pochard",NA,NA,NA,2015,3788036,NA,NA,NA,NA
"523","Eurasian Spoonbill",NA,NA,NA,2012,3916982,NA,NA,NA,NA
"524","Black-necked Crane",703,7170,360,2020,105158,NA,"2014-2019 to 2020-2025",-32777,-23.7628221331727
"525","Ward's Trogon",804,40761,208,2017,178685,NA,NA,NA,NA
"526","Mishmi Wren-Babbler",300,2101,80,2021,6635,8938,NA,NA,NA
"527","Northern Lapwing",2577,417706,1200,2012,2112097,NA,NA,NA,NA
"528","White-tailed Iora",NA,NA,NA,2018,1415167,NA,NA,NA,NA
"529","West Himalayan Bush Warbler",96,138247,68,2019,857725,NA,NA,NA,NA
"530","Crow-billed Drongo",160,209181,80,2012,943078,NA,NA,NA,NA
"531","Slender-billed Babbler",200,13120,100,2020,39058,NA,NA,NA,NA
"532","Smoky Warbler",705,99419,420,2013,627456,NA,NA,NA,NA
"533","Yellow-bellied Prinia",NA,NA,NA,2018,1939651,NA,NA,NA,NA
"534","Brown Rock Chat",NA,NA,NA,2015,2368762,NA,NA,NA,NA
"535","Siberian Rubythroat",3014,532349,1892,2018,2394163,NA,NA,NA,NA
"536","Black Bulbul",NA,NA,NA,2016,1424627,NA,NA,NA,NA
"537","Black-naped Oriole",NA,NA,NA,2013,4342549,NA,NA,NA,NA
"538","Black-throated Tit",NA,NA,NA,2021,1295714,NA,NA,NA,NA
"539","Crimson Sunbird",NA,NA,NA,2014,3678771,NA,NA,NA,NA
"540","Fire-breasted Flowerpecker",NA,NA,NA,2015,1177528,NA,NA,NA,NA
"541","Gray-chinned Minivet",1830,87668,1092,2015,372735,NA,NA,NA,NA
"542","Little Pied Flycatcher",NA,NA,NA,2017,1141583,NA,NA,NA,NA
"543","Maroon Oriole",NA,NA,NA,2016,1177844,NA,NA,NA,NA
"544","Mountain Bulbul",4124,114405,2344,2018,935073,NA,NA,NA,NA
"545","Mountain Tailorbird",2624,90292,1672,2012,406412,NA,NA,NA,NA
"546","Orange-bellied Leafbird",NA,NA,NA,2018,934079,NA,NA,NA,NA
"547","Ruby-cheeked Sunbird",2711,179075,1692,2018,819668,NA,NA,NA,NA
"548","Short-billed Minivet",3234,121213,1848,2020,873066,NA,NA,NA,NA
"549","Streaked Spiderhunter",NA,NA,NA,2021,557409,NA,NA,NA,NA
"550","Sultan Tit",4173,81959,1608,2018,331767,NA,NA,NA,NA
"551","Yellow-cheeked Tit",3298,95968,1400,2015,381634,NA,NA,NA,NA
"552","Gray-throated Martin",NA,NA,NA,2018,4045494,NA,NA,NA,NA
"553","Abbott's Babbler",1534,126866,1044,2014,533907,NA,NA,NA,NA
"554","Dusky Warbler",NA,NA,NA,2021,2803769,NA,NA,NA,NA
"555","Eastern Yellow Wagtail",NA,NA,NA,2015,3305356,NA,NA,NA,NA
"556","White-throated Fantail",NA,NA,NA,2012,2202049,NA,NA,NA,NA
"557","Mangrove Whistler",762,5017,500,2015,265224,NA,NA,NA,NA
"558","Greater Flameback",NA,NA,NA,2018,1958834,NA,NA,NA,NA
"559","Baikal Bush Warbler",306,55330,160,2014,277345,NA,NA,NA,NA
"560","Stripe-breasted Woodpecker",138,16102,60,2018,61803,NA,NA,NA,NA
"561","Moustached Laughingthrush",144,3582,108,2015,17979,26634,NA,NA,NA
"562","Brown-capped Laughingthrush",70,4918,44,2014,14541,21063,NA,NA,NA
"563","White-browed Laughingthrush",189,3127,140,2021,9842,13370,NA,NA,NA
"564","Hume's Treecreeper",217,931,60,2018,2086,3966,NA,NA,NA
"565","Little Heron",NA,NA,NA,2021,6270940,NA,NA,NA,NA
"566","Long-billed Thrush",1072,99977,760,2018,710976,NA,NA,NA,NA
"567","Maroon-backed Accentor",662,26607,444,2017,128487,NA,NA,NA,NA
"568","White-browed Bush-Robin",756,28280,472,2016,128940,NA,NA,NA,NA
"569","Buff-throated Warbler",245,15805,108,2021,47320,NA,NA,NA,NA
"570","Mount Victoria Babax",83,170,20,2025,118,836,NA,NA,NA
"571","Himalayan Thrush",114,7213,100,2021,39337,NA,NA,NA,NA
"572","Little Stint",NA,NA,NA,2012,5315896,NA,NA,NA,NA
"573","Western Hooded Pitta",963,121032,584,2016,783983,NA,NA,NA,NA
"574","Indian Peafowl",NA,NA,NA,2017,3709144,NA,NA,NA,NA
"575","Common Hill Myna",NA,NA,NA,2014,2723078,NA,NA,NA,NA
"576","Oriental Reed Warbler",573,2420,216,2020,103556,NA,NA,NA,NA
"577","Plaintive Cuckoo",NA,NA,NA,2017,2970259,NA,NA,NA,NA
"578","Pallas's Grasshopper Warbler",1696,267432,668,2016,2987020,NA,NA,NA,NA
"579","Cinnamon Bittern",NA,NA,NA,2017,6474140,NA,NA,NA,NA
"580","Eurasian Moorhen",NA,NA,NA,2017,7236087,NA,NA,NA,NA
"581","White-eared Bulbul",NA,NA,NA,2013,1280351,NA,NA,NA,NA
"582","Bank Myna",NA,NA,NA,2017,3476823,NA,NA,NA,NA
"583","Black-browed Reed Warbler",402,28028,160,2014,614649,NA,NA,NA,NA
"584","Malabar Barbet",NA,NA,NA,2016,113855,NA,NA,NA,NA
"585","Malabar Flameback",NA,NA,NA,2017,427302,NA,NA,NA,NA
"586","Malabar Parakeet",NA,NA,NA,2013,259959,NA,NA,NA,NA
"587","Malabar Starling",NA,NA,NA,2015,304020,NA,NA,NA,NA
"588","Malabar Trogon",NA,NA,NA,2017,1190082,NA,NA,NA,NA
"589","Malabar Woodshrike",NA,NA,NA,2019,123559,NA,NA,NA,NA
"590","Malabar Whistling-Thrush",NA,NA,NA,2017,1550834,NA,NA,NA,NA
"591","Malabar Imperial-Pigeon",NA,NA,NA,2020,146797,NA,NA,NA,NA
"592","Vernal Hanging-Parrot",NA,NA,NA,2015,3797523,NA,NA,NA,NA
"593","White-rumped Vulture",NA,NA,NA,2013,4077572,NA,NA,NA,NA
"594","Yellow-browed Bulbul",NA,NA,NA,2014,379095,NA,NA,NA,NA
"595","Red-billed Blue-Magpie",NA,NA,NA,2021,567499,NA,NA,NA,NA
"596","Rusty-cheeked Scimitar-Babbler",NA,NA,NA,2015,461856,NA,NA,NA,NA
"597","Lesser Yellownape",NA,NA,NA,2018,4036428,NA,NA,NA,NA
"598","Malabar Gray Hornbill",NA,NA,NA,2019,195849,NA,NA,NA,NA
"599","Oriental Honey-buzzard",NA,NA,NA,2018,6282289,NA,NA,NA,NA
"600","Nilgiri Flowerpecker",NA,NA,NA,2014,325919,NA,NA,NA,NA
"601","Rufous Babbler",NA,NA,NA,2017,238272,NA,NA,NA,NA
"602","White-bellied Treepie",NA,NA,NA,2016,71439,NA,NA,NA,NA
"603","Striated Grassbird",NA,NA,NA,2020,2224164,NA,NA,NA,NA
"604","Yellow Bittern",NA,NA,NA,2016,6445593,NA,NA,NA,NA
"605","Caspian Tern",NA,NA,NA,2017,2384539,NA,NA,NA,NA
"606","Black-headed Gull",NA,NA,NA,2013,4502996,NA,NA,NA,NA
"607","Great Egret",NA,NA,NA,2017,6956120,NA,NA,NA,NA
"608","Pale Martin",759,458245,544,2010,2292208,NA,NA,NA,NA
"609","Common Shelduck",968,707807,580,2014,3051022,NA,NA,NA,NA
"610","Graylag Goose",NA,NA,NA,2012,4313266,NA,NA,NA,NA
"611","Indian Spot-billed Duck",NA,NA,NA,2017,4481210,NA,NA,NA,NA
"612","Mrs. Gould's Sunbird",3626,132381,1880,2015,1053659,NA,NA,NA,NA
"613","Banded Bay Cuckoo",NA,NA,NA,2016,4996534,NA,NA,NA,NA
"614","Indian Cuckoo",NA,NA,NA,2017,5948328,NA,NA,NA,NA
"615","Lesser Coucal",NA,NA,NA,2017,4392033,NA,NA,NA,NA
"616","Long-toed Stint",745,74468,284,2019,1345328,NA,NA,NA,NA
"617","Ruff",NA,NA,NA,2014,4329429,NA,NA,NA,NA
"618","Black-winged Cuckooshrike",NA,NA,NA,2021,1909344,NA,"2008-2020 to 2021-2025",-560841,-22.704418712396
"619","White-winged Tern",392,629416,220,2021,3099930,NA,"2012-2020 to 2021-2025",-589446,-15.976843469917
"620","Brown-fronted Woodpecker",NA,NA,NA,2021,203237,NA,NA,NA,NA
"621","Green-backed Tit",NA,NA,NA,2021,1300920,NA,NA,NA,NA
"622","Gray-hooded Warbler",NA,NA,NA,2018,1552080,NA,NA,NA,NA
"623","Little Forktail",NA,NA,NA,2019,1115930,NA,NA,NA,NA
"624","Rufous-breasted Accentor",NA,NA,NA,2014,1114555,NA,NA,NA,NA
"625","Streaked Laughingthrush",NA,NA,NA,2014,572152,NA,NA,NA,NA
"626","Wedge-tailed Green-Pigeon",NA,NA,NA,2020,2045450,NA,NA,NA,NA
"627","Whiskered Yuhina",NA,NA,NA,2016,1279922,NA,NA,NA,NA
"628","White-throated Laughingthrush",NA,NA,NA,2018,442279,NA,NA,NA,NA
"629","Gray-headed Lapwing",NA,NA,NA,2008,4795618,NA,NA,NA,NA
"630","Marsh Sandpiper",NA,NA,NA,2014,5778629,NA,NA,NA,NA
"631","European Starling",NA,NA,NA,2013,4387601,NA,NA,NA,NA
"632","Indian Spotted Eagle",NA,NA,NA,2016,3826109,NA,NA,NA,NA
"633","Red-necked Falcon",NA,NA,NA,2014,3990991,NA,NA,NA,NA
"634","Spot-winged Starling",950,108984,736,2014,833477,NA,NA,NA,NA
"635","Brown Bullfinch",878,75133,512,2020,615454,NA,NA,NA,NA
"636","Chestnut-bellied Rock-Thrush",NA,NA,NA,2020,1251024,NA,NA,NA,NA
"637","Goldcrest",1649,118940,1172,2018,1030749,NA,NA,NA,NA
"638","Gray-winged Blackbird",NA,NA,NA,2013,1450105,NA,NA,NA,NA
"639","Altai Accentor",938,48639,572,2019,450503,NA,NA,NA,NA
"640","Mountain Scops-Owl",2228,162914,1660,2019,1198404,NA,NA,NA,NA
"641","Rufous-chinned Laughingthrush",1877,52833,960,2017,566636,NA,NA,NA,NA
"642","Speckled Piculet",NA,NA,NA,2016,4089901,NA,NA,NA,NA
"643","Variegated Laughingthrush",NA,NA,NA,2015,209069,NA,NA,NA,NA
"644","Scaly-breasted Cupwing",NA,NA,NA,2017,1109702,NA,NA,NA,NA
"645","Blue-capped Rock-Thrush",NA,NA,NA,2015,3536718,NA,NA,NA,NA
"646","Blue-throated Barbet",NA,NA,NA,2020,1669413,NA,NA,NA,NA
"647","Russet Sparrow",NA,NA,NA,2018,1315868,NA,NA,NA,NA
"648","Black-breasted Weaver",NA,NA,NA,2018,3674672,NA,NA,NA,NA
"649","Black-bellied Plover",NA,NA,NA,2014,4071422,NA,NA,NA,NA
"650","Eurasian Whimbrel",NA,NA,NA,2014,5184266,NA,NA,NA,NA
"651","Australasian Grass-Owl",125,26681,96,2019,81642,NA,NA,NA,NA
"652","Eurasian Coot",NA,NA,NA,2012,6223534,NA,NA,NA,NA
"653","Striated Babbler",NA,NA,NA,2013,2117298,NA,NA,NA,NA
"654","Black Bittern",NA,NA,NA,2017,6355552,NA,NA,NA,NA
"655","Gray-capped Pygmy Woodpecker",NA,NA,NA,2016,1373359,NA,NA,NA,NA
"656","Malayan Night Heron",419,384469,312,2020,3192072,NA,"2007-2019 to 2020-2025",-591817,-15.6404476402897
"657","Nilgiri Wood-Pigeon",NA,NA,NA,2017,368848,NA,NA,NA,NA
"658","Black-chinned Babbler",NA,NA,NA,2015,154480,NA,NA,NA,NA
"659","Stripe-throated Yuhina",4734,121857,1788,2011,916421,NA,NA,NA,NA
"660","Sirkeer Malkoha",NA,NA,NA,2015,2989553,NA,NA,NA,NA
"661","Red-headed Bunting",NA,NA,NA,2017,1914802,NA,NA,NA,NA
