"","Species","MinAOO","MaxAOO","MinEstimate_2km","EOOStartYear","LikelyEOO","MaxEOO","EOOYearBandChange","EOOChange","EOOChangePercent"
"140","Gray-headed Woodpecker",NA,NA,NA,2019,2393403,NA,NA,NA,NA
"141","Laughing Dove",NA,NA,NA,2018,3529200,NA,NA,NA,NA
"142","Scaly-breasted Munia",NA,NA,NA,2017,6072512,NA,NA,NA,NA
"143","Oriental Turtle-Dove",NA,NA,NA,2021,4812434,NA,NA,NA,NA
"144","White-browed Wagtail",NA,NA,NA,2015,4371761,NA,NA,NA,NA
"145","Himalayan Bulbul",NA,NA,NA,2015,694209,NA,NA,NA,NA
"146","Red-breasted Parakeet",NA,NA,NA,2020,1980736,NA,NA,NA,NA
"147","Long-tailed Parakeet",2405,5459,1196,2014,110431,NA,NA,NA,NA
"148","Demoiselle Crane",NA,NA,NA,2013,1675343,NA,NA,NA,NA
"149","Slaty-headed Parakeet",NA,NA,NA,2015,436565,NA,NA,NA,NA
"150","Asian Barred Owlet",NA,NA,NA,2021,1371423,NA,NA,NA,NA
"151","Common Kingfisher",NA,NA,NA,2016,7214239,NA,NA,NA,NA
"152","Common Rosefinch",NA,NA,NA,2019,4955784,NA,NA,NA,NA
"153","Egyptian Vulture",NA,NA,NA,2009,3041382,NA,NA,NA,NA
"154","Yellow-billed Blue-Magpie",NA,NA,NA,2016,939286,NA,NA,NA,NA
"155","Green-tailed Sunbird",NA,NA,NA,2015,952318,NA,NA,NA,NA
"156","Gray Bushchat",NA,NA,NA,2015,2319963,NA,NA,NA,NA
"157","Gray Wagtail",NA,NA,NA,2015,7340837,NA,NA,NA,NA
"158","Lesser Whitethroat",NA,NA,NA,2011,3511127,NA,NA,NA,NA
"159","Small Niltava",NA,NA,NA,2017,1225428,NA,NA,NA,NA
"160","Spotted Forktail",NA,NA,NA,2013,1310383,NA,NA,NA,NA
"161","White-throated Kingfisher",NA,NA,NA,2017,7122690,NA,NA,NA,NA
"162","Eastern Red-rumped Swallow",NA,NA,NA,2015,5995716,NA,NA,NA,NA
"163","Chinese Sparrowhawk",187,1396,140,2016,33664,NA,NA,NA,NA
"164","Nicobar Jungle Flycatcher",60,225,60,2022,465,1036,NA,NA,NA
"165","Indian Courser",NA,NA,NA,2017,2380981,NA,NA,NA,NA
"166","Yellow-throated Bulbul",2550,76752,1300,2021,261816,NA,NA,NA,NA
"167","Hill Blue Flycatcher",115,22075,92,2014,75029,NA,NA,NA,NA
