"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
2021,"Malabar Parakeet","2021",0.002659585328599,0.0174160556216058,0.102553335743353,148.932661116231,273.449275427221,1041.0773411527,80.6275876316787,109.165191995936,154.084511517768,NA,NA,NA,80.6275876316787,109.165191995936,154.084511517768
2022,"Malabar Parakeet","2022",0.00168158113524594,0.0110535672436167,0.0702541869657185,96.5494058913937,175.763933610017,695.829016796961,51.8633715682184,70.263061286032,97.4805756449372,NA,NA,NA,51.8633715682184,70.263061286032,97.4805756449372
2023,"Malabar Parakeet","2023",0.00174237968903971,0.0111852255778972,0.0691993524553818,96.3982577330879,176.525803624773,786.642365998842,54.9854019559777,70.2783995503601,93.1197109812606,NA,NA,NA,54.9854019559777,70.2783995503601,93.1197109812606
2024,"Malabar Parakeet","2024",0.0022299196510045,0.0141520481406754,0.0849654165343778,120.725647436538,223.415502151482,933.52689834758,69.8776578143473,89.9394466899531,118.48001760564,NA,NA,NA,69.8776578143473,89.9394466899531,118.48001760564
2025,"Malabar Parakeet","2025",0.00159562704554919,0.00960368672208358,0.059040957195463,79.6268900415678,150.212563649838,606.331769691777,45.7988432018933,60.3422580364464,79.681128257957,NA,NA,NA,45.7988432018933,60.3422580364464,79.681128257957
2026,"Malabar Parakeet","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,54.5567470548882,71.0387917919941,93.0155107085189,54.5567470548882,71.0387917919941,93.0155107085189
2027,"Malabar Parakeet","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,51.4449294745699,69.6773878183861,94.728860336274,51.4449294745699,69.6773878183861,94.728860336274
2028,"Malabar Parakeet","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,48.4948587117646,68.2538123938834,96.5820628790689,48.4948587117646,68.2538123938834,96.5820628790689
2029,"Malabar Parakeet","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,45.5245939373566,66.8393886064221,98.1653171538155,45.5245939373566,66.8393886064221,98.1653171538155
2030,"Malabar Parakeet","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,42.8149011303014,65.4454556088556,100.07279847751,42.8149011303014,65.4454556088556,100.07279847751
2031,"Malabar Parakeet","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2658110636228,64.1146209513907,101.847115937222,40.2658110636228,64.1146209513907,101.847115937222
2032,"Malabar Parakeet","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7988010667921,62.6890482025818,103.736908646278,37.7988010667921,62.6890482025818,103.736908646278
2033,"Malabar Parakeet","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4410524600345,61.312667882029,105.709711254828,35.4410524600345,61.312667882029,105.709711254828
1997,"Small Minivet","before 2000",0.055915067137734,0.0876647135934972,0.130106557446397,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Small Minivet","2000-2006",0.0691591587788293,0.0974019651513997,0.134321594476945,80.4265315536221,110.921529588321,161.021219369534,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Small Minivet","2007-2010",0.068922931801724,0.104883311071214,0.147055009316092,80.5146256015628,118.201700625017,181.06014268306,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Small Minivet","2011-2012",0.0538495060774117,0.0834456180523472,0.117839008429287,62.4213242272921,94.9177111009195,143.446635903414,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Small Minivet","2013",0.0330460761525257,0.0551239280180795,0.0829603045562669,39.4962742356488,63.5860165975924,98.7756626641291,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Small Minivet","2014",0.0525577498259245,0.074185838408126,0.0989914999440355,59.2451462273283,84.3340211718743,120.69703082329,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Small Minivet","2015",0.0666750647967706,0.091320002369242,0.120594174997453,75.9757901399979,103.904543245781,143.906663967065,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Small Minivet","2016",0.0499410575815165,0.0690256398320107,0.0917992012544328,57.9645922500585,77.5949402903231,107.858243201309,100,100,100,NA,NA,NA,100,100,100
2017,"Small Minivet","2017",0.0600076082754095,0.0821645381649607,0.107829438631473,69.9423357231673,92.4248695134405,127.559684541307,99.1059182994252,119.431233450155,143.982433413496,NA,NA,NA,99.1059182994252,119.431233450155,143.982433413496
2018,"Small Minivet","2018",0.0561803324774535,0.0771450913118469,0.102980240695338,64.5423239950376,87.4267323550576,122.302151839895,91.0625668872432,111.879462465803,134.985727351183,NA,NA,NA,91.0625668872432,111.879462465803,134.985727351183
2019,"Small Minivet","2019",0.0682919530123156,0.0932928476368738,0.121769124253446,78.6101409567289,104.657322463379,150.069805849037,111.615576920017,134.721246824305,164.444721192469,NA,NA,NA,111.615576920017,134.721246824305,164.444721192469
2020,"Small Minivet","2020",0.0788952647946712,0.107421390752509,0.142225338744421,91.194509599115,122.191251790281,171.872347292514,128.50751269573,155.886072911461,192.101203803565,NA,NA,NA,128.50751269573,155.886072911461,192.101203803565
2021,"Small Minivet","2021",0.0683971112873028,0.0933337065792743,0.121511300632358,79.6190361901365,105.543699435572,149.811770865395,114.532518510298,135.241976486473,162.282704552164,NA,NA,NA,114.532518510298,135.241976486473,162.282704552164
2022,"Small Minivet","2022",0.0682494990091593,0.0906077776388344,0.118675819368285,77.3912510433475,103.250601518791,142.208018253828,111.10205510863,131.606034102802,157.540697083223,NA,NA,NA,111.10205510863,131.606034102802,157.540697083223
2023,"Small Minivet","2023",0.0659210037122863,0.0876933204278352,0.112345005981699,75.3100693188288,98.8353114439549,138.580811435028,108.678451586882,127.325245382007,150.594951186161,NA,NA,NA,108.678451586882,127.325245382007,150.594951186161
2024,"Small Minivet","2024",0.0578534841302992,0.078648418853683,0.102247020056873,67.601372390387,88.6502591546633,124.392239508223,97.4944074214561,114.075371861112,135.259903237208,NA,NA,NA,97.4944074214561,114.075371861112,135.259903237208
2025,"Small Minivet","2025",0.0660787154756179,0.0891148908529533,0.114743846298955,76.7040255211455,100.412494494745,139.400714690243,110.517695500403,128.910212518869,152.764976438584,NA,NA,NA,110.517695500403,128.910212518869,152.764976438584
2026,"Small Minivet","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,113.502160784519,135.745482549291,162.32711083157,113.502160784519,135.745482549291,162.32711083157
2027,"Small Minivet","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,112.165991448972,137.731461320618,169.015559228159,112.165991448972,137.731461320618,169.015559228159
2028,"Small Minivet","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,110.92569552238,139.695840878711,176.089864100695,110.92569552238,139.695840878711,176.089864100695
2029,"Small Minivet","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,109.526219710408,141.826803943026,183.394338983288,109.526219710408,141.826803943026,183.394338983288
2030,"Small Minivet","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,108.071540228512,144.154215894043,191.482515223356,108.071540228512,144.154215894043,191.482515223356
2031,"Small Minivet","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,106.643803124161,146.378759584167,199.755729473117,106.643803124161,146.378759584167,199.755729473117
2032,"Small Minivet","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,105.229370290879,148.333818964495,208.374449616902,105.229370290879,148.333818964495,208.374449616902
2033,"Small Minivet","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,103.797190735927,150.561763500196,217.728236870021,103.797190735927,150.561763500196,217.728236870021
1997,"Orange Minivet","before 2000",0.0567034245603676,0.155353148945671,0.337228899337015,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Orange Minivet","2000-2006",0.0385339026860374,0.099870609105771,0.231148652013065,49.0633119304961,65.2267365201561,84.8915840862877,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Orange Minivet","2007-2010",0.0285214105513418,0.0861972861897151,0.194115502076463,38.5663438436375,55.2370695512143,75.6271188176591,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Orange Minivet","2011-2012",0.0483564807776838,0.128759356040288,0.286900256019342,59.7264173464615,82.6792895974087,111.439676033481,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Orange Minivet","2013",0.0251012093795692,0.0665069562564629,0.159973289022841,30.958672888335,44.0791711235375,60.7928930800782,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Orange Minivet","2014",0.0295412629205932,0.0796167121332426,0.184182847779857,38.570892595029,51.9669516207665,65.66094669512,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Orange Minivet","2015",0.0316605054054843,0.0849842599992832,0.196851256359628,43.2655802229578,55.4342140896761,70.6733318023995,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Orange Minivet","2016",0.0264877395119492,0.0698635833006013,0.164621437117947,35.1650562694834,45.9180753932408,57.2436300923725,100,100,100,NA,NA,NA,100,100,100
2017,"Orange Minivet","2017",0.0241774804039172,0.0656374427562497,0.157543752281243,33.6630199542503,43.0322705128471,53.0156129252,80.6589761905824,93.889829892091,109.346644228633,NA,NA,NA,80.6589761905824,93.889829892091,109.346644228633
2018,"Orange Minivet","2018",0.0219190502449224,0.059370089655008,0.139504770161414,29.2687847586127,38.8720484865091,50.3661284931852,69.6593429920296,84.7335080151543,102.439631519162,NA,NA,NA,69.6593429920296,84.7335080151543,102.439631519162
2019,"Orange Minivet","2019",0.0255955617724135,0.0717135522922851,0.166171302678412,35.8368786392809,46.4197657939914,57.8005805054859,84.089329282677,101.588909730684,121.435835352166,NA,NA,NA,84.089329282677,101.588909730684,121.435835352166
2020,"Orange Minivet","2020",0.0309937634564581,0.0860049090918852,0.196434840496391,43.8175797664383,56.0713258156992,71.3920838496828,103.188724170991,122.226199825102,147.163659676153,NA,NA,NA,103.188724170991,122.226199825102,147.163659676153
2021,"Orange Minivet","2021",0.0309912475190941,0.0820257396277667,0.187599793431942,42.7016994638489,53.973037559006,66.6431862373874,100.254839151841,117.519033321482,137.24249689254,NA,NA,NA,100.254839151841,117.519033321482,137.24249689254
2022,"Orange Minivet","2022",0.0298563784288689,0.0798133832567906,0.186835036651788,41.1869972565905,52.2528892930362,64.4083380810569,98.1253369315034,113.872382734146,133.35633382612,NA,NA,NA,98.1253369315034,113.872382734146,133.35633382612
2023,"Orange Minivet","2023",0.018479741321527,0.0498516607173727,0.117654961060971,25.6925609636747,32.6810367224084,40.3609373189705,61.4715057311906,71.4092743656119,81.6872868325366,NA,NA,NA,61.4715057311906,71.4092743656119,81.6872868325366
2024,"Orange Minivet","2024",0.0275824240982196,0.0740367396280026,0.171896967410236,38.0408819879268,48.2681601441177,59.3610541617153,91.7436379570366,105.203284273798,119.830376157762,NA,NA,NA,91.7436379570366,105.203284273798,119.830376157762
2025,"Orange Minivet","2025",0.0227949876661277,0.0609910362793246,0.144347165245833,31.7216946869734,39.8900709312506,48.8452491654549,76.5300263213768,87.1851569195949,99.6283268225786,NA,NA,NA,76.5300263213768,87.1851569195949,99.6283268225786
2026,"Orange Minivet","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,74.9305179820115,95.4697675803016,121.337241176412,74.9305179820115,95.4697675803016,121.337241176412
2027,"Orange Minivet","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,71.8582878704139,94.9355519542833,125.074761360301,71.8582878704139,94.9355519542833,125.074761360301
