"eBird.English.Name.2022","eBird.Scientific.Name.2022","eBird.Code","Order","Family","SOIB.Concern.Status","SOIB.Long.Term.Status","SOIB.Current.Status","SOIB.Range.Status","Breeding.Activity.Period","Non.Breeding.Activity.Period","Diet.Guild","India.Endemic","Subcontinent.Endemic","Himalayas.Endemic","Endemic.Region","Habitat.Specialization","Migratory.Status.Within.India","Essential","Discard","Restricted.Islands","India.Checklist.Common.Name","India.Checklist.Scientific.Name","BLI.Common.Name","BLI.Scientific.Name","IUCN.Category","WPA.Schedule","CITES.Appendix","CMS.Appendix","Onepercent.Estimates","Long.Term.Analysis","Current.Analysis","Selected.SOIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km2022","mean5km","ci5km","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","proj2023.lci","proj2023.mean","proj2023.rci","proj2024.lci","proj2024.mean","proj2024.rci","proj2025.lci","proj2025.mean","proj2025.rci","proj2026.lci","proj2026.mean","proj2026.rci","proj2027.lci","proj2027.mean","proj2027.rci","proj2028.lci","proj2028.mean","proj2028.rci","proj2029.lci","proj2029.mean","proj2029.rci","rangemean","rangelci","rangerci"
"Chestnut-tailed Minla","Actinodura strigula","chtmin1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Low","Uncertain","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident & Altitudinal Migrant",NA,NA,NA,"Chestnut-tailed Minla","Actinodura strigula","Bar-throated Minla","Chrysominla strigula","Least Concern","Schedule-II","","Appendix II",NA,"","","X",39,0.128205128205128,0.342948717948718,0.461538461538462,12.1538461538462,2.04484083164997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23616,23450,23782
"Rusty-fronted Barwing","Actinodura egertoni","rufbar1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Low","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","Yes","Eastern Himalayas","Forest","Resident & Altitudinal Migrant",NA,NA,NA,"Rusty-fronted Barwing","Actinodura egertoni","Rusty-fronted Barwing","Actinodura egertoni","Least Concern","Schedule-II","","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-billed Leiothrix","Leiothrix lutea","reblei","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Low","Uncertain","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident & Altitudinal Migrant",NA,NA,NA,"Red-billed Leiothrix","Leiothrix lutea","Red-billed Leiothrix","Leiothrix lutea","Least Concern","Schedule-II","Appendix II","Appendix II",NA,"","","X",37,0.108108108108108,0.476351351351351,0.513513513513513,15.4324324324324,1.91616097541269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27239,27077,27401
"Silver-eared Mesia","Leiothrix argentauris","siemes1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Low","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident",NA,NA,NA,"Silver-eared Mesia","Leiothrix argentauris","Silver-eared Mesia","Leiothrix argentauris","Least Concern","Schedule-II","Appendix II","Appendix II",NA,"","","X",2,NA,0.75,NA,20.5,6.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1584,1508,1660
"Red-tailed Minla","Minla ignotincta","retmin1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Moderate","Data Deficient","Data Deficient","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident & Altitudinal Migrant",NA,NA,NA,"Red-tailed Minla","Minla ignotincta","Red-tailed Minla","Minla ignotincta","Least Concern","Schedule-II","","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rufous-backed Sibia","Leioptila annectens","rubsib1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Moderate","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident",1,NA,NA,"Rufous-backed Sibia","Leioptila annectens","Rufous-backed Sibia","Leioptila annectens","Least Concern","Schedule-II","","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bugun Liocichla","Liocichla bugunorum","buglio1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","High","Data Deficient","Data Deficient","Very Restricted","Diurnal","Diurnal","Omnivore","Yes","Yes","Yes","Eastern Himalayas","Forest","Resident",NA,NA,NA,"Bugun Liocichla","Liocichla bugunorum","Bugun Liocichla","Liocichla bugunorum","Critically Endangered","Schedule-I","","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-faced Liocichla","Liocichla phoenicea","reflio2","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Low","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Forest","Resident",NA,NA,NA,"Red-faced Liocichla","Liocichla phoenicea","Red-faced Liocichla","Liocichla phoenicea","Least Concern","Schedule-II","","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Large Gray Babbler","Argya malcolmi","lagbab2","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Low","Stable","Uncertain","Very Large","Diurnal","Diurnal","Invertebrate","No","Yes","No","Indian Subcontinent","Non-specialized","Resident",NA,NA,NA,"Large Grey Babbler","Argya malcolmi","Large Grey Babbler","Argya malcolmi","Least Concern","Schedule-II","","Appendix II",NA,"X","X","X",25,0.16,0.43,0.56,16.04,2.446678815592,16.0439093387539,24.6654193424161,37.455353143091,-9.19021864498415,-6.53821854020659,-3.88621843542904,40.9495201847294,52.2020945441561,66.7997743601856,35.9360121884588,47.8437898382724,64.0346462169643,31.5146172233018,43.8687559553853,61.4988814647806,27.630318594326,40.2418537751271,59.1483542451421,24.2249373559432,36.9312792963296,56.9549951261729,21.2427615586089,33.9082376745154,54.8994155854597,18.6326762675337,31.146649930905,52.9672749662209,16100,16043,16157
"Slender-billed Babbler","Argya longirostris","slbbab1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","High","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Invertebrate","No","Yes","No","Indian Subcontinent","Wetland","Resident",NA,NA,NA,"Slender-billed Babbler","Argya longirostris","Slender-billed Babbler","Argya longirostris","Vulnerable","Schedule-I","","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
