"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km"
"Eurasian Wren","Troglodytes troglodytes","","","X",17,NA,0.382352941176471,0.588235294117647,8,2.30444072582124
"Spotted Elachura","Elachura formosa","","","X",32,0.03125,0.25,0.4375,6.90625,1.58743845130876
"White-throated Dipper","Cinclus cinclus","","","X",6,NA,0.380952380952381,0.666666666666667,8.33333333333333,3.41987394179636
"Brown Dipper","Cinclus pallasii","","","X",42,0.142857142857143,0.3125,0.523809523809524,6.19047619047619,1.35621504238539
"Asian Glossy Starling","Aplonis panayensis","","","",NA,NA,NA,NA,NA,NA
"Golden-crested Myna","Ampeliceps coronatus","","","",5,0.2,0.285714285714286,0.6,7.8,3.79045960273949
"Common Hill Myna","Gracula religiosa","","","X",26,0.153846153846154,0.336538461538462,0.461538461538462,7.26923076923077,1.73803640819547
"Southern Hill Myna","Gracula indica","","","",NA,NA,NA,NA,NA,NA
"European Starling","Sturnus vulgaris","","","",NA,NA,NA,NA,NA,NA
"Rosy Starling","Pastor roseus","","","",NA,NA,NA,NA,NA,NA
"Daurian Starling","Agropsar sturninus","","","",NA,NA,NA,NA,NA,NA
"Chestnut-cheeked Starling","Agropsar philippensis","","","",NA,NA,NA,NA,NA,NA
"Indian Pied Starling","Gracupica contra","X","X","X",28,0.0714285714285714,0.290178571428571,0.535714285714286,7.35714285714286,1.58826716662928
"White-shouldered Starling","Sturnia sinensis","","","",NA,NA,NA,NA,NA,NA
"Brahminy Starling","Sturnia pagodarum","","","",NA,NA,NA,NA,NA,NA
"Chestnut-tailed Starling","Sturnia malabarica","","","X",36,0.0555555555555556,0.350694444444444,0.555555555555556,6.52777777777778,1.42173437813655
"Malabar Starling","Sturnia blythii","","","",NA,NA,NA,NA,NA,NA
"White-headed Starling","Sturnia erythropygia","","","",NA,NA,NA,NA,NA,NA
"Red-billed Starling","Spodiopsar sericeus","","","",NA,NA,NA,NA,NA,NA
"White-cheeked Starling","Spodiopsar cineraceus","","","",1,NA,1,NA,9,NA
