India.Checklist.Scientific.Name,IUCN.Category,WPA.Schedule,CITES.Appendix,CMS.Appendix,
Buteo refectus,Least Concern,Schedule-I,Appendix II,Appendix II,
Buteo rufinus,Least Concern,Schedule-I,Appendix II,Appendix II,
Buteo hemilasius,Least Concern,Schedule-I,Appendix II,Appendix II,
Tyto longimembris,Least Concern,Schedule-II,Appendix II,,
Tyto alba,Least Concern,Schedule-I,Appendix II,,
Tyto deroepstorffi,Not recognized,Schedule-I,Appendix II,,
Phodilus badius,Least Concern,Schedule-II,Appendix II,,
Phodilus assimilis,Least Concern,Schedule-II,Appendix II,,
Otus balli,Least Concern,Schedule-II,Appendix II,,
Otus spilocephalus,Least Concern,Schedule-II,Appendix II,,
Otus bakkamoena,Least Concern,Schedule-II,Appendix II,,
Otus lettia,Least Concern,Schedule-II,Appendix II,,
Otus alius,Near Threatened,Schedule-II,Appendix II,,
Otus scops,Least Concern,Schedule-II,Appendix II,,
Otus brucei,Least Concern,Schedule-II,Appendix II,,
Otus sunia,Least Concern,Schedule-II,Appendix II,,
Bubo bengalensis,Least Concern,Schedule-I,Appendix II,,
Bubo bubo,Least Concern,Schedule-I,Appendix II,,
Ketupa ketupu,Least Concern,Schedule-I,Appendix II,,
Ketupa zeylonensis,Least Concern,Schedule-I,Appendix II,,
Ketupa flavipes,Least Concern,Schedule-I,Appendix II,,
Ketupa coromanda,Least Concern,Schedule-II,Appendix II,,
Ketupa nipalensis,Least Concern,Schedule-I,Appendix II,,
Glaucidium cuculoides,Least Concern,Schedule-II,Appendix II,,
Glaucidium radiatum,Least Concern,Schedule-II,Appendix II,,
Taenioptynx brodiei,Least Concern,Schedule-II,Appendix II,,
Athene brama,Least Concern,Schedule-II,Appendix II,,
Athene noctua,Least Concern,Schedule-II,Appendix II,,
Athene blewitti,Endangered,Schedule-I,Appendix I,,
Strix ocellata,Least Concern,Schedule-I,Appendix II,,
Strix leptogrammica,Least Concern,Schedule-I,Appendix II,,
Strix aluco,Least Concern,Schedule-II,Appendix II,,
Strix nivicolum,Least Concern,Schedule-II,Appendix II,,
Asio otus,Least Concern,Schedule-I,Appendix II,Appendix II,
Asio flammeus,Least Concern,Schedule-I,Appendix II,,
Aegolius funereus,Least Concern,Schedule-II,Appendix II,,
Ninox affinis,Least Concern,Schedule-II,Appendix II,,
Ninox scutulata,Least Concern,Schedule-II,Appendix II,,
Ninox obscura,Least Concern,Schedule-II,Appendix II,,
Harpactes fasciatus,Least Concern,Schedule-II,,,
Harpactes erythrocephalus,Least Concern,Schedule-II,,,
Harpactes wardi,Least Concern,Schedule-I,,,
Upupa epops,Least Concern,Schedule-II,,,
Buceros bicornis,Vulnerable,Schedule-I,Appendix I,,
Anorrhinus austeni,Near Threatened,Schedule-I,Appendix II,,
Ocyceros birostris,Least Concern,Schedule-II,,,
Ocyceros griseus,Vulnerable,Schedule-I,,,
Anthracoceros coronatus,Near Threatened,Schedule-I,Appendix II,,
Anthracoceros albirostris,Least Concern,Schedule-I,Appendix II,,
Aceros nipalensis,Vulnerable,Schedule-I,Appendix I,,
Rhyticeros undulatus,Vulnerable,Schedule-I,Appendix II,,
Rhyticeros narcondami,Vulnerable,Schedule-I,Appendix II,,
Alcedo hercules,Near Threatened,Schedule-I,,,
Alcedo atthis,Least Concern,Schedule-II,,,
Alcedo meninting,Least Concern,Schedule-II,,,
Ceyx erithaca,Near Threatened,Schedule-II,,,
Ceyx rufidorsa,Least Concern,Schedule-II,,,
Pelargopsis amauroptera,Near Threatened,Schedule-II,,,
Pelargopsis capensis,Least Concern,Schedule-II,,,
Halcyon coromanda,Least Concern,Schedule-II,,,
Halcyon smyrnensis,Least Concern,Schedule-II,,,
Halcyon pileata,Vulnerable,Schedule-II,,,
Todiramphus chloris,Least Concern,Schedule-II,,,
Megaceryle lugubris,Least Concern,Schedule-II,,,
Ceryle rudis,Least Concern,Schedule-II,,,
Nyctyornis athertoni,Least Concern,Schedule-II,,,
Merops orientalis,Least Concern,Schedule-II,,,
Merops viridis,Least Concern,Schedule-II,,,
Merops persicus,Least Concern,Schedule-II,,,
Merops philippinus,Least Concern,Schedule-II,,,
Merops apiaster,Least Concern,Schedule-II,,Appendix II,
Merops leschenaulti,Least Concern,Schedule-II,,,
Coracias garrulus,Least Concern,Schedule-II,,Appendix I,
Coracias benghalensis,Least Concern,Schedule-II,,,
Coracias affinis,Least Concern,Schedule-II,,,
Eurystomus orientalis,Least Concern,Schedule-II,,,
Psilopogon malabaricus,Least Concern,Schedule-II,,,
Psilopogon haemacephalus,Least Concern,Schedule-II,,,
Psilopogon cyanotis,Least Concern,Schedule-II,,,
Psilopogon virens,Least Concern,Schedule-II,,,
Psilopogon lineatus,Least Concern,Schedule-II,,,
Psilopogon zeylanicus,Least Concern,Schedule-II,,,
Psilopogon viridis,Least Concern,Schedule-II,,,
Psilopogon franklinii,Least Concern,Schedule-II,,,
Psilopogon asiaticus,Least Concern,Schedule-II,,,
Indicator xanthonotus,Near Threatened,Schedule-II,,,
Jynx torquilla,Least Concern,Schedule-II,,,
Picumnus innominatus,Least Concern,Schedule-II,,,
Sasia ochracea,Least Concern,Schedule-II,,,
Hemicircus canente,Least Concern,Schedule-I,,,
Yungipicus nanus,Least Concern,Schedule-II,,,
Yungipicus canicapillus,Least Concern,Schedule-II,,,
Leiopicus mahrattensis,Least Concern,Schedule-I,,,
Dendrocoptes auriceps,Least Concern,Schedule-II,,,
Dendrocopos hyperythrus,Least Concern,Schedule-II,,,
Dendrocopos macei,Least Concern,Schedule-II,,,
Dendrocopos analis,Least Concern,Schedule-II,,,
Dendrocopos atratus,Least Concern,Schedule-II,,,
Dendrocopos darjellensis,Least Concern,Schedule-II,,,
Dendrocopos major,Least Concern,Schedule-II,,,
Dendrocopos himalayensis,Least Concern,Schedule-II,,,
Dendrocopos assimilis,Least Concern,Schedule-II,,,
Dryobates cathpharius,Least Concern,Schedule-II,,,
Blythipicus pyrrhotis,Least Concern,Schedule-II,,,
Chrysocolaptes guttacristatus,Least Concern,Schedule-II,,,
Chrysocolaptes socialis,Not recognized,Schedule-II,,,
Chrysocolaptes festivus,Least Concern,Schedule-II,,,
Micropternus brachyurus,Least Concern,Schedule-II,,,
Gecinulus grantia,Least Concern,Schedule-II,,,
Dinopium shorii,Least Concern,Schedule-II,,,
Dinopium javanense,Least Concern,Schedule-II,,,
Dinopium benghalense,Least Concern,Schedule-II,,,
Picus chlorolophus,Least Concern,Schedule-II,,,
Picus xanthopygaeus,Least Concern,Schedule-II,,,
Picus squamatus,Least Concern,Schedule-II,,,
Picus canus,Least Concern,Schedule-II,,,
Chrysophlegma flavinucha,Least Concern,Schedule-II,,,
Mulleripicus pulverulentus,Vulnerable,Schedule-I,,,
Dryocopus javensis,Least Concern,Schedule-II,,,
Dryocopus hodgei,Vulnerable,Schedule-I,,,
Microhierax melanoleucos,Least Concern,Schedule-II,Appendix II,Appendix II,
Microhierax caerulescens,Least Concern,Schedule-II,Appendix II,Appendix II,
Falco naumanni,Least Concern,Schedule-II,Appendix II,Appendix I,
Falco tinnunculus,Least Concern,Schedule-II,Appendix II,Appendix II,
Falco chicquera,Near Threatened,Schedule-I,Appendix II,Appendix II,
Falco vespertinus,Vulnerable,Schedule-II,Appendix II,Appendix I,
Falco amurensis,Least Concern,Schedule-I,Appendix II,Appendix II,
Falco columbarius,Least Concern,Schedule-II,Appendix II,Appendix II,
Falco subbuteo,Least Concern,Schedule-II,Appendix II,Appendix II,
Falco severus,Least Concern,Schedule-II,Appendix II,Appendix II,
Falco jugger,Near Threatened,Schedule-I,Appendix I,Appendix II,
Falco cherrug,Endangered,Schedule-I,Appendix II,Appendix I,
Falco peregrinus,Least Concern,Schedule-I,Appendix I,Appendix II,
Psittacula eupatria,Near Threatened,Schedule-II,Appendix II,,
Psittacula krameri,Least Concern,Schedule-II,,,
Psittacula himalayana,Least Concern,Schedule-II,Appendix II,,
Psittacula finschii,Near Threatened,Schedule-II,Appendix II,,
Psittacula cyanocephala,Least Concern,Schedule-II,Appendix II,,
Psittacula roseata,Near Threatened,Schedule-II,Appendix II,,
Psittacula columboides,Least Concern,Schedule-II,Appendix II,,
Psittacula derbiana,Near Threatened,Schedule-I,Appendix II,,
Psittacula alexandri,Near Threatened,Schedule-I,Appendix II,,
Psittacula caniceps,Near Threatened,Schedule-II,Appendix II,,
Psittacula longicauda,Vulnerable,Schedule-II,Appendix II,,
Loriculus vernalis,Least Concern,Schedule-II,Appendix II,,
Psarisomus dalhousiae,Least Concern,Schedule-II,,,
Serilophus rubropygius,Least Concern,Schedule-II,,,
Hydrornis nipalensis,Least Concern,Schedule-II,,,
Hydrornis cyaneus,Least Concern,Schedule-II,,,
Pitta brachyura,Least Concern,Schedule-II,,,
Pitta moluccensis,Least Concern,Schedule-II,,,
Pitta abbotti,Not recognized,Schedule-II,,,
Pitta sordida,Least Concern,Schedule-II,,,
Pitta megarhyncha,Near Threatened,Schedule-II,,,
Pericrocotus erythropygius,Least Concern,Schedule-II,,,
Pericrocotus cinnamomeus,Least Concern,Schedule-I,,,
Pericrocotus solaris,Least Concern,Schedule-II,,,
Pericrocotus brevirostris,Least Concern,Schedule-II,,,
Pericrocotus ethologus,Least Concern,Schedule-II,,,
Pericrocotus flammeus,Not recognized,Schedule-II,,,
Pericrocotus speciosus,Least Concern,Schedule-II,,,
Pericrocotus divaricatus,Least Concern,Schedule-II,,,
Pericrocotus cantonensis,Least Concern,Schedule-II,,,
Pericrocotus roseus,Least Concern,Schedule-II,,,
Coracina macei,Least Concern,Schedule-II,,,
Coracina dobsoni,Near Threatened,Schedule-II,,,
Lalage nigra,Least Concern,Schedule-II,,,
Lalage melaschistos,Least Concern,Schedule-II,,,
Lalage melanoptera,Least Concern,Schedule-II,,,
Pteruthius rufiventer,Least Concern,Schedule-II,,,
Pteruthius aeralatus,Least Concern,Schedule-II,,,
Pteruthius xanthochlorus,Least Concern,Schedule-II,,,
Pteruthius melanotis,Least Concern,Schedule-II,,,
Pteruthius intermedius,Not recognized,Schedule-II,,,
Erpornis zantholeuca,Least Concern,Schedule-II,,,
Pachycephala cinerea,Least Concern,Schedule-II,,,
Oriolus oriolus,Least Concern,Schedule-II,,Appendix II,
Oriolus kundoo,Least Concern,Schedule-II,,Appendix II,
Oriolus chinensis,Least Concern,Schedule-II,,Appendix II,
Oriolus tenuirostris,Least Concern,Schedule-II,,Appendix II,
Oriolus xanthornus,Least Concern,Schedule-II,,,
Oriolus traillii,Least Concern,Schedule-II,,,
Artamus fuscus,Least Concern,Schedule-II,,,
Artamus leucorynchus,Least Concern,Schedule-II,,,
Tephrodornis sylvicola,Least Concern,Schedule-II,,,
Tephrodornis virgatus,Least Concern,Schedule-II,,,
Tephrodornis pondicerianus,Least Concern,Schedule-II,,,
Hemipus picatus,Least Concern,Schedule-II,,,
Aegithina tiphia,Least Concern,Schedule-II,,,
Aegithina nigrolutea,Least Concern,Schedule-II,,,
Rhipidura albicollis,Least Concern,Schedule-II,,,
Rhipidura albogularis,Least Concern,Schedule-II,,,
Rhipidura aureola,Least Concern,Schedule-II,,,
Dicrurus macrocercus,Least Concern,Schedule-II,,,
Dicrurus leucophaeus,Least Concern,Schedule-II,,,
Dicrurus caerulescens,Least Concern,Schedule-II,,,
Dicrurus annectens,Least Concern,Schedule-II,,,
Dicrurus aeneus,Least Concern,Schedule-II,,,
Dicrurus remifer,Least Concern,Schedule-II,,,
Dicrurus hottentottus,Least Concern,Schedule-II,,,
Dicrurus andamanensis,Least Concern,Schedule-II,,,
Dicrurus paradiseus,Least Concern,Schedule-II,,,
Hypothymis azurea,Least Concern,Schedule-II,,,
Terpsiphone incei,Least Concern,Schedule-II,,Appendix II,
Terpsiphone affinis,Least Concern,Schedule-II,,Appendix II,
Terpsiphone paradisi,Least Concern,Schedule-II,,Appendix II,
Lanius tigrinus,Least Concern,Recent addition,,,
Lanius collurio,Least Concern,Schedule-II,,,
Lanius phoenicuroides,Least Concern,Schedule-II,,,
Lanius isabellinus,Least Concern,Schedule-II,,,
Lanius cristatus,Least Concern,Schedule-II,,,
Lanius collurioides,Least Concern,Schedule-II,,,
Lanius vittatus,Least Concern,Schedule-II,,,
Lanius schach,Least Concern,Schedule-II,,,
Lanius tephronotus,Least Concern,Schedule-II,,,
Lanius excubitor,Least Concern,Schedule-II,,,
Lanius minor,Least Concern,Schedule-II,,Appendix II,
Lanius giganteus,Least Concern,Recent addition,,,
Lanius nubicus,Least Concern,Schedule-II,,,
Lanius senator,Near Threatened,Schedule-II,,,
Garrulus glandarius,Least Concern,Schedule-II,,,
Garrulus lanceolatus,Least Concern,Schedule-II,,,
Urocissa flavirostris,Least Concern,Schedule-II,,,
Urocissa erythroryncha,Least Concern,Schedule-II,,,
Cissa chinensis,Least Concern,Schedule-II,,,
Dendrocitta vagabunda,Least Concern,Schedule-II,,,
Dendrocitta formosae,Least Concern,Schedule-II,,,
Dendrocitta leucogastra,Least Concern,Schedule-II,,,
Dendrocitta frontalis,Least Concern,Schedule-II,,,
Dendrocitta bayleii,Vulnerable,Schedule-I,,,
Pica bottanensis,Not recognized,Recent addition,,,
Pica pica,Least Concern,Schedule-II,,,
Nucifraga caryocatactes,Least Concern,Schedule-II,,,
Nucifraga multipunctata,Least Concern,Schedule-II,,,
Pyrrhocorax pyrrhocorax,Least Concern,Schedule-II,,,
Pyrrhocorax graculus,Least Concern,Schedule-II,,,
Corvus monedula,Least Concern,Schedule-II,,,
Corvus splendens,Least Concern,Not scheduled,,,
Corvus frugilegus,Least Concern,Schedule-II,,,
Corvus corone,Least Concern,Schedule-II,,,
Corvus cornix,Not recognized,Schedule-II,,,
Corvus macrorhynchos,Least Concern,Schedule-II,,,
Corvus albus,Least Concern,Schedule-II,,,
Corvus corax,Least Concern,Schedule-II,,,
Chelidorhynx hypoxanthus,Least Concern,Schedule-II,,,
Culicicapa ceylonensis,Least Concern,Schedule-II,,,
Cephalopyrus flammiceps,Least Concern,Schedule-II,,,
Sylviparus modestus,Least Concern,Schedule-II,,,
Melanochlora sultanea,Least Concern,Schedule-II,,,
Periparus ater,Least Concern,Schedule-II,,,
Periparus rufonuchalis,Least Concern,Schedule-II,,,
Periparus rubidiventris,Least Concern,Schedule-II,,,
Lophophanes dichrous,Least Concern,Schedule-II,,,
Cyanistes cyanus,Least Concern,Schedule-II,,,
Pseudopodoces humilis,Least Concern,Schedule-II,,,
Parus monticolus,Least Concern,Schedule-II,,,
Parus cinereus,Not recognized,Schedule-II,,,
Machlolophus nuchalis,Vulnerable,Schedule-I,,,
Machlolophus xanthogenys,Least Concern,Schedule-II,,,
Machlolophus aplonotus,Not recognized,Schedule-II,,,
Machlolophus spilonotus,Least Concern,Schedule-II,,,
Remiz coronatus,Least Concern,Schedule-II,,,
Alaemon alaudipes,Least Concern,Schedule-II,,,
Ammomanes phoenicura,Least Concern,Schedule-II,,,
Ammomanes deserti,Least Concern,Schedule-II,,,
Eremopterix nigriceps,Least Concern,Schedule-II,,,
Eremopterix griseus,Least Concern,Schedule-II,,,
Mirafra javanica,Least Concern,Schedule-II,,,
Mirafra assamica,Least Concern,Schedule-II,,,
Mirafra affinis,Least Concern,Schedule-II,,,
Mirafra erythroptera,Least Concern,Schedule-II,,,
Eremophila alpestris,Least Concern,Schedule-II,,,
Calandrella brachydactyla,Least Concern,Schedule-II,,,
Calandrella dukhunensis,Least Concern,Schedule-II,,,
Calandrella acutirostris,Least Concern,Schedule-II,,,
Melanocorypha bimaculata,Least Concern,Schedule-II,,,
Melanocorypha maxima,Least Concern,Schedule-II,,,
Alaudala heinei,Least Concern,Schedule-II,,,
Alaudala raytal,Least Concern,Schedule-II,,,
Alauda arvensis,Least Concern,Schedule-II,,,
Alauda gulgula,Least Concern,Schedule-II,,,
Galerida cristata,Least Concern,Schedule-II,,,
Galerida malabarica,Least Concern,Schedule-II,,,
Galerida deva,Least Concern,Schedule-II,,,
Orthotomus sutorius,Least Concern,Schedule-II,,,
Orthotomus atrogularis,Least Concern,Schedule-II,,,
Prinia crinigera,Least Concern,Schedule-II,,,
Prinia atrogularis,Least Concern,Schedule-II,,,
Prinia khasiana,Least Concern,Schedule-II,,,
Prinia superciliaris,Least Concern,Schedule-II,,,
Prinia cinereocapilla,Vulnerable,Schedule-I,,,
Prinia buchanani,Least Concern,Schedule-I,,,
Prinia rufescens,Least Concern,Schedule-II,,,
Prinia hodgsonii,Least Concern,Schedule-II,,,
Prinia lepida,Not recognized,Schedule-II,,,
Prinia sylvatica,Least Concern,Schedule-II,,,
Prinia flaviventris,Least Concern,Schedule-II,,,
Prinia socialis,Least Concern,Schedule-II,,,
Prinia inornata,Least Concern,Schedule-II,,,
Cisticola juncidis,Least Concern,Schedule-II,,,
Cisticola exilis,Least Concern,Schedule-II,,,
Arundinax aedon,Least Concern,Schedule-II,,Appendix II,
Iduna caligata,Least Concern,Schedule-II,,Appendix II,
Iduna rama,Least Concern,Schedule-II,,Appendix II,
Acrocephalus bistrigiceps,Least Concern,Schedule-II,,Appendix II,
Acrocephalus melanopogon,Least Concern,Schedule-II,,Appendix II,
Acrocephalus schoenobaenus,Least Concern,Schedule-II,,Appendix II,
Acrocephalus agricola,Least Concern,Schedule-II,,Appendix II,
Acrocephalus concinens,Least Concern,Schedule-II,,Appendix II,
Acrocephalus dumetorum,Least Concern,Schedule-II,,Appendix II,
Acrocephalus orinus,Least Concern,Schedule-II,,Appendix II,
Acrocephalus arundinaceus,Least Concern,Schedule-II,,Appendix II,
Acrocephalus orientalis,Least Concern,Schedule-II,,Appendix II,
Acrocephalus stentoreus,Least Concern,Schedule-II,,Appendix II,
Helopsaltes certhiola,Least Concern,Schedule-II,,Appendix II,
Locustella lanceolata,Least Concern,Schedule-II,,Appendix II,
Locustella luteoventris,Least Concern,Schedule-II,,Appendix II,
Locustella naevia,Least Concern,Schedule-II,,Appendix II,
Locustella major,Near Threatened,Schedule-II,,Appendix II,
Locustella tacsanowskia,Least Concern,Schedule-II,,Appendix II,
Locustella davidi,Least Concern,Schedule-II,,Appendix II,
Locustella kashmirensis,Least Concern,Schedule-I,,,
Locustella thoracica,Least Concern,Schedule-II,,Appendix II,
Locustella mandelli,Least Concern,Schedule-II,,Appendix II,
Schoenicola platyurus,Vulnerable,Schedule-I,,,
Schoenicola striatus,Vulnerable,Schedule-I,,,
Megalurus palustris,Least Concern,Schedule-II,,,
Pnoepyga albiventer,Least Concern,Schedule-II,,,
Pnoepyga immaculata,Least Concern,Schedule-II,,,
Pnoepyga pusilla,Least Concern,Schedule-II,,,
Riparia chinensis,Least Concern,Schedule-II,,,
Riparia riparia,Least Concern,Schedule-II,,,
Riparia diluta,Least Concern,Schedule-II,,,
Ptyonoprogne rupestris,Least Concern,Schedule-II,,,
Ptyonoprogne concolor,Least Concern,Schedule-II,,,
Hirundo domicola,Not recognized,Schedule-II,,,
Hirundo tahitica,Least Concern,Schedule-II,,,
Hirundo rustica,Least Concern,Schedule-II,,,
Hirundo smithii,Least Concern,Schedule-II,,,
Delichon urbicum,Least Concern,Schedule-II,,,
Delichon lagopodum,Least Concern,Recent addition,,,
Delichon dasypus,Least Concern,Schedule-II,,,
Delichon nipalense,Least Concern,Schedule-II,,,
Cecropis daurica,Least Concern,Schedule-II,,,
Cecropis striolata,Not recognized,Schedule-II,,,
Petrochelidon fluvicola,Least Concern,Schedule-II,,,
Alophoixus flaveolus,Least Concern,Schedule-II,,,
Alcurus striatus,Least Concern,Schedule-II,,,
Iole cacharensis,Not recognized,Schedule-II,,,
Iole propinqua,Least Concern,Recent addition,,,
Hemixos flavala,Least Concern,Schedule-II,,,
Acritillas indica,Least Concern,Schedule-II,,,
Ixos mcclellandii,Least Concern,Schedule-II,,,
Ixos nicobariensis,Near Threatened,Schedule-II,,,
Hypsipetes leucocephalus,Least Concern,Schedule-II,,,
Hypsipetes ganeesa,Least Concern,Schedule-II,,,
Microtarsus priocephalus,Near Threatened,Schedule-II,,,
Microtarsus melanocephalos,Least Concern,Schedule-II,,,
Microtarsus fuscoflavescens,Least Concern,Schedule-II,,,
Rubigula flaviventris,Least Concern,Schedule-II,,,
Rubigula gularis,Least Concern,Schedule-II,,,
Spizixos canifrons,Least Concern,Schedule-II,,,
Pycnonotus luteolus,Least Concern,Schedule-II,,,
Pycnonotus flavescens,Least Concern,Schedule-II,,,
Pycnonotus xantholaemus,Vulnerable,Schedule-II,,,
Pycnonotus jocosus,Least Concern,Schedule-II,,,
Pycnonotus cafer,Least Concern,Schedule-II,,,
Pycnonotus leucotis,Least Concern,Schedule-II,,,
Pycnonotus leucogenys,Least Concern,Schedule-II,,,
Phylloscopus sibilatrix,Least Concern,Schedule-II,,Appendix II,
Phylloscopus maculipennis,Least Concern,Schedule-II,,Appendix II,
Phylloscopus pulcher,Least Concern,Schedule-II,,Appendix II,
Phylloscopus inornatus,Least Concern,Schedule-II,,Appendix II,
Phylloscopus humei,Least Concern,Schedule-II,,Appendix II,
Phylloscopus subviridis,Least Concern,Schedule-II,,Appendix II,
Phylloscopus yunnanensis,Least Concern,Schedule-II,,Appendix II,
Phylloscopus proregulus,Least Concern,Recent addition,,Appendix II,
Phylloscopus chloronotus,Least Concern,Schedule-II,,Appendix II,
Phylloscopus forresti,Least Concern,Schedule-II,,Appendix II,
Phylloscopus tytleri,Least Concern,Schedule-II,,Appendix II,
Phylloscopus griseolus,Least Concern,Schedule-II,,Appendix II,
Phylloscopus affinis,Least Concern,Schedule-II,,Appendix II,
Phylloscopus fuscatus,Least Concern,Schedule-II,,Appendix II,
Phylloscopus fuligiventer,Least Concern,Schedule-II,,Appendix II,
Phylloscopus neglectus,Least Concern,Schedule-II,,Appendix II,
Phylloscopus subaffinis,Least Concern,Schedule-II,,Appendix II,
Phylloscopus trochilus,Least Concern,Schedule-II,,Appendix II,
Phylloscopus sindianus,Least Concern,Schedule-II,,Appendix II,
Phylloscopus collybita,Least Concern,Schedule-II,,Appendix II,
Phylloscopus intermedius,Least Concern,Schedule-II,,,
Phylloscopus poliogenys,Least Concern,Schedule-II,,,
Phylloscopus burkii,Least Concern,Schedule-II,,,
Phylloscopus tephrocephalus,Least Concern,Schedule-II,,,
Phylloscopus whistleri,Least Concern,Schedule-II,,,
Phylloscopus nitidus,Least Concern,Schedule-II,,Appendix II,
Phylloscopus trochiloides,Least Concern,Schedule-II,,Appendix II,
Phylloscopus plumbeitarsus,Least Concern,Schedule-II,,Appendix II,
Phylloscopus magnirostris,Least Concern,Schedule-II,,Appendix II,
Phylloscopus tenellipes,Least Concern,Schedule-II,,Appendix II,
Phylloscopus borealoides,Least Concern,Schedule-II,,Appendix II,
Phylloscopus borealis,Least Concern,Schedule-II,,Appendix II,
Phylloscopus castaniceps,Least Concern,Schedule-II,,,
Phylloscopus cantator,Least Concern,Schedule-II,,Appendix II,
Phylloscopus occipitalis,Least Concern,Schedule-II,,Appendix II,
Phylloscopus reguloides,Least Concern,Schedule-II,,Appendix II,
Phylloscopus claudiae,Least Concern,Schedule-II,,Appendix II,
Phylloscopus xanthoschistos,Least Concern,Schedule-II,,,
Hemitesia pallidipes,Least Concern,Schedule-II,,,
Urosphena squameiceps,Least Concern,Schedule-II,,Appendix II,
Tesia cyaniventer,Least Concern,Schedule-II,,,
Tesia olivea,Least Concern,Schedule-II,,,
Cettia major,Least Concern,Schedule-II,,,
Cettia brunnifrons,Least Concern,Schedule-II,,,
Cettia castaneocoronata,Least Concern,Schedule-II,,,
Cettia cetti,Least Concern,Schedule-II,,Appendix II,
Abroscopus superciliaris,Least Concern,Schedule-II,,,
Abroscopus albogularis,Least Concern,Schedule-II,,,
Abroscopus schisticeps,Least Concern,Schedule-II,,,
Phyllergates cucullatus,Least Concern,Schedule-II,,,
Tickellia hodgsoni,Least Concern,Schedule-II,,,
Horornis canturians,Least Concern,Schedule-II,,Appendix II,
Horornis fortipes,Least Concern,Schedule-II,,,
Horornis brunnescens,Least Concern,Schedule-II,,,
Horornis flavolivaceus,Least Concern,Schedule-II,,,
Leptopoecile sophiae,Least Concern,Schedule-II,,,
Leptopoecile elegans,Least Concern,Schedule-II,,,
Aegithalos leucogenys,Least Concern,Schedule-II,,,
Aegithalos concinnus,Least Concern,Schedule-II,,,
Aegithalos niveogularis,Least Concern,Schedule-II,,,
Aegithalos iouschistos,Least Concern,Schedule-II,,,
Sylvia atricapilla,Least Concern,Recent addition,,Appendix II,
Sylvia borin,Least Concern,Schedule-II,,Appendix II,
Curruca nisoria,Least Concern,Schedule-II,,Appendix II,
Curruca curruca,Least Concern,Schedule-II,,Appendix II,
Curruca crassirostris,Least Concern,Schedule-II,,Appendix II,
Curruca nana,Least Concern,Schedule-II,,Appendix II,
Curruca communis,Least Concern,Schedule-II,,Appendix II,
Myzornis pyrrhoura,Least Concern,Schedule-II,,,
Lioparus chrysotis,Least Concern,Schedule-II,,,
Chrysomma sinense,Least Concern,Schedule-II,,,
Chrysomma altirostre,Vulnerable,Schedule-I,,,
Fulvetta ludlowi,Least Concern,Schedule-II,,,
Fulvetta vinipectus,Least Concern,Schedule-II,,,
Fulvetta manipurensis,Least Concern,Schedule-II,,,
Paradoxornis flavirostris,Vulnerable,Schedule-I,,,
Paradoxornis guttaticollis,Least Concern,Schedule-II,,,
Conostoma aemodium,Least Concern,Schedule-II,,,
Cholornis unicolor,Least Concern,Schedule-II,,,
Psittiparus gularis,Least Concern,Schedule-II,,,
Psittiparus ruficeps,Least Concern,Schedule-II,,,
Psittiparus bakeri,Least Concern,Schedule-II,,,
Suthora fulvifrons,Least Concern,Schedule-II,,,
Suthora nipalensis,Least Concern,Schedule-II,,,
Suthora atrosuperciliaris,Least Concern,Schedule-II,,,
Staphida castaniceps,Least Concern,Schedule-II,,,
Yuhina nigrimenta,Least Concern,Schedule-II,,,
Yuhina flavicollis,Least Concern,Schedule-II,,,
Yuhina bakeri,Least Concern,Schedule-II,,,
Yuhina gularis,Least Concern,Schedule-II,,,
Yuhina occipitalis,Least Concern,Schedule-II,,,
Zosterops erythropleurus,Least Concern,Schedule-II,,Appendix II,
Zosterops palpebrosus,Least Concern,Schedule-II,,,
Timalia pileata,Least Concern,Schedule-II,,,
Dumetia hyperythra,Least Concern,Schedule-II,,,
Dumetia atriceps,Least Concern,Schedule-II,,,
Mixornis gularis,Least Concern,Schedule-II,,,
Cyanoderma chrysaeum,Least Concern,Schedule-II,,,
Cyanoderma pyrrhops,Least Concern,Schedule-II,,,
Cyanoderma ruficeps,Least Concern,Schedule-II,,,
Cyanoderma ambiguum,Not recognized,Schedule-II,,,
Spelaeornis caudatus,Near Threatened,Schedule-II,,,
Spelaeornis badeigularis,Near Threatened,Schedule-I,,,
Spelaeornis troglodytoides,Least Concern,Schedule-I,,,
Spelaeornis chocolatinus,Vulnerable,Schedule-I,,,
Spelaeornis oatesi,Least Concern,Schedule-II,,,
Spelaeornis longicaudatus,Near Threatened,Schedule-I,,,
Pomatorhinus ferruginosus,Least Concern,Schedule-II,,,
Pomatorhinus phayrei,Least Concern,Schedule-II,,,
Pomatorhinus ochraceiceps,Least Concern,Schedule-II,,,
Pomatorhinus superciliaris,Least Concern,Schedule-II,,,
Pomatorhinus ruficollis,Least Concern,Schedule-II,,,
Pomatorhinus schisticeps,Least Concern,Schedule-II,,,
Pomatorhinus horsfieldii,Least Concern,Schedule-II,,,
Erythrogenys hypoleucos,Least Concern,Schedule-II,,,
Erythrogenys erythrogenys,Least Concern,Schedule-II,,,
Erythrogenys mcclellandi,Least Concern,Schedule-II,,,
Stachyris nigriceps,Least Concern,Schedule-II,,,
Stachyris humei,Near Threatened,Schedule-I,,,
Stachyris roberti,Near Threatened,Schedule-II,,,
Stachyris oglei,Near Threatened,Schedule-I,,,
Graminicola bengalensis,Near Threatened,Schedule-II,,,
