"eBird.Scientific.Name.2023","CMS.Appendix.New","CMS.Appendix.Old"
"Ficedula sapphira","","Appendix II"
"Phoenicurus fuliginosus","","Appendix II"
"Phoenicurus schisticeps","","Appendix II"
"Monticola rufiventris","","Appendix II"
"Saxicola macrorhynchus","","Appendix II"
"Saxicola leucurus","","Appendix II"
"Saxicola caprata","","Appendix II"
"Saxicola jerdoni","","Appendix II"
"Oenanthe fusca","","Appendix II"
"Oenanthe albonigra","","Appendix II"
"Motacilla maderaspatensis","","Appendix II"
"Anthus rufulus","","Appendix II"
"Anthus similis","","Appendix II"
"Anthus nilghiriensis","","Appendix II"
