"eBird.Scientific.Name.2022","SOIB.Concern.Status.Old","SOIB.Concern.Status.New"
"Rhipidura aureola","Moderate","Low"
"Dicrurus remifer","Moderate","Low"
"Dicrurus hottentottus","Moderate","Low"
"Dicrurus andamanensis","High","Moderate"
"Dicrurus paradiseus","Low","Moderate"
"Hypothymis azurea","Low","Moderate"
"Lanius isabellinus","High","Low"
"Lanius vittatus","Low","Moderate"
"Lanius schach","Low","Moderate"
"Garrulus lanceolatus","Moderate","Low"
"Nucifraga caryocatactes","Low",NA
"Chelidorhynx hypoxanthus","Moderate","Low"
"Cephalopyrus flammiceps",NA,"Moderate"
"Periparus rubidiventris","High","Low"
"Lophophanes dichrous","High","Low"
"Machlolophus nuchalis","Moderate","High"
"Ammomanes phoenicura","High","Moderate"
"Mirafra erythroptera","Moderate","Low"
"Eremophila alpestris","Low",NA
"Calandrella brachydactyla","Moderate","Low"
"Calandrella dukhunensis",NA,""
"Calandrella acutirostris","Moderate",NA
"Alauda gulgula","High","Moderate"
"Orthotomus atrogularis","Moderate",NA
"Prinia khasiana","Moderate",NA
"Prinia buchanani","Moderate","High"
"Prinia rufescens","Low",NA
"Arundinax aedon","Moderate","Low"
"Iduna rama",NA,""
"Helopsaltes certhiola","Moderate",NA
"Locustella major","High",NA
"Locustella kashmirensis","Moderate","High"
"Locustella thoracica",NA,"Moderate"
"Riparia chinensis","Moderate","Low"
"Riparia riparia","Low",NA
"Ptyonoprogne rupestris","High","Moderate"
"Ptyonoprogne concolor","Moderate","Low"
"Hirundo rustica","Moderate","Low"
"Delichon dasypus","Moderate",NA
"Delichon nipalense","Low","Moderate"
"Alcurus striatus","Moderate","Low"
"Iole cacharensis","Moderate","High"
"Ixos mcclellandii","Moderate","Low"
"Ixos nicobariensis","High","Moderate"
"Microtarsus priocephalus","Low","Moderate"
"Spizixos canifrons","Moderate",NA
"Pycnonotus flavescens","Low",NA
"Phylloscopus maculipennis","Moderate","Low"
"Phylloscopus inornatus","Low","Moderate"
"Phylloscopus tytleri","Moderate","High"
"Phylloscopus griseolus","High","Moderate"
"Phylloscopus fuligiventer",NA,"Moderate"
"Phylloscopus sindianus",NA,"Moderate"
"Phylloscopus nitidus",NA,""
"Phylloscopus trochiloides","Low","Moderate"
"Phylloscopus cantator","Low","Moderate"
"Hemitesia pallidipes","High","Moderate"
"Abroscopus albogularis","Moderate",NA
"Leptopoecile sophiae","Moderate",NA
"Aegithalos iouschistos",NA,"Moderate"
"Lioparus chrysotis","Moderate",NA
"Fulvetta ludlowi","High","Moderate"
"Fulvetta manipurensis","High",NA
"Paradoxornis guttaticollis","Moderate",NA
"Conostoma aemodium","High",NA
"Cholornis unicolor","Moderate",NA
"Psittiparus gularis","Moderate",NA
"Psittiparus bakeri","Moderate",NA
"Suthora fulvifrons","High",NA
"Staphida castaniceps","Low","Moderate"
"Yuhina gularis","Moderate","Low"
"Dumetia hyperythra","Low","Moderate"
"Cyanoderma ambiguum","Low","Moderate"
"Spelaeornis oatesi","High",NA
"Pomatorhinus ferruginosus","Moderate",NA
"Pomatorhinus ochraceiceps","Moderate",NA
"Pomatorhinus horsfieldii","Low","Moderate"
"Erythrogenys hypoleucos","Moderate",NA
"Stachyris nigriceps","Low",NA
"Stachyris roberti","High","Moderate"
"Schoeniparus castaneceps","Moderate",NA
"Schoeniparus dubius","Moderate",NA
"Pellorneum ruficeps","Low","Moderate"
"Gypsophila brevicaudata","Moderate",NA
"Napothera epilepidota","Moderate",NA
"Trochalopteron austeni","Moderate","High"
"Trochalopteron imbricatum","High","Moderate"
"Trochalopteron affine","Moderate",NA
"Heterophasia picaoides","Moderate",NA
"Actinodura nipalensis","High","Moderate"
"Minla ignotincta","Low","Moderate"
"Argya caudata","Moderate","Low"
"Garrulax merulinus",NA,"Moderate"
"Ianthocincla rufogularis","Moderate","Low"
"Ianthocincla cineracea",NA,"High"
"Ianthocincla ocellata","Moderate",NA
"Pterorhinus gularis","High","Moderate"
"Pterorhinus ruficollis","Moderate","Low"
"Pterorhinus woodi","High",NA
"Pterorhinus caerulatus","Moderate","High"
"Regulus regulus","Low",NA
"Tichodroma muraria","High","Low"
"Sitta castanea","Moderate","High"
"Certhia hodgsoni","Low","Moderate"
"Elachura formosa","Low",NA
"Cinclus cinclus","Low",NA
"Cinclus pallasii","High","Low"
"Aplonis panayensis","Moderate",NA
"Pastor roseus","Moderate","Low"
"Sturnia erythropygia","High","Moderate"
"Acridotheres ginginianus","High","Moderate"
"Acridotheres fuscus","Low","Moderate"
"Saroglossa spilopterus","High","Moderate"
"Zoothera dixoni",NA,"Moderate"
"Zoothera mollissima","Low","Moderate"
"Zoothera salimalii","Moderate",NA
"Zoothera monticola","Moderate","Low"
"Zoothera neilgherriensis","Moderate","High"
"Cochoa viridis","Moderate",NA
"Geokichla wardii","High","Moderate"
"Turdus dissimilis","Moderate",NA
"Turdus maximus","High","Moderate"
"Turdus albocinctus","Moderate","Low"
"Turdus rubrocanus","Low",NA
"Turdus atrogularis","Low",NA
"Turdus ruficollis","Moderate",NA
"Muscicapa dauurica","Low","Moderate"
"Niltava sundara","Low","Moderate"
"Cyornis pallidipes","High","Moderate"
"Brachypteryx cruralis","Moderate",NA
"Larvivora brunnea","Moderate","Low"
"Luscinia phaenicuroides","Moderate",NA
"Luscinia svecica","Moderate","Low"
"Myophonus horsfieldii","Moderate","Low"
"Enicurus scouleri","Moderate","Low"
"Enicurus schistaceus","Moderate","Low"
"Calliope calliope","Low","Moderate"
"Calliope tschebaiewi","Moderate","High"
"Myiomela leucura","Low","Moderate"
"Tarsiger indicus","Moderate",NA
"Ficedula hodgsoni","Low","Moderate"
"Ficedula strophiata","High","Low"
"Ficedula westermanni","Moderate","Low"
"Ficedula albicilla",NA,""
"Phoenicurus frontalis","Moderate","Low"
"Phoenicurus fuliginosus","High","Moderate"
"Phoenicurus leucocephalus","Moderate","Low"
"Phoenicurus coeruleocephala","Moderate","Low"
"Phoenicurus hodgsoni","Moderate",NA
"Phoenicurus erythrogastrus",NA,"Moderate"
"Monticola rufiventris","Moderate","Low"
"Monticola cinclorhyncha","High","Low"
"Monticola solitarius","High","Moderate"
"Saxicola macrorhynchus","High","Moderate"
"Saxicola stejnegeri",NA,"Low"
"Saxicola leucurus","Low",NA
"Saxicola jerdoni","High",NA
"Oenanthe isabellina","High","Low"
"Oenanthe deserti","High","Low"
"Oenanthe picata","High","Low"
"Hypocolius ampelinus","Moderate",NA
"Dicaeum agile","High","Moderate"
"Dicaeum concolor","Low","Moderate"
"Dicaeum cruentatum","Low","Moderate"
"Cinnyris ornatus","Moderate",NA
"Chloropsis moluccensis","Moderate",NA
"Chloropsis jerdoni","Low","Moderate"
"Chloropsis hardwickii","Moderate","Low"
"Lonchura striata","Low","Moderate"
"Lonchura malacca","Low","Moderate"
"Lonchura atricapilla",NA,""
"Prunella strophiata","Moderate","Low"
"Prunella atrogularis",NA,"Moderate"
"Prunella immaculata",NA,"Moderate"
"Passer domesticus","Moderate","Low"
"Passer pyrrhonotus","Low","Moderate"
"Montifringilla adamsi","Moderate",NA
"Motacilla cinerea","Moderate","Low"
"Motacilla flava","Moderate","Low"
"Motacilla citreola","Moderate","Low"
"Motacilla maderaspatensis","Low","Moderate"
"Anthus richardi","Low","Moderate"
"Anthus similis","Moderate","Low"
"Anthus campestris","High","Moderate"
"Anthus sylvanus","Low","Moderate"
"Anthus trivialis","Moderate","Low"
"Anthus hodgsoni","High","Moderate"
"Mycerobas icterioides","Low","Moderate"
"Mycerobas melanozanthos","Low","Moderate"
"Carpodacus erythrinus","Moderate","Low"
"Carpodacus sipahi",NA,"Low"
"Carpodacus pulcherrimus","Moderate",NA
"Carpodacus edwardsii","Moderate",NA
"Pyrrhula erythrocephala","Low","Moderate"
"Leucosticte nemoricola","Moderate","Low"
"Leucosticte brandti","Low",NA
"Linaria flavirostris","Moderate",NA
"Spinus thibetanus","Moderate",NA
"Emberiza fucata","Moderate",NA
"Emberiza stewarti","Low","Moderate"
"Emberiza buchanani","Moderate","Low"
"Emberiza striolata","Low",NA
"Emberiza pusilla","Low",NA
"Emberiza spodocephala","Moderate",NA
