,Species,EOOStartYear,EOOEndYear,LikelyEOO,MaxEOO,EOOMap
35,Nilgiri Laughingthrush,2018,2025,2159.49,4268.42,"list(c(76.9366385, 76.930745, 76.9155314, 76.915015, 76.6060661, 76.5127796, 76.4156, 76.4678635, 76.6411342, 76.6418401, 76.90611, 76.9366385, 11.4519564, 11.479444, 11.5245537, 11.5250218, 11.5060559, 11.4268943, 11.17793, 11.1141471, 10.9354539, 10.9356123, 11.3645135, 11.4519564))"
36,Nilgiri Pipit,2012,2025,9292.48,13671.16,"list(c(77.5476837, 76.78141, 76.604148, 76.5062099, 76.4156, 76.9679889, 77.038357, 77.1023941, 77.2042321, 77.5059311, 77.5476837, 10.2687118, 11.495466, 11.4717721, 11.3914312, 11.17793, 10.1598862, 10.049565, 10.0272167, 10.0144597, 10.2261363, 10.2687118))"
37,Nilgiri Sholakili,2022,2025,20734.06,25430.15,"list(c(76.9446508, 76.915015, 75.7619856, 75.2760458, 75.6089401, 75.9134314, 76.1301797, 76.41991, 76.4880838, 76.6250416, 76.9028901, 76.918139, 76.931017, 76.9446508, 11.4573234, 11.5250218, 13.547217, 13.1359045, 12.2176395, 11.6883854, 11.4339232, 11.185393, 11.1926799, 11.2399296, 11.3651541, 11.3761118, 11.409173, 11.4573234))"
38,Swamp Grass Babbler,2015,2025,19266.22,27840.16,"list(c(95.5067709, 95.4740833, 95.4583507, 91.6206458, 91.5737, 91.5576717, 91.5788479, 91.6188359, 93.3837317, 93.6195745, 94.2216005, 95.3556548, 95.5067709, 27.7032764, 27.993138, 28.0482258, 26.1952296, 26.167873, 26.1352317, 26.1360163, 26.1455671, 26.6061875, 26.6789228, 26.8656399, 27.4884821, 27.7032764))"
39,Ashambu Laughingthrush,2015,2025,401.49,1417.9,"list(c(77.4129544, 77.2286081, 77.2133712, 77.1984919, 77.1691301, 77.19118, 77.2295701, 77.2604785, 77.3545809, 77.3599076, 77.4129544, 8.5636585, 8.823586, 8.82902039999999, 8.8332788, 8.7433291, 8.6743, 8.6179011, 8.5888692, 8.5236244, 8.5222973, 8.5636585))"
40,Western Tragopan,2020,2025,15489.15,27093.18,"list(c(78.9644956, 75.9444136, 74.069159, 74.062754, 77.3996662, 77.7990231, 78.9644956, 30.6749712, 33.22257, 34.1948897, 34.159421, 31.5983477, 31.3467266, 30.6749712))"
41,Spotted Sandgrouse,2020,2025,6820.5,10124.69,"list(c(71.3022216, 69.5041466, 69.3216276, 69.2488003, 69.8571658, 69.9032915, 69.9481364, 71.3022216, 24.3801668, 23.801798, 23.664994, 23.5871151, 23.3959487, 23.3878323, 23.4012004, 24.3801668))"
42,Palani Laughingthrush,2015,2025,7302.52,10785.74,"list(c(77.7505449, 77.6913643, 76.9856435, 76.946774, 76.9279773, 76.9099119, 77.2074666, 77.298, 77.4075742, 77.7505449, 10.3061151, 10.4223637, 10.444069, 10.4140242, 10.3620298, 10.0956777, 9.319157, 9.30899999999999, 9.505233, 10.3061151))"
43,Yellowhammer,2019,2025,20423.24,25962.69,"list(c(76.8720749, 76.8664234, 75.2948427, 74.3539135, 74.2939756, 76.3357361, 76.8720749, 32.620253, 32.635354, 34.3014363, 34.3955842, 34.1903085, 32.2060154, 32.620253))"
44,White-crowned Penduline-Tit,2018,2025,27867.31,35475.26,"list(c(76.9817162, 76.8569958, 74.8223836, 74.4066842, 74.22166, 76.8860317, 76.8879119, 76.9817162, 28.4714679, 28.7101692, 31.7027697, 30.8910828, 30.3708205, 28.4614824, 28.4606598, 28.4714679))"
45,Black-bellied Sandgrouse,2015,2025,328.33,2216.21,"list(c(70.8060612, 70.503555, 70.4945278, 70.2973361, 70.3065777, 70.8060612, 26.905808, 27.294096, 27.3005792, 27.4169897, 27.3747399, 26.905808))"
46,Baer's Pochard,2022,2025,7434.36,13131.27,"list(c(95.3780639, 95.3780227, 95.3775747, 95.3758643, 95.370438, 91.6453188, 91.6568018, 94.1036128, 94.2170397, 95.3738738, 95.3780639, 27.5704901, 27.5742164, 27.5754979, 27.5776316, 27.5760898, 26.1167125, 26.1128033, 26.7808727, 26.8425075, 27.5629304, 27.5704901))"
47,Rufous-backed Redstart,2022,2025,22704.68,29195.19,"list(c(77.1275103, 77.1267003, 75.2948427, 74.6652715, 74.3497463, 74.159958, 75.6213733, 77.1275103, 32.4780834, 32.4798034, 34.3014363, 34.3807362, 34.3069001, 34.2100879, 32.6850758, 32.4780834))"
48,Andaman Bulbul,2016,2025,13106.04,19653.38,"list(c(93.058917, 93.0695844, 93.0422084, 92.8664972, 92.708232, 92.5353123, 92.4894773, 92.5044239, 92.5155808, 92.5292, 92.5319567, 92.5632274, 93.058917, 11.8208007, 13.3072769, 13.634067, 13.4116029, 12.8991297, 11.5799247, 10.7247936, 10.5118752, 10.5135591, 10.5209812, 10.5235496, 10.571181, 11.8208007))"
49,Andaman Coucal,2020,2025,13567.58,20537.68,"list(c(93.0651363, 93.0756056, 93.031818, 93.017107, 92.8857262, 92.8664972, 92.7072958, 92.5351175, 92.4894773, 92.502508, 92.5155808, 92.5292, 92.5319567, 92.5632274, 93.0651363, 11.8250473, 13.3021887, 13.477962, 13.518591, 13.4274847, 13.4116029, 13.0947506, 11.5874627, 10.7247936, 10.5112199, 10.5135591, 10.5209812, 10.5235496, 10.571181, 11.8250473))"
