"eBird.English.Name.2023","eBird.Scientific.Name.2023","eBird.Code","Order","Family","SoIB.Past.Priority.Status","SoIB.Past.Long.Term.Status","SoIB.Past.Current.Status","SoIB.Past.Range.Status","Breeding.Activity.Period","Non.Breeding.Activity.Period","Diet.Guild","India.Endemic","Subcontinent.Endemic","Himalayas.Endemic","Endemic.Region","Habitat.Specialization","Migratory.Status.Within.India","Essential","Discard","Restricted.Islands","India.Checklist.Common.Name","India.Checklist.Scientific.Name","BLI.Common.Name","BLI.Scientific.Name","IUCN.Category","WPA.Schedule","CITES.Appendix","CMS.Appendix","Onepercent.Estimates","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","proj2024.lci","proj2024.mean","proj2024.rci","proj2025.lci","proj2025.mean","proj2025.rci","proj2026.lci","proj2026.mean","proj2026.rci","proj2027.lci","proj2027.mean","proj2027.rci","proj2028.lci","proj2028.mean","proj2028.rci","proj2029.lci","proj2029.mean","proj2029.rci","proj2030.lci","proj2030.mean","proj2030.rci","rangemean","rangelci","rangerci"
"Andaman Woodpecker","Dryocopus hodgei","andwoo1","Piciformes","Picidae (Woodpeckers)","High","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Invertebrate","Yes","Yes","No","Andaman Islands","Forest","Resident",NA,NA,1,"Andaman Woodpecker","Dryocopus hodgei","Andaman Woodpecker","Dryocopus hodgei","Vulnerable","Schedule-I","","",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pied Falconet","Microhierax melanoleucos","piefal2","Falconiformes","Falconidae (Falcons and Caracaras)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident",1,NA,NA,"Pied Falconet","Microhierax melanoleucos","Pied Falconet","Microhierax melanoleucos","Least Concern","Schedule-II","Appendix II","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Collared Falconet","Microhierax caerulescens","colfal1","Falconiformes","Falconidae (Falcons and Caracaras)","Moderate","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident",1,NA,NA,"Collared Falconet","Microhierax caerulescens","Collared Falconet","Microhierax caerulescens","Least Concern","Schedule-II","Appendix II","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser Kestrel","Falco naumanni","leskes1","Falconiformes","Falconidae (Falcons and Caracaras)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Grassland","Passage Migrant",NA,NA,NA,"Lesser Kestrel","Falco naumanni","Lesser Kestrel","Falco naumanni","Least Concern","Schedule-II","Appendix II","Appendix I",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eurasian Kestrel","Falco tinnunculus","eurkes","Falconiformes","Falconidae (Falcons and Caracaras)","Moderate","Moderate Decline","Strong Decline","Moderate","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Open Habitat","Resident & Winter Migrant",NA,NA,NA,"Common Kestrel","Falco tinnunculus","Common Kestrel","Falco tinnunculus","Least Concern","Schedule-II","Appendix II","Appendix II",NA,"","","X",7,0.428571428571429,0.571428571428571,0.571428571428571,10.8571428571429,5.55078372844772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3945,3929,3961
"Red-necked Falcon","Falco chicquera","renfal1","Falconiformes","Falconidae (Falcons and Caracaras)","High","Strong Decline","Strong Decline","Large","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Open Habitat","Resident",NA,NA,NA,"Red-necked Falcon","Falco chicquera","Red-headed Falcon","Falco chicquera","Near Threatened","Schedule-I","Appendix II","Appendix II",NA,"","","X",4,NA,0.375,0.5,14.5,7.61210439585095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2477,2453,2501
"Red-footed Falcon","Falco vespertinus","reffal1","Falconiformes","Falconidae (Falcons and Caracaras)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Open Habitat","Uncertain",NA,NA,NA,"Red-footed Falcon","Falco vespertinus","Red-footed Falcon","Falco vespertinus","Vulnerable","Schedule-II","Appendix II","Appendix I",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amur Falcon","Falco amurensis","amufal1","Falconiformes","Falconidae (Falcons and Caracaras)","Low","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Open Habitat","Passage Migrant",1,NA,NA,"Amur Falcon","Falco amurensis","Amur Falcon","Falco amurensis","Least Concern","Schedule-I","Appendix II","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merlin","Falco columbarius","merlin","Falconiformes","Falconidae (Falcons and Caracaras)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Grassland","Winter Migrant",NA,NA,NA,"Merlin","Falco columbarius","Merlin","Falco columbarius","Least Concern","Schedule-II","Appendix II","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eurasian Hobby","Falco subbuteo","eurhob","Falconiformes","Falconidae (Falcons and Caracaras)","Low","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Open Habitat","Winter Migrant & Localized Summer Migrant",NA,NA,NA,"Eurasian Hobby","Falco subbuteo","Eurasian Hobby","Falco subbuteo","Least Concern","Schedule-II","Appendix II","Appendix II",NA,"","","X",5,NA,0.371428571428571,NA,13.6,6.15452483949817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1057,958,1156
"Oriental Hobby","Falco severus","orihob1","Falconiformes","Falconidae (Falcons and Caracaras)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Forest","Resident & Local Migrant",1,NA,NA,"Oriental Hobby","Falco severus","Oriental Hobby","Falco severus","Least Concern","Schedule-II","Appendix II","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laggar Falcon","Falco jugger","lagfal1","Falconiformes","Falconidae (Falcons and Caracaras)","Moderate","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Grassland","Resident",1,NA,NA,"Laggar Falcon","Falco jugger","Laggar Falcon","Falco jugger","Near Threatened","Schedule-I","Appendix I","Appendix II",NA,"","","X",1,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,549,549,549
"Saker Falcon","Falco cherrug","sakfal1","Falconiformes","Falconidae (Falcons and Caracaras)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Open Habitat","Winter Migrant & Localized Summer Migrant",1,NA,NA,"Saker Falcon","Falco cherrug","Saker Falcon","Falco cherrug","Endangered","Schedule-I","Appendix II","Appendix I",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peregrine Falcon","Falco peregrinus","perfal","Falconiformes","Falconidae (Falcons and Caracaras)","Low","Stable","Uncertain","Moderate","Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Open Habitat","Resident & Winter Migrant",NA,NA,NA,"Peregrine Falcon","Falco peregrinus","Peregrine Falcon","Falco peregrinus","Least Concern","Schedule-I","Appendix I","Appendix II",NA,"","","X",6,0.166666666666667,0.604166666666667,0.5,11.6666666666667,6.29374009984877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3292,3292,3292
"Alexandrine Parakeet","Psittacula eupatria","alepar2","Psittaciformes","Psittaculidae (Old World Parrots)","Low","Uncertain","Moderate Increase","Very Large","Diurnal","Diurnal","Fruit & Nect","No","No","No","Non-endemic","Forest & Plantation","Resident",NA,NA,NA,"Alexandrine Parakeet","Psittacula eupatria","Alexandrine Parakeet","Palaeornis eupatria","Near Threatened","Schedule-II","Appendix II","",NA,"","","X",8,0.375,0.8125,0.75,10.125,5.01673449566548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4388,4388,4388
"Rose-ringed Parakeet","Psittacula krameri","rorpar","Psittaciformes","Psittaculidae (Old World Parrots)","Low","Stable","Stable","Very Large","Diurnal","Diurnal","Fruit & Nect","No","No","No","Non-endemic","Non-specialized","Resident",NA,NA,NA,"Rose-ringed Parakeet","Psittacula krameri","Rose-ringed Parakeet","Alexandrinus krameri","Least Concern","Schedule-II","","",NA,"","","X",8,0.5,0.859375,0.75,10.125,5.01673449566548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4388,4388,4388
"Slaty-headed Parakeet","Psittacula himalayana","slhpar1","Psittaciformes","Psittaculidae (Old World Parrots)","Low","Uncertain","Uncertain","Moderate","Diurnal","Diurnal","Plant & Seed","No","Yes","Yes","Indian Subcontinent","Forest & Plantation","Resident & Altitudinal Migrant",NA,NA,NA,"Slaty-headed Parakeet","Psittacula himalayana","Slaty-headed Parakeet","Himalayapsitta himalayana","Least Concern","Schedule-II","Appendix II","",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gray-headed Parakeet","Psittacula finschii","gyhpar2","Psittaciformes","Psittaculidae (Old World Parrots)",NA,NA,NA,NA,"Diurnal","Diurnal","Plant & Seed","No","No","No","Non-endemic","Forest","Summer Migrant & Localized Winter Migrant",1,NA,NA,"Grey-headed Parakeet","Psittacula finschii","Grey-headed Parakeet","Himalayapsitta finschii","Near Threatened","Schedule-II","Appendix II","",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
