"eBird.English.Name.2023","eBird.Scientific.Name.2023","eBird.Code","Order","Family","SoIB.Past.Priority.Status","SoIB.Past.Long.Term.Status","SoIB.Past.Current.Status","SoIB.Past.Range.Status","Breeding.Activity.Period","Non.Breeding.Activity.Period","Diet.Guild","India.Endemic","Subcontinent.Endemic","Himalayas.Endemic","Endemic.Region","Habitat.Specialization","Migratory.Status.Within.India","Essential","Discard","Restricted.Islands","India.Checklist.Common.Name","India.Checklist.Scientific.Name","BLI.Common.Name","BLI.Scientific.Name","IUCN.Category","WPA.Schedule","CITES.Appendix","CMS.Appendix","Onepercent.Estimates","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","proj2024.lci","proj2024.mean","proj2024.rci","proj2025.lci","proj2025.mean","proj2025.rci","proj2026.lci","proj2026.mean","proj2026.rci","proj2027.lci","proj2027.mean","proj2027.rci","proj2028.lci","proj2028.mean","proj2028.rci","proj2029.lci","proj2029.mean","proj2029.rci","proj2030.lci","proj2030.mean","proj2030.rci","rangemean","rangelci","rangerci"
"Green-billed Malkoha","Phaenicophaeus tristis","grbmal1","Cuculiformes","Cuculidae (Cuckoos)","Low","Uncertain","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident",NA,NA,NA,"Green-billed Malkoha","Phaenicophaeus tristis","Green-billed Malkoha","Phaenicophaeus tristis","Least Concern","Schedule-II","","",NA,"","","X",2,NA,0.642857142857143,0.5,3.5,2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2605,2495,2715
"Chestnut-winged Cuckoo","Clamator coromandus","chwcuc1","Cuculiformes","Cuculidae (Cuckoos)",NA,NA,NA,NA,"24 hour","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest & Plantation","Summer Migrant & Localized Winter Migrant",NA,NA,NA,"Chestnut-winged Cuckoo","Clamator coromandus","Chestnut-winged Cuckoo","Clamator coromandus","Least Concern","Schedule-II","","",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pied Cuckoo","Clamator jacobinus","piecuc1","Cuculiformes","Cuculidae (Cuckoos)","Low","Stable","Uncertain","Large","24 hour","Diurnal","Invertebrate","No","No","No","Non-endemic","Non-specialized","Resident & Summer Migrant",NA,NA,NA,"Pied Cuckoo","Clamator jacobinus","Jacobin Cuckoo","Clamator jacobinus","Least Concern","Schedule-II","","",NA,"","","X",56,0.160714285714286,0.3125,0.357142857142857,7,1.39579368102883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39533,39404,39662
"Asian Koel","Eudynamys scolopaceus","asikoe2","Cuculiformes","Cuculidae (Cuckoos)","Low","Moderate Increase","Strong Increase","Very Large","24 hour","Diurnal","Fruit & Nect","No","No","No","Non-endemic","Non-specialized","Resident",1,NA,NA,"Asian Koel","Eudynamys scolopaceus","Western Koel","Eudynamys scolopaceus","Least Concern","Schedule-II","","",NA,"","","X",124,0.104838709677419,0.350806451612903,0.5,4.94354838709677,0.778565339726634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92873,92810,92936
"Asian Emerald Cuckoo","Chrysococcyx maculatus","asecuc1","Cuculiformes","Cuculidae (Cuckoos)",NA,NA,NA,NA,"24 hour","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest & Plantation","Resident & Summer Migrant",1,NA,NA,"Asian Emerald Cuckoo","Chrysococcyx maculatus","Asian Emerald Cuckoo","Chrysococcyx maculatus","Least Concern","Schedule-II","","",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Violet Cuckoo","Chrysococcyx xanthorhynchus","viocuc1","Cuculiformes","Cuculidae (Cuckoos)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest & Plantation","Resident & Summer Migrant",NA,NA,NA,"Violet Cuckoo","Chrysococcyx xanthorhynchus","Violet Cuckoo","Chrysococcyx xanthorhynchus","Least Concern","Schedule-II","","",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horsfield's Bronze-Cuckoo","Chrysococcyx basalis","hobcuc1","Cuculiformes","Cuculidae (Cuckoos)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest & Plantation","Uncertain",NA,1,NA,"Horsfield's Bronze-Cuckoo","Chrysococcyx basalis","Horsfield's Bronze-cuckoo","Chalcites basalis","Least Concern","Schedule-II","","",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Banded Bay Cuckoo","Cacomantis sonneratii","babcuc2","Cuculiformes","Cuculidae (Cuckoos)","Moderate","Moderate Decline","Uncertain","Large","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest & Plantation","Resident & Local Migrant",NA,NA,NA,"Banded Bay Cuckoo","Cacomantis sonneratii","Banded Bay Cuckoo","Cacomantis sonneratii","Least Concern","Schedule-II","","",NA,"","","X",4,NA,0.4,0.25,5.5,5.79775818743762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1788,1788,1788
"Plaintive Cuckoo","Cacomantis merulinus","placuc1","Cuculiformes","Cuculidae (Cuckoos)","Moderate","Data Deficient","Uncertain","Restricted","24 hour","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest & Plantation","Resident & Local Migrant",NA,NA,NA,"Plaintive Cuckoo","Cacomantis merulinus","Plaintive Cuckoo","Cacomantis merulinus","Least Concern","Schedule-II","","",NA,"","","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Gray-bellied Cuckoo","Cacomantis passerinus","placuc3","Cuculiformes","Cuculidae (Cuckoos)","Low","Uncertain","Uncertain","Large","24 hour","Diurnal","Invertebrate","No","Yes","No","Indian Subcontinent","Non-specialized","Resident & Local Migrant",NA,NA,NA,"Grey-bellied Cuckoo","Cacomantis passerinus","Grey-bellied Cuckoo","Cacomantis passerinus","Least Concern","Schedule-II","","",NA,"","","X",58,0.103448275862069,0.321120689655172,0.448275862068966,6.98275862068965,1.34161510298165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36572,36431,36713
