"Lesser Whistling-Duck",-5.57317238593643,-2.88929809858362,-0.205423811230813,-6.28020899353431,-3.75417060299485,-1.22813221245538,-5.34851983513022,-3.05732499605949,-0.766130156988757,-5.88140325502739,-3.47952025954859,-1.07763726406979,-5.46671007565989,-3.51302724452609,-1.55934441339229,-5.67064315111481,-3.35938147158008,-1.04811979204535,-5.66118559801265,-3.72911540138122,-1.79704520474979,-5.98829003838148,-3.4968028250293,-1.00531561167711,-5.87615246999366,-3.267847605168,-0.659542740342338,-6.22999844436108,-3.4209064645664,-0.611814484771722
"Bar-headed Goose",-12.3266701196364,-6.91322147451497,-1.49977282939352,-11.8566072523343,-7.08727502957589,-2.31794280681751,-8.53465277762975,-4.64018903299529,-0.745725288360831,-10.8835576072275,-6.11006205498188,-1.33656650273623,-10.1722129880358,-5.72508196348094,-1.27795093892607,-10.673166091407,-5.93860797395288,-1.2040498564988,-10.1059014780485,-5.48361461147018,-0.86132774489187,-11.2619570395531,-6.47940419815843,-1.69685135676373,-10.8961143269381,-5.63212016101504,-0.36812599509196,-10.1227225928586,-4.70900713422514,0.70470832440833
"Graylag Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greater White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barnacle Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-breasted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mute Swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andaman Teal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marbled Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pink-headed Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White-winged Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-crested Pochard",-9.63571120372374,-3.39843391840527,2.8388433669132,-8.4050501443205,-2.35475518289379,3.69553977853292,-8.43786066404376,-2.91963473815117,2.59859118774141,-4.54049975749131,-1.2175131616638,2.10547343416372,-7.36461862968178,-2.11576064611757,3.13309733744664,-7.57831594320661,-2.15045430303048,3.27740733714564,-7.33106474578002,-1.89317280289265,3.54471913999472,-7.7697150471911,-1.99810089327716,3.77351326063677,-7.83312863629218,-1.80243365299025,4.22826133031168,-9.52702003770402,-3.11987909067032,3.28726185636339
"Common Pochard",-10.3036507125163,-8.587960663093,-6.87227061366967,-9.54989286070678,-7.32209917421392,-5.09430548772106,-9.32982936109367,-7.24476741710326,-5.15970547311286,-9.16706012974046,-7.25901381057387,-5.35096749140727,-9.24901650451451,-7.37843781049372,-5.50785911647292,-9.42255846476269,-7.4108835512762,-5.39920863778971,-9.40087732000842,-7.33972236079861,-5.2785674015888,-9.7314088096413,-7.58234494018894,-5.43328107073658,-9.2465486965542,-7.07711149815525,-4.90767429975629,-9.94839455602977,-7.5099242629651,-5.07145396990043
"Ferruginous Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baer's Pochard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tufted Duck",-6.6720166923992,-4.22020895868969,-1.76840122498018,-6.29518282250148,-4.00955264669845,-1.72392247089542,-6.44880871286456,-4.64061529874019,-2.83242188461582,-5.97673381836879,-3.94998425003366,-1.92323468169854,-6.02182096747851,-4.0478424816046,-2.07386399573069,-6.24943055761464,-4.09734635212888,-1.94526214664312,-6.37286540226482,-4.17170985669457,-1.97055431112433,-6.48487415868066,-4.21664121560479,-1.94840827252891,-6.15867851101709,-3.82919850737111,-1.49971850372514,-6.5678800188977,-4.00983370346878,-1.45178738803985
"Greater Scaup",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Long-tailed Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Common Goldeneye",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Common Merganser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-breasted Merganser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
