"eBird.English.Name.2022","eBird.Scientific.Name.2022","eBird.Code","Order","Family","SOIB.Concern.Status","SOIB.Long.Term.Status","SOIB.Current.Status","SOIB.Range.Status","Breeding.Activity.Period","Non.Breeding.Activity.Period","Diet.Guild","India.Endemic","Subcontinent.Endemic","Himalayas.Endemic","Endemic.Region","Habitat.Specialization","Migratory.Status.Within.India","Essential","Discard","Restricted.Islands","India.Checklist.Common.Name","India.Checklist.Scientific.Name","BLI.Common.Name","BLI.Scientific.Name","IUCN.Category","WPA.Schedule","CITES.Appendix","CMS.Appendix","Onepercent.Estimates","Long.Term.Analysis","Current.Analysis","Selected.SOIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km2022","mean5km","ci5km","proj2023.lci","proj2023.mean","proj2023.rci","proj2024.lci","proj2024.mean","proj2024.rci","proj2025.lci","proj2025.mean","proj2025.rci","proj2026.lci","proj2026.mean","proj2026.rci","proj2027.lci","proj2027.mean","proj2027.rci","proj2028.lci","proj2028.mean","proj2028.rci","proj2029.lci","proj2029.mean","proj2029.rci","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","rangelci","rangemean","rangerci","SOIBv2.Long.Term.Status","SOIBv2.Current.Status","SOIBv2.Range.Status","SOIBv2.Priority.Status"
"Changeable Hawk-Eagle","Nisaetus cirrhatus","y00839","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Forest","Resident",NA,NA,NA,"Changeable Hawk Eagle","Nisaetus cirrhatus","Changeable Hawk-eagle","Nisaetus cirrhatus","Least Concern","Schedule-I","Appendix II","Appendix II",NA,"","","X",33,NA,0.189393939393939,0.303030303030303,7.51515151515152,1.86512574139689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34393,34596,34799,"Insufficient Data","Insufficient Data",NA,"Low"
"Mountain Hawk-Eagle","Nisaetus nipalensis","mouhae1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Forest","Resident",NA,NA,NA,"Mountain Hawk Eagle","Nisaetus nipalensis","Mountain Hawk-eagle","Nisaetus nipalensis","Near Threatened","Schedule-I","Appendix II","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Legge's Hawk-Eagle","Nisaetus kelaarti","mouhae2","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","Yes","No","Western Ghats & Sri Lanka","Forest","Resident",NA,NA,NA,"Legge's Hawk Eagle","Nisaetus kelaarti","Not at species rank","Nisaetus nipalensis kelaarti","Not Recognised","Schedule-II","Appendix II","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rufous-bellied Eagle","Lophotriorchis kienerii","rubeag2","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Forest","Resident",NA,NA,NA,"Rufous-bellied Eagle","Lophotriorchis kienerii","Rufous-bellied Eagle","Lophotriorchis kienerii","Near Threatened","Schedule-I","Appendix II","Appendix II",NA,"","","X",8,NA,0.3125,0.625,7.5,1.65650233926789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7206,7365,7524,"Insufficient Data","Insufficient Data",NA,"Moderate"
"Black Eagle","Ictinaetus malaiensis","blaeag1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Forest","Resident",NA,NA,NA,"Black Eagle","Ictinaetus malaiensis","Black Eagle","Ictinaetus malaiensis","Least Concern","Schedule-I","Appendix II","Appendix II",NA,"","","X",29,0.0344827586206897,0.224137931034483,0.482758620689655,10.1379310344828,2.11269645851045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33440,33656,33872,"Insufficient Data","Insufficient Data",NA,"Low"
"Indian Spotted Eagle","Clanga hastata","inseag1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Open Habitat","Resident & Within-India Migrant",1,NA,NA,"Indian Spotted Eagle","Clanga hastata","Indian Spotted Eagle","Clanga hastata","Vulnerable","Schedule-I","Appendix II","Appendix II",NA,"","","X",16,NA,0.21875,0.4375,10.25,2.92088228679852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20807,21023,21239,"Insufficient Data","Insufficient Data",NA,"Moderate"
"Greater Spotted Eagle","Clanga clanga","grseag1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Open Habitat","Winter Migrant",NA,NA,NA,"Greater Spotted Eagle","Clanga clanga","Greater Spotted Eagle","Clanga clanga","Vulnerable","Schedule-I","Appendix II","Appendix I",NA,"","","X",11,NA,0.147727272727273,0.0909090909090909,8.72727272727273,2.99112030202014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11258,11384,11510,"Insufficient Data","Insufficient Data",NA,"Moderate"
"Booted Eagle","Hieraaetus pennatus","booeag1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Non-specialized","Winter Migrant",NA,NA,NA,"Booted Eagle","Hieraaetus pennatus","Booted Eagle","Hieraaetus pennatus","Least Concern","Schedule-I","Appendix II","Appendix II",NA,"","","X",30,0.0333333333333333,0.225,0.233333333333333,9.76666666666667,2.09013858273062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38046,38197,38348,"Insufficient Data","Insufficient Data",NA,"Low"
"Tawny Eagle","Aquila rapax","taweag1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Open Habitat","Resident & Winter Migrant",NA,NA,NA,"Tawny Eagle","Aquila rapax","Tawny Eagle","Aquila rapax","Vulnerable","Schedule-I","Appendix II","Appendix II",NA,"","","X",7,0.285714285714286,0.204081632653061,0.285714285714286,12.4285714285714,4.81730214954387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7733,7894,8055,"Insufficient Data","Insufficient Data",NA,"Moderate"
"Steppe Eagle","Aquila nipalensis","steeag1","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Non-specialized","Winter Migrant",NA,NA,NA,"Steppe Eagle","Aquila nipalensis","Steppe Eagle","Aquila nipalensis","Endangered","Schedule-I","Appendix II","Appendix I",NA,"","","X",1,1,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,162,186,"Insufficient Data","Insufficient Data",NA,"High"
