eBird.English.Name.2023,eBird.Scientific.Name.2023,eBird.Code,Order,Family,SOIB.Concern.Status,SOIB.Long.Term.Status,SOIB.Current.Status,SOIB.Range.Status,Breeding.Activity.Period,Non.Breeding.Activity.Period,Diet.Guild,India.Endemic,Subcontinent.Endemic,Himalayas.Endemic,Endemic.Region,Habitat.Specialization,Migratory.Status.Within.India,Essential,Discard,Restricted.Islands,India.Checklist.Common.Name,India.Checklist.Scientific.Name,Onepercent.Estimates
Eastern Cattle Egret,Bubulcus coromandus,categr2,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Low,Stable,Strong Decline,Very Large,24 hour,24 hour,Invertebrate,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Cattle Egret,Bubulcus ibis,20000
Great Egret,Ardea alba,greegr,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Low,Stable,Strong Decline,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Great Egret,Ardea alba,1000
Medium Egret,Ardea intermedia,integr1,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Low,Stable,Strong Decline,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Intermediate Egret,Ardea intermedia,1000
Gray Heron,Ardea cinerea,graher1,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Low,Stable,Uncertain,Very Large,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Grey Heron,Ardea cinerea,1000
Purple Heron,Ardea purpurea,purher1,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Low,Stable,Strong Decline,Very Large,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Purple Heron,Ardea purpurea,250
White-bellied Heron,Ardea insignis,whbher2,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident & Local Migrant,1,NA,NA,White-bellied Heron,Ardea insignis,5
Goliath Heron,Ardea goliath,golher1,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",NA,NA,NA,NA,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Uncertain,1,NA,NA,Goliath Heron,Ardea goliath,1
Glossy Ibis,Plegadis falcinellus,gloibi,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),Low,Strong Increase,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Glossy Ibis,Plegadis falcinellus,NA
Black-headed Ibis,Threskiornis melanocephalus,blhibi1,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),Low,Moderate Increase,Uncertain,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Black-headed Ibis,Threskiornis melanocephalus,250
Red-naped Ibis,Pseudibis papillosa,renibi1,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),Low,Strong Increase,Uncertain,Very Large,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Non-specialized,Resident,NA,NA,NA,Red-naped Ibis,Pseudibis papillosa,100
Eurasian Spoonbill,Platalea leucorodia,eurspo1,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),Low,Uncertain,Uncertain,Moderate,24 hour,24 hour,Invertebrate,No,No,No,Non-endemic,Wetland,Resident & Local Migrant,NA,NA,NA,Eurasian Spoonbill,Platalea leucorodia,NA
Osprey,Pandion haliaetus,osprey,Accipitriformes,Pandionidae (Osprey),Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Osprey,Pandion haliaetus,NA
Black-winged Kite,Elanus caeruleus,bkskit1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Low,Stable,Strong Decline,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Resident,NA,NA,NA,Black-winged Kite,Elanus caeruleus,NA
Bearded Vulture,Gypaetus barbatus,lammer1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Moderate,Moderate Decline,Moderate Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Resident & Altitudinal Migrant,NA,NA,NA,Bearded Vulture,Gypaetus barbatus,NA
Egyptian Vulture,Neophron percnopterus,egyvul1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",High,Moderate Decline,Strong Decline,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Resident & Winter Migrant,NA,NA,NA,Egyptian Vulture,Neophron percnopterus,NA
European Honey-buzzard,Pernis apivorus,euhbuz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Winter Migrant,NA,NA,NA,European Honey Buzzard,Pernis apivorus,NA
Oriental Honey-buzzard,Pernis ptilorhynchus,orihob2,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Low,Stable,Strong Decline,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest & Plantation,Resident & Winter Migrant,NA,NA,NA,Oriental Honey Buzzard,Pernis ptilorhynchus,NA
Jerdon's Baza,Aviceda jerdoni,jerbaz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Jerdon's Baza,Aviceda jerdoni,NA
Black Baza,Aviceda leuphotes,blabaz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Within-India Migrant,NA,NA,NA,Black Baza,Aviceda leuphotes,NA
Red-headed Vulture,Sarcogyps calvus,rehvul1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",High,Strong Decline,Strong Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Red-headed Vulture,Sarcogyps calvus,NA
Cinereous Vulture,Aegypius monachus,cinvul1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Moderate,Data Deficient,Moderate Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Winter Migrant,1,NA,NA,Cinereous Vulture,Aegypius monachus,NA
White-rumped Vulture,Gyps bengalensis,whrvul1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",High,Strong Decline,Strong Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Resident,1,NA,NA,White-rumped Vulture,Gyps bengalensis,NA
Indian Vulture,Gyps indicus,indvul1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",High,Strong Decline,Strong Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,Yes,No,Indian Subcontinent,Forest & Plantation,Resident,NA,NA,NA,Indian Vulture,Gyps indicus,NA
Slender-billed Vulture,Gyps tenuirostris,slbvul1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Resident,1,NA,NA,Slender-billed Vulture,Gyps tenuirostris,NA
Himalayan Griffon,Gyps himalayensis,himgri1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Moderate,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Resident & Winter Migrant,NA,NA,NA,Himalayan Vulture,Gyps himalayensis,NA
Eurasian Griffon,Gyps fulvus,eurgri1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Winter Migrant,NA,NA,NA,Griffon Vulture,Gyps fulvus,NA
Nicobar Serpent-Eagle,Spilornis klossi,nicsee1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Vertebrate & Carrion,Yes,Yes,No,Nicobar Islands,Forest,Resident,NA,NA,1,Nicobar Serpent Eagle,Spilornis klossi,NA
Crested Serpent-Eagle,Spilornis cheela,crseag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Low,Stable,Strong Decline,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Crested Serpent Eagle,Spilornis cheela,NA
Andaman Serpent-Eagle,Spilornis elgini,anseag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",High,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Vertebrate & Carrion,Yes,Yes,No,Andaman Islands,Forest,Resident,NA,NA,1,Andaman Serpent Eagle,Spilornis elgini,NA
Short-toed Snake-Eagle,Circaetus gallicus,shteag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",High,Strong Decline,Strong Decline,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Resident,NA,NA,NA,Short-toed Snake Eagle,Circaetus gallicus,NA
Legge's Hawk-Eagle,Nisaetus kelaarti,mouhae2,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,Yes,No,Western Ghats & Sri Lanka,Forest,Resident,NA,NA,NA,Legge's Hawk Eagle,Nisaetus kelaarti,NA
Mountain Hawk-Eagle,Nisaetus nipalensis,mouhae1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Mountain Hawk Eagle,Nisaetus nipalensis,NA
Changeable Hawk-Eagle,Nisaetus cirrhatus,y00839,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Low,Stable,Moderate Decline,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Changeable Hawk Eagle,Nisaetus cirrhatus,NA
Rufous-bellied Eagle,Lophotriorchis kienerii,rubeag2,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Moderate,Uncertain,Strong Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Rufous-bellied Eagle,Lophotriorchis kienerii,NA
Black Eagle,Ictinaetus malaiensis,blaeag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Low,Stable,Moderate Decline,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Black Eagle,Ictinaetus malaiensis,NA
Indian Spotted Eagle,Clanga hastata,inseag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Moderate,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Resident & Within-India Migrant,1,NA,NA,Indian Spotted Eagle,Clanga hastata,NA
Greater Spotted Eagle,Clanga clanga,grseag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Moderate,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Winter Migrant,NA,NA,NA,Greater Spotted Eagle,Clanga clanga,NA
Booted Eagle,Hieraaetus pennatus,booeag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Winter Migrant,NA,NA,NA,Booted Eagle,Hieraaetus pennatus,NA
Tawny Eagle,Aquila rapax,taweag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",High,Strong Decline,Strong Decline,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Resident & Winter Migrant,NA,NA,NA,Tawny Eagle,Aquila rapax,NA
Steppe Eagle,Aquila nipalensis,steeag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",High,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Winter Migrant,NA,NA,NA,Steppe Eagle,Aquila nipalensis,NA
Imperial Eagle,Aquila heliaca,impeag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Moderate,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Winter Migrant,NA,NA,NA,Eastern Imperial Eagle,Aquila heliaca,NA
Golden Eagle,Aquila chrysaetos,goleag,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Moderate,Data Deficient,Strong Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Alpine & Cold Desert,Local Migrant & Winter Migrant,NA,NA,NA,Golden Eagle,Aquila chrysaetos,NA
Bonelli's Eagle,Aquila fasciata,boneag2,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Bonelli's Eagle,Aquila fasciata,NA
White-eyed Buzzard,Butastur teesa,whebuz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Moderate,Stable,Strong Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Resident & Local Migrant,NA,NA,NA,White-eyed Buzzard,Butastur teesa,NA
Rufous-winged Buzzard,Butastur liventer,ruwbuz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Uncertain,NA,1,NA,Rufous-winged Buzzard,Butastur liventer,NA
Gray-faced Buzzard,Butastur indicus,gyfbuz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Uncertain,NA,1,NA,Grey-faced Buzzard,Butastur indicus,NA
Western Marsh Harrier,Circus aeruginosus,wemhar1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Low,Stable,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Winter Migrant,NA,NA,NA,Western Marsh Harrier,Circus aeruginosus,NA
Eastern Marsh Harrier,Circus spilonotus,easmah1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Winter Migrant,NA,NA,NA,Eastern Marsh Harrier,Circus spilonotus,NA
Hen Harrier,Circus cyaneus,norhar1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Winter Migrant,NA,NA,NA,Hen Harrier,Circus cyaneus,NA
Pallid Harrier,Circus macrourus,palhar1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Grassland,Winter Migrant,NA,NA,NA,Pallid Harrier,Circus macrourus,NA
Pied Harrier,Circus melanoleucos,piehar1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Winter Migrant,NA,NA,NA,Pied Harrier,Circus melanoleucos,NA
Montagu's Harrier,Circus pygargus,monhar1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Grassland,Winter Migrant,NA,NA,NA,Montagu's Harrier,Circus pygargus,NA
Crested Goshawk,Accipiter trivirgatus,cregos1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident & Local Migrant,NA,NA,NA,Crested Goshawk,Accipiter trivirgatus,NA
Shikra,Accipiter badius,shikra1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Low,Stable,Stable,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Shikra,Accipiter badius,NA
Nicobar Sparrowhawk,Accipiter butleri,nicspa1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Vertebrate & Carrion,Yes,Yes,No,Nicobar Islands,Forest,Resident,NA,NA,1,Nicobar Sparrowhawk,Accipiter butleri,NA
Levant Sparrowhawk,Accipiter brevipes,levspa1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Winter Migrant,NA,NA,NA,Levant Sparrowhawk,Accipiter brevipes,NA
Chinese Sparrowhawk,Accipiter soloensis,grfhaw1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Winter Migrant,NA,NA,NA,Chinese Sparrowhawk,Accipiter soloensis,NA
Japanese Sparrowhawk,Accipiter gularis,japspa1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Winter Migrant,NA,NA,NA,Japanese Sparrowhawk,Accipiter gularis,NA
Besra,Accipiter virgatus,besra1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident & Local Migrant,NA,NA,NA,Besra,Accipiter virgatus,NA
Eurasian Sparrowhawk,Accipiter nisus,eurspa1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Resident & Winter Migrant,NA,NA,NA,Eurasian Sparrowhawk,Accipiter nisus,NA
Eurasian Goshawk,Accipiter gentilis,norgos1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident & Local Migrant,NA,NA,NA,Northern Goshawk,Accipiter gentilis,NA
Red Kite,Milvus milvus,redkit1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Uncertain,NA,1,NA,Red Kite,Milvus milvus,NA
Black Kite,Milvus migrans,blakit1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Low,Stable,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Resident & Winter Migrant,1,NA,NA,Black Kite,Milvus migrans,NA
Brahminy Kite,Haliastur indus,brakit1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,1,NA,NA,Brahminy Kite,Haliastur indus,NA
Pallas's Fish-Eagle,Haliaeetus leucoryphus,pafeag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",High,Uncertain,Uncertain,Very Restricted,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Winter Migrant,1,NA,NA,Pallas's Fish Eagle,Haliaeetus leucoryphus,NA
White-tailed Eagle,Haliaeetus albicilla,whteag,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,White-tailed Sea Eagle,Haliaeetus albicilla,NA
White-bellied Sea-Eagle,Icthyophaga leucogaster,wbseag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,White-bellied Sea Eagle,Haliaeetus leucogaster,NA
Lesser Fish-Eagle,Icthyophaga humilis,lefeag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Moderate,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,1,NA,NA,Lesser Fish Eagle,Haliaeetus humilis,NA
Gray-headed Fish-Eagle,Icthyophaga ichthyaetus,gyhfie1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Moderate,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Grey-headed Fish Eagle,Haliaeetus ichthyaetus,NA
Rough-legged Hawk,Buteo lagopus,rolhaw,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Uncertain,NA,1,NA,Rough-legged Buzzard,Buteo lagopus,NA
Common Buzzard,Buteo buteo,combuz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Winter Migrant,NA,NA,NA,Common Buzzard,Buteo buteo,NA
Himalayan Buzzard,Buteo refectus,combuz9,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Resident & Winter Migrant,NA,NA,NA,Himalayan Buzzard,Buteo refectus,NA
Long-legged Buzzard,Buteo rufinus,lolbuz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Winter Migrant,NA,NA,NA,Long-legged Buzzard,Buteo rufinus,NA
Upland Buzzard,Buteo hemilasius,uplbuz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Alpine & Cold Desert,Resident & Altitudinal Migrant,NA,NA,NA,Upland Buzzard,Buteo hemilasius,NA
Australasian Grass-Owl,Tyto longimembris,ausgro1,Strigiformes,Tytonidae (Barn-Owls),NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,Non-endemic,Grassland,Resident,NA,NA,NA,Eastern Grass Owl,Tyto longimembris,NA
Barn Owl,Tyto alba,brnowl,Strigiformes,Tytonidae (Barn-Owls),NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Common Barn Owl,Tyto alba,NA
Andaman Masked-Owl,Tyto deroepstorffi,barowl5,Strigiformes,Tytonidae (Barn-Owls),NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,Yes,Yes,No,Andaman Islands,Non-specialized,Resident,NA,NA,1,Andaman Barn Owl,Tyto deroepstorffi,NA
Oriental Bay-Owl,Phodilus badius,orbowl1,Strigiformes,Tytonidae (Barn-Owls),NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Oriental Bay Owl,Phodilus badius,NA
Sri Lanka Bay-Owl,Phodilus assimilis,srlbao1,Strigiformes,Tytonidae (Barn-Owls),NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,Yes,No,Western Ghats & Sri Lanka,Forest,Resident,NA,NA,NA,Sri Lanka Bay Owl,Phodilus assimilis,NA
Andaman Scops-Owl,Otus balli,ansowl1,Strigiformes,Strigidae (Owls),NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,Yes,Yes,No,Andaman Islands,Forest,Resident,NA,NA,1,Andaman Scops Owl,Otus balli,NA
Mountain Scops-Owl,Otus spilocephalus,mosowl2,Strigiformes,Strigidae (Owls),NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Mountain Scops Owl,Otus spilocephalus,NA
Indian Scops-Owl,Otus bakkamoena,insowl1,Strigiformes,Strigidae (Owls),NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest & Plantation,Resident,NA,NA,NA,Indian Scops Owl,Otus bakkamoena,NA
Collared Scops-Owl,Otus lettia,cosowl1,Strigiformes,Strigidae (Owls),NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident & Altitudinal Migrant,NA,NA,NA,Collared Scops Owl,Otus lettia,NA
Nicobar Scops-Owl,Otus alius,nicsco1,Strigiformes,Strigidae (Owls),NA,NA,NA,NA,Nocturnal,Nocturnal,Omnivore,Yes,Yes,No,Nicobar Islands,Forest,Resident,NA,NA,1,Nicobar Scops Owl,Otus alius,NA
Eurasian Scops-Owl,Otus scops,eursco1,Strigiformes,Strigidae (Owls),NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Winter Migrant,NA,1,NA,Eurasian Scops Owl,Otus scops,NA
Pallid Scops-Owl,Otus brucei,pasowl3,Strigiformes,Strigidae (Owls),NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Winter Migrant,NA,NA,NA,Pallid Scops Owl,Otus brucei,NA
Oriental Scops-Owl,Otus sunia,orsowl,Strigiformes,Strigidae (Owls),NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident & Local Migrant,NA,NA,NA,Oriental Scops Owl,Otus sunia,NA
Rock Eagle-Owl,Bubo bengalensis,roeowl1,Strigiformes,Strigidae (Owls),NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,Yes,No,Indian Subcontinent,Open Habitat,Resident,NA,NA,NA,Indian Eagle Owl,Bubo bengalensis,NA
