Sl No,Order,Family,Species,English Name,Scientific Name,eBird.English.Name.2025,eBird.Scientific.Name.2025,Authority,Alternative Names,Vagrant,Historical,IUCN RedList,WPA Schedule,SOIB,CITES Appendix,CMS Appendix,Endemic (India),Endemic (Andaman & Nicobar Is),Endemic (Assam Plains),Endemic (Cental Indian Forests),Endemic (Southern Andhra Pradesh),Endemic (Eastern Himalayas),Endemic (Indus Plains),Endemic (Northern Myanmar lowlands),Endemic (Southern Deccan Plateau),Endemic (Western Ghats),Endemic (Western Himalayas)
312,Charadriiformes,Laridae,Mew Gull Larus canus,Mew Gull,Larus canus,Common Gull,Larus canus,"Linnaeus, 1758",Common Gull,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
313,Charadriiformes,Laridae,Caspian Gull Larus cachinnans,Caspian Gull,Larus cachinnans,Caspian Gull,Larus cachinnans,"Pallas, 1811",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
314,Charadriiformes,Laridae,Mongolian Gull Larus mongolicus,Mongolian Gull,Larus mongolicus,Mongolian Gull,Larus mongolicus,"Sushkin, 1925","[Herring Gull, American Herring Gull, Arctic Herring Gull]; Vega Gull (with L. vegae EL)",X,,Least Concern,Schedule-II,,,,,,,,,,,,,,
315,Charadriiformes,Laridae,Lesser Black-backed Gull Larus fuscus,Lesser Black-backed Gull,Larus fuscus,Lesser Black-backed Gull,Larus fuscus,"Linnaeus, 1758","[Heuglin's Gull, Steppe Gull, Taimyr Gull]",,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
316,Charadriiformes,Laridae,Indian Skimmer Rynchops albicollis,Indian Skimmer,Rynchops albicollis,Indian Skimmer,Rynchops albicollis,"Swainson, 1838",,,,Endangered,Schedule-I,High,,,,,,,,,,,,,
317,Charadriiformes,Laridae,Blue-billed White-Tern Gygis candida,Blue-billed White-Tern,Gygis candida,Blue-billed White-Tern,Gygis candida,"(Gmelin, 1789)","White Tern, Fairy Tern; Common White Tern G. [a.] candida",X,,Least Concern,Schedule-II,,,,,,,,,,,,,,
318,Charadriiformes,Laridae,Brown Noddy Anous stolidus,Brown Noddy,Anous stolidus,Brown Noddy,Anous stolidus,"(Linnaeus, 1758)",Noddy Tern,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
319,Charadriiformes,Laridae,Lesser Noddy Anous tenuirostris,Lesser Noddy,Anous tenuirostris,Lesser Noddy,Anous tenuirostris,"(Temminck, 1823)",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
320,Charadriiformes,Laridae,Black Noddy Anous minutus,Black Noddy,Anous minutus,Black Noddy,Anous minutus,"Boie, 1844",,X,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
321,Charadriiformes,Laridae,Sooty Tern Onychoprion fuscatus,Sooty Tern,Onychoprion fuscatus,Sooty Tern,Onychoprion fuscatus,"(Linnaeus, 1766)",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
322,Charadriiformes,Laridae,Bridled Tern Onychoprion anaethetus,Bridled Tern,Onychoprion anaethetus,Bridled Tern,Onychoprion anaethetus,"(Scopoli, 1786)",Brown-winged Tern,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
323,Charadriiformes,Laridae,Little Tern Sternula albifrons,Little Tern,Sternula albifrons,Little Tern,Sternula albifrons,"(Pallas, 1764)",White-shafted Ternlet S. a. pusilla,,,Least Concern,Schedule-II,High,,Appendix II,,,,,,,,,,,
324,Charadriiformes,Laridae,Saunders's Tern Sternula saundersi,Saunders's Tern,Sternula saundersi,Saunders's Tern,Sternula saundersi,"(Hume, 1877)",Black-shafted Ternlet,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
325,Charadriiformes,Laridae,Gull-billed Tern Gelochelidon nilotica,Gull-billed Tern,Gelochelidon nilotica,Gull-billed Tern,Gelochelidon nilotica,"(Gmelin, 1789)",Common Gull-billed Tern,,,Least Concern,Schedule-I,High,,Appendix II,,,,,,,,,,,
326,Charadriiformes,Laridae,Caspian Tern Hydroprogne caspia,Caspian Tern,Hydroprogne caspia,Caspian Tern,Hydroprogne caspia,"(Pallas, 1770)",,,,Least Concern,Schedule-II,High,,Appendix II,,,,,,,,,,,
327,Charadriiformes,Laridae,Whiskered Tern Chlidonias hybrida,Whiskered Tern,Chlidonias hybrida,Whiskered Tern,Chlidonias hybrida,"(Pallas, 1811)",,,,Least Concern,Schedule-II,High,,,,,,,,,,,,,
328,Charadriiformes,Laridae,Black Tern Chlidonias niger,Black Tern,Chlidonias niger,Black Tern,Chlidonias niger,"(Linnaeus, 1758)",,X,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
329,Charadriiformes,Laridae,White-winged Tern Chlidonias leucopterus,White-winged Tern,Chlidonias leucopterus,White-winged Tern,Chlidonias leucopterus,"(Temminck, 1815)",White-winged Black Tern,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
330,Charadriiformes,Laridae,River Tern Sterna aurantia,River Tern,Sterna aurantia,River Tern,Sterna aurantia,"Gray, 1831",,,,Vulnerable,Schedule-I,Moderate,,,,,,,,,,,,,
331,Charadriiformes,Laridae,Arctic Tern Sterna paradisaea,Arctic Tern,Sterna paradisaea,Arctic Tern,Sterna paradisaea,"Pontoppidan, 1763",,X,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
332,Charadriiformes,Laridae,Common Tern Sterna hirundo,Common Tern,Sterna hirundo,Common Tern,Sterna hirundo,"Linnaeus, 1758",,,,Least Concern,Schedule-II,High,,Appendix II,,,,,,,,,,,
333,Charadriiformes,Laridae,White-cheeked Tern Sterna repressa,White-cheeked Tern,Sterna repressa,White-cheeked Tern,Sterna repressa,"Hartert, 1916",,X,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
334,Charadriiformes,Laridae,Black-naped Tern Sterna sumatrana,Black-naped Tern,Sterna sumatrana,Black-naped Tern,Sterna sumatrana,"Raffles, 1822",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
335,Charadriiformes,Laridae,Roseate Tern Sterna dougallii,Roseate Tern,Sterna dougallii,Roseate Tern,Sterna dougallii,"Montagu, 1813",Rosy Tern,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
336,Charadriiformes,Laridae,Black-bellied Tern Sterna acuticauda,Black-bellied Tern,Sterna acuticauda,Black-bellied Tern,Sterna acuticauda,"Gray, 1831",,,,Endangered,Schedule-I,High,,,,,,,,,,,,,
337,Charadriiformes,Laridae,Sandwich Tern Thalasseus sandvicensis,Sandwich Tern,Thalasseus sandvicensis,Sandwich Tern,Thalasseus sandvicensis,"(Latham, 1787)",,,,Least Concern,Schedule-II,High,,Appendix II,,,,,,,,,,,
338,Charadriiformes,Laridae,Lesser Crested Tern Thalasseus bengalensis,Lesser Crested Tern,Thalasseus bengalensis,Lesser Crested Tern,Thalasseus bengalensis,"(Lesson, 1831)",,,,Least Concern,Schedule-II,Moderate,,Appendix II,,,,,,,,,,,
339,Charadriiformes,Laridae,Great Crested Tern Thalasseus bergii,Great Crested Tern,Thalasseus bergii,Great Crested Tern,Thalasseus bergii,"(Lichtenstein, 1823)","Large Crested Tern, Greater Crested Tern",,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
340,Phoenicopteriformes,Phoenicopteridae,Greater Flamingo Phoenicopterus roseus,Greater Flamingo,Phoenicopterus roseus,Greater Flamingo,Phoenicopterus roseus,"Pallas, 1811",,,,Least Concern,Schedule-II,High,Appendix II,Appendix II,,,,,,,,,,,
341,Phoenicopteriformes,Phoenicopteridae,Lesser Flamingo Phoeniconaias minor,Lesser Flamingo,Phoeniconaias minor,Lesser Flamingo,Phoeniconaias minor,"(Geoffroy Saint-Hilaire, 1798)",,,,Near Threatened,Schedule-II,Moderate,Appendix II,Appendix II,,,,,,,,,,,
342,Podicipediformes,Podicipedidae,Little Grebe Tachybaptus ruficollis,Little Grebe,Tachybaptus ruficollis,Little Grebe,Tachybaptus ruficollis,"(Pallas, 1764)",Dabchick,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
343,Podicipediformes,Podicipedidae,Horned Grebe Podiceps auritus,Horned Grebe,Podiceps auritus,Horned Grebe,Podiceps auritus,"(Linnaeus, 1758)",Slavonian Grebe,X,,Vulnerable,Schedule-II,,,Appendix II,,,,,,,,,,,
344,Podicipediformes,Podicipedidae,Red-necked Grebe Podiceps grisegena,Red-necked Grebe,Podiceps grisegena,Red-necked Grebe,Podiceps grisegena,"(Boddaert, 1783)",,X,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
345,Podicipediformes,Podicipedidae,Great Crested Grebe Podiceps cristatus,Great Crested Grebe,Podiceps cristatus,Great Crested Grebe,Podiceps cristatus,"(Linnaeus, 1758)",,,,Least Concern,Schedule-II,High,,,,,,,,,,,,,
346,Podicipediformes,Podicipedidae,Black-necked Grebe Podiceps nigricollis,Black-necked Grebe,Podiceps nigricollis,Eared Grebe,Podiceps nigricollis,"Brehm, 1831",Eared Grebe,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
347,Phaethontiformes,Phaethontidae,White-tailed Tropicbird Phaethon lepturus,White-tailed Tropicbird,Phaethon lepturus,White-tailed Tropicbird,Phaethon lepturus,"Daudin, 1802",White Tropicbird,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
348,Phaethontiformes,Phaethontidae,Red-billed Tropicbird Phaethon aethereus,Red-billed Tropicbird,Phaethon aethereus,Red-billed Tropicbird,Phaethon aethereus,"Linnaeus, 1758",Short-tailed Tropicbird,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
349,Phaethontiformes,Phaethontidae,Red-tailed Tropicbird Phaethon rubricauda,Red-tailed Tropicbird,Phaethon rubricauda,Red-tailed Tropicbird,Phaethon rubricauda,"Boddaert, 1783",,X,,Least Concern,Schedule-II,,,,,,,,,,,,,,
350,Gaviiformes,Gaviidae,Red-throated Diver Gavia stellata,Red-throated Diver,Gavia stellata,Red-throated Loon,Gavia stellata,"(Pontoppidan, 1763)",Red-throated Loon,X,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
351,Gaviiformes,Gaviidae,Black-throated Diver Gavia arctica,Black-throated Diver,Gavia arctica,Arctic Loon,Gavia arctica,"(Linnaeus, 1758)","Black-throated Loon, Arctic Loon",X,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
352,Procellariiformes,Diomedeidae,Light-mantled Albatross Phoebetria palpebrata,Light-mantled Albatross,Phoebetria palpebrata,Light-mantled Albatross,Phoebetria palpebrata,"(Forster, 1785)",,X,,Near Threatened,Recent addition,,,Appendix II,,,,,,,,,,,
353,Procellariiformes,Oceanitidae,Wilson's Storm-Petrel Oceanites oceanicus,Wilson's Storm-Petrel,Oceanites oceanicus,Wilson's Storm-Petrel,Oceanites oceanicus,"(Kuhl, 1820)",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
354,Procellariiformes,Oceanitidae,White-faced Storm-Petrel Pelagodroma marina,White-faced Storm-Petrel,Pelagodroma marina,White-faced Storm-Petrel,Pelagodroma marina,"(Latham, 1790)",,,X,Least Concern,Schedule-II,,,,,,,,,,,,,,
355,Procellariiformes,Oceanitidae,Black-bellied Storm-Petrel Fregetta tropica,Black-bellied Storm-Petrel,Fregetta tropica,Black-bellied Storm-Petrel,Fregetta tropica,"(Gould, 1844)",Dusky-vented Storm Petrel,X,,Least Concern,Schedule-II,,,,,,,,,,,,,,
356,Procellariiformes,Hydrobatidae,Swinhoe's Storm-Petrel Hydrobates monorhis,Swinhoe's Storm-Petrel,Hydrobates monorhis,Swinhoe's Storm-Petrel,Hydrobates monorhis,"(Swinhoe, 1867)",Fork-tailed Storm Petrel,,,Near Threatened,Schedule-II,,,,,,,,,,,,,,
357,Procellariiformes,Procellariidae,Barau's Petrel Pterodroma baraui,Barau's Petrel,Pterodroma baraui,Barau's Petrel,Pterodroma baraui,"(Jouanin, 1964)",,X,,Endangered,Schedule-II,,,,,,,,,,,,,,
358,Procellariiformes,Procellariidae,Jouanin's Petrel Bulweria fallax,Jouanin's Petrel,Bulweria fallax,Jouanin's Petrel,Bulweria fallax,"Jouanin, 1955",Jouanin's Gadfly Petrel,,,Near Threatened,Schedule-II,,,,,,,,,,,,,,
359,Procellariiformes,Procellariidae,Streaked Shearwater Calonectris leucomelas,Streaked Shearwater,Calonectris leucomelas,Streaked Shearwater,Calonectris leucomelas,"(Temminck, 1836)",White-fronted Shearwater,X,,Near Threatened,Schedule-II,,,,,,,,,,,,,,
360,Procellariiformes,Procellariidae,Cory's Shearwater Calonectris borealis,Cory's Shearwater,Calonectris borealis,Cory's Shearwater,Calonectris borealis,"(Cory, 1881)",,X,,Least Concern,Schedule-II,,,,,,,,,,,,,,
361,Procellariiformes,Procellariidae,Flesh-footed Shearwater Ardenna carneipes,Flesh-footed Shearwater,Ardenna carneipes,Flesh-footed Shearwater,Ardenna carneipes,"(Gould, 1844)",Pink-footed Shearwater (with A. creatopus EL),,,Near Threatened,Schedule-II,,,,,,,,,,,,,,
362,Procellariiformes,Procellariidae,Wedge-tailed Shearwater Ardenna pacifica,Wedge-tailed Shearwater,Ardenna pacifica,Wedge-tailed Shearwater,Ardenna pacifica,"(Gmelin, 1789)",,X,,Least Concern,Schedule-II,,,,,,,,,,,,,,
363,Procellariiformes,Procellariidae,Sooty Shearwater Ardenna grisea,Sooty Shearwater,Ardenna grisea,Sooty Shearwater,Ardenna grisea,"(Gmelin, 1789)",,X,,Near Threatened,Recent addition,,,,,,,,,,,,,,
364,Procellariiformes,Procellariidae,Short-tailed Shearwater Ardenna tenuirostris,Short-tailed Shearwater,Ardenna tenuirostris,Short-tailed Shearwater,Ardenna tenuirostris,"(Temminck, 1836)",Slender-billed Shearwater,X,,Least Concern,Schedule-II,,,,,,,,,,,,,,
365,Procellariiformes,Procellariidae,Tropical Shearwater Puffinus bailloni,Tropical Shearwater,Puffinus bailloni,Tropical Shearwater,Puffinus bailloni,"Bonaparte, 1857",,X,,Least Concern,Schedule-II,,,,,,,,,,,,,,
366,Procellariiformes,Procellariidae,Persian Shearwater Puffinus persicus,Persian Shearwater,Puffinus persicus,Persian Shearwater,Puffinus persicus,"Hume, 1872",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
367,Ciconiiformes,Ciconiidae,Asian Openbill Anastomus oscitans,Asian Openbill,Anastomus oscitans,Asian Openbill,Anastomus oscitans,"(Boddaert, 1783)","Openbill Stork, Open-billed Stork",,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
368,Ciconiiformes,Ciconiidae,African Openbill Anastomus lamelligerus,African Openbill,Anastomus lamelligerus,African Openbill,Anastomus lamelligerus,"Temminck, 1823",,X,,Least Concern,Recent addition,,,,,,,,,,,,,,
369,Ciconiiformes,Ciconiidae,Black Stork Ciconia nigra,Black Stork,Ciconia nigra,Black Stork,Ciconia nigra,"(Linnaeus, 1758)",,,,Least Concern,Schedule-II,Moderate,Appendix II,Appendix II,,,,,,,,,,,
370,Ciconiiformes,Ciconiidae,Asian Woolly-necked Stork Ciconia episcopus,Asian Woolly-necked Stork,Ciconia episcopus,Asian Woolly-necked Stork,Ciconia episcopus,"(Boddaert, 1783)","White-necked Stork, Asian Woollyneck, Woolly-necked Stork (with C. microscelis EL)",,,Near Threatened,Schedule-II,Moderate,,,,,,,,,,,,,
371,Ciconiiformes,Ciconiidae,White Stork Ciconia ciconia,White Stork,Ciconia ciconia,White Stork,Ciconia ciconia,"(Linnaeus, 1758)",European White Stork,,,Least Concern,Schedule-I,,,Appendix II,,,,,,,,,,,
372,Ciconiiformes,Ciconiidae,Black-necked Stork Ephippiorhynchus asiaticus,Black-necked Stork,Ephippiorhynchus asiaticus,Black-necked Stork,Ephippiorhynchus asiaticus,"(Latham, 1790)",,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
373,Ciconiiformes,Ciconiidae,Lesser Adjutant Leptoptilos javanicus,Lesser Adjutant,Leptoptilos javanicus,Lesser Adjutant,Leptoptilos javanicus,"(Horsfield, 1821)",,,,Near Threatened,Schedule-I,Moderate,,,,,,,,,,,,,
374,Ciconiiformes,Ciconiidae,Greater Adjutant Leptoptilos dubius,Greater Adjutant,Leptoptilos dubius,Greater Adjutant,Leptoptilos dubius,"(Gmelin, 1789)",Adjutant Stork,,,Near Threatened,Schedule-I,High,,,,,,,,,,,,,
375,Ciconiiformes,Ciconiidae,Painted Stork Mycteria leucocephala,Painted Stork,Mycteria leucocephala,Painted Stork,Mycteria leucocephala,"(Pennant, 1769)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
376,Suliformes,Fregatidae,Lesser Frigatebird Fregata ariel,Lesser Frigatebird,Fregata ariel,Lesser Frigatebird,Fregata ariel,"(Gray, 1845)",Least Frigatebird,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
377,Suliformes,Fregatidae,Great Frigatebird Fregata minor,Great Frigatebird,Fregata minor,Great Frigatebird,Fregata minor,"(Gmelin, 1789)",Lesser Frigatebird (vide HBK),X,,Least Concern,Schedule-II,,,,,,,,,,,,,,
378,Suliformes,Fregatidae,Christmas Island Frigatebird Fregata andrewsi,Christmas Island Frigatebird,Fregata andrewsi,Christmas Island Frigatebird,Fregata andrewsi,"Mathews, 1914",Christmas Frigatebird,X,,Vulnerable,Schedule-I,,Appendix I,Appendix I,,,,,,,,,,,
379,Suliformes,Sulidae,Red-footed Booby Sula sula,Red-footed Booby,Sula sula,Red-footed Booby,Sula sula,"(Linnaeus, 1766)",,X,,Least Concern,Schedule-II,,,,,,,,,,,,,,
380,Suliformes,Sulidae,Brown Booby Sula leucogaster,Brown Booby,Sula leucogaster,Brown Booby,Sula leucogaster,"(Boddaert, 1783)",,X,,Least Concern,Schedule-II,,,,,,,,,,,,,,
381,Suliformes,Sulidae,Masked Booby Sula dactylatra,Masked Booby,Sula dactylatra,Masked Booby,Sula dactylatra,"Lesson, 1831",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
382,Suliformes,Anhingidae,Oriental Darter Anhinga melanogaster,Oriental Darter,Anhinga melanogaster,Oriental Darter,Anhinga melanogaster,"Pennant, 1769",Snake-bird,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
383,Suliformes,Phalacrocoracidae,Little Cormorant Microcarbo niger,Little Cormorant,Microcarbo niger,Little Cormorant,Microcarbo niger,"(Vieillot, 1817)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
384,Suliformes,Phalacrocoracidae,Great Cormorant Phalacrocorax carbo,Great Cormorant,Phalacrocorax carbo,Great Cormorant,Phalacrocorax carbo,"(Linnaeus, 1758)",Large Cormorant,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
385,Suliformes,Phalacrocoracidae,Indian Cormorant Phalacrocorax fuscicollis,Indian Cormorant,Phalacrocorax fuscicollis,Indian Cormorant,Phalacrocorax fuscicollis,"Stephens, 1826",Indian Shag,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
386,Pelecaniformes,Threskiornithidae,Glossy Ibis Plegadis falcinellus,Glossy Ibis,Plegadis falcinellus,Glossy Ibis,Plegadis falcinellus,"(Linnaeus, 1766)",,,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
387,Pelecaniformes,Threskiornithidae,Black-headed Ibis Threskiornis melanocephalus,Black-headed Ibis,Threskiornis melanocephalus,Black-headed Ibis,Threskiornis melanocephalus,"(Latham, 1790)","White Ibis, Oriental White Ibis",,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
388,Pelecaniformes,Threskiornithidae,Red-naped Ibis Pseudibis papillosa,Red-naped Ibis,Pseudibis papillosa,Red-naped Ibis,Pseudibis papillosa,"(Temminck, 1824)",Indian Black Ibis,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
389,Pelecaniformes,Threskiornithidae,Eurasian Spoonbill Platalea leucorodia,Eurasian Spoonbill,Platalea leucorodia,Eurasian Spoonbill,Platalea leucorodia,"Linnaeus, 1758",Spoonbill,,,Least Concern,Schedule-I,High,Appendix II,Appendix II,,,,,,,,,,,
390,Pelecaniformes,Ardeidae,Great Bittern Botaurus stellaris,Great Bittern,Botaurus stellaris,Eurasian Bittern,Botaurus stellaris,"(Linnaeus, 1758)","Eurasian Bittern, Bittern",,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
391,Pelecaniformes,Ardeidae,Black Bittern Botaurus flavicollis,Black Bittern,Botaurus flavicollis,Black Bittern,Botaurus flavicollis,"(Latham, 1790)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
392,Pelecaniformes,Ardeidae,Cinnamon Bittern Botaurus cinnamomeus,Cinnamon Bittern,Botaurus cinnamomeus,Cinnamon Bittern,Botaurus cinnamomeus,"(Gmelin, 1789)",Chestnut Bittern,,,Least Concern,Schedule-I,Low,,,,,,,,,,,,,
393,Pelecaniformes,Ardeidae,Little Bittern Botaurus minutus,Little Bittern,Botaurus minutus,Little Bittern,Botaurus minutus,"(Linnaeus, 1766)",Common Little Bittern,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
394,Pelecaniformes,Ardeidae,Yellow Bittern Botaurus sinensis,Yellow Bittern,Botaurus sinensis,Yellow Bittern,Botaurus sinensis,"(Gmelin, 1789)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
395,Pelecaniformes,Ardeidae,Black-crowned Night Heron Nycticorax nycticorax,Black-crowned Night Heron,Nycticorax nycticorax,Black-crowned Night Heron,Nycticorax nycticorax,"(Linnaeus, 1758)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
396,Pelecaniformes,Ardeidae,Malayan Night Heron Gorsachius melanolophus,Malayan Night Heron,Gorsachius melanolophus,Malayan Night Heron,Gorsachius melanolophus,"(Raffles, 1822)","Malay Bittern, Tiger Bittern",,,Least Concern,Schedule-II,,,,,,,,,,,,,,
397,Pelecaniformes,Ardeidae,Pacific Reef-Egret Egretta sacra,Pacific Reef-Egret,Egretta sacra,Pacific Reef-Heron,Egretta sacra,"(Gmelin, 1789)","Pacific Reef Heron, Eastern Reef Egret, Eastern Reef Heron",,,Least Concern,Schedule-II,,,,,,,,,,,,,,
398,Pelecaniformes,Ardeidae,Chinese Egret Egretta eulophotes,Chinese Egret,Egretta eulophotes,Chinese Egret,Egretta eulophotes,"(Swinhoe, 1860)",,X,,Vulnerable,Schedule-II,,,Appendix I,,,,,,,,,,,
399,Pelecaniformes,Ardeidae,Little Egret Egretta garzetta,Little Egret,Egretta garzetta,Little Egret,Egretta garzetta,"(Linnaeus, 1766)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
400,Pelecaniformes,Ardeidae,Western Reef-Egret Egretta gularis,Western Reef-Egret,Egretta gularis,Western Reef-Heron,Egretta gularis,"(Bosc, 1792)","Western Reef Heron, Indian Reef Heron",,,Least Concern,Schedule-II,High,,,,,,,,,,,,,
401,Pelecaniformes,Ardeidae,White-eared Night Heron Oroanassa magnifica,White-eared Night Heron,Oroanassa magnifica,White-eared Night Heron,Oroanassa magnifica,"(Ogilvie-Grant, 1899)",,X,,Near Threatened,Schedule-I,,,,,,,,,,,,,,
402,Pelecaniformes,Ardeidae,Little Heron Butorides atricapilla,Little Heron,Butorides atricapilla,Little Heron,Butorides atricapilla,"(Afzelius, 1804)","Striated Heron, Little Green Heron, Green-backed Heron",,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
403,Pelecaniformes,Ardeidae,Indian Pond-Heron Ardeola grayii,Indian Pond-Heron,Ardeola grayii,Indian Pond-Heron,Ardeola grayii,"(Sykes, 1832)",Paddybird,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
404,Pelecaniformes,Ardeidae,Chinese Pond-Heron Ardeola bacchus,Chinese Pond-Heron,Ardeola bacchus,Chinese Pond-Heron,Ardeola bacchus,"(Bonaparte, 1855)",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
405,Pelecaniformes,Ardeidae,Javan Pond-Heron Ardeola speciosa,Javan Pond-Heron,Ardeola speciosa,Javan Pond-Heron,Ardeola speciosa,"(Horsfield, 1821)",,X,,Least Concern,Schedule-II,,,,,,,,,,,,,,
406,Pelecaniformes,Ardeidae,Eastern Cattle-Egret Ardea coromanda,Eastern Cattle-Egret,Ardea coromanda,Eastern Cattle-Egret,Ardea coromanda,"(Boddaert, 1783)",Cattle Egret (with A. ibis),,,Not recognized,Schedule-II,Low,,,,,,,,,,,,,
407,Pelecaniformes,Ardeidae,Great Egret Ardea alba,Great Egret,Ardea alba,Great Egret,Ardea alba,"Linnaeus, 1758","Large Egret, Great White Egret",,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
408,Pelecaniformes,Ardeidae,Intermediate Egret Ardea intermedia,Intermediate Egret,Ardea intermedia,Medium Egret,Ardea intermedia,"Wagler, 1829","Median Egret, Medium Egret, Smaller Egret",,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
409,Pelecaniformes,Ardeidae,Grey Heron Ardea cinerea,Grey Heron,Ardea cinerea,Gray Heron,Ardea cinerea,"Linnaeus, 1758",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
410,Pelecaniformes,Ardeidae,Purple Heron Ardea purpurea,Purple Heron,Ardea purpurea,Purple Heron,Ardea purpurea,"Linnaeus, 1766",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
411,Pelecaniformes,Ardeidae,White-bellied Heron Ardea insignis,White-bellied Heron,Ardea insignis,White-bellied Heron,Ardea insignis,"Hume, 1878",,,,Critically Endangered,Schedule-I,High,,,,,,,,,,,,,
412,Pelecaniformes,Ardeidae,Goliath Heron Ardea goliath,Goliath Heron,Ardea goliath,Goliath Heron,Ardea goliath,"Cretzschmar, 1829",Giant Heron,X,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
413,Pelecaniformes,Pelecanidae,Great White Pelican Pelecanus onocrotalus,Great White Pelican,Pelecanus onocrotalus,Great White Pelican,Pelecanus onocrotalus,"Linnaeus, 1758",Rosy Pelican,,,Least Concern,Schedule-II,High,,Appendix I,,,,,,,,,,,
414,Pelecaniformes,Pelecanidae,Spot-billed Pelican Pelecanus philippensis,Spot-billed Pelican,Pelecanus philippensis,Spot-billed Pelican,Pelecanus philippensis,"Gmelin, 1789","Grey Pelican, Spotted-billed Pelican",,,Near Threatened,Schedule-II,Moderate,,,,,,,,,,,,,
415,Pelecaniformes,Pelecanidae,Dalmatian Pelican Pelecanus crispus,Dalmatian Pelican,Pelecanus crispus,Dalmatian Pelican,Pelecanus crispus,"Bruch, 1832",,,,Near Threatened,Schedule-II,Moderate,Appendix I,Appendix I,,,,,,,,,,,
416,Accipitriformes,Pandionidae,Osprey Pandion haliaetus,Osprey,Pandion haliaetus,Osprey,Pandion haliaetus,"(Linnaeus, 1758)",[Western Osprey],,,Least Concern,Schedule-I,High,Appendix II,Appendix II,,,,,,,,,,,
417,Accipitriformes,Accipitridae,Black-winged Kite Elanus caeruleus,Black-winged Kite,Elanus caeruleus,Black-winged Kite,Elanus caeruleus,"(Desfontaines, 1789)",Black-shouldered Kite,,,Least Concern,Schedule-II,Moderate,Appendix II,,,,,,,,,,,,
418,Accipitriformes,Accipitridae,Bearded Vulture Gypaetus barbatus,Bearded Vulture,Gypaetus barbatus,Bearded Vulture,Gypaetus barbatus,"(Linnaeus, 1758)",Lammergeier,,,Near Threatened,Schedule-I,High,Appendix II,Appendix II,,,,,,,,,,,
419,Accipitriformes,Accipitridae,Egyptian Vulture Neophron percnopterus,Egyptian Vulture,Neophron percnopterus,Egyptian Vulture,Neophron percnopterus,"(Linnaeus, 1758)","Scavenger Vulture, White Scavenger Vulture",,,Endangered,Schedule-I,High,Appendix II,Appendix I,,,,,,,,,,,
