Sl No,English Name,Scientific Name
232,Terek Sandpiper,Xenus cinereus
233,Common Sandpiper,Actitis hypoleucos
234,Green Sandpiper,Tringa ochropus
235,Marsh Sandpiper,Tringa stagnatilis
236,Wood Sandpiper,Tringa glareola
237,Common Redshank,Tringa totanus
238,Spotted Redshank,Tringa erythropus
239,Common Greenshank,Tringa nebularia
240,Ruddy Turnstone,Arenaria interpres
241,Great Knot,Calidris tenuirostris
242,Red Knot,Calidris canutus
243,Ruff,Calidris pugnax
244,Broad-billed Sandpiper,Calidris falcinellus
245,Curlew Sandpiper,Calidris ferruginea
246,Temminck's Stint,Calidris temminckii
247,Long-toed Stint,Calidris subminuta
248,Red-necked Stint,Calidris ruficollis
249,Sanderling,Calidris alba
250,Dunlin,Calidris alpina
251,Little Stint,Calidris minuta
252,Yellow-legged Buttonquail,Turnix tanki
253,Barred Buttonquail,Turnix suscitator
254,Small Buttonquail,Turnix sylvaticus
255,Crab-Plover,Dromas ardeola
256,Jerdon's Courser,Rhinoptilus bitorquatus
257,Indian Courser,Cursorius coromandelicus
258,Cream-coloured Courser,Cursorius cursor
259,Small Pratincole,Glareola lactea
260,Collared Pratincole,Glareola pratincola
261,Oriental Pratincole,Glareola maldivarum
262,Long-tailed Skua,Stercorarius longicaudus
263,Arctic Skua,Stercorarius parasiticus
264,Pomarine Skua,Stercorarius pomarinus
265,Black-legged Kittiwake,Rissa tridactyla
266,Slender-billed Gull,Chroicocephalus genei
267,Black-headed Gull,Chroicocephalus ridibundus
268,Brown-headed Gull,Chroicocephalus brunnicephalus
269,Pallas's Gull,Ichthyaetus ichthyaetus
270,Sooty Gull,Ichthyaetus hemprichii
271,Mew Gull,Larus canus
272,Caspian Gull,Larus cachinnans
273,Lesser Black-backed Gull,Larus fuscus
274,Indian Skimmer,Rynchops albicollis
275,Brown Noddy,Anous stolidus
276,Lesser Noddy,Anous tenuirostris
277,Sooty Tern,Onychoprion fuscatus
278,Bridled Tern,Onychoprion anaethetus
279,Little Tern,Sternula albifrons
280,Saunders's Tern,Sternula saundersi
281,Gull-billed Tern,Gelochelidon nilotica
282,Caspian Tern,Hydroprogne caspia
283,Whiskered Tern,Chlidonias hybrida
284,White-winged Tern,Chlidonias leucopterus
285,River Tern,Sterna aurantia
286,Common Tern,Sterna hirundo
287,Black-naped Tern,Sterna sumatrana
288,Roseate Tern,Sterna dougallii
289,Black-bellied Tern,Sterna acuticauda
290,Sandwich Tern,Thalasseus sandvicensis
291,Lesser Crested Tern,Thalasseus bengalensis
292,Great Crested Tern,Thalasseus bergii
293,Greater Flamingo,Phoenicopterus roseus
294,Lesser Flamingo,Phoeniconaias minor
295,Little Grebe,Tachybaptus ruficollis
296,Great Crested Grebe,Podiceps cristatus
297,Black-necked Grebe,Podiceps nigricollis
298,White-tailed Tropicbird,Phaethon lepturus
299,Red-billed Tropicbird,Phaethon aethereus
300,Wilson's Storm-Petrel,Oceanites oceanicus
301,Swinhoe's Storm-Petrel,Hydrobates monorhis
302,Jouanin's Petrel,Bulweria fallax
303,Flesh-footed Shearwater,Ardenna carneipes
304,Persian Shearwater,Puffinus persicus
305,Asian Openbill,Anastomus oscitans
306,Black Stork,Ciconia nigra
307,Asian Woolly-necked Stork,Ciconia episcopus
308,White Stork,Ciconia ciconia
309,Black-necked Stork,Ephippiorhynchus asiaticus
310,Lesser Adjutant,Leptoptilos javanicus
311,Greater Adjutant,Leptoptilos dubius
312,Painted Stork,Mycteria leucocephala
313,Lesser Frigatebird,Fregata ariel
314,Masked Booby,Sula dactylatra
315,Oriental Darter,Anhinga melanogaster
316,Little Cormorant,Microcarbo niger
317,Great Cormorant,Phalacrocorax carbo
318,Indian Cormorant,Phalacrocorax fuscicollis
319,Glossy Ibis,Plegadis falcinellus
320,Black-headed Ibis,Threskiornis melanocephalus
321,Red-naped Ibis,Pseudibis papillosa
322,Eurasian Spoonbill,Platalea leucorodia
323,Great Bittern,Botaurus stellaris
324,Black Bittern,Botaurus flavicollis
325,Cinnamon Bittern,Botaurus cinnamomeus
326,Little Bittern,Botaurus minutus
327,Yellow Bittern,Botaurus sinensis
328,Black-crowned Night Heron,Nycticorax nycticorax
329,Malayan Night Heron,Gorsachius melanolophus
330,Pacific Reef-Egret,Egretta sacra
331,Little Egret,Egretta garzetta
332,Western Reef-Egret,Egretta gularis
333,Little Heron,Butorides atricapilla
334,Indian Pond-Heron,Ardeola grayii
335,Chinese Pond-Heron,Ardeola bacchus
336,Eastern Cattle-Egret,Ardea coromanda
337,Great Egret,Ardea alba
338,Intermediate Egret,Ardea intermedia
339,Grey Heron,Ardea cinerea
340,Purple Heron,Ardea purpurea
341,White-bellied Heron,Ardea insignis
342,Great White Pelican,Pelecanus onocrotalus
343,Spot-billed Pelican,Pelecanus philippensis
344,Dalmatian Pelican,Pelecanus crispus
345,Osprey,Pandion haliaetus
346,Black-winged Kite,Elanus caeruleus
347,Bearded Vulture,Gypaetus barbatus
348,Egyptian Vulture,Neophron percnopterus
349,Jerdon's Baza,Aviceda jerdoni
350,Black Baza,Aviceda leuphotes
351,Oriental Honey-buzzard,Pernis ptilorhynchus
352,Red-headed Vulture,Sarcogyps calvus
353,Cinereous Vulture,Aegypius monachus
354,Himalayan Vulture,Gyps himalayensis
355,White-rumped Vulture,Gyps bengalensis
356,Indian Vulture,Gyps indicus
357,Slender-billed Vulture,Gyps tenuirostris
358,Griffon Vulture,Gyps fulvus
359,Nicobar Serpent-Eagle,Spilornis klossi
360,Crested Serpent-Eagle,Spilornis cheela
361,Andaman Serpent-Eagle,Spilornis elgini
362,Short-toed Snake-Eagle,Circaetus gallicus
363,Legge's Hawk-Eagle,Nisaetus kelaarti
364,Mountain Hawk-Eagle,Nisaetus nipalensis
365,Changeable Hawk-Eagle,Nisaetus cirrhatus
366,Rufous-bellied Eagle,Lophotriorchis kienerii
367,Black Eagle,Ictinaetus malaiensis
368,Indian Spotted Eagle,Clanga hastata
369,Greater Spotted Eagle,Clanga clanga
370,Booted Eagle,Hieraaetus pennatus
371,Steppe Eagle,Aquila nipalensis
372,Imperial Eagle,Aquila heliaca
373,Tawny Eagle,Aquila rapax
374,Golden Eagle,Aquila chrysaetos
375,Bonelli's Eagle,Aquila fasciata
376,Crested Goshawk,Lophospiza trivirgata
377,Besra,Tachyspiza virgata
378,Japanese Sparrowhawk,Tachyspiza gularis
379,Shikra,Tachyspiza badia
380,Nicobar Sparrowhawk,Tachyspiza butleri
381,Chinese Sparrowhawk,Tachyspiza soloensis
382,Eurasian Sparrowhawk,Accipiter nisus
383,Northern Goshawk,Astur gentilis
384,Western Marsh Harrier,Circus aeruginosus
385,Eastern Marsh Harrier,Circus spilonotus
386,Hen Harrier,Circus cyaneus
387,Pallid Harrier,Circus macrourus
388,Pied Harrier,Circus melanoleucos
389,Montagu's Harrier,Circus pygargus
390,Black Kite,Milvus migrans
391,Brahminy Kite,Haliastur indus
392,White-tailed Eagle,Haliaeetus albicilla
393,Pallas's Fish-Eagle,Haliaeetus leucoryphus
394,White-bellied Sea-Eagle,Icthyophaga leucogaster
395,Lesser Fish-Eagle,Icthyophaga humilis
396,Grey-headed Fish-Eagle,Icthyophaga ichthyaetus
397,White-eyed Buzzard,Butastur teesa
398,Common Buzzard,Buteo buteo
399,Long-legged Buzzard,Buteo rufinus
400,Upland Buzzard,Buteo hemilasius
401,Himalayan Buzzard,Buteo refectus
402,Eastern Grass-Owl,Tyto longimembris
403,Eastern Barn Owl,Tyto javanica
404,Andaman Barn Owl,Tyto deroepstorffi
405,Oriental Bay-Owl,Phodilus badius
406,Sri Lanka Bay-Owl,Phodilus assimilis
407,Andaman Scops-Owl,Otus balli
408,Mountain Scops-Owl,Otus spilocephalus
409,Indian Scops-Owl,Otus bakkamoena
410,Collared Scops-Owl,Otus lettia
411,Nicobar Scops-Owl,Otus alius
412,Eurasian Scops-Owl,Otus scops
413,Pallid Scops-Owl,Otus brucei
414,Oriental Scops-Owl,Otus sunia
415,Indian Eagle-Owl,Bubo bengalensis
416,Eurasian Eagle-Owl,Bubo bubo
417,Buffy Fish-Owl,Ketupa ketupu
418,Brown Fish-Owl,Ketupa zeylonensis
419,Tawny Fish-Owl,Ketupa flavipes
420,Dusky Eagle-Owl,Ketupa coromanda
421,Spot-bellied Eagle-Owl,Ketupa nipalensis
422,Asian Barred Owlet,Glaucidium cuculoides
423,Jungle Owlet,Glaucidium radiatum
424,Collared Owlet,Taenioptynx brodiei
425,Spotted Owlet,Athene brama
426,Little Owl,Athene noctua
427,Forest Owlet,Athene blewitti
428,Mottled Wood-Owl,Strix ocellata
429,Brown Wood-Owl,Strix leptogrammica
430,Tawny Owl,Strix aluco
431,Himalayan Owl,Strix nivicolum
432,Long-eared Owl,Asio otus
433,Short-eared Owl,Asio flammeus
434,Andaman Boobook,Ninox affinis
435,Brown Boobook,Ninox scutulata
436,Hume's Boobook,Ninox obscura
437,Malabar Trogon,Harpactes fasciatus
438,Red-headed Trogon,Harpactes erythrocephalus
439,Ward's Trogon,Harpactes wardi
440,Eurasian Hoopoe,Upupa epops
441,Great Hornbill,Buceros bicornis
442,Brown Hornbill,Anorrhinus austeni
443,Indian Grey Hornbill,Ocyceros birostris
444,Malabar Grey Hornbill,Ocyceros griseus
445,Malabar Pied-Hornbill,Anthracoceros coronatus
446,Oriental Pied-Hornbill,Anthracoceros albirostris
447,Rufous-necked Hornbill,Aceros nipalensis
448,Wreathed Hornbill,Rhyticeros undulatus
449,Narcondam Hornbill,Rhyticeros narcondami
450,Blue-bearded Bee-eater,Nyctyornis athertoni
451,Asian Green Bee-eater,Merops orientalis
452,Blue-cheeked Bee-eater,Merops persicus
453,Blue-tailed Bee-eater,Merops philippinus
454,European Bee-eater,Merops apiaster
455,Chestnut-headed Bee-eater,Merops leschenaulti
456,Blyth's Kingfisher,Alcedo hercules
457,Common Kingfisher,Alcedo atthis
458,Blue-eared Kingfisher,Alcedo meninting
459,Black-backed Dwarf-Kingfisher,Ceyx erithaca
460,Brown-winged Kingfisher,Pelargopsis amauroptera
461,Stork-billed Kingfisher,Pelargopsis capensis
462,Ruddy Kingfisher,Halcyon coromanda
463,White-throated Kingfisher,Halcyon smyrnensis
464,Black-capped Kingfisher,Halcyon pileata
465,Collared Kingfisher,Todiramphus chloris
466,Crested Kingfisher,Megaceryle lugubris
467,Pied Kingfisher,Ceryle rudis
468,European Roller,Coracias garrulus
469,Indian Roller,Coracias benghalensis
470,Indochinese Roller,Coracias affinis
471,Dollarbird,Eurystomus orientalis
472,Malabar Barbet,Psilopogon malabaricus
473,Coppersmith Barbet,Psilopogon haemacephalus
474,Blue-eared Barbet,Psilopogon cyanotis
475,Great Barbet,Psilopogon virens
476,Lineated Barbet,Psilopogon lineatus
477,Brown-headed Barbet,Psilopogon zeylanicus
478,White-cheeked Barbet,Psilopogon viridis
479,Golden-throated Barbet,Psilopogon franklinii
480,Blue-throated Barbet,Psilopogon asiaticus
481,Yellow-rumped Honeyguide,Indicator xanthonotus
482,Eurasian Wryneck,Jynx torquilla
483,Speckled Piculet,Picumnus innominatus
484,White-browed Piculet,Sasia ochracea
485,Heart-spotted Woodpecker,Hemicircus canente
486,Brown-capped Pygmy Woodpecker,Yungipicus nanus
487,Grey-capped Pygmy Woodpecker,Yungipicus canicapillus
488,Yellow-crowned Woodpecker,Leiopicus mahrattensis
489,Brown-fronted Woodpecker,Dendrocoptes auriceps
490,Rufous-bellied Woodpecker,Dendrocopos hyperythrus
491,Fulvous-breasted Woodpecker,Dendrocopos macei
492,Freckle-breasted Woodpecker,Dendrocopos analis
493,Stripe-breasted Woodpecker,Dendrocopos atratus
494,Darjeeling Woodpecker,Dendrocopos darjellensis
495,Great Spotted Woodpecker,Dendrocopos major
496,Himalayan Woodpecker,Dendrocopos himalayensis
497,Sind Woodpecker,Dendrocopos assimilis
498,Crimson-breasted Woodpecker,Dryobates cathpharius
499,Bay Woodpecker,Blythipicus pyrrhotis
500,Greater Flameback,Chrysocolaptes guttacristatus
501,Malabar Flameback,Chrysocolaptes socialis
502,White-naped Woodpecker,Chrysocolaptes festivus
503,Rufous Woodpecker,Micropternus brachyurus
504,Pale-headed Woodpecker,Gecinulus grantia
505,Himalayan Flameback,Dinopium shorii
506,Common Flameback,Dinopium javanense
507,Black-rumped Flameback,Dinopium benghalense
508,Lesser Yellownape,Picus chlorolophus
509,Streak-throated Woodpecker,Picus xanthopygaeus
510,Scaly-bellied Woodpecker,Picus squamatus
511,Grey-headed Woodpecker,Picus canus
512,Greater Yellownape,Chrysophlegma flavinucha
513,Great Slaty Woodpecker,Mulleripicus pulverulentus
514,White-bellied Woodpecker,Dryocopus javensis
515,Andaman Woodpecker,Dryocopus hodgei
516,Pied Falconet,Microhierax melanoleucos
517,Collared Falconet,Microhierax caerulescens
518,Lesser Kestrel,Falco naumanni
519,Common Kestrel,Falco tinnunculus
520,Red-necked Falcon,Falco chicquera
521,Amur Falcon,Falco amurensis
522,Merlin,Falco columbarius
523,Eurasian Hobby,Falco subbuteo
524,Oriental Hobby,Falco severus
525,Laggar Falcon,Falco jugger
526,Saker Falcon,Falco cherrug
527,Peregrine Falcon,Falco peregrinus
528,Alexandrine Parakeet,Psittacula eupatria
529,Rose-ringed Parakeet,Psittacula krameri
530,Slaty-headed Parakeet,Psittacula himalayana
531,Grey-headed Parakeet,Psittacula finschii
532,Plum-headed Parakeet,Psittacula cyanocephala
533,Blossom-headed Parakeet,Psittacula roseata
534,Malabar Parakeet,Psittacula columboides
535,Derbyan Parakeet,Psittacula derbiana
536,Red-breasted Parakeet,Psittacula alexandri
537,Nicobar Parakeet,Psittacula caniceps
538,Long-tailed Parakeet,Psittacula longicauda
539,Vernal Hanging-Parrot,Loriculus vernalis
540,Long-tailed Broadbill,Psarisomus dalhousiae
541,Grey-lored Broadbill,Serilophus rubropygius
542,Blue-naped Pitta,Hydrornis nipalensis
543,Blue Pitta,Hydrornis cyaneus
544,Indian Pitta,Pitta brachyura
545,Nicobar Hooded Pitta,Pitta abbotti
546,Western Hooded Pitta,Pitta sordida
547,Mangrove Pitta,Pitta megarhyncha
548,White-bellied Minivet,Pericrocotus erythropygius
549,Small Minivet,Pericrocotus cinnamomeus
550,Grey-chinned Minivet,Pericrocotus solaris
551,Short-billed Minivet,Pericrocotus brevirostris
552,Long-tailed Minivet,Pericrocotus ethologus
553,Orange Minivet,Pericrocotus flammeus
554,Scarlet Minivet,Pericrocotus speciosus
555,Ashy Minivet,Pericrocotus divaricatus
556,Brown-rumped Minivet,Pericrocotus cantonensis
557,Rosy Minivet,Pericrocotus roseus
558,Indian Cuckooshrike,Coracina macei
559,Oriental Cuckooshrike,Coracina javensis
560,Andaman Cuckooshrike,Coracina dobsoni
561,Pied Triller,Lalage nigra
562,Black-winged Cuckooshrike,Lalage melaschistos
563,Black-headed Cuckooshrike,Lalage melanoptera
564,Black-headed Shrike-Babbler,Pteruthius rufiventer
565,White-browed Shrike-Babbler,Pteruthius aeralatus
566,Green Shrike-Babbler,Pteruthius xanthochlorus
567,Black-eared Shrike-Babbler,Pteruthius melanotis
568,Clicking Shrike-Babbler,Pteruthius intermedius
569,White-bellied Erpornis,Erpornis zantholeuca
570,Mangrove Whistler,Pachycephala cinerea
571,Indian Golden Oriole,Oriolus kundoo
572,Black-naped Oriole,Oriolus chinensis
573,Slender-billed Oriole,Oriolus tenuirostris
574,Black-hooded Oriole,Oriolus xanthornus
575,Maroon Oriole,Oriolus traillii
576,Ashy Woodswallow,Artamus fuscus
577,White-breasted Woodswallow,Artamus leucorynchus
578,Malabar Woodshrike,Tephrodornis sylvicola
579,Large Woodshrike,Tephrodornis virgatus
580,Common Woodshrike,Tephrodornis pondicerianus
581,Bar-winged Flycatcher-shrike,Hemipus picatus
582,Common Iora,Aegithina tiphia
583,White-tailed Iora,Aegithina nigrolutea
584,White-throated Fantail,Rhipidura albicollis
585,Spot-breasted Fantail,Rhipidura albogularis
586,White-browed Fantail,Rhipidura aureola
587,Black Drongo,Dicrurus macrocercus
588,Ashy Drongo,Dicrurus leucophaeus
589,White-bellied Drongo,Dicrurus caerulescens
590,Crow-billed Drongo,Dicrurus annectens
591,Bronzed Drongo,Dicrurus aeneus
592,Lesser Racket-tailed Drongo,Dicrurus remifer
593,Hair-crested Drongo,Dicrurus hottentottus
594,Andaman Drongo,Dicrurus andamanensis
595,Greater Racket-tailed Drongo,Dicrurus paradiseus
596,Black-naped Monarch,Hypothymis azurea
597,Blyth's Paradise-Flycatcher,Terpsiphone affinis
598,Indian Paradise-Flycatcher,Terpsiphone paradisi
599,Red-backed Shrike,Lanius collurio
600,Red-tailed Shrike,Lanius phoenicuroides
601,Isabelline Shrike,Lanius isabellinus
602,Brown Shrike,Lanius cristatus
603,Burmese Shrike,Lanius collurioides
604,Bay-backed Shrike,Lanius vittatus
605,Long-tailed Shrike,Lanius schach
606,Grey-backed Shrike,Lanius tephronotus
607,Great Grey Shrike,Lanius excubitor
608,Eurasian Jay,Garrulus glandarius
609,Black-headed Jay,Garrulus lanceolatus
610,Yellow-billed Blue-Magpie,Urocissa flavirostris
611,Red-billed Blue-Magpie,Urocissa erythroryncha
612,Common Green-Magpie,Cissa chinensis
