TaxonID,group,sci_name,ISO3,pp,groupcode,Scientific
22683923,Bird,Cacomantis merulinus,IND,0.094461473,1,22683923
22684000,Bird,Chrysococcyx maculatus,IND,0.107298771,1,22684000
22684003,Bird,Chrysococcyx xanthorhynchus,IND,0.035199146,1,22684003
22684049,Bird,Eudynamys scolopaceus,IND,0.279808865,1,22684049
22684098,Bird,Phaenicophaeus tristis,IND,0.196598682,1,22684098
22684101,Bird,Phaenicophaeus viridirostris,IND,0.921783562,1,22684101
22684104,Bird,Taccocua leschenaultii,IND,0.951463458,1,22684104
22684229,Bird,Centropus sinensis,IND,0.365074844,1,22684229
22684232,Bird,Centropus andamanensis,IND,1,1,22684232
22684254,Bird,Centropus bengalensis,IND,0.084825804,1,22684254
22685366,Bird,Loriculus vernalis,IND,0.186777422,1,22685366
22685434,Bird,Palaeornis eupatria,IND,0.620048731,1,22685434
22685441,Bird,Alexandrinus krameri,IND,0.366446142,1,22685441
22685468,Bird,Himalayapsitta himalayana,IND,0.436202292,1,22685468
22685473,Bird,Himalayapsitta finschii,IND,0.083038386,1,22685473
22685481,Bird,Himalayapsitta cyanocephala,IND,0.922741906,1,22685481
22685486,Bird,Himalayapsitta roseata,IND,0.064411502,1,22685486
22685489,Bird,Nicopsitta columboides,IND,1,1,22685489
22685500,Bird,Psittacula derbiana,IND,0.078575074,1,22685500
22685505,Bird,Psittacula alexandri,IND,0.13361543,1,22685505
22685508,Bird,Psittacula caniceps,IND,1,1,22685508
22685513,Bird,Belocercus longicaudus,IND,0.007462122,1,22685513
22686495,Bird,Collocalia esculenta,IND,0.001716839,1,22686495
22686516,Bird,Aerodramus unicolor,IND,0.73576333,1,22686516
22686649,Bird,Zoonavena sylvatica,IND,0.881171453,1,22686649
22686677,Bird,Hirundapus caudacutus,IND,0.013746195,1,22686677
22686684,Bird,Hirundapus cochinchinensis,IND,0.111384221,1,22686684
22686687,Bird,Hirundapus giganteus,IND,0.065204518,1,22686687
22686769,Bird,Cypsiurus balasiensis,IND,0.3670668,1,22686769
22686774,Bird,Tachymarptis melba,IND,0.042336633,1,22686774
22686800,Bird,Apus apus,IND,0.0024107,1,22686800
22686845,Bird,Apus pacificus,IND,0.051835922,1,22686845
22686853,Bird,Apus acuticauda,IND,0.334892661,1,22686853
22686856,Bird,Apus affinis,IND,0.101201796,1,22686856
22686861,Bird,Apus nipalensis,IND,0.047761244,1,22686861
22686891,Bird,Hemiprocne coronata,IND,0.473958332,1,22686891
22688504,Bird,Tyto alba,IND,0.047968697,1,22688504
22688522,Bird,Tyto longimembris,IND,0.181816787,1,22688522
22688573,Bird,Otus balli,IND,1,1,22688573
22688579,Bird,Otus spilocephalus,IND,0.092364574,1,22688579
22688631,Bird,Otus brucei,IND,0.119365775,1,22688631
22688927,Bird,Bubo bubo,IND,0.001144999,1,22688927
22688934,Bird,Bubo bengalensis,IND,0.813472817,1,22688934
22688970,Bird,Bubo nipalensis,IND,0.156173249,1,22688970
22688992,Bird,Bubo coromandus,IND,0.665360824,1,22688992
22689012,Bird,Ketupa zeylonensis,IND,0.503785432,1,22689012
22689017,Bird,Ketupa flavipes,IND,0.043515147,1,22689017
22689024,Bird,Ketupa ketupu,IND,0.023975228,1,22689024
22689066,Bird,Strix ocellata,IND,1,1,22689066
22689071,Bird,Strix leptogrammica,IND,0.133964925,1,22689071
22689277,Bird,Glaucidium cuculoides,IND,0.06952141,1,22689277
22689283,Bird,Glaucidium radiatum,IND,0.927089422,1,22689283
22689328,Bird,Athene noctua,IND,0.007283412,1,22689328
22689332,Bird,Athene brama,IND,0.554175442,1,22689332
22689335,Bird,Athene blewitti,IND,1,1,22689335
22689362,Bird,Aegolius funereus,IND,4.25E-05,1,22689362
22689420,Bird,Ninox affinis,IND,1,1,22689420
22689507,Bird,Asio otus,IND,0.003878511,1,22689507
22689531,Bird,Asio flammeus,IND,0.048318673,1,22689531
22689603,Bird,Batrachostomus moniliger,IND,0.684127439,1,22689603
22689607,Bird,Batrachostomus hodgsoni,IND,0.282479676,1,22689607
22689690,Bird,Lyncornis macrotis,IND,0.111654172,1,22689690
22689887,Bird,Caprimulgus europaeus,IND,6.82E-06,1,22689887
22689906,Bird,Caprimulgus mahrattensis,IND,0.524853301,1,22689906
22689931,Bird,Caprimulgus atripennis,IND,0.865465783,1,22689931
22689969,Bird,Caprimulgus asiaticus,IND,0.698223212,1,22689969
22689985,Bird,Caprimulgus affinis,IND,0.460102931,1,22689985
22690066,Bird,Columba livia,IND,0.160530294,1,22690066
22690074,Bird,Columba rupestris,IND,0.006817081,1,22690074
22690077,Bird,Columba leuconota,IND,0.080266981,1,22690077
22690097,Bird,Columba eversmanni,IND,0.158971227,1,22690097
22690103,Bird,Columba palumbus,IND,0.006342555,1,22690103
22690159,Bird,Columba hodgsonii,IND,0.117289738,1,22690159
22690168,Bird,Columba pulchricollis,IND,0.217475594,1,22690168
