eBird.English.Name.2022,eBird.English.Name.2023
Common Chaffinch,Common Chaffinch
Brambling,Brambling
Black-and-yellow Grosbeak,Black-and-yellow Grosbeak
Collared Grosbeak,Collared Grosbeak
Spot-winged Grosbeak,Spot-winged Grosbeak
White-winged Grosbeak,White-winged Grosbeak
Hawfinch,Hawfinch
Common Rosefinch,Common Rosefinch
Scarlet Finch,Scarlet Finch
Blyth's Rosefinch,Blyth's Rosefinch
Himalayan Beautiful Rosefinch,Himalayan Beautiful Rosefinch
Pink-rumped Rosefinch,Pink-rumped Rosefinch
Dark-rumped Rosefinch,Dark-rumped Rosefinch
Pink-browed Rosefinch,Pink-browed Rosefinch
Spot-winged Rosefinch,Spot-winged Rosefinch
Vinaceous Rosefinch,Vinaceous Rosefinch
Pale Rosefinch,Pale Rosefinch
Sillem's Rosefinch,Sillem's Rosefinch
Streaked Rosefinch,Streaked Rosefinch
Great Rosefinch,Great Rosefinch
Red-fronted Rosefinch,Red-fronted Rosefinch
Crimson-browed Finch,Crimson-browed Finch
Three-banded Rosefinch,Three-banded Rosefinch
Himalayan White-browed Rosefinch,Himalayan White-browed Rosefinch
Chinese White-browed Rosefinch,Chinese White-browed Rosefinch
Brown Bullfinch,Brown Bullfinch
Orange Bullfinch,Orange Bullfinch
Red-headed Bullfinch,Red-headed Bullfinch
Gray-headed Bullfinch,Gray-headed Bullfinch
Crimson-winged Finch,Crimson-winged Finch
Trumpeter Finch,Trumpeter Finch
Mongolian Finch,Mongolian Finch
Blanford's Rosefinch,Blanford's Rosefinch
Gold-naped Finch,Gold-naped Finch
Spectacled Finch,Spectacled Finch
Dark-breasted Rosefinch,Dark-breasted Rosefinch
Plain Mountain Finch,Plain Mountain Finch
Black-headed Mountain Finch,Black-headed Mountain Finch
Desert Finch,Desert Finch
Yellow-breasted Greenfinch,Yellow-breasted Greenfinch
Black-headed Greenfinch,Black-headed Greenfinch
Twite,Twite
Eurasian Linnet,Eurasian Linnet
Red Crossbill,Red Crossbill
European Goldfinch,European Goldfinch
Fire-fronted Serin,Fire-fronted Serin
Tibetan Serin,Tibetan Serin
Eurasian Siskin,Eurasian Siskin
Crested Bunting,Crested Bunting
Black-headed Bunting,Black-headed Bunting
Red-headed Bunting,Red-headed Bunting
Chestnut-eared Bunting,Chestnut-eared Bunting
Rock Bunting,Rock Bunting
Godlewski's Bunting,Godlewski's Bunting
White-capped Bunting,White-capped Bunting
Yellowhammer,Yellowhammer
Pine Bunting,Pine Bunting
Gray-necked Bunting,Gray-necked Bunting
Ortolan Bunting,Ortolan Bunting
Striolated Bunting,Striolated Bunting
Reed Bunting,Reed Bunting
Yellow-breasted Bunting,Yellow-breasted Bunting
Little Bunting,Little Bunting
Rustic Bunting,Rustic Bunting
Black-faced Bunting,Black-faced Bunting
Chestnut Bunting,Chestnut Bunting
Yellow-browed Bunting,Yellow-browed Bunting
Tristram's Bunting,Tristram's Bunting
