eBird.English.Name.2022,eBird.English.Name.2023
Black Baza,Black Baza
Red-headed Vulture,Red-headed Vulture
Cinereous Vulture,Cinereous Vulture
White-rumped Vulture,White-rumped Vulture
Indian Vulture,Indian Vulture
Slender-billed Vulture,Slender-billed Vulture
Himalayan Griffon,Himalayan Griffon
Eurasian Griffon,Eurasian Griffon
Nicobar Serpent-Eagle,Nicobar Serpent-Eagle
Crested Serpent-Eagle,Crested Serpent-Eagle
Andaman Serpent-Eagle,Andaman Serpent-Eagle
Short-toed Snake-Eagle,Short-toed Snake-Eagle
Changeable Hawk-Eagle,Changeable Hawk-Eagle
Mountain Hawk-Eagle,Mountain Hawk-Eagle
Legge's Hawk-Eagle,Legge's Hawk-Eagle
Rufous-bellied Eagle,Rufous-bellied Eagle
Black Eagle,Black Eagle
Indian Spotted Eagle,Indian Spotted Eagle
Greater Spotted Eagle,Greater Spotted Eagle
Booted Eagle,Booted Eagle
Tawny Eagle,Tawny Eagle
Steppe Eagle,Steppe Eagle
Imperial Eagle,Imperial Eagle
Golden Eagle,Golden Eagle
Bonelli's Eagle,Bonelli's Eagle
White-eyed Buzzard,White-eyed Buzzard
Rufous-winged Buzzard,Rufous-winged Buzzard
Gray-faced Buzzard,Gray-faced Buzzard
Eurasian Marsh-Harrier,Western Marsh Harrier
Eastern Marsh-Harrier,Eastern Marsh Harrier
Hen Harrier,Hen Harrier
Pallid Harrier,Pallid Harrier
Pied Harrier,Pied Harrier
Montagu's Harrier,Montagu's Harrier
Crested Goshawk,Crested Goshawk
Shikra,Shikra
Nicobar Sparrowhawk,Nicobar Sparrowhawk
Chinese Sparrowhawk,Chinese Sparrowhawk
Japanese Sparrowhawk,Japanese Sparrowhawk
Besra,Besra
Eurasian Sparrowhawk,Eurasian Sparrowhawk
Northern Goshawk,Eurasian Goshawk
Red Kite,Red Kite
Black Kite,Black Kite
Brahminy Kite,Brahminy Kite
White-tailed Eagle,White-tailed Eagle
Pallas's Fish-Eagle,Pallas's Fish-Eagle
White-bellied Sea-Eagle,White-bellied Sea-Eagle
Lesser Fish-Eagle,Lesser Fish-Eagle
Gray-headed Fish-Eagle,Gray-headed Fish-Eagle
Rough-legged Hawk,Rough-legged Hawk
Common Buzzard,Common Buzzard
Himalayan Buzzard,Himalayan Buzzard
Long-legged Buzzard,Long-legged Buzzard
Upland Buzzard,Upland Buzzard
Australasian Grass-Owl,Australasian Grass-Owl
Barn Owl,Barn Owl
Andaman Masked-Owl,Andaman Masked-Owl
Oriental Bay-Owl,Oriental Bay-Owl
Sri Lanka Bay-Owl,Sri Lanka Bay-Owl
Andaman Scops-Owl,Andaman Scops-Owl
Mountain Scops-Owl,Mountain Scops-Owl
Indian Scops-Owl,Indian Scops-Owl
Collared Scops-Owl,Collared Scops-Owl
Nicobar Scops-Owl,Nicobar Scops-Owl
Eurasian Scops-Owl,Eurasian Scops-Owl
Pallid Scops-Owl,Pallid Scops-Owl
Oriental Scops-Owl,Oriental Scops-Owl
Eurasian Eagle-Owl,Eurasian Eagle-Owl
Rock Eagle-Owl,Rock Eagle-Owl
Spot-bellied Eagle-Owl,Spot-bellied Eagle-Owl
Dusky Eagle-Owl,Dusky Eagle-Owl
Brown Fish-Owl,Brown Fish-Owl
Tawny Fish-Owl,Tawny Fish-Owl
Buffy Fish-Owl,Buffy Fish-Owl
Asian Barred Owlet,Asian Barred Owlet
Jungle Owlet,Jungle Owlet
Collared Owlet,Collared Owlet
Spotted Owlet,Spotted Owlet
Little Owl,Little Owl
Forest Owlet,Forest Owlet
Mottled Wood-Owl,Mottled Wood-Owl
Brown Wood-Owl,Brown Wood-Owl
Tawny Owl,Tawny Owl
Himalayan Owl,Himalayan Owl
Long-eared Owl,Long-eared Owl
Short-eared Owl,Short-eared Owl
Boreal Owl,Boreal Owl
Andaman Boobook,Andaman Boobook
Brown Boobook,Brown Boobook
Hume's Boobook,Hume's Boobook
Malabar Trogon,Malabar Trogon
Red-headed Trogon,Red-headed Trogon
Ward's Trogon,Ward's Trogon
Eurasian Hoopoe,Eurasian Hoopoe
Great Hornbill,Great Hornbill
Brown Hornbill,Brown Hornbill
Indian Gray Hornbill,Indian Gray Hornbill
Malabar Gray Hornbill,Malabar Gray Hornbill
Malabar Pied-Hornbill,Malabar Pied-Hornbill
Oriental Pied-Hornbill,Oriental Pied-Hornbill
Rufous-necked Hornbill,Rufous-necked Hornbill
Wreathed Hornbill,Wreathed Hornbill
Narcondam Hornbill,Narcondam Hornbill
Blyth's Kingfisher,Blyth's Kingfisher
Common Kingfisher,Common Kingfisher
Blue-eared Kingfisher,Blue-eared Kingfisher
Black-backed Dwarf-Kingfisher,Black-backed Dwarf-Kingfisher
Rufous-backed Dwarf-Kingfisher,Rufous-backed Dwarf-Kingfisher
Brown-winged Kingfisher,Brown-winged Kingfisher
Stork-billed Kingfisher,Stork-billed Kingfisher
Ruddy Kingfisher,Ruddy Kingfisher
White-throated Kingfisher,White-throated Kingfisher
Black-capped Kingfisher,Black-capped Kingfisher
Collared Kingfisher,Collared Kingfisher
Crested Kingfisher,Crested Kingfisher
Pied Kingfisher,Pied Kingfisher
Blue-bearded Bee-eater,Blue-bearded Bee-eater
Asian Green Bee-eater,Asian Green Bee-eater
Blue-throated Bee-eater,Blue-throated Bee-eater
Blue-cheeked Bee-eater,Blue-cheeked Bee-eater
Blue-tailed Bee-eater,Blue-tailed Bee-eater
European Bee-eater,European Bee-eater
Chestnut-headed Bee-eater,Chestnut-headed Bee-eater
European Roller,European Roller
Indian Roller,Indian Roller
Indochinese Roller,Indochinese Roller
Dollarbird,Dollarbird
Malabar Barbet,Malabar Barbet
Coppersmith Barbet,Coppersmith Barbet
Blue-eared Barbet,Blue-eared Barbet
Great Barbet,Great Barbet
Lineated Barbet,Lineated Barbet
Brown-headed Barbet,Brown-headed Barbet
White-cheeked Barbet,White-cheeked Barbet
Golden-throated Barbet,Golden-throated Barbet
Blue-throated Barbet,Blue-throated Barbet
Yellow-rumped Honeyguide,Yellow-rumped Honeyguide
Eurasian Wryneck,Eurasian Wryneck
Speckled Piculet,Speckled Piculet
White-browed Piculet,White-browed Piculet
Heart-spotted Woodpecker,Heart-spotted Woodpecker
Brown-capped Pygmy Woodpecker,Brown-capped Pygmy Woodpecker
Gray-capped Pygmy Woodpecker,Gray-capped Pygmy Woodpecker
Yellow-crowned Woodpecker,Yellow-crowned Woodpecker
Brown-fronted Woodpecker,Brown-fronted Woodpecker
Rufous-bellied Woodpecker,Rufous-bellied Woodpecker
Fulvous-breasted Woodpecker,Fulvous-breasted Woodpecker
Freckle-breasted Woodpecker,Freckle-breasted Woodpecker
Stripe-breasted Woodpecker,Stripe-breasted Woodpecker
Darjeeling Woodpecker,Darjeeling Woodpecker
Great Spotted Woodpecker,Great Spotted Woodpecker
Himalayan Woodpecker,Himalayan Woodpecker
Sind Woodpecker,Sind Woodpecker
Crimson-breasted Woodpecker,Crimson-naped Woodpecker
Bay Woodpecker,Bay Woodpecker
Greater Flameback,Greater Flameback
White-naped Woodpecker,White-naped Woodpecker
Rufous Woodpecker,Rufous Woodpecker
Pale-headed Woodpecker,Pale-headed Woodpecker
Himalayan Flameback,Himalayan Flameback
Common Flameback,Common Flameback
Black-rumped Flameback,Black-rumped Flameback
Lesser Yellownape,Lesser Yellownape
Streak-throated Woodpecker,Streak-throated Woodpecker
Scaly-bellied Woodpecker,Scaly-bellied Woodpecker
Gray-headed Woodpecker,Gray-headed Woodpecker
Greater Yellownape,Greater Yellownape
Great Slaty Woodpecker,Great Slaty Woodpecker
White-bellied Woodpecker,White-bellied Woodpecker
Andaman Woodpecker,Andaman Woodpecker
Collared Falconet,Collared Falconet
Pied Falconet,Pied Falconet
Lesser Kestrel,Lesser Kestrel
Eurasian Kestrel,Eurasian Kestrel
Red-necked Falcon,Red-necked Falcon
Red-footed Falcon,Red-footed Falcon
Amur Falcon,Amur Falcon
Merlin,Merlin
Eurasian Hobby,Eurasian Hobby
Oriental Hobby,Oriental Hobby
Laggar Falcon,Laggar Falcon
Saker Falcon,Saker Falcon
Peregrine Falcon,Peregrine Falcon
Alexandrine Parakeet,Alexandrine Parakeet
Rose-ringed Parakeet,Rose-ringed Parakeet
Slaty-headed Parakeet,Slaty-headed Parakeet
Gray-headed Parakeet,Gray-headed Parakeet
Plum-headed Parakeet,Plum-headed Parakeet
Blossom-headed Parakeet,Blossom-headed Parakeet
Malabar Parakeet,Malabar Parakeet
Derbyan Parakeet,Derbyan Parakeet
Red-breasted Parakeet,Red-breasted Parakeet
Nicobar Parakeet,Nicobar Parakeet
Long-tailed Parakeet,Long-tailed Parakeet
Vernal Hanging-Parrot,Vernal Hanging-Parrot
Long-tailed Broadbill,Long-tailed Broadbill
Silver-breasted Broadbill,Gray-lored Broadbill
Blue-naped Pitta,Blue-naped Pitta
Blue Pitta,Blue Pitta
Indian Pitta,Indian Pitta
Blue-winged Pitta,Blue-winged Pitta
Hooded Pitta,Western Hooded Pitta
Mangrove Pitta,Mangrove Pitta
White-bellied Minivet,White-bellied Minivet
Small Minivet,Small Minivet
Gray-chinned Minivet,Gray-chinned Minivet
Short-billed Minivet,Short-billed Minivet
Long-tailed Minivet,Long-tailed Minivet
Orange Minivet,Orange Minivet
Scarlet Minivet,Scarlet Minivet
Ashy Minivet,Ashy Minivet
Brown-rumped Minivet,Brown-rumped Minivet
Rosy Minivet,Rosy Minivet
Large Cuckooshrike,Large Cuckooshrike
Andaman Cuckooshrike,Andaman Cuckooshrike
Pied Triller,Pied Triller
Black-winged Cuckooshrike,Black-winged Cuckooshrike
Black-headed Cuckooshrike,Black-headed Cuckooshrike
Black-headed Shrike-Babbler,Black-headed Shrike-Babbler
White-browed Shrike-Babbler,White-browed Shrike-Babbler
Green Shrike-Babbler,Green Shrike-Babbler
Black-eared Shrike-Babbler,Black-eared Shrike-Babbler
Clicking Shrike-Babbler,Clicking Shrike-Babbler
White-bellied Erpornis,White-bellied Erpornis
Mangrove Whistler,Mangrove Whistler
Eurasian Golden Oriole,Eurasian Golden Oriole
Indian Golden Oriole,Indian Golden Oriole
Black-naped Oriole,Black-naped Oriole
Slender-billed Oriole,Slender-billed Oriole
Black-hooded Oriole,Black-hooded Oriole
Maroon Oriole,Maroon Oriole
Ashy Woodswallow,Ashy Woodswallow
White-breasted Woodswallow,White-breasted Woodswallow
Malabar Woodshrike,Malabar Woodshrike
Large Woodshrike,Large Woodshrike
Common Woodshrike,Common Woodshrike
Bar-winged Flycatcher-shrike,Bar-winged Flycatcher-shrike
Common Iora,Common Iora
White-tailed Iora,White-tailed Iora
White-throated Fantail,White-throated Fantail
Spot-breasted Fantail,Spot-breasted Fantail
White-browed Fantail,White-browed Fantail
Black Drongo,Black Drongo
Ashy Drongo,Ashy Drongo
White-bellied Drongo,White-bellied Drongo
Crow-billed Drongo,Crow-billed Drongo
Bronzed Drongo,Bronzed Drongo
Lesser Racket-tailed Drongo,Lesser Racket-tailed Drongo
Hair-crested Drongo,Hair-crested Drongo
Andaman Drongo,Andaman Drongo
