English Name,Scientific Name,BLI,GEN
Himalayan Snowcock,Tetraogallus himalayensis,Tetraogallus himalayensis,19
Blue-breasted Quail,Synoicus chinensis,Synoicus chinensis,9
Common Quail,Coturnix coturnix,Coturnix coturnix,10
Japanese Quail,Coturnix japonica,Coturnix japonica,10
Rain Quail,Coturnix coromandelica,Coturnix coromandelica,12
Chukar,Alectoris chukar,Alectoris chukar,9
Jungle Bush-Quail,Perdicula asiatica,Perdicula asiatica,11
Rock Bush-Quail,Perdicula argoondah,Perdicula argoondah,11
Painted Bush-Quail,Perdicula erythrorhyncha,Perdicula erythrorhyncha,11
Manipur Bush-Quail,Perdicula manipurensis,Perdicula manipurensis,12
Himalayan Quail,Ophrysia superciliosa,Ophrysia superciliosa,12
Greater Flamingo,Phoenicopterus roseus,Phoenicopterus roseus,44
Lesser Flamingo,Phoeniconaias minor,Phoeniconaias minor,40
Little Grebe,Tachybaptus ruficollis,Tachybaptus ruficollis,13
Horned Grebe,Podiceps auritus,Podiceps auritus,16
Red-necked Grebe,Podiceps grisegena,Podiceps grisegena,18
Great Crested Grebe,Podiceps cristatus,Podiceps cristatus,15
Eared Grebe,Podiceps nigricollis,Podiceps nigricollis,16
Rock Pigeon,Columba livia,Columba livia,15
Hill Pigeon,Columba rupestris,Columba rupestris,14
Snow Pigeon,Columba leuconota,Columba leuconota,15
Yellow-eyed Pigeon,Columba eversmanni,Columba eversmanni,14
Common Wood-Pigeon,Columba palumbus,Columba palumbus,12
Speckled Wood-Pigeon,Columba hodgsonii,Columba hodgsonii,15
Ashy Wood-Pigeon,Columba pulchricollis,Columba pulchricollis,15
Nilgiri Wood-Pigeon,Columba elphinstonii,Columba elphinstonii,15
Pale-capped Pigeon,Columba punicea,Columba punicea,17
Andaman Wood-Pigeon,Columba palumboides,Columba palumboides,16
European Turtle-Dove,Streptopelia turtur,Streptopelia turtur,15
Oriental Turtle-Dove,Streptopelia orientalis,Streptopelia orientalis,16
Eurasian Collared-Dove,Streptopelia decaocto,Streptopelia decaocto,12
Red Collared-Dove,Streptopelia tranquebarica,Streptopelia tranquebarica,13
Spotted Dove,Spilopelia chinensis,Spilopelia chinensis,12
Laughing Dove,Spilopelia senegalensis,Spilopelia senegalensis,9
Barred Cuckoo-Dove,Macropygia unchall,Macropygia unchall,16
Andaman Cuckoo-Dove,Macropygia rufipennis,Macropygia rufipennis,21
Namaqua Dove,Oena capensis,Oena capensis,11
Asian Emerald Dove,Chalcophaps indica,Chalcophaps indica,15
Nicobar Pigeon,Caloenas nicobarica,Caloenas nicobarica,27
Orange-breasted Green-Pigeon,Treron bicinctus,Treron bicinctus,15
Gray-fronted Green-Pigeon,Treron affinis,Treron affinis,16
Andaman Green-Pigeon,Treron chloropterus,Treron chloropterus,16
Ashy-headed Green-Pigeon,Treron phayrei,Treron phayrei,16
Thick-billed Green-Pigeon,Treron curvirostra,Treron curvirostra,14
Yellow-footed Green-Pigeon,Treron phoenicopterus,Treron phoenicopterus,16
Pin-tailed Green-Pigeon,Treron apicauda,Treron apicauda,16
Wedge-tailed Green-Pigeon,Treron sphenurus,Treron sphenurus,16
Green Imperial-Pigeon,Ducula aenea,Ducula aenea,24
Nicobar Imperial-Pigeon,Ducula nicobarica,Ducula nicobarica,21
Malabar Imperial-Pigeon,Ducula cuprea,Ducula cuprea,24
Mountain Imperial-Pigeon,Ducula badia,Ducula badia,24
Pied Imperial-Pigeon,Ducula bicolor,Ducula bicolor,23
Tibetan Sandgrouse,Syrrhaptes tibetanus,Syrrhaptes tibetanus,16
Pallas's Sandgrouse,Syrrhaptes paradoxus,Syrrhaptes paradoxus,14
Pin-tailed Sandgrouse,Pterocles alchata,Pterocles alchata,12
Chestnut-bellied Sandgrouse,Pterocles exustus,Pterocles exustus,12
Spotted Sandgrouse,Pterocles senegallus,Pterocles senegallus,13
Black-bellied Sandgrouse,Pterocles orientalis,Pterocles orientalis,14
Painted Sandgrouse,Pterocles indicus,Pterocles indicus,12
Great Indian Bustard,Ardeotis nigriceps,Ardeotis nigriceps,37
Macqueen's Bustard,Chlamydotis macqueenii,Chlamydotis macqueenii,22
Bengal Florican,Houbaropsis bengalensis,Houbaropsis bengalensis,33
Lesser Florican,Sypheotides indicus,Sypheotides indicus,18
Little Bustard,Tetrax tetrax,Tetrax tetrax,20
Andaman Coucal,Centropus andamanensis,Centropus andamanensis,18
Greater Coucal,Centropus sinensis,Centropus sinensis,18
Lesser Coucal,Centropus bengalensis,Centropus bengalensis,15
Sirkeer Malkoha,Taccocua leschenaultii,Taccocua leschenaultii,17
Blue-faced Malkoha,Phaenicophaeus viridirostris,Phaenicophaeus viridirostris,14
Green-billed Malkoha,Phaenicophaeus tristis,Phaenicophaeus tristis,14
Chestnut-winged Cuckoo,Clamator coromandus,Clamator coromandus,11
Pied Cuckoo,Clamator jacobinus,Clamator jacobinus,10
Asian Koel,Eudynamys scolopaceus,Eudynamys scolopaceus,17
Asian Emerald Cuckoo,Chrysococcyx maculatus,Chrysococcyx maculatus,11
Violet Cuckoo,Chrysococcyx xanthorhynchus,Chrysococcyx xanthorhynchus,11
Horsfield's Bronze-Cuckoo,Chrysococcyx basalis,Chalcites basalis,11
Banded Bay Cuckoo,Cacomantis sonneratii,Cacomantis sonneratii,12
Plaintive Cuckoo,Cacomantis merulinus,Cacomantis merulinus,11
Gray-bellied Cuckoo,Cacomantis passerinus,Cacomantis passerinus,11
Fork-tailed Drongo-Cuckoo,Surniculus dicruroides,Surniculus dicruroides,12
Square-tailed Drongo-Cuckoo,Surniculus lugubris,Surniculus lugubris,12
Large Hawk-Cuckoo,Hierococcyx sparverioides,Hierococcyx sparverioides,17
Common Hawk-Cuckoo,Hierococcyx varius,Hierococcyx varius,15
Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor,Hierococcyx nisicolor,14
Lesser Cuckoo,Cuculus poliocephalus,Cuculus poliocephalus,10
Indian Cuckoo,Cuculus micropterus,Cuculus micropterus,12
Himalayan Cuckoo,Cuculus saturatus,Cuculus saturatus,12
Common Cuckoo,Cuculus canorus,Cuculus canorus,12
Sri Lanka Frogmouth,Batrachostomus moniliger,Batrachostomus moniliger,14
Hodgson's Frogmouth,Batrachostomus hodgsoni,Batrachostomus hodgsoni,14
Great Eared-Nightjar,Lyncornis macrotis,Lyncornis macrotis,18
Jungle Nightjar,Caprimulgus indicus,Caprimulgus indicus,11
Gray Nightjar,Caprimulgus jotaka,Caprimulgus jotaka,11
Eurasian Nightjar,Caprimulgus europaeus,Caprimulgus europaeus,10
Sykes's Nightjar,Caprimulgus mahrattensis,Caprimulgus mahrattensis,10
Large-tailed Nightjar,Caprimulgus macrurus,Caprimulgus macrurus,11
Andaman Nightjar,Caprimulgus andamanicus,Caprimulgus andamanicus,11
Jerdon's Nightjar,Caprimulgus atripennis,Caprimulgus atripennis,11
Indian Nightjar,Caprimulgus asiaticus,Caprimulgus asiaticus,10
Savanna Nightjar,Caprimulgus affinis,Caprimulgus affinis,11
White-rumped Needletail,Zoonavena sylvatica,Zoonavena sylvatica,8
White-throated Needletail,Hirundapus caudacutus,Hirundapus caudacutus,12
Silver-backed Needletail,Hirundapus cochinchinensis,Hirundapus cochinchinensis,12
Brown-backed Needletail,Hirundapus giganteus,Hirundapus giganteus,13
Plume-toed Swiftlet,Collocalia affinis,Collocalia esculenta,12
Indian Swiftlet,Aerodramus unicolor,Aerodramus unicolor,9
Himalayan Swiftlet,Aerodramus brevirostris,Aerodramus brevirostris,9
White-nest Swiftlet,Aerodramus fuciphagus,Aerodramus fuciphagus,9
Alpine Swift,Apus melba,Tachymarptis melba,24
Common Swift,Apus apus,Apus apus,17
Pacific Swift,Apus pacificus,Apus pacificus,16
Blyth's Swift,Apus leuconyx,Apus pacificus,16
Dark-rumped Swift,Apus acuticauda,Apus acuticauda,14
Little Swift,Apus affinis,Apus affinis,14
House Swift,Apus nipalensis,Apus nipalensis,15
Asian Palm-Swift,Cypsiurus balasiensis,Cypsiurus balasiensis,8
Crested Treeswift,Hemiprocne coronata,Hemiprocne coronata,12
Water Rail,Rallus aquaticus,Rallus aquaticus,7
Brown-cheeked Rail,Rallus indicus,Rallus indicus,8
Corn Crake,Crex crex,Crex crex,10
Slaty-breasted Rail,Lewinia striata,Lewinia striata,11
Spotted Crake,Porzana porzana,Porzana porzana,9
Eurasian Moorhen,Gallinula chloropus,Gallinula chloropus,14
Eurasian Coot,Fulica atra,Fulica atra,14
Gray-headed Swamphen,Porphyrio poliocephalus,Porphyrio porphyrio,18
White-browed Crake,Poliolimnas cinereus,Amaurornis cinerea,10
Watercock,Gallicrex cinerea,Gallicrex cinerea,17
White-breasted Waterhen,Amaurornis phoenicurus,Amaurornis phoenicurus,12
Andaman Crake,Rallina canningi,Rallina canningi,13
Red-legged Crake,Rallina fasciata,Rallina fasciata,11
Slaty-legged Crake,Rallina eurizonoides,Rallina eurizonoides,12
Ruddy-breasted Crake,Zapornia fusca,Zapornia fusca,11
Brown Crake,Zapornia akool,Zapornia akool,12
Little Crake,Zapornia parva,Zapornia parva,9
Baillon's Crake,Zapornia pusilla,Zapornia pusilla,8
Black-tailed Crake,Zapornia bicolor,Zapornia bicolor,12
Masked Finfoot,Heliopais personatus,Heliopais personatus,15
Demoiselle Crane,Anthropoides virgo,Anthropoides virgo,27
Siberian Crane,Leucogeranus leucogeranus,Leucogeranus leucogeranus,65
Sarus Crane,Antigone antigone,Grus antigone,49
Common Crane,Grus grus,Grus grus,42
Black-necked Crane,Grus nigricollis,Grus nigricollis,41
Indian Thick-knee,Burhinus indicus,Burhinus indicus,20
Great Thick-knee,Esacus recurvirostris,Esacus recurvirostris,25
Beach Thick-knee,Esacus magnirostris,Esacus magnirostris,29
Black-winged Stilt,Himantopus himantopus,Himantopus himantopus,20
Pied Avocet,Recurvirostra avosetta,Recurvirostra avosetta,20
Ibisbill,Ibidorhyncha struthersii,Ibidorhyncha struthersii,15
Eurasian Oystercatcher,Haematopus ostralegus,Haematopus ostralegus,40
Black-bellied Plover,Pluvialis squatarola,Pluvialis squatarola,23
European Golden-Plover,Pluvialis apricaria,Pluvialis apricaria,12
American Golden-Plover,Pluvialis dominica,Pluvialis dominica,16
Pacific Golden-Plover,Pluvialis fulva,Pluvialis fulva,14
Northern Lapwing,Vanellus vanellus,Vanellus vanellus,18
River Lapwing,Vanellus duvaucelii,Vanellus duvaucelii,14
Yellow-wattled Lapwing,Vanellus malabaricus,Vanellus malabaricus,14
Gray-headed Lapwing,Vanellus cinereus,Vanellus cinereus,16
Red-wattled Lapwing,Vanellus indicus,Vanellus indicus,15
Sociable Lapwing,Vanellus gregarius,Vanellus gregarius,16
White-tailed Lapwing,Vanellus leucurus,Vanellus leucurus,14
Lesser Sand-Plover,Charadrius mongolus,Charadrius mongolus,13
Greater Sand-Plover,Charadrius leschenaultii,Charadrius leschenaultii,17
Caspian Plover,Charadrius asiaticus,Charadrius asiaticus,15
Kentish Plover,Charadrius alexandrinus,Charadrius alexandrinus,13
Common Ringed Plover,Charadrius hiaticula,Charadrius hiaticula,14
Long-billed Plover,Charadrius placidus,Charadrius placidus,12
Little Ringed Plover,Charadrius dubius,Charadrius dubius,15
Oriental Plover,Charadrius veredus,Charadrius veredus,14
Greater Painted-Snipe,Rostratula benghalensis,Rostratula benghalensis,12
Pheasant-tailed Jacana,Hydrophasianus chirurgus,Hydrophasianus chirurgus,12
Bronze-winged Jacana,Metopidius indicus,Metopidius indicus,14
Whimbrel,Numenius phaeopus,Numenius phaeopus,25
Eurasian Curlew,Numenius arquata,Numenius arquata,30
Bar-tailed Godwit,Limosa lapponica,Limosa lapponica,24
Black-tailed Godwit,Limosa limosa,Limosa limosa,19
Ruddy Turnstone,Arenaria interpres,Arenaria interpres,24
Great Knot,Calidris tenuirostris,Calidris tenuirostris,20
Red Knot,Calidris canutus,Calidris canutus,22
Ruff,Calidris pugnax,Calidris pugnax,19
Broad-billed Sandpiper,Calidris falcinellus,Calidris falcinellus,14
Sharp-tailed Sandpiper,Calidris acuminata,Calidris acuminata,15
Curlew Sandpiper,Calidris ferruginea,Calidris ferruginea,16
Temminck's Stint,Calidris temminckii,Calidris temminckii,14
Long-toed Stint,Calidris subminuta,Calidris subminuta,14
Spoon-billed Sandpiper,Calidris pygmaea,Calidris pygmaea,15
Red-necked Stint,Calidris ruficollis,Calidris ruficollis,16
Sanderling,Calidris alba,Calidris alba,19
Dunlin,Calidris alpina,Calidris alpina,20
Little Stint,Calidris minuta,Calidris minuta,13
Buff-breasted Sandpiper,Calidris subruficollis,Calidris subruficollis,16
Pectoral Sandpiper,Calidris melanotos,Calidris melanotos,14
Asian Dowitcher,Limnodromus semipalmatus,Limnodromus semipalmatus,15
Long-billed Dowitcher,Limnodromus scolopaceus,Limnodromus scolopaceus,10
Jack Snipe,Lymnocryptes minimus,Lymnocryptes minimus,10
Eurasian Woodcock,Scolopax rusticola,Scolopax rusticola,14
Solitary Snipe,Gallinago solitaria,Gallinago solitaria,11
Wood Snipe,Gallinago nemoricola,Gallinago nemoricola,12
Great Snipe,Gallinago media,Gallinago media,11
Common Snipe,Gallinago gallinago,Gallinago gallinago,13
Pin-tailed Snipe,Gallinago stenura,Gallinago stenura,10
Swinhoe's Snipe,Gallinago megala,Gallinago megala,10
Terek Sandpiper,Xenus cinereus,Xenus cinereus,12
Red-necked Phalarope,Phalaropus lobatus,Phalaropus lobatus,12
Red Phalarope,Phalaropus fulicarius,Phalaropus fulicarius,16
Common Sandpiper,Actitis hypoleucos,Actitis hypoleucos,14
Green Sandpiper,Tringa ochropus,Tringa ochropus,17
Gray-tailed Tattler,Tringa brevipes,Tringa brevipes,14
Spotted Redshank,Tringa erythropus,Tringa erythropus,14
Common Greenshank,Tringa nebularia,Tringa nebularia,19
Nordmann's Greenshank,Tringa guttifer,Tringa guttifer,16
Marsh Sandpiper,Tringa stagnatilis,Tringa stagnatilis,18
Wood Sandpiper,Tringa glareola,Tringa glareola,9
Common Redshank,Tringa totanus,Tringa totanus,17
Small Buttonquail,Turnix sylvaticus,Turnix sylvaticus,8
Yellow-legged Buttonquail,Turnix tanki,Turnix tanki,9
Barred Buttonquail,Turnix suscitator,Turnix suscitator,9
Crab-Plover,Dromas ardeola,Dromas ardeola,25
Cream-colored Courser,Cursorius cursor,Cursorius cursor,12
Indian Courser,Cursorius coromandelicus,Cursorius coromandelicus,12
Jerdon's Courser,Rhinoptilus bitorquatus,Rhinoptilus bitorquatus,16
Collared Pratincole,Glareola pratincola,Glareola pratincola,11
Oriental Pratincole,Glareola maldivarum,Glareola maldivarum,11
Small Pratincole,Glareola lactea,Glareola lactea,10
South Polar Skua,Stercorarius maccormicki,Catharacta maccormicki,51
Brown Skua,Stercorarius antarcticus,Catharacta antarctica,46
Pomarine Jaeger,Stercorarius pomarinus,Stercorarius pomarinus,35
Parasitic Jaeger,Stercorarius parasiticus,Stercorarius parasiticus,34
Long-tailed Jaeger,Stercorarius longicaudus,Stercorarius longicaudus,29
Black-legged Kittiwake,Rissa tridactyla,Rissa tridactyla,30
Sabine's Gull,Xema sabini,Xema sabini,23
Slender-billed Gull,Chroicocephalus genei,Larus genei,28
Black-headed Gull,Chroicocephalus ridibundus,Larus ridibundus,31
Brown-headed Gull,Chroicocephalus brunnicephalus,Larus brunnicephalus,28
Little Gull,Hydrocoloeus minutus,Hydrocoloeus minutus,17
Franklin's Gull,Leucophaeus pipixcan,Larus pipixcan,23
White-eyed Gull,Ichthyaetus leucophthalmus,Larus leucophthalmus,28
Sooty Gull,Ichthyaetus hemprichii,Larus hemprichii,29
Pallas's Gull,Ichthyaetus ichthyaetus,Larus ichthyaetus,33
Common Gull,Larus canus,Larus canus,32
Herring Gull,Larus argentatus,Larus smithsonianus,33
Caspian Gull,Larus cachinnans,Larus cachinnans,32
Lesser Black-backed Gull,Larus fuscus,Larus fuscus,38
Brown Noddy,Anous stolidus,Anous stolidus,32
Black Noddy,Anous minutus,Anous minutus,26
Lesser Noddy,Anous tenuirostris,Anous tenuirostris,19
White Tern,Gygis alba,Gygis alba,37
Sooty Tern,Onychoprion fuscatus,Onychoprion fuscatus,34
Bridled Tern,Onychoprion anaethetus,Onychoprion anaethetus,30
Little Tern,Sternula albifrons,Sternula albifrons,30
Saunders's Tern,Sternula saundersi,Sternula saundersi,21
Gull-billed Tern,Gelochelidon nilotica,Gelochelidon nilotica,26
Caspian Tern,Hydroprogne caspia,Hydroprogne caspia,34
Black Tern,Chlidonias niger,Chlidonias niger,16
White-winged Tern,Chlidonias leucopterus,Chlidonias leucopterus,14
Whiskered Tern,Chlidonias hybrida,Chlidonias hybrida,17
Roseate Tern,Sterna dougallii,Sterna dougallii,27
Black-naped Tern,Sterna sumatrana,Sterna sumatrana,27
Common Tern,Sterna hirundo,Sterna hirundo,33
Arctic Tern,Sterna paradisaea,Sterna paradisaea,34
Black-bellied Tern,Sterna acuticauda,Sterna acuticauda,20
River Tern,Sterna aurantia,Sterna aurantia,20
White-cheeked Tern,Sterna repressa,Sterna repressa,25
Great Crested Tern,Thalasseus bergii,Thalasseus bergii,36
Sandwich Tern,Thalasseus sandvicensis,Thalasseus sandvicensis,31
Lesser Crested Tern,Thalasseus bengalensis,Thalasseus bengalensis,31
Indian Skimmer,Rynchops albicollis,Rynchops albicollis,21
White-tailed Tropicbird,Phaethon lepturus,Phaethon lepturus,28
Red-billed Tropicbird,Phaethon aethereus,Phaethon aethereus,33
Red-tailed Tropicbird,Phaethon rubricauda,Phaethon rubricauda,30
Red-throated Loon,Gavia stellata,Gavia stellata,26
Arctic Loon,Gavia arctica,Gavia arctica,29
Light-mantled Albatross,Phoebetria palpebrata,Phoebetria palpebrata,66
Wilson's Storm-Petrel,Oceanites oceanicus,Oceanites oceanicus,32
White-faced Storm-Petrel,Pelagodroma marina,Pelagodroma marina,20
Black-bellied Storm-Petrel,Fregetta tropica,Fregetta tropica,19
Swinhoe's Storm-Petrel,Hydrobates monorhis,Hydrobates monorhis,33
Barau's Petrel,Pterodroma baraui,Pterodroma baraui,40
Jouanin's Petrel,Bulweria fallax,Bulweria fallax,36
Streaked Shearwater,Calonectris leucomelas,Calonectris leucomelas,51
Cory's Shearwater,Calonectris diomedea,Calonectris diomedea,41
Flesh-footed Shearwater,Ardenna carneipes,Ardenna carneipes,45
Wedge-tailed Shearwater,Ardenna pacifica,Ardenna pacifica,38
Short-tailed Shearwater,Ardenna tenuirostris,Ardenna tenuirostris,61
Tropical Shearwater,Puffinus bailloni,Puffinus bailloni,36
Persian Shearwater,Puffinus persicus,Puffinus persicus,35
Asian Openbill,Anastomus oscitans,Anastomus oscitans,20
Black Stork,Ciconia nigra,Ciconia nigra,38
Asian Woolly-necked Stork,Ciconia episcopus,Ciconia episcopus,29
White Stork,Ciconia ciconia,Ciconia ciconia,39
Black-necked Stork,Ephippiorhynchus asiaticus,Ephippiorhynchus asiaticus,31
Lesser Adjutant,Leptoptilos javanicus,Leptoptilos javanicus,36
Greater Adjutant,Leptoptilos dubius,Leptoptilos dubius,38
Painted Stork,Mycteria leucocephala,Mycteria leucocephala,29
Lesser Frigatebird,Fregata ariel,Fregata ariel,39
Christmas Island Frigatebird,Fregata andrewsi,Fregata andrewsi,51
Great Frigatebird,Fregata minor,Fregata minor,49
Masked Booby,Sula dactylatra,Sula dactylatra,35
Brown Booby,Sula leucogaster,Sula leucogaster,41
Red-footed Booby,Sula sula,Sula sula,31
Oriental Darter,Anhinga melanogaster,Anhinga melanogaster,19
Little Cormorant,Microcarbo niger,Microcarbo niger,14
Great Cormorant,Phalacrocorax carbo,Phalacrocorax carbo,33
Indian Cormorant,Phalacrocorax fuscicollis,Phalacrocorax fuscicollis,17
Great White Pelican,Pelecanus onocrotalus,Pelecanus onocrotalus,44
Spot-billed Pelican,Pelecanus philippensis,Pelecanus philippensis,28
Dalmatian Pelican,Pelecanus crispus,Pelecanus crispus,31
Great Bittern,Botaurus stellaris,Botaurus stellaris,12
Yellow Bittern,Ixobrychus sinensis,Ixobrychus sinensis,12
Little Bittern,Ixobrychus minutus,Ixobrychus minutus,13
Cinnamon Bittern,Ixobrychus cinnamomeus,Ixobrychus cinnamomeus,14
Black Bittern,Ixobrychus flavicollis,Ixobrychus flavicollis,16
Gray Heron,Ardea cinerea,Ardea cinerea,25
White-bellied Heron,Ardea insignis,Ardea insignis,21
Goliath Heron,Ardea goliath,Ardea goliath,32
Purple Heron,Ardea purpurea,Ardea purpurea,18
Great Egret,Ardea alba,Ardea alba,17
Intermediate Egret,Ardea intermedia,Ardea intermedia,16
Chinese Egret,Egretta eulophotes,Egretta eulophotes,17
Little Egret,Egretta garzetta,Egretta garzetta,15
Western Reef-Heron,Egretta gularis,Egretta gularis,14
Pacific Reef-Heron,Egretta sacra,Egretta sacra,16
Cattle Egret,Bubulcus ibis,Bubulcus ibis,20
Indian Pond-Heron,Ardeola grayii,Ardeola grayii,15
Chinese Pond-Heron,Ardeola bacchus,Ardeola bacchus,15
Javan Pond-Heron,Ardeola speciosa,Ardeola speciosa,16
Striated Heron,Butorides striata,Butorides striata,13
Black-crowned Night-Heron,Nycticorax nycticorax,Nycticorax nycticorax,21
White-eared Night-Heron,Gorsachius magnificus,Oroanassa magnifica,17
Malayan Night-Heron,Gorsachius melanolophus,Gorsachius melanolophus,16
Glossy Ibis,Plegadis falcinellus,Plegadis falcinellus,26
Black-headed Ibis,Threskiornis melanocephalus,Threskiornis melanocephalus,33
Red-naped Ibis,Pseudibis papillosa,Pseudibis papillosa,27
Eurasian Spoonbill,Platalea leucorodia,Platalea leucorodia,29
Osprey,Pandion haliaetus,Pandion haliaetus,29
Black-winged Kite,Elanus caeruleus,Elanus caeruleus,14
Bearded Vulture,Gypaetus barbatus,Gypaetus barbatus,60
Egyptian Vulture,Neophron percnopterus,Neophron percnopterus,50
European Honey-buzzard,Pernis apivorus,Pernis apivorus,27
Oriental Honey-buzzard,Pernis ptilorhynchus,Pernis ptilorhynchus,26
Jerdon's Baza,Aviceda jerdoni,Aviceda jerdoni,20
Black Baza,Aviceda leuphotes,Aviceda leuphotes,16
Red-headed Vulture,Sarcogyps calvus,Sarcogyps calvus,39
Cinereous Vulture,Aegypius monachus,Aegypius monachus,45
White-rumped Vulture,Gyps bengalensis,Gyps bengalensis,35
Indian Vulture,Gyps indicus,Gyps indicus,40
Slender-billed Vulture,Gyps tenuirostris,Gyps tenuirostris,40
Himalayan Griffon,Gyps himalayensis,Gyps himalayensis,44
Eurasian Griffon,Gyps fulvus,Gyps fulvus,42
Nicobar Serpent-Eagle,Spilornis klossi,Spilornis klossi,28
Crested Serpent-Eagle,Spilornis cheela,Spilornis cheela,24
Andaman Serpent-Eagle,Spilornis elgini,Spilornis elgini,28
Short-toed Snake-Eagle,Circaetus gallicus,Circaetus gallicus,35
Changeable Hawk-Eagle,Nisaetus cirrhatus,Nisaetus cirrhatus,31
Mountain Hawk-Eagle,Nisaetus nipalensis,Nisaetus nipalensis,34
