"COMMON.NAME"
"Common Greenshank"
"Rufous-tailed Rock-Thrush"
"Sillem's Rosefinch"
"Temminck's Stint"
"Dusky Crag-Martin"
"Indian Blackbird"
"Rufous-tailed Lark"
"Blue-throated Flycatcher"
"Red-breasted Flycatcher"
"Verditer Flycatcher"
"Chestnut-tailed Starling"
"Paddyfield Warbler"
"Black-crested Bulbul"
"Bar-winged Flycatcher-shrike"
"Indian Nuthatch"
"Pale-chinned Flycatcher"
"Scarlet Minivet"
"Black-throated Munia"
"Fulvous-breasted Woodpecker"
"Green-crowned Warbler"
"Gray-headed Canary-Flycatcher"
"Large Woodshrike"
"Rosy Minivet"
"Pin-striped Tit-Babbler"
"Pale-footed Bush Warbler"
"Pied Thrush"
"Azure Tit"
"Indian Pied Starling"
"Black-winged Stilt"
"Common Snipe"
"Pacific Golden-Plover"
"River Lapwing"
"Jungle Owlet"
"Gray-bellied Cuckoo"
"Tawny Pipit"
"Thick-billed Flowerpecker"
"White-eyed Buzzard"
"Laggar Falcon"
"Small Pratincole"
"Jungle Bush-Quail"
"White Stork"
"Great Thick-knee"
"Painted Sandgrouse"
"Asian Woolly-necked Stork"
"Cotton Pygmy-Goose"
"Greater Painted-Snipe"
"Mottled Wood-Owl"
"Red Avadavat"
"Rock Pigeon"
"Siberian Pipit"
"Brown Skua"
"Eurasian Nightjar"
"Long-tailed Duck"
"Gadwall"
"Marbled Duck"
"Tufted Duck"
"Boreal Owl"
"Eurasian Golden Oriole"
"Little Gull"
"Black-winged Kite"
"Black-headed Bunting"
"Bristled Grassbird"
"Gray-headed Fish-Eagle"
"Gray-headed Swamphen"
"White-naped Woodpecker"
"Blunt-winged Warbler"
"Tundra Swan"
"Chinese Vivid Niltava"
"Slaty-legged Crake"
"White-bellied Woodpecker"
"Short-toed Snake-Eagle"
"Alpine Swift"
"Black-crowned Night Heron"
"Oriental Darter"
"River Tern"
"Wire-tailed Swallow"
"Southern Hill Myna"
"Crested Serpent-Eagle"
"Hair-crested Drongo"
"Indian Scops-Owl"
"Thick-billed Warbler"
"Jouanin's Petrel"
"Knob-billed Duck"
"Red-crested Pochard"
"Eurasian Spoonbill"
"Black-necked Crane"
"Taiga Bean-Goose"
"Ward's Trogon"
"Mishmi Wren-Babbler"
"Red-tailed Tropicbird"
"Wilson's Storm-Petrel"
"Northern Lapwing"
"White-tailed Iora"
"West Himalayan Bush Warbler"
"Firethroat"
"Clicking Shrike-Babbler"
"Crow-billed Drongo"
"Slender-billed Babbler"
"Smoky Warbler"
"Yellow-bellied Prinia"
"Brown Rock Chat"
"Siberian Rubythroat"
"Black Bulbul"
"Black-naped Oriole"
"Black-throated Tit"
"Crimson Sunbird"
"Fire-breasted Flowerpecker"
"Gray-chinned Minivet"
"Little Pied Flycatcher"
"Maroon Oriole"
"Mountain Bulbul"
"Mountain Tailorbird"
"Orange-bellied Leafbird"
"Ruby-cheeked Sunbird"
"Short-billed Minivet"
"Streaked Spiderhunter"
"Sultan Tit"
"Yellow-cheeked Tit"
"Gray-throated Martin"
"Abbott's Babbler"
"Dusky Warbler"
"Eastern Yellow Wagtail"
"White-throated Fantail"
"Mangrove Whistler"
"Greater Flameback"
"Baikal Bush Warbler"
"Two-barred Warbler"
"Claudia's Leaf Warbler"
"Stripe-breasted Woodpecker"
"Moustached Laughingthrush"
"Brown-capped Laughingthrush"
"White-browed Laughingthrush"
"Hume's Treecreeper"
"Chinese Leaf Warbler"
"Little Heron"
"Long-billed Thrush"
"Maroon-backed Accentor"
"White-browed Bush-Robin"
"Buff-throated Warbler"
"Mount Victoria Babax"
"Himalayan Thrush"
"Little Stint"
"Streaked Shearwater"
"Western Hooded Pitta"
"Eurasian Scops-Owl"
"Indian Peafowl"
"White-faced Storm-Petrel"
"Black-bellied Storm-Petrel"
"Red-breasted Merganser"
"Common Hill Myna"
"Flesh-footed Shearwater"
"Oriental Reed Warbler"
"Plaintive Cuckoo"
"Pallas's Grasshopper Warbler"
"Cinnamon Bittern"
"Eurasian Moorhen"
"White-eared Bulbul"
"Bank Myna"
"Black-browed Reed Warbler"
"Malabar Barbet"
"Malabar Flameback"
"Malabar Parakeet"
"Malabar Starling"
"Malabar Trogon"
"Malabar Woodshrike"
"Malabar Whistling-Thrush"
"Malabar Imperial-Pigeon"
"Vernal Hanging-Parrot"
"White-rumped Vulture"
"Yellow-browed Bulbul"
"Red-billed Blue-Magpie"
"Rusty-cheeked Scimitar-Babbler"
"Lesser Yellownape"
"Malabar Gray Hornbill"
"Oriental Honey-buzzard"
"Nilgiri Flowerpecker"
"Rufous Babbler"
"White-bellied Treepie"
"Striated Grassbird"
"Yellow Bittern"
"South Polar Skua"
"Caspian Tern"
"Black-headed Gull"
"Great Egret"
"Pale Martin"
"Common Shelduck"
"Graylag Goose"
"Indian Spot-billed Duck"
"Mrs. Gould's Sunbird"
"Banded Bay Cuckoo"
"Indian Cuckoo"
"Lesser Coucal"
"Long-toed Stint"
"Ruff"
"Black-winged Cuckooshrike"
"White-winged Tern"
"Brown-fronted Woodpecker"
"Green-backed Tit"
"Gray-hooded Warbler"
"Little Forktail"
"Rufous-breasted Accentor"
"Streaked Laughingthrush"
"Wedge-tailed Green-Pigeon"
"Whiskered Yuhina"
"White-throated Laughingthrush"
"Gray-headed Lapwing"
"Marsh Sandpiper"
"European Starling"
"Indian Spotted Eagle"
"Red-necked Falcon"
"Spot-winged Starling"
"Brown Bullfinch"
