COMMON.NAME,URL
Forest Owlet,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151477911/2400
Blue-capped Rock-Thrush,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153154091/2400
Black-bellied Plover,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/353043541/2400
Eurasian Curlew,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151498221/2400
Slender-billed Gull,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151488561/2400
Caspian Tern,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151489721/2400
Black-bellied Tern,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151490101/2400
Indian Skimmer,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151488431/2400
Great White Pelican,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151491511/2400
Isabelline Shrike,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153475671/2400
Eurasian Oystercatcher,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151494411/2400
Sandwich Tern,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151490171/2400
Malabar Gray Hornbill,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151473591/2400
Black-capped Kingfisher,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151465011/2400
Greater Flamingo,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153399251/2400
Macqueen's Bustard,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152816521/2400
Common Crane,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152822121/2400
Sociable Lapwing,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151497321/2400
Pied Avocet,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151494771/2400
Egyptian Vulture,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151482291/2400
Imperial Eagle,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151483411/2400
White-naped Tit,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153483311/2400
Ruddy Shelduck,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152842001/2400
Western Tragopan,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152999601/2400
Slender-billed Vulture,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151482731/2400
Brown Dipper,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153517721/2400
Wallcreeper,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/207323551/2400
Tibetan Blackbird,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153526361/2400
Kashmir Flycatcher,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153153041/2400
Plumbeous Redstart,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153153711/2400
Black-headed Gull,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153003151/2400
White-rumped Vulture,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151482691/2400
Indian Vulture,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151482711/2400
Yellow-throated Bulbul,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153113091/2400
Nilgiri Sholakili,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153151621/2400
White-bellied Blue Flycatcher,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153148661/2400
Garganey,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152843261/2400
Broad-tailed Grassbird,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153492711/2400
Banasura Laughingthrush,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153126611/2400
Ashambu Laughingthrush,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153126601/2400
Common Merganser,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153380861/2400
Bearded Vulture,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151482271/2400
Saker Falcon,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151443321/2400
Eurasian Crag-Martin,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153495301/2400
Lesser Sand-Plover,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153005251/2400
Common Greenshank,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153401071/2400
Western Reef-Heron,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152811521/2400
Red-headed Vulture,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151482631/2400
Nilgiri Wood-Pigeon,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151429461/2400
Indian Courser,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151488051/2400
Pallid Harrier,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151484391/2400
Manipur Bush-Quail,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152998361/2400
Slender-billed Oriole,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153457581/2400
Naga Wren-Babbler,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153121761/2400
Jerdon's Bushchat,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153154631/2400
Dark-rumped Swift,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153392221/2400
Tawny-breasted Wren-Babbler,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153121841/2400
Rufous-gorgeted Flycatcher,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153532371/2400
Olive-backed Pipit,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153574551/2400
Wreathed Hornbill,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151474171/2400
Great Slaty Woodpecker,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151446021/2400
Chin Hills Wren-Babbler,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153121771/2400
Mount Victoria Babax,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153511781/2400
Blyth's Tragopan,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152999641/2400
Chestnut-backed Laughingthrush,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153126031/2400
Pale-capped Pigeon,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153344811/2400
Mangrove Pitta,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153008131/2400
Pin-tailed Snipe,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151499421/2400
Common Tern,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153002351/2400
Bristled Grassbird,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153106811/2400
Jerdon's Babbler,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153117791/2400
Yellow-eyed Pigeon,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/353048981/2400
Great Indian Bustard,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153359961/2400
Variable Wheatear,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153156451/2400
Blood Pheasant,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152999711/2400
Great Parrotbill,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153118181/2400
Fulvous Parrotbill,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153504331/2400
Hoary-throated Barwing,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153512921/2400
Nilgiri Laughingthrush,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153512091/2400
White-bellied Sholakili,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153151631/2400
Nilgiri Pipit,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153575261/2400
Little Tern,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151489481/2400
River Tern,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153735021/2400
Sarus Crane,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152821921/2400
Cheer Pheasant,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153000311/2400
Pallas's Fish-Eagle,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151486071/2400
Gray-crowned Prinia,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153490181/2400
Finn's Weaver,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153169361/2400
Rufous-necked Hornbill,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/207320881/2400
Brown-winged Kingfisher,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151464871/2400
Yellow-breasted Bunting,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153207821/2400
Rose-ringed Parakeet,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151436601/2400
Great Hornbill,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151473381/2400
House Sparrow,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153572421/2400
Common Hill Myna,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153138311/2400
Flame-throated Bulbul,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153499061/2400
Black Francolin,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152998781/2400
Asian Koel,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152813911/2400
Indian Roller,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151475881/2400
Indian Paradise-Flycatcher,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153083521/2400
Yellow-footed Green-Pigeon,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153386851/2400
Hume's Pheasant,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152999871/2400
Northern Goshawk,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153735771/2400
Asian Emerald Dove,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153732701/2400
Green Imperial-Pigeon,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153345151/2400
Himalayan Monal,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152999511/2400
White-throated Kingfisher,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151464961/2400
Andaman Wood-Pigeon,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151429531/2400
Indian Gray Hornbill,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151473561/2400
Kalij Pheasant,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153397351/2400
Black-necked Crane,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152822141/2400
Sooty Tern,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151489431/2400
