"eBird.English.Name.2025","currentslopelci1","currentslopemean1","currentsloperci1","currentslopelci2","currentslopemean2","currentsloperci2","currentslopelci3","currentslopemean3","currentsloperci3","currentslopelci4","currentslopemean4","currentsloperci4","currentslopelci5","currentslopemean5","currentsloperci5","currentslopelci6","currentslopemean6","currentsloperci6","currentslopelci7","currentslopemean7","currentsloperci7","currentslopelci8","currentslopemean8","currentsloperci8","currentslopelci9","currentslopemean9","currentsloperci9","currentslopelci10","currentslopemean10","currentsloperci10"
"Tibetan Partridge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mrs. Hume's Pheasant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cheer Pheasant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kalij Pheasant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indian Peafowl",13.2345929016165,32.0527283151872,50.8708637287579,18.2411600095492,41.4436339185269,64.6461078275046,24.3246274973943,45.8864408685701,67.4482542397458,30.8858413965527,46.8211654161106,62.7564894356686,22.3829306343751,43.6691709997855,64.9554113651959,22.2123229354907,43.0713783295064,63.930433723522,23.7117614603622,44.7825522369539,65.8533430135456,23.9631371551827,45.6602724198099,67.3574076844372,21.4262648178765,44.8383746205542,68.2504844232319,18.7304532532921,43.9420010495794,69.1535488458667
"Green Peafowl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red Spurfowl",-11.0303268840054,-5.46950703355506,0.0913128168953038,-9.43840973885028,-2.90994050378889,3.61852873127251,-8.22180078228912,-2.11833207777949,3.98513662673015,-6.19324221390309,-1.69604623810517,2.80114973769274,-8.63998698451155,-2.6289907841395,3.38200541623256,-8.68098176399659,-2.68123175374545,3.31851825650568,-8.82598958627282,-2.72796417456554,3.37006123714175,-7.87169286901932,-1.89719068493238,4.07731149915456,-7.39811750032693,-1.30060125830091,4.79691498372511,-10.6040488487062,-3.70034895294301,3.20335094282016
"Painted Spurfowl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gray Peacock-Pheasant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mountain Bamboo-Partridge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red Junglefowl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gray Junglefowl",-1.77786623932917,0.105740051783827,1.98934634289683,-0.528772789651563,1.20018005462929,2.92913289891015,-1.29543588969658,0.378550053438566,2.05253599657371,-0.367002977444666,0.997148328577138,2.36129963459894,-1.07657824808761,0.693115230458281,2.46280870900417,-1.06386299135046,0.724296409552784,2.51245581045603,-1.14977612620355,0.645234720919514,2.44024556804258,-1.04838317076299,0.810961617150143,2.67030640506327,-1.16585842592838,0.792616039062048,2.75109050405247,-1.40218827712683,0.700471499551768,2.80313127623037
"Gray Francolin",-6.175989964343,-3.91904748123647,-1.66210499812993,-5.4250934084775,-2.22072410317566,0.983645202126176,-4.08232950782582,-1.47662685873829,1.12907579034923,-4.29646579130441,-1.74874260617969,0.798980578945038,-5.00762900350168,-2.08285138233517,0.841926238831352,-5.05588696235724,-2.11667164467152,0.822543673014205,-5.02642251979052,-2.0541706353789,0.918081249032714,-4.6785646923174,-1.74994192156733,1.17868084918273,-4.83519678222765,-1.70710288987035,1.42099100248694,-5.86514528017501,-2.45438173301334,0.956381814148318
"Swamp Francolin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinese Francolin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black Francolin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Painted Francolin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tibetan Snowcock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Himalayan Snowcock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blue-breasted Quail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Common Quail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Japanese Quail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rain Quail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chukar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
