"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
2021,"Black Francolin","2021",0.0186328378816956,0.033702647564471,0.0547666808221167,NA,NA,NA,78.8558793293458,161.698262209255,503.144131434042,NA,NA,NA,78.8558793293458,161.698262209255,503.144131434042
2022,"Black Francolin","2022",0.0145769549681854,0.0271703302984606,0.0448711851638567,NA,NA,NA,64.5428483285089,130.544718116099,380.264687678196,NA,NA,NA,64.5428483285089,130.544718116099,380.264687678196
2023,"Black Francolin","2023",0.0103503593756435,0.0205326915384314,0.0343016176847745,NA,NA,NA,47.4733186954732,99.0812554806787,315.457979210864,NA,NA,NA,47.4733186954732,99.0812554806787,315.457979210864
2024,"Black Francolin","2024",0.0113889968031792,0.0240995488830128,0.0403672411889761,NA,NA,NA,54.2661492808238,117.0481237408,398.857599739602,NA,NA,NA,54.2661492808238,117.0481237408,398.857599739602
2025,"Black Francolin","2025",0.0203403323471935,0.0363886546226726,0.0594687232976388,NA,NA,NA,86.4674990816562,178.172323313181,578.212755965947,NA,NA,NA,86.4674990816562,178.172323313181,578.212755965947
2026,"Black Francolin","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,96.9298127429808,139.200662715486,200.838096986424,96.9298127429808,139.200662715486,200.838096986424
2027,"Black Francolin","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,94.0657294930828,142.972584894626,218.839256204055,94.0657294930828,142.972584894626,218.839256204055
2028,"Black Francolin","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,91.0601164042815,146.010899161851,237.284561968877,91.0601164042815,146.010899161851,237.284561968877
2029,"Black Francolin","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,87.8142255673979,149.700258794271,256.904175908788,87.8142255673979,149.700258794271,256.904175908788
2030,"Black Francolin","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,84.3381250409059,153.86373992605,277.891613476046,84.3381250409059,153.86373992605,277.891613476046
2031,"Black Francolin","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,81.5062854426905,156.933819148638,301.217775479641,81.5062854426905,156.933819148638,301.217775479641
2032,"Black Francolin","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,78.4996086272449,161.311792105871,328.089137974469,78.4996086272449,161.311792105871,328.089137974469
2033,"Black Francolin","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,76.2783053020847,166.183513765009,355.680807535072,76.2783053020847,166.183513765009,355.680807535072
1982,"Greater Coucal","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Greater Coucal","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Greater Coucal","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Greater Coucal","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Greater Coucal","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Greater Coucal","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Greater Coucal","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Greater Coucal","2016",0.0103839345098571,0.0329832231221994,0.06358598269578,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2017,"Greater Coucal","2017",0.0236516725153568,0.0448896652555011,0.0740146725591608,NA,NA,NA,66.8293655952333,135.698786781274,405.520070462063,NA,NA,NA,66.8293655952333,135.698786781274,405.520070462063
2018,"Greater Coucal","2018",0.0274531240341618,0.04988174043665,0.082648558809914,NA,NA,NA,72.8025393243665,152.149975585993,435.429031092951,NA,NA,NA,72.8025393243665,152.149975585993,435.429031092951
2019,"Greater Coucal","2019",0.016160370718005,0.0298132524496297,0.0498114956451784,NA,NA,NA,44.1422478271241,89.5782705427082,237.647830234059,NA,NA,NA,44.1422478271241,89.5782705427082,237.647830234059
2020,"Greater Coucal","2020",0.0171774180058203,0.032186483511956,0.051650801746879,NA,NA,NA,48.0789508675938,97.3720137149807,269.947988876098,NA,NA,NA,48.0789508675938,97.3720137149807,269.947988876098
