"timegroups","lci_std","rci_std","timegroupsf","mean_trans","se_trans","COMMON.NAME","lci","mean","rci","m1","mean_year1","s1","mean_std"
2009,13.9640253065461,417.867196913418,"2007-2010",-6.11856961771463,0.613123320379194,"Graylag Goose",0.000661750281105141,0.00219918109561825,0.00729543285312609,-5.96958350083074,0.0025520434660212,0.617659030655079,86.1733401056414
2012,20.0205422183011,639.534639310459,"2011-2012",-5.81573134442474,0.620111273201466,"Graylag Goose",0.000883524651111347,0.00297586321941422,0.00999836813933965,-5.96958350083074,0.0025520434660212,0.617659030655079,116.607074253864
2013,20.9244619561734,534.262645972429,"2013",-5.89776009511493,0.619119619028012,"Graylag Goose",0.000815554372560005,0.00274182211283074,0.00919678096594572,-5.96958350083074,0.0025520434660212,0.617659030655079,107.436340694676
2014,18.7601485895825,719.363059313775,"2014",-5.77990031506881,0.60268905163363,"Graylag Goose",0.00094753677242797,0.00308425719824363,0.010015129677918,-5.96958350083074,0.0025520434660212,0.617659030655079,120.854414876099
2015,19.5836069614568,510.401634908775,"2015",-5.9110304223128,0.609693816835225,"Graylag Goose",0.000819808036112064,0.00270572653456338,0.0089106996015097,-5.96958350083074,0.0025520434660212,0.617659030655079,106.021961247462
2016,16.3649651192093,511.887640535927,"2016",-6.07857835095032,0.607951333616551,"Graylag Goose",0.000695756410407609,0.00228880862439849,0.00751568281500262,-5.96958350083074,0.0025520434660212,0.617659030655079,89.6853307897176
2017,18.0018559305574,521.138935746162,"2017",-5.99782371583817,0.6089826092203,"Graylag Goose",0.000752728380131648,0.00248106956647828,0.00816162034688734,-5.96958350083074,0.0025520434660212,0.617659030655079,97.2189384511709
2018,17.7278416983665,577.887338312757,"2018",-5.9258836254161,0.601898596972896,"Graylag Goose",0.000820156736369653,0.00266588804314437,0.00864735562411875,-5.96958350083074,0.0025520434660212,0.617659030655079,104.460918422391
2019,15.9385151433719,497.122236328359,"2019",-6.03573940071077,0.603052439324702,"Graylag Goose",0.000733202307392498,0.0023888695272811,0.00776869099808289,-5.96958350083074,0.0025520434660212,0.617659030655079,93.6061457842451
2020,19.8569250763728,647.055876472151,"2020",-5.92529042526304,0.60000459054696,"Graylag Goose",0.000823694037129793,0.00266746780579995,0.00862054249670928,-5.96958350083074,0.0025520434660212,0.617659030655079,104.522820293445
2021,18.1198286534323,497.694745107898,"2021",-5.97697014042943,0.601790867838181,"Graylag Goose",0.000779490456018263,0.00253328570218687,0.00821673343286591,-5.96958350083074,0.0025520434660212,0.617659030655079,99.2649904249642
2022,21.2414299262858,710.343312072233,"2022",-5.87282233943798,0.600320957002936,"Graylag Goose",0.00086750843205097,0.00281095929433471,0.00908841481544496,-5.96958350083074,0.0025520434660212,0.617659030655079,110.145431759326
2023,18.1100491936381,523.4327794372,"2023",-5.97232275152554,0.599618878995597,"Graylag Goose",0.000786459671165828,0.00254507123635079,0.00821992775485928,-5.96958350083074,0.0025520434660212,0.617659030655079,99.726798161425
2024,20.5114965129611,551.93873624487,"2024",-5.95465759007535,0.600523195977496,"Graylag Goose",0.000799053453448326,0.00259037098606268,0.00838058861573103,-5.96958350083074,0.0025520434660212,0.617659030655079,101.501836491102
1992,74.7593047218302,133.258331942434,"before 2000",-4.42287832891833,0.107680780032051,"Knob-billed Duck",0.00966941990754749,0.0119279349977477,0.0147100476336583,-4.42287832891833,0.0119279349977477,0.107680780032051,100
2003,79.0750243585845,141.796095104706,"2000-2006",-4.35363599430987,0.103457783892365,"Knob-billed Duck",0.0104447221784365,0.0127776326239455,0.015627488325603,-4.42287832891833,0.0119279349977477,0.107680780032051,107.123593701326
2009,89.6399369458863,157.504602881172,"2007-2010",-4.22614910943564,0.0990860061641182,"Knob-billed Duck",0.0119578583302136,0.0145023512646397,0.0175834464773323,-4.42287832891833,0.0119279349977477,0.107680780032051,121.583084309045
2012,120.96434903722,217.73552135761,"2011-2012",-3.92866968624444,0.104181186970243,"Knob-billed Duck",0.0159089643663144,0.0194776334073127,0.0238370736340697,-4.42287832891833,0.0119279349977477,0.107680780032051,163.294261839879
2013,113.868096729149,194.304897439957,"2013",-4.02352925946389,0.100134628979793,"Knob-billed Duck",0.0145941433783728,0.017730644967162,0.0215338282500858,-4.42287832891833,0.0119279349977477,0.107680780032051,148.648068341334
2014,107.009465899931,196.457178227921,"2014",-4.03929103910474,0.0971472339861773,"Knob-billed Duck",0.0144513250475271,0.0174558037195902,0.0210782133227852,-4.42287832891833,0.0119279349977477,0.107680780032051,146.343887042361
2015,83.7578096617968,144.934952948313,"2015",-4.31622860836711,0.0984081324628414,"Knob-billed Duck",0.010947899875311,0.0132614194698463,0.0160598509562355,-4.42287832891833,0.0119279349977477,0.107680780032051,111.179508207836
2016,84.9404013701937,148.427561116457,"2016",-4.31400705939816,0.0946054874902345,"Knob-billed Duck",0.0110537415003035,0.0132907162422863,0.0159767240984427,-4.42287832891833,0.0119279349977477,0.107680780032051,111.425122997366
2017,87.5545602672392,154.722157195943,"2017",-4.26988829725392,0.0972071839363733,"Knob-billed Duck",0.0114910409093356,0.0138860321893021,0.0167759424341956,-4.42287832891833,0.0119279349977477,0.107680780032051,116.416061891049
2018,75.198615131565,133.737480305686,"2018",-4.41459445728877,0.0975933008216407,"Knob-billed Duck",0.0099431676534612,0.012026555841958,0.0145432593210875,-4.42287832891833,0.0119279349977477,0.107680780032051,100.826805681192
2019,68.2399478117896,120.811969720948,"2019",-4.51002356503508,0.0973048784968243,"Knob-billed Duck",0.00904736291280872,0.0109379419033526,0.0132209421367694,-4.42287832891833,0.0119279349977477,0.107680780032051,91.7002138712022
2020,75.8824850012708,136.515136512497,"2020",-4.41811715040464,0.0967677874410713,"Knob-billed Duck",0.00992434125667872,0.0119845189508295,0.0144692307524128,-4.42287832891833,0.0119279349977477,0.107680780032051,100.474381802822
2021,71.8312513316148,124.961646680008,"2021",-4.46994538366991,0.0976811643189933,"Knob-billed Duck",0.00940867305776368,0.0113826627388178,0.0137679193015723,-4.42287832891833,0.0119279349977477,0.107680780032051,95.4286114148599
2022,72.2447076963285,128.827005624276,"2022",-4.47904408796486,0.0959036229705479,"Knob-billed Duck",0.00935624120336513,0.0112801486834538,0.013596942989654,-4.42287832891833,0.0119279349977477,0.107680780032051,94.5691662939456
2023,79.6425734080888,138.344801789761,"2023",-4.37102581125222,0.0959133994218561,"Knob-billed Duck",0.010417713677508,0.0125587418927268,0.0151364138508494,-4.42287832891833,0.0119279349977477,0.107680780032051,105.288483673815
2024,74.8731190221304,129.54436553141,"2024",-4.44956036106374,0.0965180057359084,"Knob-billed Duck",0.00962331273734206,0.0116157130473918,0.0140176896723237,-4.42287832891833,0.0119279349977477,0.107680780032051,97.3824308196277
1992,78.9646830419545,126.247237568489,"before 2000",-3.89857422568089,0.0877899185546586,"Ruddy Shelduck",0.016921613982344,0.0200667211362031,0.023789279559763,-3.89857422568089,0.0200667211362031,0.0877899185546586,100
2003,95.8855101323328,155.386600588135,"2000-2006",-3.68826325351414,0.087664717048309,"Ruddy Shelduck",0.0208458435480378,0.0247051171497428,0.0292681280556104,-3.89857422568089,0.0200667211362031,0.0877899185546586,123.114867556372
2009,94.7728574601064,151.025968882203,"2007-2010",-3.69948915496845,0.083451470853102,"Ruddy Shelduck",0.02078471259403,0.0244327278526622,0.0287115780611873,-3.89857422568089,0.0200667211362031,0.0877899185546586,121.757449494737
2012,112.049660435948,182.854639414,"2011-2012",-3.53019600444223,0.08993867382277,"Ruddy Shelduck",0.0242647006320295,0.0288741131922095,0.0343436228704116,-3.89857422568089,0.0200667211362031,0.0877899185546586,143.890538948671
