"COMMON.NAME","timegroupsf","timegroups","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_2014","mean_std_2014","rci_std_2014"
"Blue-tailed Bee-eater","2016",2016,-3.19877440986094,0.0789156074496175,0.0343593931398126,0.0399905898800211,0.0465222378581458,83.8218779881215,106.554765085843,136.03829068111,77.5178617821027,95.1236012414701,116.420141634987
"Blue-tailed Bee-eater","2017",2017,-3.23724321949218,0.0823154563351215,0.0328683432152536,0.0385108613934045,0.0450992294996179,81.0276017511839,102.612034514594,129.004508370005,75.1832163279706,91.6038456457448,115.194793584932
"Blue-tailed Bee-eater","2018",2018,-3.19264673620151,0.0813381742350612,0.0344059972161073,0.040231379554381,0.047018819772366,84.6049567194983,107.196348199858,134.199544401712,77.5718728225484,95.6963555078011,119.494271063267
"Blue-tailed Bee-eater","2019",2019,-3.16930507166421,0.0797154777452809,0.0353142057688727,0.0411616674803341,0.0479530634881263,87.1581071073831,109.675096618162,139.339764988698,79.2015809936984,97.9091845251678,121.675661957979
"Blue-tailed Bee-eater","2020",2020,-2.98413047772278,0.0795182821253956,0.0423600343805807,0.049325425435035,0.057401409374645,103.395813727994,131.42739668902,165.099290519733,94.3883010892707,117.327904245099,146.504103843706
"Blue-tailed Bee-eater","2021",2021,-2.97294560547777,0.077911603453875,0.0429582674393517,0.0498661536058548,0.0578508718262843,106.49044833461,132.868164714444,168.466878280838,96.9367543432041,118.614107100706,147.041328192633
"Chestnut-headed Bee-eater","before 2000",1992,-3.63970336299526,0.10265942492212,0.0212450025569346,0.0259183336872357,0.0316029604647665,100,100,100,NA,NA,NA
"Chestnut-headed Bee-eater","2000-2006",2003,-3.92670948837052,0.107084540139449,0.0158502004832811,0.0195154755041764,0.0240179287839702,57.3366998692361,75.2960268961558,101.76243008142,NA,NA,NA
"Chestnut-headed Bee-eater","2007-2010",2009,-3.64667154997094,0.0902588930760173,0.0216124915305113,0.0257406942323289,0.0306449944859711,77.7562731789583,99.314618535858,129.476418998287,NA,NA,NA
"Chestnut-headed Bee-eater","2011-2012",2012,-3.50707939364318,0.0987690560234322,0.0244043268493957,0.0295392877775849,0.0357347629624874,85.9378879410307,113.970628413247,147.590495252096,NA,NA,NA
"Chestnut-headed Bee-eater","2013",2013,-3.57425763065623,0.0935039305401585,0.0230711271703785,0.0276468634446649,0.033114622120319,80.2006117330216,106.669139221247,140.381121036997,NA,NA,NA
"Chestnut-headed Bee-eater","2014",2014,-3.65410569388832,0.0953573273360896,0.0212431064305373,0.0255525006393466,0.030722290314719,74.4902603493853,98.5885163286199,133.24662888257,100,100,100
"Chestnut-headed Bee-eater","2015",2015,-3.71396016527671,0.0891195473109853,0.0202651289628505,0.0240859694682585,0.0286166158546043,71.2371744118647,92.9302391076184,120.206456232378,73.6263885872731,94.2607136898774,119.771277182187
"Chestnut-headed Bee-eater","2016",2016,-3.79332841454836,0.0907319814681449,0.018674916149908,0.0222688254141867,0.0265449596802377,66.4729983868153,85.9192017623945,111.850593981668,67.3496182409709,87.1492999002081,112.448564573574
"Chestnut-headed Bee-eater","2017",2017,-3.77030704695618,0.0899653323100911,0.0191340978386057,0.0227814786688533,0.0271144648977287,67.9663749765346,87.8971578333862,116.026779580755,68.6883856168973,89.1555742054209,111.56713240263
"Chestnut-headed Bee-eater","2018",2018,-3.79410277757758,0.0864619483460729,0.0188159423796839,0.0222517811553933,0.0263065550739064,65.2386716943345,85.8534403635364,110.629003266847,68.1224024812811,87.0825970008167,111.798291904271
"Chestnut-headed Bee-eater","2019",2019,-3.79906595021203,0.0925456380765128,0.0185037950149592,0.0221428441546567,0.0264878547660474,65.119517525744,85.4331317046111,110.830018666134,66.5883717263101,86.656270817426,111.779451622204
"Chestnut-headed Bee-eater","2020",2020,-3.66618297859973,0.0873802887236244,0.0213180050685594,0.0252496577518189,0.0298952745112178,75.3186117637157,97.4200658750448,124.363098001224,77.1773204118133,98.8148209374809,125.458471716663
"Chestnut-headed Bee-eater","2021",2021,-3.65717679336906,0.0864155916835993,0.0215490426877728,0.02547515338241,0.0301055032889259,75.9044191168985,98.2900895166574,127.655803831272,76.4054395929472,99.6973006359405,126.90205271079
"European Roller","before 2000",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"European Roller","2000-2006",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"European Roller","2007-2010",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"European Roller","2011-2012",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"European Roller","2013",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"European Roller","2014",2014,-3.01155737498565,0.126827263956736,0.0376557745474812,0.0480235414195225,0.0611538859350957,100,100,100,100,100,100
"European Roller","2015",2015,-2.8087323523071,0.128198589469526,0.0458053767852987,0.058500403545852,0.0745739958839963,86.3834428014922,121.816096474032,173.289064427099,84.3739763194415,121.816096474032,171.562604276604
"European Roller","2016",2016,-2.71814945659895,0.118025965788329,0.0510193888174449,0.0638661132950285,0.0798091266170474,96.0729010783676,132.989178655337,184.269464285773,94.3729050203165,132.989178655337,187.222389375641
