English Name,Scientific Name,BLI,GEN
Pale-capped Pigeon,Columba punicea,Columba punicea,12
Andaman Wood-Pigeon,Columba palumboides,Columba palumboides,13
European Turtle-Dove,Streptopelia turtur,Streptopelia turtur,15
Oriental Turtle-Dove,Streptopelia orientalis,Streptopelia orientalis,14
Eurasian Collared-Dove,Streptopelia decaocto,Streptopelia decaocto,13
Red Collared-Dove,Streptopelia tranquebarica,Streptopelia tranquebarica,10
Spotted Dove,Spilopelia chinensis,Spilopelia chinensis,12
Laughing Dove,Spilopelia senegalensis,Spilopelia senegalensis,10
Barred Cuckoo-Dove,Macropygia unchall,Macropygia unchall,14
Andaman Cuckoo-Dove,Macropygia rufipennis,Macropygia rufipennis,18
Namaqua Dove,Oena capensis,Oena capensis,10
Asian Emerald Dove,Chalcophaps indica,Chalcophaps indica,14
Nicobar Pigeon,Caloenas nicobarica,Caloenas nicobarica,23
Orange-breasted Green-Pigeon,Treron bicinctus,Treron bicinctus,13
Gray-fronted Green-Pigeon,Treron affinis,Treron affinis,13
Andaman Green-Pigeon,Treron chloropterus,Treron chloropterus,13
Ashy-headed Green-Pigeon,Treron phayrei,Treron phayrei,13
Thick-billed Green-Pigeon,Treron curvirostra,Treron curvirostra,12
Yellow-footed Green-Pigeon,Treron phoenicopterus,Treron phoenicopterus,14
Pin-tailed Green-Pigeon,Treron apicauda,Treron apicauda,14
Wedge-tailed Green-Pigeon,Treron sphenurus,Treron sphenurus,13
Green Imperial-Pigeon,Ducula aenea,Ducula aenea,20
Nicobar Imperial-Pigeon,Ducula nicobarica,Ducula nicobarica,20
Malabar Imperial-Pigeon,Ducula cuprea,Ducula cuprea,21
Mountain Imperial-Pigeon,Ducula badia,Ducula badia,21
Pied Imperial-Pigeon,Ducula bicolor,Ducula bicolor,20
Tibetan Sandgrouse,Syrrhaptes tibetanus,Syrrhaptes tibetanus,13
Pallas's Sandgrouse,Syrrhaptes paradoxus,Syrrhaptes paradoxus,13
Pin-tailed Sandgrouse,Pterocles alchata,Pterocles alchata,12
Chestnut-bellied Sandgrouse,Pterocles exustus,Pterocles exustus,11
Spotted Sandgrouse,Pterocles senegallus,Pterocles senegallus,11
Black-bellied Sandgrouse,Pterocles orientalis,Pterocles orientalis,13
Painted Sandgrouse,Pterocles indicus,Pterocles indicus,11
Great Indian Bustard,Ardeotis nigriceps,Ardeotis nigriceps,37
Macqueen's Bustard,Chlamydotis macqueenii,Chlamydotis macqueenii,20
Bengal Florican,Houbaropsis bengalensis,Houbaropsis bengalensis,25
Lesser Florican,Sypheotides indicus,Sypheotides indicus,16
Little Bustard,Tetrax tetrax,Tetrax tetrax,17
Andaman Coucal,Centropus andamanensis,Centropus andamanensis,15
Greater Coucal,Centropus sinensis,Centropus sinensis,15
Lesser Coucal,Centropus bengalensis,Centropus bengalensis,13
Sirkeer Malkoha,Taccocua leschenaultii,Taccocua leschenaultii,14
Blue-faced Malkoha,Phaenicophaeus viridirostris,Phaenicophaeus viridirostris,12
Green-billed Malkoha,Phaenicophaeus tristis,Phaenicophaeus tristis,13
Chestnut-winged Cuckoo,Clamator coromandus,Clamator coromandus,8
Pied Cuckoo,Clamator jacobinus,Clamator jacobinus,10
Asian Koel,Eudynamys scolopaceus,Eudynamys scolopaceus,16
Asian Emerald Cuckoo,Chrysococcyx maculatus,Chrysococcyx maculatus,10
Violet Cuckoo,Chrysococcyx xanthorhynchus,Chrysococcyx xanthorhynchus,10
Horsfield's Bronze-Cuckoo,Chrysococcyx basalis,Chalcites basalis,13
Banded Bay Cuckoo,Cacomantis sonneratii,Cacomantis sonneratii,11
Plaintive Cuckoo,Cacomantis merulinus,Cacomantis merulinus,10
Gray-bellied Cuckoo,Cacomantis passerinus,Cacomantis passerinus,10
Fork-tailed Drongo-Cuckoo,Surniculus dicruroides,Surniculus dicruroides,11
Square-tailed Drongo-Cuckoo,Surniculus lugubris,Surniculus lugubris,11
Large Hawk-Cuckoo,Hierococcyx sparverioides,Hierococcyx sparverioides,15
Common Hawk-Cuckoo,Hierococcyx varius,Hierococcyx varius,14
Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor,Hierococcyx nisicolor,13
Lesser Cuckoo,Cuculus poliocephalus,Cuculus poliocephalus,10
Indian Cuckoo,Cuculus micropterus,Cuculus micropterus,12
Himalayan Cuckoo,Cuculus saturatus,Cuculus saturatus,11
Common Cuckoo,Cuculus canorus,Cuculus canorus,11
Sri Lanka Frogmouth,Batrachostomus moniliger,Batrachostomus moniliger,13
Hodgson's Frogmouth,Batrachostomus hodgsoni,Batrachostomus hodgsoni,12
Great Eared-Nightjar,Lyncornis macrotis,Lyncornis macrotis,16
Jungle Nightjar,Caprimulgus indicus,Caprimulgus indicus,11
Gray Nightjar,Caprimulgus jotaka,Caprimulgus jotaka,10
Eurasian Nightjar,Caprimulgus europaeus,Caprimulgus europaeus,10
Sykes's Nightjar,Caprimulgus mahrattensis,Caprimulgus mahrattensis,12
Large-tailed Nightjar,Caprimulgus macrurus,Caprimulgus macrurus,11
Andaman Nightjar,Caprimulgus andamanicus,Caprimulgus andamanicus,10
Jerdon's Nightjar,Caprimulgus atripennis,Caprimulgus atripennis,11
Indian Nightjar,Caprimulgus asiaticus,Caprimulgus asiaticus,10
Savanna Nightjar,Caprimulgus affinis,Caprimulgus affinis,13
White-rumped Needletail,Zoonavena sylvatica,Zoonavena sylvatica,8
White-throated Needletail,Hirundapus caudacutus,Hirundapus caudacutus,11
Silver-backed Needletail,Hirundapus cochinchinensis,Hirundapus cochinchinensis,11
Brown-backed Needletail,Hirundapus giganteus,Hirundapus giganteus,12
Plume-toed Swiftlet,Collocalia affinis,Collocalia esculenta,9
Indian Swiftlet,Aerodramus unicolor,Aerodramus unicolor,9
Himalayan Swiftlet,Aerodramus brevirostris,Aerodramus brevirostris,8
White-nest Swiftlet,Aerodramus fuciphagus,Aerodramus fuciphagus,9
Alpine Swift,Apus melba,Tachymarptis melba,23
Common Swift,Apus apus,Apus apus,24
Pacific Swift,Apus pacificus,Apus pacificus,13
Blyth's Swift,Apus leuconyx,Apus pacificus,13
Dark-rumped Swift,Apus acuticauda,Apus acuticauda,13
Little Swift,Apus affinis,Apus affinis,12
House Swift,Apus nipalensis,Apus nipalensis,12
Asian Palm-Swift,Cypsiurus balasiensis,Cypsiurus balasiensis,7
Crested Treeswift,Hemiprocne coronata,Hemiprocne coronata,11
Water Rail,Rallus aquaticus,Rallus aquaticus,7
Brown-cheeked Rail,Rallus indicus,Rallus indicus,8
Corn Crake,Crex crex,Crex crex,7
Slaty-breasted Rail,Lewinia striata,Lewinia striata,12
Spotted Crake,Porzana porzana,Porzana porzana,8
Eurasian Moorhen,Gallinula chloropus,Gallinula chloropus,13
Eurasian Coot,Fulica atra,Fulica atra,15
Gray-headed Swamphen,Porphyrio poliocephalus,Porphyrio porphyrio,15
White-browed Crake,Poliolimnas cinereus,Amaurornis cinerea,11
Watercock,Gallicrex cinerea,Gallicrex cinerea,15
White-breasted Waterhen,Amaurornis phoenicurus,Amaurornis phoenicurus,14
Andaman Crake,Rallina canningi,Rallina canningi,12
Red-legged Crake,Rallina fasciata,Rallina fasciata,11
Slaty-legged Crake,Rallina eurizonoides,Rallina eurizonoides,12
Ruddy-breasted Crake,Zapornia fusca,Zapornia fusca,6
Brown Crake,Zapornia akool,Zapornia akool,8
Little Crake,Zapornia parva,Zapornia parva,6
Baillon's Crake,Zapornia pusilla,Zapornia pusilla,7
Black-tailed Crake,Zapornia bicolor,Zapornia bicolor,8
Masked Finfoot,Heliopais personatus,Heliopais personatus,15
Demoiselle Crane,Anthropoides virgo,Anthropoides virgo,34
Siberian Crane,Leucogeranus leucogeranus,Leucogeranus leucogeranus,71
Sarus Crane,Antigone antigone,Grus antigone,54
Common Crane,Grus grus,Grus grus,46
Black-necked Crane,Grus nigricollis,Grus nigricollis,38
Indian Thick-knee,Burhinus indicus,Burhinus indicus,19
Great Thick-knee,Esacus recurvirostris,Esacus recurvirostris,26
Beach Thick-knee,Esacus magnirostris,Esacus magnirostris,29
Black-winged Stilt,Himantopus himantopus,Himantopus himantopus,20
Pied Avocet,Recurvirostra avosetta,Recurvirostra avosetta,19
Ibisbill,Ibidorhyncha struthersii,Ibidorhyncha struthersii,14
Eurasian Oystercatcher,Haematopus ostralegus,Haematopus ostralegus,39
Black-bellied Plover,Pluvialis squatarola,Pluvialis squatarola,23
European Golden-Plover,Pluvialis apricaria,Pluvialis apricaria,14
American Golden-Plover,Pluvialis dominica,Pluvialis dominica,16
Pacific Golden-Plover,Pluvialis fulva,Pluvialis fulva,14
Northern Lapwing,Vanellus vanellus,Vanellus vanellus,18
River Lapwing,Vanellus duvaucelii,Vanellus duvaucelii,12
Yellow-wattled Lapwing,Vanellus malabaricus,Vanellus malabaricus,14
Gray-headed Lapwing,Vanellus cinereus,Vanellus cinereus,14
Red-wattled Lapwing,Vanellus indicus,Vanellus indicus,13
Sociable Lapwing,Vanellus gregarius,Vanellus gregarius,14
White-tailed Lapwing,Vanellus leucurus,Vanellus leucurus,14
Lesser Sand-Plover,Charadrius mongolus,Charadrius mongolus,13
Greater Sand-Plover,Charadrius leschenaultii,Charadrius leschenaultii,16
Caspian Plover,Charadrius asiaticus,Charadrius asiaticus,15
Kentish Plover,Charadrius alexandrinus,Charadrius alexandrinus,12
Common Ringed Plover,Charadrius hiaticula,Charadrius hiaticula,14
Long-billed Plover,Charadrius placidus,Charadrius placidus,12
Little Ringed Plover,Charadrius dubius,Charadrius dubius,11
Oriental Plover,Charadrius veredus,Charadrius veredus,14
Greater Painted-Snipe,Rostratula benghalensis,Rostratula benghalensis,13
Pheasant-tailed Jacana,Hydrophasianus chirurgus,Hydrophasianus chirurgus,11
Bronze-winged Jacana,Metopidius indicus,Metopidius indicus,12
Whimbrel,Numenius phaeopus,Numenius phaeopus,22
Eurasian Curlew,Numenius arquata,Numenius arquata,28
Bar-tailed Godwit,Limosa lapponica,Limosa lapponica,24
Black-tailed Godwit,Limosa limosa,Limosa limosa,24
Ruddy Turnstone,Arenaria interpres,Arenaria interpres,18
Great Knot,Calidris tenuirostris,Calidris tenuirostris,20
Red Knot,Calidris canutus,Calidris canutus,19
Ruff,Calidris pugnax,Calidris pugnax,19
Broad-billed Sandpiper,Calidris falcinellus,Calidris falcinellus,13
Sharp-tailed Sandpiper,Calidris acuminata,Calidris acuminata,15
Curlew Sandpiper,Calidris ferruginea,Calidris ferruginea,15
Temminck's Stint,Calidris temminckii,Calidris temminckii,12
Long-toed Stint,Calidris subminuta,Calidris subminuta,13
Spoon-billed Sandpiper,Calidris pygmaea,Calidris pygmaea,13
Red-necked Stint,Calidris ruficollis,Calidris ruficollis,15
Sanderling,Calidris alba,Calidris alba,19
Dunlin,Calidris alpina,Calidris alpina,20
Little Stint,Calidris minuta,Calidris minuta,13
Buff-breasted Sandpiper,Calidris subruficollis,Calidris subruficollis,13
Pectoral Sandpiper,Calidris melanotos,Calidris melanotos,15
Asian Dowitcher,Limnodromus semipalmatus,Limnodromus semipalmatus,15
Long-billed Dowitcher,Limnodromus scolopaceus,Limnodromus scolopaceus,11
Jack Snipe,Lymnocryptes minimus,Lymnocryptes minimus,10
Eurasian Woodcock,Scolopax rusticola,Scolopax rusticola,14
Solitary Snipe,Gallinago solitaria,Gallinago solitaria,12
Wood Snipe,Gallinago nemoricola,Gallinago nemoricola,12
Great Snipe,Gallinago media,Gallinago media,12
Common Snipe,Gallinago gallinago,Gallinago gallinago,12
Pin-tailed Snipe,Gallinago stenura,Gallinago stenura,11
Swinhoe's Snipe,Gallinago megala,Gallinago megala,12
Terek Sandpiper,Xenus cinereus,Xenus cinereus,12
Red-necked Phalarope,Phalaropus lobatus,Phalaropus lobatus,10
Red Phalarope,Phalaropus fulicarius,Phalaropus fulicarius,10
Common Sandpiper,Actitis hypoleucos,Actitis hypoleucos,13
Green Sandpiper,Tringa ochropus,Tringa ochropus,15
Gray-tailed Tattler,Tringa brevipes,Tringa brevipes,14
Spotted Redshank,Tringa erythropus,Tringa erythropus,15
Common Greenshank,Tringa nebularia,Tringa nebularia,19
Nordmann's Greenshank,Tringa guttifer,Tringa guttifer,15
Marsh Sandpiper,Tringa stagnatilis,Tringa stagnatilis,13
Wood Sandpiper,Tringa glareola,Tringa glareola,10
Common Redshank,Tringa totanus,Tringa totanus,17
Small Buttonquail,Turnix sylvaticus,Turnix sylvaticus,9
Yellow-legged Buttonquail,Turnix tanki,Turnix tanki,7
Barred Buttonquail,Turnix suscitator,Turnix suscitator,7
Crab-Plover,Dromas ardeola,Dromas ardeola,22
Cream-colored Courser,Cursorius cursor,Cursorius cursor,12
Indian Courser,Cursorius coromandelicus,Cursorius coromandelicus,11
Jerdon's Courser,Rhinoptilus bitorquatus,Rhinoptilus bitorquatus,14
Collared Pratincole,Glareola pratincola,Glareola pratincola,12
Oriental Pratincole,Glareola maldivarum,Glareola maldivarum,12
Small Pratincole,Glareola lactea,Glareola lactea,10
South Polar Skua,Stercorarius maccormicki,Catharacta maccormicki,45
Brown Skua,Stercorarius antarcticus,Catharacta antarctica,46
Pomarine Jaeger,Stercorarius pomarinus,Stercorarius pomarinus,29
Parasitic Jaeger,Stercorarius parasiticus,Stercorarius parasiticus,34
Long-tailed Jaeger,Stercorarius longicaudus,Stercorarius longicaudus,25
Black-legged Kittiwake,Rissa tridactyla,Rissa tridactyla,29
Sabine's Gull,Xema sabini,Xema sabini,19
Slender-billed Gull,Chroicocephalus genei,Larus genei,28
Black-headed Gull,Chroicocephalus ridibundus,Larus ridibundus,28
Brown-headed Gull,Chroicocephalus brunnicephalus,Larus brunnicephalus,27
Little Gull,Hydrocoloeus minutus,Hydrocoloeus minutus,15
Franklin's Gull,Leucophaeus pipixcan,Larus pipixcan,23
White-eyed Gull,Ichthyaetus leucophthalmus,Larus leucophthalmus,25
Sooty Gull,Ichthyaetus hemprichii,Larus hemprichii,27
Pallas's Gull,Ichthyaetus ichthyaetus,Larus ichthyaetus,35
Common Gull,Larus canus,Larus canus,33
Herring Gull,Larus argentatus,Larus smithsonianus,31
Caspian Gull,Larus cachinnans,Larus cachinnans,31
Lesser Black-backed Gull,Larus fuscus,Larus fuscus,33
Brown Noddy,Anous stolidus,Anous stolidus,31
Black Noddy,Anous minutus,Anous minutus,25
Lesser Noddy,Anous tenuirostris,Anous tenuirostris,20
White Tern,Gygis alba,Gygis alba,34
Sooty Tern,Onychoprion fuscatus,Onychoprion fuscatus,38
Bridled Tern,Onychoprion anaethetus,Onychoprion anaethetus,29
Little Tern,Sternula albifrons,Sternula albifrons,29
Saunders's Tern,Sternula saundersi,Sternula saundersi,20
Gull-billed Tern,Gelochelidon nilotica,Gelochelidon nilotica,27
Caspian Tern,Hydroprogne caspia,Hydroprogne caspia,27
Black Tern,Chlidonias niger,Chlidonias niger,16
White-winged Tern,Chlidonias leucopterus,Chlidonias leucopterus,14
Whiskered Tern,Chlidonias hybrida,Chlidonias hybrida,17
Roseate Tern,Sterna dougallii,Sterna dougallii,27
Black-naped Tern,Sterna sumatrana,Sterna sumatrana,24
Common Tern,Sterna hirundo,Sterna hirundo,30
Arctic Tern,Sterna paradisaea,Sterna paradisaea,34
Black-bellied Tern,Sterna acuticauda,Sterna acuticauda,23
River Tern,Sterna aurantia,Sterna aurantia,25
White-cheeked Tern,Sterna repressa,Sterna repressa,23
Great Crested Tern,Thalasseus bergii,Thalasseus bergii,36
Sandwich Tern,Thalasseus sandvicensis,Thalasseus sandvicensis,29
Lesser Crested Tern,Thalasseus bengalensis,Thalasseus bengalensis,29
Indian Skimmer,Rynchops albicollis,Rynchops albicollis,17
White-tailed Tropicbird,Phaethon lepturus,Phaethon lepturus,26
Red-billed Tropicbird,Phaethon aethereus,Phaethon aethereus,31
Red-tailed Tropicbird,Phaethon rubricauda,Phaethon rubricauda,34
Red-throated Loon,Gavia stellata,Gavia stellata,25
Arctic Loon,Gavia arctica,Gavia arctica,28
Light-mantled Albatross,Phoebetria palpebrata,Phoebetria palpebrata,63
Wilson's Storm-Petrel,Oceanites oceanicus,Oceanites oceanicus,32
White-faced Storm-Petrel,Pelagodroma marina,Pelagodroma marina,16
Black-bellied Storm-Petrel,Fregetta tropica,Fregetta tropica,14
Swinhoe's Storm-Petrel,Hydrobates monorhis,Hydrobates monorhis,34
Barau's Petrel,Pterodroma baraui,Pterodroma baraui,39
Jouanin's Petrel,Bulweria fallax,Bulweria fallax,31
Streaked Shearwater,Calonectris leucomelas,Calonectris leucomelas,48
Cory's Shearwater,Calonectris diomedea,Calonectris diomedea,41
Flesh-footed Shearwater,Ardenna carneipes,Ardenna carneipes,41
Wedge-tailed Shearwater,Ardenna pacifica,Ardenna pacifica,39
Short-tailed Shearwater,Ardenna tenuirostris,Ardenna tenuirostris,61
Tropical Shearwater,Puffinus bailloni,Puffinus bailloni,34
Persian Shearwater,Puffinus persicus,Puffinus persicus,34
Asian Openbill,Anastomus oscitans,Anastomus oscitans,21
Black Stork,Ciconia nigra,Ciconia nigra,38
Asian Woolly-necked Stork,Ciconia episcopus,Ciconia episcopus,32
White Stork,Ciconia ciconia,Ciconia ciconia,43
Black-necked Stork,Ephippiorhynchus asiaticus,Ephippiorhynchus asiaticus,33
Lesser Adjutant,Leptoptilos javanicus,Leptoptilos javanicus,41
Greater Adjutant,Leptoptilos dubius,Leptoptilos dubius,38
Painted Stork,Mycteria leucocephala,Mycteria leucocephala,30
Lesser Frigatebird,Fregata ariel,Fregata ariel,38
Christmas Island Frigatebird,Fregata andrewsi,Fregata andrewsi,55
Great Frigatebird,Fregata minor,Fregata minor,46
Masked Booby,Sula dactylatra,Sula dactylatra,34
Brown Booby,Sula leucogaster,Sula leucogaster,35
Red-footed Booby,Sula sula,Sula sula,28
Oriental Darter,Anhinga melanogaster,Anhinga melanogaster,22
Little Cormorant,Microcarbo niger,Microcarbo niger,15
Great Cormorant,Phalacrocorax carbo,Phalacrocorax carbo,26
Indian Cormorant,Phalacrocorax fuscicollis,Phalacrocorax fuscicollis,17
Great White Pelican,Pelecanus onocrotalus,Pelecanus onocrotalus,39
Spot-billed Pelican,Pelecanus philippensis,Pelecanus philippensis,32
Dalmatian Pelican,Pelecanus crispus,Pelecanus crispus,36
Great Bittern,Botaurus stellaris,Botaurus stellaris,12
Yellow Bittern,Ixobrychus sinensis,Ixobrychus sinensis,8
Little Bittern,Ixobrychus minutus,Ixobrychus minutus,8
Cinnamon Bittern,Ixobrychus cinnamomeus,Ixobrychus cinnamomeus,10
Black Bittern,Ixobrychus flavicollis,Ixobrychus flavicollis,14
Gray Heron,Ardea cinerea,Ardea cinerea,24
White-bellied Heron,Ardea insignis,Ardea insignis,17
Goliath Heron,Ardea goliath,Ardea goliath,29
Purple Heron,Ardea purpurea,Ardea purpurea,18
Great Egret,Ardea alba,Ardea alba,18
Intermediate Egret,Ardea intermedia,Ardea intermedia,15
Chinese Egret,Egretta eulophotes,Egretta eulophotes,15
Little Egret,Egretta garzetta,Egretta garzetta,15
Western Reef-Heron,Egretta gularis,Egretta gularis,15
Pacific Reef-Heron,Egretta sacra,Egretta sacra,15
Cattle Egret,Bubulcus ibis,Bubulcus ibis,20
Indian Pond-Heron,Ardeola grayii,Ardeola grayii,16
Chinese Pond-Heron,Ardeola bacchus,Ardeola bacchus,16
Javan Pond-Heron,Ardeola speciosa,Ardeola speciosa,15
Striated Heron,Butorides striata,Butorides striata,14
Black-crowned Night-Heron,Nycticorax nycticorax,Nycticorax nycticorax,26
White-eared Night-Heron,Gorsachius magnificus,Oroanassa magnifica,15
Malayan Night-Heron,Gorsachius melanolophus,Gorsachius melanolophus,15
Glossy Ibis,Plegadis falcinellus,Plegadis falcinellus,25
Black-headed Ibis,Threskiornis melanocephalus,Threskiornis melanocephalus,32
Red-naped Ibis,Pseudibis papillosa,Pseudibis papillosa,26
Eurasian Spoonbill,Platalea leucorodia,Platalea leucorodia,29
Osprey,Pandion haliaetus,Pandion haliaetus,29
Black-winged Kite,Elanus caeruleus,Elanus caeruleus,14
Bearded Vulture,Gypaetus barbatus,Gypaetus barbatus,43
Egyptian Vulture,Neophron percnopterus,Neophron percnopterus,40
European Honey-buzzard,Pernis apivorus,Pernis apivorus,25
Oriental Honey-buzzard,Pernis ptilorhynchus,Pernis ptilorhynchus,26
Jerdon's Baza,Aviceda jerdoni,Aviceda jerdoni,17
Black Baza,Aviceda leuphotes,Aviceda leuphotes,13
Red-headed Vulture,Sarcogyps calvus,Sarcogyps calvus,35
Cinereous Vulture,Aegypius monachus,Aegypius monachus,42
White-rumped Vulture,Gyps bengalensis,Gyps bengalensis,34
Indian Vulture,Gyps indicus,Gyps indicus,36
Slender-billed Vulture,Gyps tenuirostris,Gyps tenuirostris,36
Himalayan Griffon,Gyps himalayensis,Gyps himalayensis,43
Eurasian Griffon,Gyps fulvus,Gyps fulvus,45
Nicobar Serpent-Eagle,Spilornis klossi,Spilornis klossi,24
Crested Serpent-Eagle,Spilornis cheela,Spilornis cheela,21
Andaman Serpent-Eagle,Spilornis elgini,Spilornis elgini,23
Short-toed Snake-Eagle,Circaetus gallicus,Circaetus gallicus,27
Changeable Hawk-Eagle,Nisaetus cirrhatus,Nisaetus cirrhatus,27
Mountain Hawk-Eagle,Nisaetus nipalensis,Nisaetus nipalensis,30
